,Request Id,prefill_e2e_time,cdf
2712,39,0.11712696427034386,6.642752756742394e-05
296,115,0.12245108769427748,0.0001328550551348479
273,174,0.1264357951066799,0.00019928258270227183
44,240,0.13788286962608076,0.0002657101102696958
19,30,0.14475663718158338,0.0003321376378371197
38,62,0.14524886953545701,0.00039856516540454366
167,198,0.15175688678446342,0.0004649926929719676
156,239,0.15506663861163794,0.0005314202205393915
81,122,0.1587368859563245,0.0005978477481068154
15,61,0.1631016125214897,0.0006642752756742394
119,86,0.1634676797436816,0.0007307028032416634
255,199,0.1640501018802265,0.0007971303308090873
115,236,0.16413561537581423,0.0008635578583765112
440,0,0.16427933436457476,0.0009299853859439352
169,182,0.16705652056995568,0.0009964129135113591
97,237,0.16915050475603444,0.001062840441078783
50,38,0.1709529606046467,0.001129267968646207
142,193,0.1713726540824485,0.0011956954962136308
253,6,0.1718153943554147,0.0012621230237810548
161,196,0.17231814062762751,0.0013285505513484788
83,173,0.1752859485138707,0.0013949780789159027
64,87,0.17790225919659797,0.0014614056064833267
149,77,0.1829687605028152,0.0015278331340507507
53,7,0.18348835947496128,0.0015942606616181746
89,243,0.18575025724747007,0.0016606881891855986
2229,223,0.18663609627511413,0.0017271157167530224
219,76,0.19351949961061976,0.0017935432443204463
63,238,0.19540460136420812,0.0018599707718878703
2205,187,0.19552598848745006,0.0019263982994552943
447,195,0.1963560591218272,0.0019928258270227183
94,133,0.19735694145639204,0.002059253354590142
133,60,0.19737705585496812,0.002125680882157566
293,175,0.1976627950503289,0.00219210840972499
22,110,0.20012579946451403,0.002258535937292414
183,31,0.20407946839437563,0.002324963464859838
158,194,0.204130155686423,0.0023913909924272616
2625,75,0.20583930656216065,0.002457818519994686
123,63,0.20632552661931225,0.0025242460475621096
20,33,0.20739953145982581,0.0025906735751295338
56,97,0.20896543043587812,0.0026571011026969575
238,132,0.21070875029418268,0.0027235286302643817
130,200,0.2108095318576737,0.0027899561578318055
182,88,0.21147417872522656,0.0028563836853992292
3,5,0.21155934705752755,0.0029228112129666534
360,186,0.21339424602487966,0.002989238740534077
95,172,0.21361827998666882,0.0030556662681015014
82,170,0.2147627865924644,0.003122093795668925
29,34,0.2174944717788092,0.0031885213232363493
57,114,0.2176229053469232,0.003254948850803773
118,224,0.21816433051064976,0.0033213763783711972
41,24,0.2197719339348687,0.003387803905938621
67,78,0.2211537908641441,0.0034542314335060447
324,171,0.22351910493016547,0.003520658961073469
146,29,0.2237184629434794,0.0035870864886408927
114,197,0.226385558015485,0.003653514016208317
98,109,0.22665038560215045,0.0037199415437757406
198,102,0.22677197332415222,0.003786369071343165
396,112,0.22718369494922364,0.0038527965989105886
113,98,0.22756073978859437,0.003919224126478013
125,254,0.22799324875679083,0.0039856516540454365
