,Time (sec),request_completion
0,0.8487519863142486,1
1,0.8946816309057654,2
2,1.032824418032257,3
3,1.4598907371786098,4
4,1.6577455286757723,5
5,1.6950731868094908,6
6,2.0949598873773354,7
7,2.228305442845344,8
8,2.304990426015846,9
9,2.473034840255577,10
10,2.479649083011012,11
11,2.4829075192479393,12
12,2.7354365431916037,13
13,2.8390982514726013,14
14,2.8620710586596134,15
15,3.019606096261346,16
16,3.026061499402939,17
17,3.1070994076703755,18
18,3.1354453592706633,19
19,3.190396980855461,20
20,3.1992835833888904,21
21,3.2955305181596644,22
22,3.322003317759952,23
23,3.4207786138069785,24
24,3.486576502308388,25
25,3.6316117626092903,26
26,3.9059702100768097,27
27,4.064440395814201,28
28,4.536795775670734,29
29,4.738350058547548,30
30,5.606409832498659,31
31,9.059251109958725,32
