,Request Id,request_preemption_time,cdf
76,131,0.0,6.25e-05
548,642,0.0,0.000125
662,751,0.0,0.0001875
1679,1779,0.0,0.00025
5728,5848,0.0,0.0003125
8418,8536,0.0,0.000375
10376,10509,0.0,0.0004375
12029,12114,0.0,0.0005
12399,12491,0.0,0.0005625
15444,15538,0.0,0.000625
15888,15999,0.0,0.0006875
15920,15998,0.0,0.00075
15949,15996,0.0,0.0008125
15965,15997,0.0,0.000875
13151,13254,0.008158237384122913,0.0009375
9759,9899,0.009274800863522614,0.001
10893,11020,0.01999810133338542,0.0010625
8843,8929,0.02498377337826696,0.001125
5946,6072,0.03473364599932438,0.0011875
1748,1827,0.0416422762363311,0.00125
2007,2087,0.04352750243700143,0.0013125
8702,8813,0.04525199198826613,0.001375
6260,6367,0.052232608973554306,0.0014375
12090,12162,0.056299354082511854,0.0015
9382,9495,0.056847836419024134,0.0015625
2644,2750,0.061638376863498934,0.001625
6653,6775,0.06245107621589341,0.0016875
11247,11377,0.0629450515471035,0.00175
15052,15139,0.0632028356740193,0.0018125
6360,6439,0.06736096348765841,0.001875
7908,8021,0.06841328208236064,0.0019375
15928,15993,0.06841328208236064,0.002
6441,6539,0.0768357796998771,0.0020625
12558,12624,0.07788503859137563,0.002125
5715,5825,0.08238453145128233,0.0021875
15543,15627,0.08335974521173739,0.00225
8269,8379,0.08335974521179423,0.0023125
270,319,0.08395911032916104,0.002375
9839,9973,0.08479296716097906,0.0024375
10269,10381,0.08479296716097906,0.0025
15878,15992,0.08479296716097906,0.0025625
4929,5057,0.08485166778882558,0.002625
7004,7081,0.09024964613695374,0.0026875
7929,8026,0.09024964613695374,0.00275
496,569,0.09024964613697506,0.0028125
11735,11853,0.09080609919556082,0.002875
8959,9060,0.09213265706353013,0.0029375
3914,4073,0.09821743004610539,0.003
15207,15303,0.10033395601362827,0.0030625
3976,4111,0.10039461602013944,0.003125
8844,8930,0.10134510377542938,0.0031875
6924,7017,0.1025785805948658,0.00325
4,25,0.10530710979689362,0.0033125
1738,1823,0.10867439084616137,0.003375
15765,15865,0.11027536260485249,0.0034375
1435,1529,0.11128844363175006,0.0035
11752,11864,0.11231473926966373,0.0035625
8387,8453,0.11231473926972058,0.003625
13391,13494,0.11287170974981109,0.0036875
12014,12080,0.11373636471341797,0.00375
2988,3094,0.113936942519274,0.0038125
15947,15989,0.11395406081783221,0.003875
2942,3071,0.11432759851928154,0.0039375
6889,6985,0.11445767204241974,0.004
103,168,0.11559030657075553,0.0040625
8623,8715,0.11559030657076619,0.004125
2026,2120,0.11783098418705151,0.0041875
637,719,0.1187065212533156,0.00425
15923,15995,0.1215285308012426,0.0043125
14761,14902,0.1223382704783944,0.004375
391,472,0.1250812996339583,0.0044375
8140,8219,0.12579553273207011,0.0045
2841,2933,0.12613213404992507,0.0045625
2544,2651,0.12667197837419053,0.004625
303,350,0.12855283910811366,0.0046875
9985,10108,0.13133521679674232,0.00475
