,Request Id,prefill_e2e_time,cdf
4567,2106,0.008276641993120393,6.25e-05
1236,707,0.009057827413350594,0.000125
3449,590,0.00924797683678591,0.0001875
12100,10852,0.009276865809283663,0.00025
15979,15005,0.00933033527974203,0.0003125
15046,13391,0.009393926583356915,0.000375
8130,5705,0.009831559391670908,0.0004375
9542,7871,0.009849506276111697,0.0005
3972,2391,0.009924240763211856,0.0005625
4647,2834,0.010118993414550914,0.000625
10244,10509,0.010516369744607346,0.0006875
8034,4974,0.010596554850906159,0.00075
6933,4543,0.010750491205726576,0.0008125
14266,12088,0.010755426418199932,0.000875
9225,6278,0.010804357252254704,0.0009375
10376,9194,0.011065748989267377,0.001
15944,13827,0.011109316316264994,0.0010625
3081,435,0.011124985581997038,0.001125
9161,9264,0.011141119403873745,0.0011875
5497,2498,0.011147976608341992,0.00125
15606,12945,0.011459125872420373,0.0013125
4345,1900,0.01179425182886007,0.001375
15988,15971,0.01196113080379746,0.0014375
15349,13258,0.012024865553144082,0.0015
4940,2581,0.012373594121228848,0.0015625
7664,5422,0.012580453326904717,0.001625
11093,9503,0.012635644710940142,0.0016875
12325,9020,0.012805596970224542,0.00175
13628,12011,0.012909252586041475,0.0018125
11277,9274,0.013070584013291864,0.001875
8412,7805,0.01310448429023836,0.0019375
9932,6846,0.013143936845324333,0.002
11646,8657,0.013389427017614253,0.0020625
5033,2686,0.013406429750688176,0.002125
2724,925,0.013619787835786212,0.0021875
10145,7709,0.013723316001801322,0.00225
1745,187,0.013920070100597925,0.0023125
4498,1441,0.013994868257498183,0.002375
6312,2849,0.014031335373942966,0.0024375
7159,4883,0.01411511909779506,0.0025
13909,11755,0.014362963676035179,0.0025625
11910,9259,0.014368242168359302,0.002625
7742,5482,0.014418728474311138,0.0026875
15440,12863,0.014421880073086868,0.00275
9153,7281,0.014451177102841939,0.0028125
12211,9225,0.014620182103442403,0.002875
10472,7399,0.014650532783548442,0.0029375
15240,12637,0.014671268480697108,0.003
6276,4005,0.01472003310340142,0.0030625
3336,1986,0.014795116887597715,0.003125
7029,3716,0.014807276887466969,0.0031875
9308,8107,0.014828900548650381,0.00325
6094,3787,0.015697750711780145,0.0033125
12775,10775,0.01584875239223038,0.003375
1923,1990,0.01588452969920695,0.0034375
14053,11414,0.015899391771426963,0.0035
5650,2976,0.01592464522096293,0.0035625
9408,7430,0.016053704578553152,0.003625
15995,15364,0.016099662193710174,0.0036875
9588,9858,0.016105462025223005,0.00375
9114,6203,0.016375586083825056,0.0038125
7924,4147,0.016511911832623127,0.003875
7766,5227,0.016545574716587907,0.0039375
8181,6597,0.016573328195931936,0.004
11218,8876,0.016703291301325862,0.0040625
15969,14883,0.016716874871121945,0.004125
7779,4296,0.017265400371002215,0.0041875
6857,3385,0.01744456558907359,0.00425
5930,2499,0.01746175589639165,0.0043125
9490,6806,0.01756144847854557,0.004375
15977,14526,0.017569861793276687,0.0044375
3266,960,0.01760372455947845,0.0045
14132,11040,0.0176418224579038,0.0045625
9042,9098,0.01769381784788493,0.004625
8209,5957,0.017713637194844978,0.0046875
15091,12598,0.01780681702371112,0.00475
11849,8540,0.018027718324674424,0.0048125
12642,9518,0.018075463067873443,0.004875
12846,10931,0.018172705287497593,0.0049375
3639,1929,0.018494515098240072,0.005
3821,3500,0.01851118392781359,0.0050625
5237,5049,0.0185131506716516,0.005125
5629,5840,0.018564928558987503,0.0051875
15958,15771,0.01862010349123011,0.00525
5804,4749,0.01881617999904961,0.0053125
6813,4525,0.018890687997838995,0.005375
5307,2681,0.018892215495242226,0.0054375
8640,7173,0.018933677468169208,0.0055
15662,13728,0.019043891808223634,0.0055625
15974,14187,0.019061712824168353,0.005625
15420,12807,0.019170596728258715,0.0056875
7762,4977,0.019343638029596377,0.00575
15942,14698,0.01938823136231349,0.0058125
3413,782,0.019398791277495775,0.005875
14549,12133,0.019678818693932953,0.0059375
2936,545,0.019745158270239926,0.006
15224,15211,0.019751350080582597,0.0060625
5682,3321,0.019836053625510885,0.006125
12075,8737,0.019928379197097,0.0061875
13759,10661,0.019930636649974076,0.00625
12288,9466,0.019990236851356258,0.0063125
7881,4324,0.02006564125258592,0.006375
7297,5372,0.020077638471775572,0.0064375
12186,12334,0.020149917264006945,0.0065
9096,6616,0.02017312737291377,0.0065625
2734,1504,0.020388972860331478,0.006625
15972,14510,0.020462262860405644,0.0066875
15986,15872,0.020533718205342666,0.00675
8036,4972,0.020607332675695034,0.0068125
2744,487,0.020668029168774638,0.006875
3720,2997,0.020715642612060492,0.0069375
15790,13119,0.020718461231354013,0.007
8555,6990,0.020766138082933594,0.0070625
15154,14371,0.02094483951032089,0.007125
8004,6213,0.020968877535096908,0.0071875
15973,14615,0.020991145175230486,0.00725
13647,10888,0.021101528872918607,0.0073125
15959,14513,0.021129410035996443,0.007375
15341,13910,0.02116200417890468,0.0074375
3415,3467,0.021179365710963793,0.0075
9365,6525,0.021207975003903812,0.0075625
6535,3387,0.021208083154334645,0.007625
9231,7677,0.021208616573517247,0.0076875
8604,7537,0.021240446698584492,0.00775
8965,8454,0.021275458824788984,0.0078125
1422,1496,0.02128902941736044,0.007875
3164,988,0.02129237421325314,0.0079375
15637,14192,0.02132534524480434,0.008
10272,8337,0.02132666712691389,0.0080625
5409,2786,0.02140136898071887,0.008125
12663,9947,0.021438291521803876,0.0081875
15953,14132,0.02144015793840026,0.00825
15552,13435,0.021463195648152578,0.0083125
12053,8890,0.02150016981022418,0.008375
6054,2951,0.021555089084245083,0.0084375
9958,7969,0.02158816862271351,0.0085
8168,6034,0.02160983719778642,0.0085625
12542,10979,0.021667698784199274,0.008625
13355,10164,0.02184825174578009,0.0086875
15965,14025,0.021900543711353748,0.00875
6026,3695,0.021913012578494317,0.0088125
15996,15288,0.021944834895521126,0.008875
9812,8662,0.021950292126746263,0.0089375
12505,11506,0.0220209936030642,0.009
12898,10435,0.022040418447772936,0.0090625
7614,5154,0.02204748548894031,0.009125
6047,3290,0.022089682453270143,0.0091875
3941,1577,0.02216457635412894,0.00925
15184,12383,0.022196156855443405,0.0093125
15916,13290,0.02220005825120097,0.009375
15600,13477,0.02222066229705888,0.0094375
4061,1189,0.022227422087375714,0.0095
9094,8055,0.022328200202196058,0.0095625
4035,4181,0.02255210201906266,0.009625
2183,1251,0.02264000008376854,0.0096875
6507,3325,0.022663866219829742,0.00975
15964,14465,0.02279181930202867,0.0098125
9548,7267,0.022792581915155097,0.009875
14070,13884,0.02280996289630366,0.0099375
12423,10950,0.022833601162005834,0.01
1169,1330,0.022992769728062967,0.0100625
5575,5690,0.023002229373787486,0.010125
6802,4970,0.023135853223010372,0.0101875
8954,8032,0.023140324292739933,0.01025
7393,5615,0.023232024583819566,0.0103125
2307,471,0.023306294403987238,0.010375
4841,2523,0.023311959838849816,0.0104375
13933,12650,0.02343874471887375,0.0105
1935,982,0.02355192461434541,0.0105625
15962,15353,0.023604502023658824,0.010625
15106,13215,0.02362646769620369,0.0106875
12139,9806,0.023663745910027956,0.01075
237,312,0.023733794172294154,0.0108125
14229,12509,0.023787126684737814,0.010875
3499,3478,0.023806659915322825,0.0109375
3774,1345,0.023820282777833768,0.011
7306,6559,0.023835038225740846,0.0110625
3219,1861,0.023891712987961,0.011125
10484,9432,0.02396277361680177,0.0111875
9970,7483,0.023975583316484972,0.01125
1370,1435,0.02402906040931896,0.0113125
6497,3383,0.024197639775252355,0.011375
8103,6218,0.024202583065402905,0.0114375
12306,9903,0.024232857581182543,0.0115
6166,6412,0.02430205368358429,0.0115625
15878,14521,0.02434638415570589,0.011625
13068,11962,0.02441188795000926,0.0116875
3231,924,0.024445037236318967,0.01175
12649,10228,0.024479603362351554,0.0118125
12137,10927,0.024497607102716756,0.011875
11488,8721,0.024525038974729796,0.0119375
2688,790,0.02459248293886418,0.012
11066,8780,0.024609557516498626,0.0120625
15963,13949,0.024846572460205607,0.012125
11965,9172,0.02486718622645867,0.0121875
14183,14298,0.024931127993113478,0.01225
8637,6344,0.0250614664994373,0.0123125
7285,6902,0.025126511099870186,0.012375
15064,12786,0.02520224723082265,0.0124375
11440,11699,0.025232008174157272,0.0125
5480,2467,0.025233627448287166,0.0125625
11587,9099,0.02523513655592069,0.012625
15967,14237,0.025273075764062014,0.0126875
14257,14350,0.025326327140646754,0.01275
14691,14056,0.025379092997127373,0.0128125
8053,5423,0.02539380204569852,0.012875
9299,6019,0.0254543810979726,0.0129375
15935,14221,0.025456064300215075,0.013
12493,9068,0.025466609097463788,0.0130625
5350,3230,0.025506221097174375,0.013125
11564,9539,0.025570108578904183,0.0131875
11304,11601,0.02561587701654844,0.01325
302,398,0.025751552900384667,0.0133125
12184,9177,0.025825038432969905,0.013375
12628,9551,0.025837283598093563,0.0134375
10561,8296,0.02586060172706084,0.0135
8473,5528,0.025937455565156142,0.0135625
7589,4539,0.025963143833962476,0.013625
2456,1205,0.026014141955727155,0.0136875
5759,4479,0.026019110404007506,0.01375
12786,11693,0.026083959067022988,0.0138125
13865,14052,0.026177257021004152,0.013875
608,618,0.0262141302893113,0.0139375
10368,7288,0.02635152772541005,0.014
14355,12788,0.026356378661375857,0.0140625
12943,10314,0.02638732770031993,0.014125
14930,12747,0.026391160907678568,0.0141875
4760,4480,0.026463629722968562,0.01425
13731,13898,0.026524734051008636,0.0143125
5347,2093,0.026541006038144133,0.014375
2096,39,0.026555287543821304,0.0144375
10642,8620,0.026558130200101004,0.0145
15082,13673,0.026572818222234673,0.0145625
5762,4327,0.026613086127895258,0.014625
7514,4330,0.026635471169015545,0.0146875
10843,8724,0.02674545662824812,0.01475
13825,11621,0.02679640443966491,0.0148125
7276,5287,0.026833969224298926,0.014875
10102,10143,0.02694236045465459,0.0149375
7856,5573,0.026984401865433938,0.015
14563,11831,0.027178918176787192,0.0150625
11815,9037,0.027194983946571938,0.015125
9160,7239,0.027259507172232134,0.0151875
2550,643,0.027269426870496716,0.01525
14656,13066,0.027581628404846015,0.0153125
9688,7484,0.027924179417198047,0.015375
15980,15449,0.027925317193194132,0.0154375
7189,7230,0.027964199075597662,0.0155
15957,13866,0.027969518257577874,0.0155625
10670,7872,0.028066282626355132,0.015625
7640,4971,0.02810956748626836,0.0156875
8046,5895,0.028149895524506974,0.01575
8692,5683,0.028159823463738576,0.0158125
9250,6744,0.028245427942522383,0.015875
13744,12518,0.028377586804481325,0.0159375
12034,9169,0.028498830462012847,0.016
467,235,0.02852368154987417,0.0160625
12337,12520,0.02853040014645103,0.016125
5588,3141,0.02853309067864984,0.0161875
12905,11787,0.028540997062805218,0.01625
9989,7432,0.028573781438410606,0.0163125
10975,7894,0.028599206996034354,0.016375
3881,1109,0.028670886975390886,0.0164375
11727,8440,0.028736821983443406,0.0165
10944,7507,0.0287666927414989,0.0165625
6059,3862,0.028793238993870318,0.016625
15991,15055,0.028807517585846654,0.0166875
9690,7758,0.028844057723517835,0.01675
8322,5212,0.02885834301278578,0.0168125
9482,8482,0.02893920683027318,0.016875
15992,15661,0.02906039808829064,0.0169375
10223,9372,0.02915116448042454,0.017
12681,11739,0.029167825670583625,0.0170625
5398,4834,0.029188592241524702,0.017125
13044,9816,0.02921773767133118,0.0171875
9263,7679,0.02923421575286511,0.01725
14654,11938,0.02929098836796129,0.0173125
15728,15838,0.02935401806905702,0.017375
5043,5261,0.029431691886713907,0.0174375
9933,10112,0.029433362895645132,0.0175
6289,3742,0.029457893005059077,0.0175625
11933,8638,0.02948441698094939,0.017625
14165,14236,0.02952732488699894,0.0176875
12456,10610,0.029704104327038294,0.01775
3532,1487,0.02971946039922102,0.0178125
13207,11221,0.02994122692155088,0.017875
6173,3752,0.030067788854950095,0.0179375
5461,2728,0.03008666727959053,0.018
3291,3545,0.03017213070654634,0.0180625
14091,12631,0.03019833111841308,0.018125
3385,3449,0.030269522036121543,0.0181875
13959,13408,0.03032032525084105,0.01825
15192,12952,0.030336528734892454,0.0183125
9561,8726,0.030512029340059144,0.018375
13990,11024,0.03059076069348521,0.0184375
15983,15655,0.030595064976182584,0.0185
6837,3558,0.030646180973860737,0.0185625
12274,10120,0.030796244086616298,0.018625
4468,2773,0.03093037808557142,0.0186875
6932,5494,0.03100086705552485,0.01875
13600,13732,0.03105860448590647,0.0188125
11903,9065,0.03119236312670637,0.018875
8267,6135,0.031213968953125004,0.0189375
10655,10822,0.031222407038853817,0.019
7693,7883,0.031227183712474016,0.0190625
15994,15414,0.031263181462691136,0.019125
5113,5328,0.03131089466779713,0.0191875
6845,4596,0.031427000956512074,0.01925
7466,7688,0.03152128377786312,0.0193125
11806,11889,0.0315217429713357,0.019375
11248,10579,0.03156148441678397,0.0194375
14156,12392,0.03172249229919544,0.0195
5754,4139,0.03175413623404211,0.0195625
1546,1617,0.03183977000955451,0.019625
12109,8982,0.031889506453239846,0.0196875
11871,8986,0.03196112337093382,0.01975
6701,4200,0.03201732034710858,0.0198125
12827,10514,0.032052603494094,0.019875
12722,12101,0.03206406638798853,0.0199375
1119,645,0.032104045876828025,0.02
3647,1027,0.0322283984558851,0.0200625
15575,13937,0.03226985799801696,0.020125
15627,15739,0.032344602791113175,0.0201875
2418,1273,0.032386253810507526,0.02025
15619,15802,0.03251445553155463,0.0203125
7381,7257,0.03264215183781971,0.020375
13829,14003,0.03266216252234244,0.0204375
