,Request Id,request_execution_plus_preemption_time,cdf
596,751,0.13331991036554539,6.25e-05
5604,5848,0.24213363149206404,0.000125
42,131,0.2580763478275336,0.0001875
10244,10509,0.30714868837248827,0.00025
8311,8536,0.33640717543816767,0.0003125
9709,9973,0.49564090850135906,0.000375
746,888,0.5142672604235243,0.0004375
3758,4073,0.5505899466724249,0.0005
12276,12491,0.5567621064179662,0.0005625
12777,13030,0.6151778363010694,0.000625
474,642,0.6201830020119294,0.0006875
11902,12114,0.6224965383519557,0.00075
15323,15538,0.6582521986008063,0.0008125
1,25,0.673770328014113,0.000875
13059,13254,0.6753376154641316,0.0009375
12530,12735,0.6846177378124785,0.001
8165,8379,0.6939254622370792,0.0010625
1912,2087,0.6987084961439797,0.001125
6326,6539,0.7077186348881349,0.0011875
15744,15999,0.7249426707885518,0.00125
73,168,0.7269628750502177,0.0013125
15633,15865,0.7624473971726465,0.001375
6520,6775,0.7628151777558443,0.0014375
2862,3071,0.7712858745990149,0.0015
11560,11853,0.7718017613023288,0.0015625
7780,8021,0.7916739860460988,0.001625
11497,11789,0.8098177363560399,0.0016875
6166,6412,0.8191316485565163,0.00175
12986,13174,0.8211160560646322,0.0018125
232,319,0.8320615353704328,0.001875
10914,11214,0.8339305155013899,0.0019375
1652,1823,0.8361453148285248,0.002
5807,6072,0.8403101382364706,0.0020625
14044,14238,0.8593223943433418,0.002125
5779,6032,0.865123687873808,0.0021875
4395,4686,0.8664562807459641,0.00225
7987,8186,0.8752562983158987,0.0023125
15242,15434,0.8952492515179891,0.002375
13516,13772,0.8998033352068328,0.0024375
9751,9989,0.904103534775103,0.0025
4782,5057,0.9115503980106285,0.0025625
15614,15833,0.9134045334688488,0.002625
14068,14262,0.9188353208391105,0.0026875
4806,5076,0.9350897584418141,0.00275
15102,15303,0.9393231202728172,0.0028125
4017,4246,0.939603353491956,0.002875
13137,13361,0.9420880992553619,0.0029375
814,939,0.9425905903459982,0.003
3117,3335,0.9529842803266082,0.0030625
11612,11876,0.9618032873259391,0.003125
