,Request Id,request_scheduling_delay,cdf
5,3,0.0,6.25e-05
559,2,0.0,0.000125
690,1,0.0,0.0001875
1080,0,0.0,0.00025
610,6,0.08708172967745834,0.0003125
128,7,0.10260120043119067,0.000375
522,4,0.10691341164479021,0.0004375
33,5,0.11284144572574187,0.0005
2127,9,0.14944754708169236,0.0005625
142,11,0.15079604316615952,0.000625
27,8,0.17045588544875984,0.0006875
1172,10,0.19339495674785565,0.00075
180,15,0.23868645618341716,0.0008125
127,13,0.2659695361351097,0.000875
532,14,0.28117979662510095,0.0009375
479,12,0.31006449898098376,0.001
474,21,0.3183992450606284,0.0010625
245,17,0.3255773233052508,0.001125
304,19,0.35372357871769966,0.0011875
428,18,0.39404994691530226,0.00125
11,25,0.4213486460915173,0.0013125
679,23,0.43996330430618447,0.001375
515,16,0.4456951870645243,0.0014375
619,22,0.5038053519915284,0.0015
31,20,0.514554260310096,0.0015625
302,26,0.525916459529,0.001625
449,29,0.5290163474437528,0.0016875
89,33,0.5409563351034007,0.00175
216,27,0.5521047128603902,0.0018125
187,24,0.5774413754658885,0.001875
98,30,0.5958490939113052,0.0019375
126,34,0.6047565636062111,0.002
366,31,0.6208201384889259,0.0020625
1400,37,0.6213454912382099,0.002125
6093,39,0.6311495616433797,0.0021875
197,38,0.6548483419874818,0.00225
262,28,0.6612203962105951,0.0023125
14,42,0.6794681685846942,0.002375
459,41,0.7005283039959475,0.0024375
162,35,0.7085350208989992,0.0025
233,43,0.7086454211620573,0.0025625
90,32,0.7190009446218075,0.002625
183,36,0.8052532037329702,0.0026875
362,47,0.8058330568833806,0.00275
268,45,0.8403192712581604,0.0028125
129,46,0.8481886685366883,0.002875
3251,50,0.869334085059187,0.0029375
100,53,0.8833576601003849,0.003
38,51,0.8928515756442104,0.0030625
621,40,0.9042759137710736,0.003125
363,54,0.9107368424065995,0.0031875
354,49,0.9356792348391585,0.00325
29,58,0.9592575613609228,0.0033125
164,57,0.9650408121946901,0.003375
421,55,0.967694178236181,0.0034375
156,62,0.9997951526951752,0.0035
122,59,1.0097268158023662,0.0035625
237,63,1.0299252901670797,0.003625
265,66,1.034609783851367,0.0036875
420,44,1.0574666622097655,0.00375
57,61,1.0687220546064662,0.0038125
16,65,1.0952406435868696,0.003875
881,70,1.1130495229615684,0.0039375
261,67,1.139939986294615,0.004
86,74,1.1738385414183115,0.0040625
143,52,1.1738782977365656,0.004125
7210,48,1.1791034098139113,0.0041875
652,56,1.2202560045100044,0.00425
157,71,1.228012852651816,0.0043125
206,78,1.2391925100172698,0.004375
171,69,1.2417843119677354,0.0044375
19,82,1.2745164967709428,0.0045
425,60,1.2998278884271288,0.0045625
311,73,1.312474550976073,0.004625
350,86,1.3129861680072337,0.0046875
269,79,1.3188390303002289,0.00475
5888,75,1.3407196947367612,0.0048125
445,64,1.3455842650851446,0.004875
404,77,1.3603043894573266,0.0049375
868,90,1.4051932724929115,0.005
72,83,1.4278762443262485,0.0050625
2398,85,1.445128235326702,0.005125
1024,81,1.4477304700638434,0.0051875
461,68,1.4694499514356676,0.00525
108,87,1.5095316919288648,0.0053125
324,72,1.5099883664941829,0.005375
118,89,1.5138397182065761,0.0054375
146,94,1.5147423169406005,0.0055
562,76,1.5235255865509592,0.0055625
330,98,1.535963077252647,0.005625
112,101,1.5578293890278574,0.0056875
465,93,1.591419046700757,0.00575
93,91,1.6012170528963314,0.0058125
452,99,1.622321389805609,0.005875
476,102,1.6392216955681782,0.0059375
970,80,1.6435643499729744,0.006
165,97,1.6447570569836372,0.0060625
15,95,1.676826222505145,0.006125
152,105,1.6818020452772888,0.0061875
380,106,1.6899952431377154,0.00625
260,109,1.6905844398381664,0.0063125
234,103,1.7161186872080922,0.006375
369,84,1.7277621173015743,0.0064375
47,110,1.7350472830794654,0.0065
456,107,1.7954490552052582,0.0065625
227,113,1.8193216278363684,0.006625
487,88,1.8193254732648005,0.0066875
160,114,1.8455738395484946,0.00675
341,111,1.8821175927790748,0.0068125
169,92,1.8943864276717655,0.006875
389,119,1.8953429984614438,0.0069375
44,117,1.8982039823361612,0.007
556,115,1.929760074599017,0.0070625
102,118,1.945630884697115,0.007125
32,123,1.9717059302951006,0.0071875
34,96,1.9919920741099828,0.00725
228,122,1.9983989909549922,0.0073125
1411,121,2.028858580737558,0.007375
252,134,2.05561227697484,0.0074375
76,126,2.0686713736352376,0.0075
318,130,2.078070094675972,0.0075625
208,100,2.0920996399376515,0.007625
382,127,2.0980081162889213,0.0076875
290,125,2.103852219026522,0.00775
429,129,2.1153529459395877,0.0078125
511,104,2.152153534704441,0.007875
488,138,2.153838069091922,0.0079375
78,135,2.162213943417698,0.008
30,142,2.1798436910010466,0.0080625
0,131,2.201857674065109,0.008125
199,133,2.201925033910232,0.0081875
1019,139,2.2306030008906177,0.00825
911,112,2.2665615244685653,0.0083125
120,108,2.2826802417770917,0.008375
35,146,2.2836710816388726,0.0084375
242,137,2.3085462441527898,0.0085
51,116,2.318924345350081,0.0085625
284,143,2.3262698072493597,0.008625
1494,150,2.3526722423875155,0.0086875
301,141,2.4011090593105346,0.00875
544,145,2.4095190438929253,0.0088125
4,154,2.4365368463321575,0.008875
295,120,2.4488190290786926,0.0089375
119,158,2.454840514350794,0.009
416,147,2.455159053965977,0.0090625
39,124,2.5233994646443847,0.009125
422,149,2.537721131431827,0.0091875
144,151,2.5560639747244447,0.00925
390,128,2.56914577020266,0.0093125
462,162,2.5874305764882495,0.009375
554,153,2.606780611751711,0.0094375
983,155,2.6619209685404357,0.0095
538,132,2.6778452830199377,0.0095625
149,166,2.6870288680328698,0.009625
266,159,2.6951877559116135,0.0096875
153,157,2.731617941640165,0.00975
742,136,2.7343037690408627,0.0098125
176,170,2.751488529561643,0.009875
322,163,2.781909443130835,0.0099375
549,174,2.7969122015013803,0.01
384,140,2.83322455394526,0.0100625
40,178,2.8667328148264146,0.010125
192,161,2.8819366794798795,0.0101875
1274,167,2.904652577347331,0.01025
723,186,2.9203750065496945,0.0103125
5865,169,2.935631424351231,0.010375
325,144,2.944269750380971,0.0104375
359,165,2.9600815256172663,0.0105
364,182,2.9621999920990536,0.0105625
174,173,2.962721781281516,0.010625
563,171,2.9991385572751312,0.0106875
73,177,3.0477778277048215,0.01075
407,181,3.04923843663525,0.0108125
319,194,3.0573288201177222,0.010875
198,202,3.0605352401008483,0.0109375
217,190,3.0687262890227442,0.011
236,148,3.083717956638063,0.0110625
484,175,3.0925874660475206,0.011125
342,198,3.099243389159757,0.0111875
222,206,3.1448095620056598,0.01125
312,152,3.1465068147387365,0.0113125
374,185,3.154225199223464,0.011375
586,210,3.16774442328918,0.0114375
58,179,3.2031552178623155,0.0115
258,214,3.237304666597464,0.0115625
323,183,3.2528911894549535,0.011625
649,189,3.2651873527211936,0.0116875
1906,156,3.2833233405581943,0.01175
807,195,3.2900875583220506,0.0118125
87,222,3.295063950214595,0.011875
338,230,3.2960455259350274,0.0119375
763,191,3.3283163136717433,0.012
178,160,3.33137096859954,0.0120625
6581,218,3.338315058368418,0.012125
305,203,3.351584494054605,0.0121875
4952,187,3.3516602088941005,0.01225
349,199,3.3552235721293813,0.0123125
365,226,3.367854186421667,0.012375
394,164,3.375951425275236,0.0124375
277,193,3.3769360461004645,0.0125
314,207,3.378013778890075,0.0125625
70,238,3.392727531239017,0.012625
4047,234,3.393333543841807,0.0126875
25,211,3.4180986966249636,0.01275
123,201,3.4372937154640413,0.0128125
215,197,3.446499290277492,0.012875
395,242,3.4767463977061084,0.0129375
223,215,3.4822415636517876,0.013
13,168,3.506115848444508,0.0130625
