,Request Id,prefill_e2e_time,cdf
6897,782,0.03501817746811753,0.00010036130068245685
6548,924,0.05687324373460001,0.0002007226013649137
7378,2093,0.057970204544744774,0.00030108390204737056
5040,39,0.05871499227009647,0.0004014452027298274
4559,1861,0.0881648691363921,0.0005018065034122842
5491,1992,0.09187195140935955,0.0006021678040947411
804,948,0.10103471517692242,0.0007025291047771979
954,938,0.1198694602684327,0.0008028904054596548
621,549,0.12276479132472673,0.0009032517061421116
642,677,0.12424283291852589,0.0010036130068245685
1929,1990,0.1262107314273635,0.0011039743075070252
2002,2204,0.1294530634451121,0.0012043356081894822
109,299,0.1323846257654253,0.001304696908871939
348,307,0.13727751245610165,0.0014050582095543958
581,679,0.13850198147349602,0.0015054195102368526
6803,1189,0.1385961115042278,0.0016057808109193096
3693,295,0.14326660686698744,0.0017061421116017664
1211,1365,0.15072998116906433,0.0018065034122842231
345,303,0.15227045040415277,0.0019068647129666801
1987,2091,0.15470336020985087,0.002007226013649137
901,1200,0.15485315224387364,0.002107587314331594
710,780,0.15901685772551843,0.0022079486150140505
5298,487,0.16079681686613867,0.0023083099156965075
5800,1229,0.1619957611107452,0.0024086712163789645
6725,1994,0.1753562015023249,0.002509032517061421
668,320,0.18611489142779192,0.002609393817743878
848,926,0.18793961673677018,0.0027097551184263346
2171,1844,0.1882028633522168,0.0028101164191087916
1509,950,0.18835646657791472,0.0029104777197912486
1819,1864,0.189999623108406,0.003010839020473705
1792,2095,0.19173575942642174,0.003111200321156162
1564,1846,0.19351026330343757,0.003211561621838619
1892,2207,0.19444282628239762,0.0033119229225210757
309,327,0.19475160948251613,0.0034122842232035327
5197,576,0.1971971027512467,0.0035126455238859897
802,907,0.1992629235999459,0.0036130068245684463
7259,2106,0.2008819897227454,0.0037133681252509033
296,547,0.20117729760714553,0.0038137294259333603
1583,1860,0.20118676383634693,0.003914090726615817
728,937,0.20451848815778817,0.004014452027298274
721,850,0.20517135561999567,0.00411481332798073
879,1127,0.20982274467291973,0.004215174628663188
1077,927,0.2102495222475511,0.004315535929345644
1330,1293,0.21325245417932592,0.004415897230028101
5098,846,0.2167185908682825,0.004516258530710558
6290,988,0.21709566734017471,0.004616619831393015
813,448,0.22175643059117078,0.0047169811320754715
1125,1287,0.22216842585831387,0.004817342432757929
163,239,0.22404896561447174,0.0049177037334403855
571,796,0.22689180734687397,0.005018065034122842
881,989,0.22826995198539635,0.0051184263348052995
948,1135,0.22999620250126895,0.005218787635487756
1519,1296,0.23409083372169448,0.005319148936170213
713,794,0.23554131517892074,0.005419510236852669
1880,2026,0.23595068877136782,0.005519871537535127
816,949,0.2431667423403212,0.005620232838217583
1542,1905,0.24353800012949023,0.00572059413890004
5719,545,0.24597203096753617,0.005820955439582497
692,653,0.24766715138257211,0.005921316740264954
42,38,0.24930685037713474,0.00602167804094741
1681,1937,0.25150277647628627,0.006122039341629868
5264,790,0.25168310249136994,0.006222400642312324
765,541,0.25392538538314113,0.006322761942994781
790,848,0.2540793017342651,0.006423123243677238
7079,2050,0.25704700588181595,0.006523484544359695
768,804,0.2583035590726013,0.0066238458450421514
1834,1973,0.25850513124669305,0.006724207145724609
397,555,0.2586658677764433,0.006824568446407065
5183,1929,0.258823241508253,0.006924929747089522
801,941,0.260734973668292,0.007025291047771979
242,297,0.263642891639833,0.007125652348454436
2085,645,0.2639352414906,0.0072260136491368926
1475,940,0.2651752747952969,0.00732637494981935
1867,1883,0.2666121515167674,0.0074267362505018066
4676,2034,0.26750329668846007,0.007527097551184263
6584,2074,0.26866740410901,0.0076274588518667205
1712,1862,0.2689892305708099,0.007727820152549177
671,900,0.26919988050244115,0.007828181453231635
784,928,0.26948628907845773,0.007928542753914091
4740,925,0.2702209655397212,0.008028904054596548
639,829,0.2710111453736772,0.008129265355279004
2034,2382,0.2717679618880311,0.00822962665596146
208,260,0.27227969788705764,0.008329987956643917
2046,1948,0.27237846365983387,0.008430349257326376
1064,1381,0.27419687959593375,0.008530710558008832
88,72,0.2757598168495292,0.008631071858691289
6063,435,0.28000031976769435,0.008731433159373745
812,898,0.2803793538411128,0.008831794460056202
6590,960,0.28067300729895805,0.008932155760738658
1498,1304,0.28088944921185544,0.009032517061421117
2009,1939,0.2809467584732488,0.009132878362103573
1941,2364,0.28192576434469174,0.00923323966278603
378,323,0.2824174556206742,0.009333600963468486
1990,2098,0.28247885378306137,0.009433962264150943
748,903,0.282672344141929,0.0095343235648334
2055,2198,0.2861004908978657,0.009634684865515858
561,778,0.2876722592174872,0.009735046166198314
1264,1321,0.28770039082982635,0.009835407466880771
5007,397,0.2880279316713228,0.009935768767563228
133,264,0.2886721944253594,0.010036130068245684
5309,337,0.28920283272594105,0.01013649136892814
1972,2200,0.2894354460743216,0.010236852669610599
355,174,0.2905127736606232,0.010337213970293056
2025,2072,0.2907175360093106,0.010437575270975512
1845,2025,0.2921336861238615,0.010537936571657969
718,856,0.29248785792449894,0.010638297872340425
1865,1975,0.2967437298142386,0.010738659173022882
6479,2053,0.29725406247411,0.010839020473705338
275,230,0.2973435312825359,0.010939381774387797
2135,2209,0.29762511547170334,0.011039743075070253
253,321,0.29782889492888387,0.01114010437575271
53,97,0.29862775554317267,0.011240465676435166
463,573,0.29890593570191015,0.011340826977117623
190,198,0.29893121279369694,0.01144118827780008
117,237,0.30073584894021366,0.011541549578482538
1864,2131,0.301587065457511,0.011641910879164994
608,619,0.30190856040104563,0.011742272179847451
782,885,0.3025737909678412,0.011842633480529908
1517,1888,0.3026125629976377,0.011942994781212364
1805,1863,0.3045291005809645,0.01204335608189482
