,Request Id,request_e2e_time,cdf
427,751,0.8647654554978459,6.25e-05
12,168,1.168778371975555,0.000125
148,398,1.3405109669590871,0.0001875
11,154,1.4263767629380517,0.00025
629,939,1.5659245053682014,0.0003125
339,627,1.6164909603903936,0.000375
293,569,1.6595009441218416,0.0004375
582,888,1.7446091177841225,0.0005
659,955,1.9120198280041194,0.0005625
127,350,1.9712017739445553,0.000625
10,131,2.0239394397610297,0.0006875
385,675,2.1672940801602287,0.00075
4,65,2.3094655255394896,0.0008125
445,734,2.3892299349873234,0.000875
469,759,2.514454990886488,0.0009375
859,1200,2.5565107333479418,0.001
736,1035,2.6828203418439998,0.0010625
67,255,2.720927940648389,0.001125
152,357,2.7399530751071453,0.0011875
284,526,2.8621374729771603,0.00125
194,407,2.8967359969489497,0.0013125
2,25,2.931498515012615,0.001375
271,515,3.0105330021802494,0.0014375
118,319,3.0520699451593014,0.0015
107,302,3.1897317722565113,0.0015625
0,8,3.203645521773293,0.001625
319,560,3.261514080374319,0.0016875
244,461,3.266854878735465,0.00175
81,261,3.3229724122342112,0.0018125
3,20,3.3475977411870246,0.001875
424,684,3.3671687237137533,0.0019375
1,5,3.3681169191128895,0.002
233,443,3.3816542032588757,0.0020625
650,919,3.4442324735555587,0.002125
28,142,3.4896626703606124,0.0021875
72,240,3.495370601052949,0.00225
6,42,3.5343551499401036,0.0023125
145,334,3.580984653016504,0.002375
455,719,3.59439668402403,0.0024375
312,547,3.6202568083534103,0.0025
393,640,3.646047594861784,0.0025625
23,124,3.6562210589327284,0.002625
7,58,3.6848651589700454,0.0026875
142,326,3.736243153608358,0.00275
126,312,3.7564011499367407,0.0028125
549,809,3.7695223891594694,0.002875
1212,1568,3.833258340849916,0.0029375
562,821,3.8457144312724374,0.003
848,1136,3.994407075764812,0.0030625
661,912,4.060499450439167,0.003125
296,510,4.114661140111927,0.0031875
167,343,4.137179700819905,0.00325
668,915,4.241072863219202,0.0033125
124,299,4.243508376475166,0.003375
26,110,4.2508476009368845,0.0034375
18,95,4.259299594947924,0.0035
854,1132,4.2900124450292765,0.0035625
824,1100,4.297264972592828,0.003625
101,264,4.315335625995729,0.0036875
30,126,4.326863419586281,0.00375
744,992,4.374002348332176,0.0038125
379,601,4.383875909387857,0.003875
411,642,4.394418978811046,0.0039375
64,208,4.40086589030767,0.004
371,585,4.418498959273251,0.0040625
433,667,4.450254528846763,0.004125
278,472,4.47222288855561,0.0041875
65,211,4.479668397569545,0.00425
556,796,4.507218748964156,0.0043125
13,74,4.540002157909196,0.004375
5,3,4.574439020359599,0.0044375
305,506,4.610068810083476,0.0045
683,923,4.6226082216237,0.0045625
735,973,4.629521710117153,0.004625
1524,1888,4.634342040340087,0.0046875
17,82,4.658295867713163,0.00475
87,238,4.663240810943817,0.0048125
94,243,4.663890951249291,0.004875
36,123,4.683051038141882,0.0049375
283,468,4.705241004393841,0.005
137,300,4.727951957589296,0.0050625
739,979,4.746642638845181,0.005125
808,1067,4.765938492690061,0.0051875
35,117,4.767326880754264,0.00525
25,96,4.820070448938419,0.0053125
1601,1984,4.826973644925644,0.005375
584,814,4.833224528179404,0.0054375
475,705,4.840866133756446,0.0055
374,581,4.843695264733256,0.0055625
576,801,4.880577752682527,0.005625
115,265,4.900070766741997,0.0056875
728,961,4.903669513485532,0.00575
47,146,4.907266089142454,0.0058125
409,622,4.93488447555632,0.005875
281,455,4.938744757303844,0.0059375
420,636,4.9533633158780965,0.006
1064,1371,4.959490346872769,0.0060625
280,453,4.961242906901372,0.006125
57,178,4.997209742733077,0.0061875
52,158,4.998209487941057,0.00625
103,252,5.012462694482062,0.0063125
627,845,5.0230418173982905,0.006375
448,670,5.029180470689795,0.0064375
302,480,5.08550342614549,0.0065
816,1066,5.095483323888985,0.0065625
84,222,5.101784178739777,0.006625
206,356,5.111031833342027,0.0066875
645,864,5.137516825639963,0.00675
111,258,5.152998211944009,0.0068125
343,535,5.167166663676884,0.006875
256,428,5.197591492291327,0.0069375
8,30,5.2095792522994895,0.007
643,859,5.233844201878078,0.0070625
614,832,5.234324657061265,0.007125
15,61,5.268554710127203,0.0071875
663,880,5.2697115925405456,0.00725
476,695,5.29084224062332,0.0073125
1163,1485,5.298811736363149,0.007375
1510,1849,5.299174731796299,0.0074375
1337,1677,5.300729413796198,0.0075
177,325,5.315428287257179,0.0075625
42,122,5.401962611200965,0.007625
732,952,5.433858000230877,0.0076875
600,819,5.4350367125888575,0.00775
166,314,5.44682780673393,0.0078125
60,170,5.448985193587689,0.007875
209,352,5.463081140868427,0.0079375
468,680,5.474808304474706,0.008
41,116,5.484019898074847,0.0080625
123,262,5.511220069193458,0.008125
350,537,5.52091597256981,0.0081875
204,345,5.528228259315812,0.00825
237,386,5.5746596822100365,0.0083125
1301,1616,5.585581578065643,0.008375
239,387,5.598856968889173,0.0084375
334,513,5.621102235207548,0.0085
867,1117,5.625015177983663,0.0085625
458,665,5.669769113217228,0.008625
1033,1323,5.702492158435938,0.0086875
14,46,5.741578532370115,0.00875
1651,2014,5.754551646778751,0.0088125
1713,2077,5.768799841979487,0.008875
746,957,5.7690835650409085,0.0089375
136,268,5.77177351348776,0.009
141,270,5.79986044527052,0.0090625
491,697,5.806250855879135,0.009125
83,201,5.807159734328484,0.0091875
40,108,5.843742917166111,0.00925
205,336,5.856017389471109,0.0093125
258,405,5.859427866432844,0.009375
32,89,5.894392879518044,0.0094375
1757,2120,5.898919873424774,0.0095
1469,1805,5.902149044920037,0.0095625
93,213,5.921411695762976,0.009625
306,460,5.949858171378775,0.0096875
180,315,5.965756122281295,0.00975
70,179,5.974403807634831,0.0098125
369,548,5.977991328502064,0.009875
48,118,5.985598626044399,0.0099375
893,1127,5.990568006165006,0.01
536,744,5.998594662055808,0.0100625
24,62,6.0123380942352584,0.010125
1129,1427,6.029582845140361,0.0101875
146,275,6.057205366162069,0.01025
1637,1998,6.057814158743071,0.0103125
636,837,6.0759872759368925,0.010375
279,430,6.0781992346993725,0.0104375
1607,1952,6.106496530859516,0.0105
89,202,6.125559385903148,0.0105625
341,504,6.136585342924928,0.010625
335,489,6.15929074854381,0.0106875
16,33,6.161039088024611,0.01075
165,298,6.174044485045716,0.0108125
402,574,6.1830691886346685,0.010875
1037,1312,6.183229594995197,0.0109375
616,811,6.1938782368160155,0.011
1500,1824,6.213376376433047,0.0110625
9,13,6.247693029259403,0.011125
691,891,6.263883088128331,0.0111875
250,384,6.266862947338561,0.01125
1414,1728,6.267568301281287,0.0113125
565,764,6.280212332042204,0.011375
270,413,6.280847164596832,0.0114375
74,177,6.28517874434243,0.0115
342,496,6.288995612423001,0.0115625
163,291,6.310322460454849,0.011625
621,812,6.3155981602901505,0.0116875
262,400,6.3397935819725895,0.01175
706,903,6.348812358287773,0.0118125
22,53,6.349615036776765,0.011875
2087,2509,6.35944251182697,0.0119375
490,679,6.35967214066816,0.012
346,495,6.361874983490775,0.0120625
671,857,6.401841561904924,0.012125
39,94,6.411979595139689,0.0121875
453,632,6.422809609793639,0.01225
345,491,6.435716596869369,0.0123125
362,524,6.452382357991972,0.012375
274,411,6.47525889558368,0.0124375
59,135,6.481901780133743,0.0125
770,963,6.509211329035807,0.0125625
811,1013,6.513644846683604,0.012625
680,870,6.527598679781725,0.0126875
798,1000,6.554730352818076,0.01275
860,1078,6.55574043120631,0.0128125
1871,2232,6.561163059138252,0.012875
382,552,6.5625014933562085,0.0129375
1557,1866,6.567682743674482,0.013
456,637,6.5740334608498685,0.0130625
243,360,6.58426601669014,0.013125
639,825,6.585984019428963,0.0131875
1042,1310,6.591223192038115,0.01325
606,791,6.591740764057985,0.0133125
196,318,6.599489188220174,0.013375
1114,1394,6.651080877291271,0.0134375
235,351,6.652476705954328,0.0135
251,371,6.661730491491964,0.0135625
503,691,6.668766184972071,0.013625
931,1168,6.6701378852714654,0.0136875
86,190,6.677954087178491,0.01375
986,1243,6.6808417420772415,0.0138125
459,639,6.701365846848162,0.013875
352,501,6.702821942385793,0.0139375
190,309,6.713210355036557,0.014
1642,1976,6.718575876499244,0.0140625
646,829,6.718727976104123,0.014125
781,974,6.733890018345598,0.0141875
257,378,6.7341987755935175,0.01425
1121,1397,6.73539382081772,0.0143125
49,101,6.745288711237041,0.014375
1781,2125,6.762285199783463,0.0144375
954,1196,6.774981431396675,0.0145
1421,1723,6.776306823159246,0.0145625
50,105,6.779331786964526,0.014625
45,91,6.799752423981682,0.0146875
27,51,6.813150374454419,0.01475
511,692,6.818339697656047,0.0148125
822,1018,6.831631413084601,0.014875
359,507,6.831773690496693,0.0149375
748,937,6.844603802587081,0.015
259,374,6.850264643408176,0.0150625
428,584,6.882410586504815,0.015125
365,514,6.903288451402986,0.0151875
156,263,6.907607572822675,0.01525
588,768,6.937016839836602,0.0153125
635,815,6.96022442715827,0.015375
552,736,6.960799430647292,0.0154375
187,301,6.9703615240157415,0.0155
46,87,6.982146061346723,0.0155625
884,1096,6.990336422510573,0.015625
20,32,6.991487687585991,0.0156875
307,440,6.999788734097553,0.01575
370,522,7.0010266958278145,0.0158125
221,328,7.001153725391481,0.015875
1760,2094,7.010437900716795,0.0159375
252,361,7.022749558904273,0.016
78,166,7.034889805574724,0.0160625
336,467,7.041394414303273,0.016125
1342,1630,7.047061133811383,0.0161875
1137,1408,7.049038967430633,0.01625
33,59,7.059210774475256,0.0163125
1316,1595,7.060635870376515,0.016375
147,254,7.061420374562507,0.0164375
1021,1277,7.0697122037765965,0.0165
