,Request Id,request_e2e_time,cdf
437,751,0.11306897213161982,6.25e-05
581,888,0.4116283147290538,0.000125
18,131,0.4369962279382258,0.0001875
29,168,0.4914002428928921,0.00025
357,642,0.5422849642745167,0.0003125
1721,2120,0.585965205740564,0.000375
5,65,0.616462427500022,0.0004375
2,25,0.6277587028479985,0.0005
354,627,0.7177336929003832,0.0005625
31,154,0.7462954164955704,0.000625
210,398,0.7510112755956762,0.0006875
2611,3071,0.764246047766683,0.00075
1,8,0.776817527076608,0.0008125
327,569,0.7882011960143522,0.000875
77,255,0.7990609952865597,0.0009375
0,5,0.8063651523080129,0.001
532,809,0.8215664152189,0.0010625
3,20,0.8239607701227449,0.001125
658,939,0.8479156489259072,0.0011875
318,560,0.8480398742539013,0.00125
1493,1866,0.8524495530665028,0.0013125
525,801,0.8569259435544705,0.001375
400,675,0.8805679063835559,0.0014375
1870,2277,0.8850117618614206,0.0015
1011,1394,0.902351087099909,0.0015625
569,845,0.9450628214586736,0.001625
175,350,0.9617092454031129,0.0016875
6,42,0.9710097954492234,0.00175
12,82,0.9732191813162407,0.0018125
691,955,0.97599747757506,0.001875
185,357,0.9986757694836319,0.0019375
260,472,1.029316392366538,0.002
144,319,1.03953546642766,0.0020625
299,526,1.0686785915641526,0.002125
1717,2087,1.0853354639689599,0.0021875
4,3,1.0991951411893583,0.00225
2213,2651,1.1019613274348004,0.0023125
229,407,1.1022333324485674,0.002375
101,261,1.1063024421816836,0.0024375
454,719,1.114833953851484,0.0025
1835,2210,1.12602495670739,0.0025625
2888,3335,1.1286264010912177,0.002625
1496,1849,1.1359241016737123,0.0026875
20,96,1.136607768281985,0.00275
10,58,1.1413364142692797,0.0028125
1049,1416,1.1473833238033073,0.002875
429,684,1.20173362156984,0.0029375
869,1200,1.219238477274967,0.003
1963,2364,1.2205702799384852,0.0030625
897,1235,1.2358750257494755,0.003125
164,326,1.2473552695516732,0.0031875
1642,2014,1.278405622585069,0.00325
7,30,1.2806916409509974,0.0033125
293,510,1.2852594969191173,0.003375
2280,2719,1.2916873891637266,0.0034375
1046,1397,1.3048256871754909,0.0035
1476,1823,1.3049373435440828,0.0035625
1364,1738,1.3093909711162937,0.003625
268,461,1.3140904465928713,0.0036875
142,302,1.316425339625984,0.00375
1540,1888,1.3170375621052237,0.0038125
33,124,1.3214799457211905,0.003875
2321,2765,1.3342144010152808,0.0039375
21,95,1.3377829917131128,0.004
2367,2807,1.3386716380973311,0.0040625
1855,2232,1.3470534068835107,0.004125
2142,2559,1.3564203829286257,0.0041875
1587,1944,1.3673662812485006,0.00425
2733,3152,1.3852133658586823,0.0043125
1899,2288,1.3895201628253773,0.004375
1973,2371,1.391932037279112,0.0044375
2317,2759,1.392963745894427,0.0045
46,142,1.395081828966128,0.0045625
92,240,1.395217247351145,0.004625
2900,3333,1.4212240441160446,0.0046875
13,61,1.4240306754514296,0.00475
1450,1801,1.4293424124727103,0.0048125
1170,1529,1.4303734061338638,0.004875
2654,3077,1.4359997367453161,0.0049375
50,146,1.440744345691988,0.005
9,32,1.4410472044855525,0.0050625
148,299,1.4647911137218825,0.005125
1726,2077,1.4657867818473775,0.0051875
513,759,1.4679925637456464,0.00525
453,692,1.4703625967093608,0.0053125
402,640,1.4809365123088423,0.005375
2655,3076,1.485695705307215,0.0054375
1145,1497,1.4889617054321107,0.0055
2674,3092,1.4957640279482476,0.0055625
1861,2224,1.4981298689898992,0.005625
675,919,1.516964142709238,0.0056875
1724,2071,1.51715514041895,0.00575
63,178,1.5204613026329028,0.0058125
1559,1905,1.520858375091649,0.005875
2881,3299,1.5220019038641226,0.0059375
486,734,1.5264316062238255,0.006
776,1035,1.5270239684852065,0.0060625
2366,2791,1.5368942019632286,0.006125
197,343,1.5469799466311898,0.0061875
1942,2322,1.5499032370638446,0.00625
1136,1489,1.5510844501868029,0.0063125
2778,3176,1.5533038164853252,0.006375
1083,1427,1.5544463449632993,0.0064375
310,513,1.5569573239730055,0.0065
11,33,1.5604459020959163,0.0065625
2110,2514,1.5715820432226053,0.006625
34,110,1.5752359469590151,0.0066875
404,636,1.580266906513204,0.00675
3167,3623,1.582193147421286,0.0068125
2273,2688,1.5929784910112659,0.006875
