,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
862,1006,1.9766703297161984e-05,6.25e-05
3646,3878,1.9766703297161984e-05,0.000125
6047,6369,1.9766703297161984e-05,0.0001875
6545,6624,1.9766703297161984e-05,0.00025
10027,10528,1.9766703297168868e-05,0.0003125
5734,6108,1.9776284830510098e-05,0.000375
9005,9178,1.9776284830516986e-05,0.0004375
10920,11320,1.9776284830516986e-05,0.0005
3759,3608,1.978587565729502e-05,0.0005625
7722,7845,1.9785875657301912e-05,0.000625
9273,9820,1.9785875657301912e-05,0.0006875
13386,13678,1.9785875657301912e-05,0.00075
14513,14697,1.9785875657301912e-05,0.0008125
13973,13715,1.979395028670115e-05,0.000875
5216,5574,1.9793950286708063e-05,0.0009375
2756,2823,1.9795475791044315e-05,0.001
4309,4567,1.9795475791044315e-05,0.0010625
5648,5797,1.9795475791044315e-05,0.001125
7783,7865,1.979547579105121e-05,0.0011875
8919,9542,1.979547579105121e-05,0.00125
10634,10179,1.979547579105121e-05,0.0013125
11213,11457,1.979547579105121e-05,0.001375
13302,13649,1.979547579105121e-05,0.0014375
12674,13306,1.9803582379298086e-05,0.0015
14823,14837,1.9803582379298086e-05,0.0015625
14987,15324,1.9803582379298086e-05,0.001625
379,459,1.9803582379304137e-05,0.0016875
3056,3144,1.9803582379305e-05,0.00175
6154,6323,1.9803582379305e-05,0.0018125
5519,5681,1.980508524531181e-05,0.001875
10028,10586,1.980508524531871e-05,0.0019375
10178,10473,1.980508524531871e-05,0.002
14760,14840,1.980508524531871e-05,0.0020625
14946,15422,1.980508524531871e-05,0.002125
11669,11927,1.981322385075831e-05,0.0021875
11788,11812,1.981322385075831e-05,0.00225
12712,13327,1.981322385075831e-05,0.0023125
61,66,1.9813223850764254e-05,0.002375
3788,3711,1.9814704033677674e-05,0.0024375
3868,4270,1.9814704033677674e-05,0.0025
6788,7007,1.9814704033677674e-05,0.0025625
10438,10848,1.9814704033684575e-05,0.002625
8989,9305,1.982287471478693e-05,0.0026875
9480,9680,1.982287471478693e-05,0.00275
9558,9581,1.982287471478693e-05,0.0028125
2104,2260,1.9824332169748462e-05,0.002875
5746,6318,1.9824332169748462e-05,0.0029375
10888,11260,1.9824332169755367e-05,0.003
11725,12062,1.9824332169755367e-05,0.0030625
14351,14051,1.9824332169755367e-05,0.003125
9470,9043,1.9832534985115774e-05,0.0031875
13428,14194,1.9832534985115774e-05,0.00325
13759,13371,1.9832534985115774e-05,0.0033125
4108,3912,1.98325349851227e-05,0.003375
3767,4110,1.9833969667157185e-05,0.0034375
6257,6348,1.9833969667157185e-05,0.0035
12144,12390,1.9833969667164094e-05,0.0035625
12640,12195,1.9833969667164094e-05,0.003625
13306,13480,1.9833969667164094e-05,0.0036875
14872,15089,1.9833969667164094e-05,0.00375
8034,8734,1.9842204675503448e-05,0.0038125
9627,10068,1.9842204675503448e-05,0.003875
11306,11545,1.9842204675503448e-05,0.0039375
11319,11570,1.9842204675503448e-05,0.004
14959,15455,1.9842204675503448e-05,0.0040625
1518,1530,1.9842204675508642e-05,0.004125
730,753,1.984220467550951e-05,0.0041875
2372,2655,1.9842204675510377e-05,0.00425
6240,6106,1.9842204675510377e-05,0.0043125
8491,8896,1.98518837997354e-05,0.004375
12028,12636,1.98518837997354e-05,0.0044375
13838,13981,1.98518837997354e-05,0.0045
14991,15073,1.98518837997354e-05,0.0045625
1074,1437,1.98518837997406e-05,0.004625
3518,4032,1.985188379974233e-05,0.0046875
4248,4578,1.985188379974233e-05,0.00475
4793,4936,1.985188379974233e-05,0.0048125
8221,8197,1.985218195015015e-05,0.004875
9010,8869,1.985218195015015e-05,0.0049375
11002,10891,1.985218195015015e-05,0.005
2033,2474,1.985218195015362e-05,0.0050625
3359,3652,1.985218195015362e-05,0.005125
2729,3022,1.9859956761462497e-05,0.0051875
3370,3663,1.9859956761462497e-05,0.00525
324,433,1.9859956761463886e-05,0.0053125
1956,1770,1.9859956761464347e-05,0.005375
12940,13407,1.98599567614662e-05,0.0054375
15348,15820,1.98599567614662e-05,0.0055
10777,10964,1.9861572371623996e-05,0.0055625
12399,12924,1.9861572371623996e-05,0.005625
12649,12814,1.9861572371623996e-05,0.0056875
5300,5532,1.986157237163093e-05,0.00575
6922,7328,1.986157237163093e-05,0.0058125
5056,4589,1.9861880133809236e-05,0.005875
5667,5925,1.9861880133809236e-05,0.0059375
6298,5579,1.9861880133809236e-05,0.006
7873,8207,1.9861880133809236e-05,0.0060625
12024,11763,1.9861880133809236e-05,0.006125
13654,14118,1.9861880133809236e-05,0.0061875
1645,1687,1.986188013381271e-05,0.00625
1901,2046,1.986188013381271e-05,0.0063125
2312,2135,1.986188013381271e-05,0.006375
1344,1498,1.9870305879109718e-05,0.0064375
10048,10301,1.9870305879111568e-05,0.0065
6981,7380,1.9871587797608753e-05,0.0065625
7262,6977,1.9871587797608753e-05,0.006625
10732,10935,1.9871587797608753e-05,0.0066875
12279,12453,1.9871587797608753e-05,0.00675
356,680,1.9871587797612226e-05,0.0068125
995,1279,1.9871587797612226e-05,0.006875
1520,1732,1.9871587797612226e-05,0.0069375
4431,4848,1.9880665788329043e-05,0.007
9920,9795,1.9880665788329043e-05,0.0070625
11081,11612,1.9880665788329043e-05,0.007125
12242,12606,1.9880665788329043e-05,0.0071875
12683,12403,1.9880665788329043e-05,0.00725
15676,15411,1.9880665788329043e-05,0.0073125
4147,4349,1.9881304955455993e-05,0.007375
5736,6097,1.9881304955455993e-05,0.0074375
12123,12009,1.9881304955455993e-05,0.0075
13196,13011,1.9881304955455993e-05,0.0075625
7932,8476,1.9886878879054178e-05,0.007625
12817,13184,1.9886878879054178e-05,0.0076875
391,530,1.9886878879058532e-05,0.00775
6428,7024,1.9886878879061144e-05,0.0078125
14632,15134,1.988687887906811e-05,0.007875
5118,4416,1.989103162128547e-05,0.0079375
6715,6913,1.989103162128547e-05,0.008
10316,10345,1.989103162128547e-05,0.0080625
11717,12282,1.989103162128547e-05,0.008125
13830,13869,1.989103162128547e-05,0.0081875
1801,1863,1.9891031621288948e-05,0.00825
13843,13965,1.9891031621299376e-05,0.0083125
14021,14398,1.9891031621299376e-05,0.008375
7,30,1.989103650600443e-05,0.0084375
15353,15487,1.9891036506006835e-05,0.0085
985,1139,1.9891895458128528e-05,0.0085625
1816,1706,1.9891895458128528e-05,0.008625
4497,4624,1.9891895458128528e-05,0.0086875
5261,5478,1.9891895458128528e-05,0.00875
11008,10998,1.9891895458128528e-05,0.0088125
11454,11733,1.9891895458128528e-05,0.008875
11955,11857,1.9896632130098344e-05,0.0089375
3314,3595,1.989663213010183e-05,0.009
1104,617,1.98966321301027e-05,0.0090625
4101,4400,1.9896632130105314e-05,0.009125
15713,15880,1.9896632130112283e-05,0.0091875
10460,10333,1.9900767809058984e-05,0.00925
2190,2567,1.9901418049064717e-05,0.0093125
9331,9654,1.9901418049068424e-05,0.009375
9619,10080,1.9901418049068424e-05,0.0094375
15255,15586,1.9901418049068424e-05,0.0095
6060,6532,1.9902304613260987e-05,0.0095625
7825,8114,1.9902304613260987e-05,0.009625
8519,7921,1.9902304613260987e-05,0.0096875
872,910,1.9902304613261915e-05,0.00975
3233,3538,1.9906394952540543e-05,0.0098125
4643,4982,1.9906394952544033e-05,0.009875
6959,6103,1.9910513532765673e-05,0.0099375
8507,9122,1.9910513532765673e-05,0.01
9370,9735,1.9910513532765673e-05,0.0100625
9401,9866,1.9910513532765673e-05,0.010125
14299,13803,1.991051353277959e-05,0.0101875
3289,3637,1.9911810434468927e-05,0.01025
3861,4023,1.9911810434468927e-05,0.0103125
7746,8130,1.9911810434472637e-05,0.010375
14818,14829,1.9911810434472637e-05,0.0104375
1803,1969,1.9912724668032326e-05,0.0105
2045,2212,1.9912724668032326e-05,0.0105625
9505,10108,1.9912724668032326e-05,0.010625
10947,11071,1.9912724668032326e-05,0.0106875
11211,11614,1.9912724668032326e-05,0.01075
11414,11712,1.9912724668032326e-05,0.0108125
12191,12562,1.9912724668032326e-05,0.010875
14055,14724,1.9912724668047207e-05,0.0109375
14555,14777,1.9912724668047207e-05,0.011
2451,2392,1.9916080225417913e-05,0.0110625
3505,3692,1.9916080225417913e-05,0.011125
4235,4529,1.9916080225417913e-05,0.0111875
7921,8310,1.991608022542496e-05,0.01125
14283,14301,1.991608022542496e-05,0.0113125
15458,15203,1.991608022542496e-05,0.011375
1070,1319,1.9916167360470118e-05,0.0114375
6847,7256,1.9916167360473608e-05,0.0115
14185,14165,1.9916167360480584e-05,0.0115625
15869,15995,1.9917983777578073e-05,0.011625
5567,5769,1.99202688064221e-05,0.0116875
6594,6940,1.99202688064221e-05,0.01175
9987,10400,1.99202688064221e-05,0.0118125
10498,10115,1.99202688064221e-05,0.011875
10842,10882,1.99202688064221e-05,0.0119375
11750,11595,1.99202688064221e-05,0.012
2564,2764,1.9922213679210028e-05,0.0120625
8538,9058,1.992221367921374e-05,0.012125
13251,13108,1.992221367921374e-05,0.0121875
13451,13576,1.992221367921374e-05,0.01225
4453,4639,1.992315563957137e-05,0.0123125
5745,5791,1.992315563957137e-05,0.012375
11264,11423,1.992315563957137e-05,0.0124375
13140,13770,1.992315563957137e-05,0.0125
8520,9118,1.9925949368011064e-05,0.0125625
6215,6698,1.9925949368018044e-05,0.012625
5140,5460,1.9925964136199757e-05,0.0126875
5894,6042,1.9925964136199757e-05,0.01275
9550,9621,1.992596413620681e-05,0.0128125
9835,9403,1.992596413620681e-05,0.012875
13878,13595,1.992596413620681e-05,0.0129375
15395,15673,1.992596413620681e-05,0.013
914,1093,1.9926694123296183e-05,0.0130625
4349,3965,1.9926694123297125e-05,0.013125
9616,9977,1.9926694123297125e-05,0.0131875
3562,3749,1.992832004315325e-05,0.01325
5362,5362,1.992832004315325e-05,0.0133125
670,856,1.9928320043154172e-05,0.013375
11359,10881,1.9928320043160626e-05,0.0134375
15264,15027,1.9928320043160626e-05,0.0135
2411,693,1.993262780031875e-05,0.0135625
13650,13379,1.9932627800321537e-05,0.013625
1834,1963,1.9933597545042845e-05,0.0136875
8686,8717,1.9933597545042845e-05,0.01375
9193,9399,1.9935740989322125e-05,0.0138125
13394,13855,1.9935740989322125e-05,0.013875
4666,4549,1.9935740989329108e-05,0.0139375
1828,2131,1.9935857862185956e-05,0.014
5850,5762,1.9935857862185956e-05,0.0140625
570,186,1.9935857862186396e-05,0.014125
7538,7085,1.993585786219301e-05,0.0141875
9594,9693,1.993585786219301e-05,0.01425
9865,9840,1.993585786219301e-05,0.0143125
11417,11759,1.993585786219301e-05,0.014375
15750,15696,1.993585786219301e-05,0.0144375
13943,14113,1.9937254109568916e-05,0.0145
14389,14999,1.9937254109568916e-05,0.0145625
7587,7649,1.993725410958398e-05,0.014625
9327,9413,1.993725410958398e-05,0.0146875
12380,12610,1.993725410958398e-05,0.01475
13529,13150,1.993725410958398e-05,0.0148125
7100,7374,1.9938667042137235e-05,0.014875
1262,1321,1.9938667042139082e-05,0.0149375
2014,2030,1.9938667042139082e-05,0.015
691,615,1.994374928501107e-05,0.0150625
2441,2296,1.994374928501107e-05,0.015125
5176,3035,1.994374928501107e-05,0.0151875
6442,6864,1.994374928501107e-05,0.01525
2226,2478,1.994405040164748e-05,0.0153125
2623,2763,1.994405040164748e-05,0.015375
5368,5714,1.994405040164748e-05,0.0154375
6620,7222,1.994405040164748e-05,0.0155
8889,8797,1.994405040164748e-05,0.0155625
9399,9607,1.994405040164748e-05,0.015625
9684,10156,1.994405040164748e-05,0.0156875
11622,11902,1.994405040164748e-05,0.01575
12474,12617,1.994405040164748e-05,0.0158125
12935,13618,1.994405040164748e-05,0.015875
15342,15743,1.9944050401662384e-05,0.0159375
7752,8164,1.9945542238579412e-05,0.016
10196,10022,1.9945542238579412e-05,0.0160625
1048,1325,1.9945542238582905e-05,0.016125
1393,1662,1.994576141800423e-05,0.0161875
2513,2556,1.994576141800423e-05,0.01625
8064,8660,1.994576141801129e-05,0.0163125
7999,8106,1.9947807857347862e-05,0.016375
9810,9589,1.9947807857347862e-05,0.0164375
10409,10794,1.9947807857347862e-05,0.0165
14403,14954,1.994782529414451e-05,0.0165625
362,247,1.994782529415911e-05,0.016625
1843,2200,1.994782529415958e-05,0.0166875
11401,11510,1.994782529415958e-05,0.01675
3698,3867,1.9949024791250035e-05,0.0168125
6919,7440,1.9949024791250035e-05,0.016875
