,Time (sec),request_completion
0,24.815722374701906,1
1,27.037578710859375,2
2,29.482767878262607,3
3,32.8027399155409,4
4,49.21846227339178,5
5,57.1989089233806,6
6,91.7535661675116,7
7,95.65240812715717,8
8,96.88166287609403,9
9,112.77014417343402,10
10,114.49920338681568,11
11,116.53236409569384,12
12,118.29851217628746,13
13,132.15127786791547,14
14,135.25572765029375,15
15,141.8173726154,16
16,147.75586151340588,17
17,156.24740970212517,18
18,181.55885469408474,19
19,182.0332115413094,20
20,196.88821205689825,21
21,220.59723250724863,22
22,228.4342640877288,23
23,233.85787771046685,24
24,264.35740635113484,25
25,266.5648067297668,26
26,273.0522989305433,27
27,275.53137415067204,28
28,299.0297500808093,29
29,314.06459478572606,30
30,331.1831568302985,31
31,355.2249917798587,32
32,358.92128589307134,33
33,399.7893362181047,34
34,406.6509052135731,35
35,419.17920215450994,36
36,442.23787265264554,37
37,475.05898156824463,38
38,481.6268569200537,39
39,511.1611056534294,40
40,514.6130553465547,41
41,516.1151104813125,42
42,521.2192622599357,43
43,522.8309425805983,44
44,523.5888818269589,45
45,524.5628843518119,46
46,550.8904082601333,47
47,557.1207547229992,48
48,561.0423066656875,49
49,598.0616253888578,50
50,607.1337697308687,51
51,613.2265793102018,52
52,615.686891614048,53
53,616.8082272942963,54
54,631.2459473103078,55
55,646.2773295583555,56
56,646.3557386139465,57
57,655.4652612405015,58
58,673.306728695829,59
59,685.1191571242941,60
60,698.631047477742,61
61,707.4901114721113,62
62,719.7256360364968,63
63,739.0765717102423,64
64,764.4342287708706,65
65,777.7218247865854,66
66,785.3451852286158,67
67,788.2941562970071,68
68,793.5148699188034,69
69,794.2374325653469,70
70,808.6214974595858,71
71,837.2261891145822,72
72,865.6949667764324,73
73,870.924385816294,74
74,882.1677237700345,75
75,928.7073625338742,76
76,934.8220809425261,77
77,935.970797360454,78
78,943.4445701223073,79
79,962.8396637079234,80
80,964.012421503803,81
81,967.6697233906759,82
82,1004.7486384220431,83
83,1007.1294455528231,84
84,1009.6216484960676,85
85,1045.31741432496,86
86,1050.1940194838476,87
87,1057.732480364804,88
88,1058.7626956403037,89
89,1062.8229476895792,90
90,1072.3374489383352,91
91,1074.3639529991829,92
92,1095.4059933147514,93
93,1103.4498977906471,94
94,1107.0538502607064,95
95,1108.029907642383,96
96,1148.055852819812,97
97,1160.6484977475754,98
98,1203.6867297004453,99
99,1228.3100242038486,100
100,1233.8230699183505,101
101,1244.2036340948125,102
102,1264.7997038606047,103
103,1273.9014412399638,104
104,1279.847743050472,105
105,1288.542522682731,106
106,1293.4003296219594,107
107,1304.7517521048817,108
108,1348.6375915952697,109
109,1373.3721272912085,110
110,1383.5642312259479,111
111,1392.3219280232408,112
112,1399.5984457283992,113
113,1423.9471681953466,114
114,1454.3094214873904,115
115,1468.2217559396956,116
116,1481.4376152736725,117
117,1489.601495760509,118
118,1505.6429729060562,119
119,1534.5473132240834,120
120,1535.5395850175717,121
121,1542.545228963432,122
122,1549.2266024524874,123
123,1551.9875187192656,124
124,1591.7075216590456,125
125,1617.9028487525727,126
126,1642.795757281657,127
127,1645.3842064807613,128
128,1677.7422921615062,129
129,1713.2672943630441,130
130,1714.9261702044575,131
131,1722.3703092625499,132
132,1731.8551092890496,133
133,1744.1627653657692,134
134,1766.79930828301,135
135,1776.0227855769756,136
136,1785.1396962579754,137
137,1785.7928733057342,138
