,Request Id,request_model_execution_time_normalized,cdf
300,398,0.019275469937283074,6.25e-05
876,948,0.019325445533385832,0.000125
8197,8218,0.019479570367467922,0.0001875
236,312,0.01960195705140085,0.00025
130,190,0.019602124617943,0.0003125
8173,8258,0.019691622957714813,0.000375
12072,12127,0.019721944207322012,0.0004375
8200,8274,0.019758290937698354,0.0005
859,716,0.019766994243267857,0.0005625
146,138,0.01979424581222682,0.000625
12232,12334,0.019804158390586347,0.0006875
8186,8162,0.019821871797466015,0.00075
1720,1831,0.019856257077410917,0.0008125
191,174,0.019873132586197453,0.000875
208,226,0.019876235997265065,0.0009375
373,366,0.019880383997185124,0.001
372,150,0.019887567305749677,0.0010625
1956,2042,0.019888743148083216,0.001125
111,130,0.01989314390053303,0.0011875
1925,2026,0.019897112299017302,0.00125
113,102,0.01989922273752302,0.0013125
270,191,0.01992078163672384,0.001375
3051,3134,0.01992886058154856,0.0014375
13987,14116,0.019936968510612958,0.0015
442,320,0.019946051308190906,0.0015625
1740,1802,0.019955878087848978,0.001625
2992,3126,0.019960268648645547,0.0016875
12032,12071,0.019967117826134917,0.00175
223,81,0.019967691422313975,0.0018125
245,186,0.01997355182915232,0.001875
1428,1496,0.01998259435375396,0.0019375
189,10,0.019987259385982073,0.002
758,780,0.019991725705103817,0.0020625
316,303,0.019995608837737665,0.002125
8064,8146,0.019996294401271573,0.0021875
162,70,0.019998746908269322,0.00225
872,816,0.020000925370002105,0.0023125
61,49,0.02001714906473537,0.002375
156,182,0.020018924410688022,0.0024375
745,676,0.020031318973183034,0.0025
82,22,0.020032017897587604,0.0025625
2016,2098,0.02003263084294018,0.002625
12313,12158,0.020042094434993288,0.0026875
12759,12873,0.02005329046226797,0.00275
15988,15971,0.02005505377203173,0.0028125
11982,12047,0.020058141096566645,0.002875
315,307,0.020063251355813237,0.0029375
15987,15978,0.020063511414928122,0.003
8351,8458,0.020064595332214063,0.0030625
275,288,0.02006596101280363,0.003125
7987,7962,0.02007438722341319,0.0031875
12726,12793,0.020077442577626343,0.00325
43,78,0.02008911505069182,0.0033125
12071,12119,0.020090945139517126,0.003375
12086,12111,0.020096063116026238,0.0034375
167,198,0.020106751775863015,0.0035
414,395,0.020107945231174717,0.0035625
12299,12276,0.02010921057278904,0.003625
9899,10021,0.020111628657482998,0.0036875
11902,12023,0.020116906231200212,0.00375
708,644,0.02011996678844672,0.0038125
500,235,0.020121138143462197,0.003875
8045,8082,0.020122583472224655,0.0039375
801,808,0.020123147594043485,0.004
160,206,0.02013376942756761,0.0040625
280,297,0.020136005074961123,0.004125
526,347,0.020141254218845578,0.0041875
2036,2058,0.020148869997009027,0.00425
254,247,0.020151953807715717,0.0043125
12817,12902,0.020155096097929343,0.004375
173,90,0.020157307979081225,0.0044375
3104,3166,0.020159028378195106,0.0045
659,652,0.020159064371879237,0.0045625
8097,8122,0.02016060914024231,0.004625
337,323,0.020160621013743583,0.0046875
954,772,0.02016325944421473,0.00475
1788,1820,0.020167384521025376,0.0048125
1889,1978,0.02016792441724183,0.004875
15991,15872,0.02016988959990446,0.0049375
285,155,0.020172198932970693,0.005
288,37,0.02017394808953474,0.0050625
863,905,0.020177429631971524,0.005125
15984,15584,0.020180496675848834,0.0051875
12346,12361,0.020182548215920443,0.00525
308,327,0.020184719267554985,0.0053125
15996,15288,0.020185202363547556,0.005375
9908,9997,0.02018751620112661,0.0054375
15995,15656,0.020189953041894713,0.0055
8055,8106,0.020195661399722852,0.0055625
8038,8098,0.020196126446746652,0.005625
307,360,0.0201984738610029,0.0056875
819,784,0.020204157726692575,0.00575
597,85,0.0202051916360066,0.0058125
776,805,0.02020879108606374,0.005875
3046,3102,0.020210089275828725,0.0059375
705,700,0.020211548756914374,0.006
46,54,0.020212262518674844,0.0060625
126,141,0.020212999462608027,0.006125
1033,1090,0.02021643141819424,0.0061875
359,121,0.020216630427567592,0.00625
8128,8065,0.02022070943032715,0.0063125
388,313,0.02022297882389424,0.006375
8133,8226,0.020224062377218847,0.0064375
299,287,0.020227666422998614,0.0065
8054,8050,0.020228352465814753,0.0065625
281,304,0.02022839817570516,0.006625
12055,12135,0.02022883247883295,0.0066875
804,897,0.02023700437164988,0.00675
