,Request Id,request_scheduling_delay,cdf
0,5,0.0,6.25e-05
4,3,0.0,0.000125
26,7,0.0,0.0001875
85,2,0.0,0.00025
106,6,0.0,0.0003125
113,4,0.0,0.000375
161,1,0.0,0.0004375
394,0,0.0,0.0005
56,92,0.00011170123762838102,0.0005625
44,83,0.00013734658659236842,0.000625
632,330,0.0001847890746873304,0.0006875
185,127,0.00021342688777536978,0.00075
464,505,0.0002368913809469575,0.0008125
723,763,0.00037446931674622874,0.000875
335,480,0.0004900717192626303,0.0009375
622,437,0.0005842381063985158,0.001
166,237,0.0005880289443744857,0.0010625
2756,75,0.0006355814895924183,0.001125
502,404,0.0006616859289501065,0.0011875
89,21,0.0006653511929765044,0.00125
488,379,0.0007272764509735907,0.0013125
184,275,0.0007363416219021701,0.001375
391,80,0.0007769141678823921,0.0014375
12,46,0.0007969073942017957,0.0015
340,433,0.0009463861691685338,0.0015625
246,336,0.0009572157675368231,0.001625
138,194,0.0010177568344253984,0.0016875
957,980,0.0010628063526567644,0.00175
793,928,0.0010649775454254495,0.0018125
902,156,0.001067677441545456,0.001875
895,416,0.0010962050576672766,0.0019375
744,448,0.001096699893921027,0.002
53,101,0.0011242746817226035,0.0020625
330,453,0.0011436628643792801,0.002125
584,37,0.0011780656401485512,0.0021875
444,376,0.001192163253318057,0.00225
929,872,0.001244921711368363,0.0023125
672,747,0.0012504552754109,0.002375
87,208,0.0012595677910578473,0.0024375
283,405,0.001266675383782001,0.0025
384,195,0.0012938541962341787,0.0025625
182,140,0.0013655614085719137,0.002625
377,317,0.0013730047984754634,0.0026875
151,302,0.001374600962245509,0.00275
709,771,0.0014051468559586056,0.0028125
579,728,0.001429448931315136,0.002875
263,387,0.0015571771559024228,0.0029375
919,1059,0.0015668201441982887,0.003
35,59,0.0015726918027905157,0.0030625
865,896,0.0016157532806602148,0.003125
601,488,0.00163203012871449,0.0031875
177,163,0.0016354529117785788,0.00325
364,467,0.0016913506246005738,0.0033125
188,233,0.0017261756574971088,0.003375
688,410,0.0017776222604055647,0.0034375
714,870,0.0018635738445098582,0.0035
73,100,0.001866298914349862,0.0035625
225,115,0.0018802946599363324,0.003625
32,24,0.0018970615897866416,0.0036875
141,206,0.0019609004125147322,0.00375
3369,487,0.0019672892994435642,0.0038125
68,158,0.0019673898044931803,0.003875
274,360,0.0019723189802967056,0.0039375
120,120,0.0019781134156566793,0.004
3,25,0.0020289730161364705,0.0040625
10,33,0.002125881250687911,0.004125
443,395,0.002146895443566166,0.0041875
72,43,0.002210539229420716,0.00425
296,440,0.00221466993405528,0.0043125
468,478,0.0022523317771252493,0.004375
855,944,0.00228581785370352,0.0044375
112,60,0.0023255066719882755,0.0045
806,848,0.0023701015377568524,0.0045625
554,736,0.002372161068226575,0.004625
1062,920,0.0024396308059948524,0.0046875
914,9,0.0024436166749733923,0.00475
57,45,0.0024971591461988574,0.0048125
115,176,0.002512540851036249,0.004875
372,329,0.0025570308190960844,0.0049375
272,361,0.0025886504131094057,0.005
327,394,0.0026090762334298745,0.0050625
952,965,0.0026814094550076106,0.005125
86,29,0.0026814128703738227,0.0051875
206,164,0.0027828527722757457,0.00525
451,622,0.0028418125975093744,0.0053125
62,178,0.0028575926656255746,0.005375
172,119,0.002900407673405603,0.0054375
285,210,0.002942396476916187,0.0055
137,141,0.00295872638318162,0.0055625
710,864,0.0030054698665082924,0.005625
153,200,0.003077295225155652,0.0056875
385,409,0.0030829829243792517,0.00575
21,96,0.0030930304368390615,0.0058125
13,82,0.003094797913558711,0.005875
320,189,0.003106809839243496,0.0059375
556,447,0.003117573395488904,0.006
740,854,0.0031259766176532366,0.0060625
195,196,0.0031860798385050515,0.006125
871,968,0.0033180788537876538,0.0061875
854,972,0.003327920240394633,0.00625
325,383,0.0033608064300594265,0.0063125
4136,590,0.0033726479403988208,0.006375
169,319,0.0034058908208418615,0.0064375
841,963,0.003429781768197415,0.0065
371,307,0.003434605922816303,0.0065625
778,952,0.0034624510644505335,0.006625
256,290,0.0034816933010599627,0.0066875
37,94,0.0035020188877599168,0.00675
449,458,0.003579310280699133,0.0068125
127,201,0.003661544255477267,0.006875
311,354,0.0037641321649033443,0.0069375
221,325,0.0037720706856063657,0.007
633,121,0.003788023730628254,0.0070625
295,443,0.003813414968082185,0.007125
319,363,0.003896575698632887,0.0071875
18,34,0.003947644177531018,0.00725
3044,846,0.003952679358135924,0.0073125
3709,988,0.004059848151158008,0.007375
197,246,0.004115652069918596,0.0074375
108,213,0.004156287042263784,0.0075
406,316,0.004163318345234757,0.0075625
572,477,0.004204617266601929,0.007625
176,162,0.004205262015244848,0.0076875
217,199,0.0042186547774694105,0.00775
163,99,0.004218988635044774,0.0078125
50,87,0.0042278385065155355,0.007875
417,438,0.004245583993125024,0.0079375
55,123,0.004347527509166227,0.008
662,832,0.004367387454308869,0.0080625
701,792,0.004385565507000422,0.008125
59,114,0.004411389539127342,0.0081875
247,132,0.004422275366398054,0.00825
336,392,0.0044408846043388905,0.0083125
418,366,0.004445665173033575,0.008375
2120,234,0.004686643863079709,0.0084375
474,667,0.004703927199091851,0.0085
181,129,0.004807129880056493,0.0085625
94,12,0.004827430999084559,0.008625
230,226,0.004833180622528133,0.0086875
664,800,0.004835387507306166,0.00875
244,345,0.00492215911589966,0.0088125
497,575,0.004941807800939557,0.008875
254,216,0.0049505135884544416,0.0089375
383,306,0.004959393182440763,0.009
752,678,0.005018087560859641,0.0090625
640,888,0.005020887085152026,0.009125
212,286,0.005042205714028469,0.0091875
165,143,0.005103430186343516,0.00925
476,454,0.005136918836608828,0.0093125
214,221,0.005160598446011022,0.009375
712,880,0.005166346438556957,0.0094375
205,147,0.005179286799539717,0.0095
100,151,0.005224092406538539,0.0095625
145,93,0.0053008186836134286,0.009625
208,291,0.005427668629607751,0.0096875
623,324,0.005506387996693007,0.00975
255,280,0.005566602712788082,0.0098125
140,102,0.005639202243285624,0.009875
81,63,0.005858486429297205,0.0099375
116,41,0.005866205835123317,0.01
41,78,0.005918277117652249,0.0100625
276,245,0.005928274169079373,0.010125
213,149,0.005928366632200088,0.0101875
402,276,0.005938190542920552,0.01025
133,152,0.00594819384151446,0.0103125
373,10,0.006019185043843411,0.010375
480,313,0.006111758346904139,0.0104375
500,483,0.006114942967968773,0.0105
729,843,0.006143809060240812,0.0105625
625,150,0.006152945883181715,0.010625
243,153,0.006153877379833084,0.0106875
1052,85,0.006155908505157903,0.01075
93,79,0.006164576969801772,0.0108125
387,429,0.006168279348962358,0.010875
60,97,0.006172867735475762,0.0109375
467,479,0.006207302887169419,0.011
264,247,0.006259482559777041,0.0110625
200,185,0.006280537133470432,0.011125
292,461,0.006318493283082205,0.0111875
413,449,0.0063390988486098365,0.01125
38,108,0.006346440730530922,0.0113125
499,662,0.006373930642890713,0.011375
299,430,0.006380772647478494,0.0114375
121,137,0.006417101001750858,0.0115
362,349,0.006502985914446313,0.0115625
461,476,0.006505656392981507,0.011625
331,481,0.006555363362519273,0.0116875
189,76,0.0065801915931920085,0.01175
31,89,0.0065939730780422146,0.0118125
544,421,0.006621237544937486,0.011875
884,989,0.006681411664615666,0.0119375
288,90,0.006770423044857754,0.012
393,353,0.006774762662416833,0.0120625
949,830,0.006867107867549294,0.012125
48,69,0.0069773933793571,0.0121875
119,77,0.006994588200571972,0.01225
142,264,0.007157279519610427,0.0123125
275,358,0.007229535096783479,0.012375
192,239,0.007329223339670676,0.0124375
101,255,0.007340441816300114,0.0125
2675,223,0.007359979330276545,0.0125625
563,696,0.007375639305145398,0.012625
215,298,0.00743213871128745,0.0126875
1034,1056,0.007460013742871752,0.01275
791,957,0.007464641250855664,0.0128125
875,964,0.007466580380395271,0.012875
2,20,0.007505873471260305,0.0129375
369,293,0.007527012394016097,0.013
260,273,0.007548221944905009,0.0130625
75,86,0.007583072611409225,0.013125
34,110,0.007627455612434275,0.0131875
2937,397,0.007640278182279303,0.01325
1526,840,0.007655944032897821,0.0133125
956,816,0.007702305125214082,0.013375
84,179,0.007710521426502304,0.0134375
397,112,0.00771518476246591,0.0135
615,796,0.00772828857400043,0.0135625
524,614,0.007800876619509012,0.013625
308,321,0.007813200538510756,0.0136875
258,328,0.007821809825463433,0.01375
262,242,0.00795981200087148,0.0138125
224,318,0.008023314299544282,0.013875
45,126,0.008061699276656675,0.0139375
64,27,0.008100146962452981,0.014
845,996,0.008125889236133332,0.0140625
400,452,0.00831968645017156,0.014125
493,369,0.008373740264023155,0.0141875
39,116,0.008420076493168338,0.01425
630,683,0.008423583127964207,0.0143125
496,500,0.00846530006046109,0.014375
160,193,0.008479840519568071,0.0144375
51,91,0.00849346345833002,0.0145
70,73,0.0085004583999031,0.0145625
840,579,0.008501371464070928,0.014625
353,401,0.008508411316530129,0.0146875
370,501,0.008705647037768216,0.01475
273,374,0.008741970202166272,0.0148125
19,131,0.0087549596803278,0.014875
937,976,0.008755786665510357,0.0149375
2285,342,0.008780221674721034,0.015
238,278,0.008781313225671994,0.0150625
237,301,0.008816672352718768,0.015125
28,57,0.008853026155734689,0.0151875
235,357,0.00889128981850007,0.01525
297,378,0.008937290755486771,0.0153125
338,560,0.009006726979428947,0.015375
147,180,0.00906434184252003,0.0154375
2217,699,0.009140413792454893,0.0155
3272,377,0.009207592536647269,0.0155625
135,258,0.009238943394835886,0.015625
916,984,0.009243528631060371,0.0156875
99,47,0.009270804425181467,0.01575
268,380,0.009285136974845898,0.0158125
302,292,0.009314769374499932,0.015875
313,136,0.009360468855160065,0.0159375
42,15,0.009371973930071109,0.016
300,411,0.009418744294851678,0.0160625
341,388,0.00946158135263886,0.016125
964,1075,0.009473122906925369,0.0161875
705,739,0.009524889308725193,0.01625
204,334,0.009530170769110669,0.0163125
403,450,0.009535941931861913,0.016375
1203,940,0.009558397924379847,0.0164375
702,715,0.009611586239600456,0.0165
414,434,0.009660051046367357,0.0165625
431,139,0.009671290808929811,0.016625
396,459,0.009697207594097534,0.0166875
170,268,0.009766526850802038,0.01675
14,61,0.009819341364525336,0.0168125
769,787,0.009824505566605524,0.016875
199,350,0.009955898437953081,0.0169375
8,32,0.009959687178557441,0.017
74,166,0.009985810888690771,0.0170625
16,53,0.009991736058992284,0.017125
904,760,0.010018555679124574,0.0171875
398,277,0.010109304981570588,0.01725
323,274,0.010224741503989776,0.0173125
104,133,0.01023036942106792,0.017375
2336,187,0.010296971732641325,0.0174375
578,704,0.010333614479048236,0.0175
790,973,0.010503768792183621,0.0175625
347,341,0.010518048540927083,0.017625
309,327,0.010518103341103924,0.0176875
816,949,0.010584339981043911,0.01775
155,224,0.010623632580466946,0.0178125
515,583,0.010756479173359423,0.017875
2668,598,0.010780181011735834,0.0179375
802,779,0.010781257609423278,0.018
346,346,0.010839754782143274,0.0180625
759,822,0.01085063405412967,0.018125
337,423,0.010852227046868279,0.0181875
110,240,0.010896576823608228,0.01825
683,347,0.010925928365734805,0.0183125
564,600,0.010935901648025492,0.018375
2283,827,0.010970857995687311,0.0184375
30,154,0.01099205262862224,0.0185
542,550,0.011031944013726758,0.0185625
240,225,0.01105629459375912,0.018625
351,310,0.011063057887250594,0.0186875
126,148,0.011063434273322237,0.01875
123,84,0.011075083160763999,0.0188125
219,207,0.011089417993236594,0.018875
457,485,0.011139165243378102,0.0189375
458,599,0.01117298861887761,0.019
866,997,0.01122640361808891,0.0190625
47,118,0.011252654984551747,0.019125
267,241,0.011287858241733062,0.0191875
125,222,0.011317408862650424,0.01925
22,74,0.011482183131187096,0.0193125
150,262,0.011534788883853508,0.019375
307,468,0.011538863961174428,0.0194375
401,382,0.011755460668187112,0.0195
641,415,0.011815470336348,0.0195625
798,835,0.011818606273891419,0.019625
375,331,0.01182281330847701,0.0196875
82,106,0.011830355881935262,0.01975
374,503,0.011835007927054164,0.0198125
61,54,0.011869128149518904,0.019875
315,308,0.011917983136427779,0.0199375
128,55,0.011985251840871847,0.02
691,446,0.012022764922900109,0.0200625
462,355,0.012062043690349356,0.020125
149,88,0.012262359309496595,0.0201875
232,260,0.01226565739669283,0.02025
888,954,0.012360746346857354,0.0203125
603,587,0.0125573619338617,0.020375
277,266,0.012561541493756323,0.0204375
634,332,0.012650044961963758,0.0205
6,30,0.012655045257368602,0.0205625
46,117,0.012660914771872811,0.020625
2805,1032,0.012686765932514277,0.0206875
357,412,0.012740384799577953,0.02075
407,484,0.012778307418589208,0.0208125
419,155,0.012948443869265525,0.020875
131,68,0.0129543775636205,0.0209375
25,11,0.012979758477337566,0.021
581,672,0.012989260969217042,0.0210625
111,190,0.013092142089484504,0.021125
287,367,0.013250784996657217,0.0211875
553,608,0.013269666182164741,0.02125
405,456,0.013330044158223586,0.0213125
234,219,0.013351379383612638,0.021375
304,375,0.013432485560318952,0.0214375
198,230,0.01344815120138243,0.0215
69,135,0.013509918488820993,0.0215625
4052,1016,0.013525673471022515,0.021625
