,Request Id,request_execution_plus_preemption_time,cdf
10283,10509,0.2431776253216525,6.25e-05
520,751,0.24460119441644598,0.000125
13178,13361,0.5575702329659596,0.0001875
7317,7610,0.6026987413520172,0.00025
9803,9973,0.6212809724662303,0.0003125
11573,11789,0.625851846662314,0.000375
5462,5848,0.670015836388812,0.0004375
8155,8536,0.6820748072238825,0.0005
10927,11214,0.7252726666613819,0.0005625
12648,13030,0.7336786791459465,0.000625
6497,6379,0.7342068154172146,0.0006875
4670,5076,0.7594664723502755,0.00075
12755,12491,0.7729987133754705,0.0008125
3107,3335,0.7947518862865435,0.000875
5649,6032,0.8004381166366175,0.0009375
3919,4073,0.8067708279744152,0.001
10829,11148,0.8473576842831535,0.0010625
12992,13450,0.8474923031421099,0.001125
3421,3571,0.904086708299142,0.0011875
628,888,0.9158863298582389,0.00125
11678,11853,0.9331866850480983,0.0013125
3729,4032,0.9352764986636752,0.001375
15661,15999,0.9606553469276067,0.0014375
14931,15303,1.001255540274359,0.0015
6457,6966,1.0069413351155272,0.0015625
14956,15434,1.024431364436452,0.001625
4577,4665,1.029083432338998,0.0016875
5853,5835,1.0339791742699806,0.00175
6003,6412,1.0418960877066636,0.0018125
4805,5007,1.049386383657824,0.001875
6899,6949,1.0555673695802181,0.0019375
12547,12299,1.084747310824803,0.002
13106,13494,1.086450652387517,0.0020625
10816,11045,1.0887647571921966,0.002125
2840,3071,1.098577838283497,0.0021875
10714,11020,1.1064616283646571,0.00225
7376,7607,1.1172734713942765,0.0023125
12261,12735,1.1190410143540095,0.002375
386,627,1.1212272443569633,0.0024375
11254,11067,1.1309994262012042,0.0025
14215,14623,1.1393336495914264,0.0025625
13328,13772,1.1465227372359055,0.002625
11605,11864,1.1501899436679732,0.0026875
10082,10428,1.157697813633324,0.00275
14491,14988,1.1700036115800099,0.0028125
15684,15865,1.1899904121681302,0.002875
4297,4686,1.1949829092137603,0.0029375
8804,9230,1.2053023319125147,0.003
8512,8379,1.210759115637639,0.0030625
5295,5389,1.2184582710641618,0.003125
2723,2861,1.2208984678732997,0.0031875
6572,7024,1.2248747417464285,0.00325
1886,2087,1.231137137541327,0.0033125
13300,13464,1.25060430009573,0.003375
9038,9265,1.253865433249357,0.0034375
9017,9458,1.2612020181211478,0.0035
14640,14752,1.2702051899694333,0.0035625
15061,15538,1.3015649868764356,0.003625
6688,6911,1.3040157918880613,0.0036875
2349,2559,1.3085452775447504,0.00375
12567,12661,1.3151210942822162,0.0038125
15791,15992,1.3290252423464892,0.003875
5147,5378,1.3321645001951952,0.0039375
1891,2210,1.33436708151613,0.004
13914,13683,1.3460902310268752,0.0040625
2508,2651,1.349967811614713,0.004125
3220,3333,1.35336442897001,0.0041875
5747,5841,1.3536234833942677,0.00425
1002,1235,1.3568937679390303,0.0043125
7585,8000,1.3578395196759592,0.004375
13067,13240,1.3584371706104146,0.0044375
5526,5982,1.362938256793295,0.0045
8283,8734,1.3740749705966864,0.0045625
10412,10688,1.3742822735512272,0.004625
1896,2077,1.3774571763948125,0.0046875
15654,15833,1.3781459617250023,0.00475
2729,2921,1.3823540328075914,0.0048125
7398,7275,1.3824446291388721,0.004875
13831,14238,1.384907092920122,0.0049375
14276,14718,1.395020659873255,0.005
12962,13380,1.3970169390995095,0.0050625
10100,10185,1.4122721028708272,0.005125
3660,3795,1.4130476337143212,0.0051875
11494,11876,1.414701514860147,0.00525
8285,8640,1.421505265036978,0.0053125
3216,3393,1.4217638088192497,0.005375
12363,12772,1.4263029809694439,0.0054375
6236,6139,1.433687273694408,0.0055
358,569,1.4357552616490965,0.0055625
3354,3537,1.4383408437782874,0.005625
10180,10381,1.4453831820386671,0.0056875
3881,4246,1.4517632433271104,0.00575
4734,4781,1.4553594530462703,0.0058125
9562,9942,1.4583399111525446,0.005875
5642,6016,1.4596011535851763,0.0059375
3646,3898,1.4722415778658535,0.006
7875,8186,1.4751829561223657,0.0060625
4333,4726,1.481398857748523,0.006125
2092,2277,1.4833683541567342,0.0061875
13777,13781,1.4972970616765526,0.00625
8007,8021,1.503060677575852,0.0063125
8697,9122,1.5080731453336584,0.006375
2082,2364,1.5163667989103187,0.0064375
8362,8599,1.516956616369914,0.0065
5244,5321,1.5183610788731585,0.0065625
3889,4111,1.5309214928533803,0.006625
10198,10535,1.5330849718584965,0.0066875
10042,9899,1.5348730946050122,0.00675
11041,11304,1.537148263325242,0.0068125
13184,13663,1.5396067721311524,0.006875
14506,14946,1.5422071124132684,0.0069375
1821,2120,1.544732003839803,0.007
4673,4863,1.5494591933785191,0.0070625
10109,10193,1.5649049516863354,0.007125
6037,6215,1.567544755812869,0.0071875
8368,8607,1.5716020613522579,0.00725
7452,7687,1.5818399817614097,0.0073125
14452,14902,1.5819101479694089,0.007375
13843,14246,1.5819664668931166,0.0074375
11840,11937,1.5829910261664741,0.0075
602,801,1.5978087251886286,0.0075625
1915,2232,1.5999381423978476,0.007625
4483,4517,1.6005411140606902,0.0076875
11619,12114,1.600954137352558,0.00775
3726,3797,1.6017589907636116,0.0078125
9441,9858,1.604862865919631,0.007875
11103,11428,1.609359469745218,0.0079375
6691,6749,1.6143254076870261,0.008
7551,7900,1.614355448185029,0.0080625
10088,10352,1.6206115569371418,0.008125
8704,8951,1.6235253894566257,0.0081875
6328,6449,1.624532601275153,0.00825
8380,8235,1.6256236265779627,0.0083125
1605,1866,1.626750396881695,0.008375
4226,4455,1.629147138746579,0.0084375
611,809,1.6323369128242073,0.0085
14920,15382,1.634607247031848,0.0085625
4841,5023,1.6349708064304682,0.008625
430,642,1.6353956185880683,0.0086875
15382,15139,1.638015740135219,0.00875
6701,6539,1.640262086674447,0.0088125
4992,5057,1.6422774157141746,0.008875
6566,6775,1.6448090232611756,0.0089375
14016,14423,1.6451986227803292,0.009
12731,13223,1.64572203651414,0.0090625
15167,15109,1.6494454832856449,0.009125
8072,8448,1.6504414667084375,0.0091875
4077,4452,1.6508943822258557,0.00925
8143,8504,1.6569324426555765,0.0093125
337,560,1.658084609908959,0.009375
8258,8686,1.6596342172650336,0.0094375
6625,6753,1.667590365515376,0.0095
1671,1905,1.6724989861094155,0.0095625
1908,2224,1.6768517268417957,0.009625
10797,11234,1.6784093265947142,0.0096875
1602,1849,1.6803385234441657,0.00975
8843,8715,1.6872797024989494,0.0098125
2597,2807,1.6876373997594052,0.009875
5906,6350,1.6877451384451996,0.0099375
2909,3176,1.694477274820712,0.01
3426,3718,1.6949310214256776,0.0100625
9436,9533,1.6969112772915342,0.010125
12661,13151,1.7003322418648406,0.0101875
13315,13472,1.7068818397666992,0.01025
1166,1397,1.7153137999735057,0.0103125
5408,5485,1.7157738453643796,0.010375
9841,9989,1.7235025806601494,0.0104375
10896,11204,1.729875722253722,0.0105
13960,14375,1.7326284925144408,0.0105625
15819,15627,1.7415188243820248,0.010625
8993,9201,1.746433128689784,0.0106875
8000,8193,1.7470341133626566,0.01075
6610,6831,1.7484646115548863,0.0108125
10389,10589,1.7488555015808092,0.010875
15780,15977,1.751931356784278,0.0109375
6950,7121,1.754500869516848,0.011
3404,3623,1.7549682169076573,0.0110625
1881,2071,1.7554152454099792,0.011125
5134,5540,1.7554327165232946,0.0111875
7462,7695,1.7633670674504462,0.01125
