,Request Id,request_execution_plus_preemption_time,cdf
606,751,0.1753184876825243,6.25e-05
8344,8536,0.3457778771273808,0.000125
5662,5848,0.4389127543263456,0.0001875
3836,4073,0.5396883557896075,0.00025
13170,13361,0.5541688772409792,0.0003125
10312,10509,0.5671296492540712,0.000375
10992,11214,0.5771994075930613,0.0004375
15358,15538,0.6018361365135894,0.0005
6574,6775,0.6086469822684695,0.0005625
744,888,0.6407643231367024,0.000625
66,168,0.6437488198606223,0.0006875
5829,6032,0.6674932547889552,0.00075
1957,2120,0.6753506395066797,0.0008125
45,131,0.6887104863250673,0.000875
12816,13030,0.6892836738747168,0.0009375
9779,9973,0.6926574577697786,0.001
11601,11789,0.7274166074766041,0.0010625
11652,11853,0.7401479477414794,0.001125
11952,12114,0.7514876221650792,0.0011875
15802,15999,0.7575273729000243,0.00125
14068,14238,0.7710592826543627,0.0013125
484,642,0.781605398907389,0.001375
12316,12491,0.7837729963347406,0.0014375
12563,12735,0.7847363784215758,0.0015
4,25,0.8219365150017623,0.0015625
11683,11876,0.8482712910925468,0.001625
2874,3071,0.8556614859317835,0.0016875
4466,4686,0.8706664039836711,0.00175
8195,8379,0.8991139186487731,0.0018125
13088,13254,0.9043913891780085,0.001875
4264,4472,0.9153940276904828,0.0019375
5867,6072,0.9198462550183351,0.002
4878,5076,0.9216967127703324,0.0020625
9805,9989,0.9223525012169436,0.002125
15125,15303,0.9250745788569649,0.0021875
13269,13450,0.9405075314159712,0.00225
15611,15805,0.9462287876848555,0.0023125
13082,13240,0.9465523901532056,0.002375
4855,5057,0.9609389599313305,0.0024375
13311,13494,0.9635106101100803,0.0025
7844,8021,0.9847965797139663,0.0025625
3145,3335,0.9955635161307106,0.002625
2092,2277,0.9992735544157985,0.0026875
1723,1866,0.9994532837801821,0.00275
10820,11020,1.0007488663268833,0.0028125
1668,1823,1.007451887766631,0.002875
12137,12299,1.0331131496367458,0.0029375
11669,11864,1.0346670060410386,0.003
13589,13772,1.037182298138596,0.0030625
5196,5389,1.0373386594070761,0.003125
3,20,1.0575113768251252,0.0031875
7432,7610,1.064313686041107,0.00325
6168,6379,1.0717802630864695,0.0033125
3616,3795,1.078518977502381,0.003375
6122,6350,1.0881441601839088,0.0034375
7427,7607,1.088290732945893,0.0035
15678,15865,1.1086490298635825,0.0035625
3538,3718,1.1121488990306059,0.003625
15260,15434,1.112955924871232,0.0036875
806,939,1.1175524114199338,0.00375
10928,11148,1.1185240676616837,0.0038125
1925,2087,1.124651794981947,0.003875
4570,4781,1.131922233995828,0.0039375
15639,15833,1.1329759156108938,0.004
3868,4090,1.1346280715581876,0.0040625
14095,14262,1.1353339076532496,0.004125
14928,15109,1.1394738025910536,0.0041875
13028,13174,1.1422707829251637,0.00425
11764,11937,1.1446472909658625,0.0043125
3361,3571,1.1456464147860643,0.004375
12831,13041,1.152272272706321,0.0044375
8565,8734,1.1532133009563617,0.0045
6373,6539,1.1556777331735877,0.0045625
5658,5835,1.1604824007850472,0.004625
688,809,1.1820522376522868,0.0046875
7598,7784,1.1830960876184942,0.00475
9097,9265,1.1850333698902387,0.0048125
434,569,1.2070469669201618,0.004875
477,627,1.209548109470115,0.0049375
7024,7216,1.2110949591485336,0.005
8550,8715,1.2186201642867243,0.0050625
422,560,1.2286860944634415,0.005125
14693,14902,1.2309152682201974,0.0051875
14976,15139,1.234353304610218,0.00525
14079,14246,1.2355051686437237,0.0053125
7862,8026,1.2381155575804224,0.005375
3813,4032,1.239371346698964,0.0054375
6754,6949,1.244126654146951,0.0055
14,65,1.2462319273435827,0.0055625
9757,9942,1.2484532305512448,0.005625
13513,13683,1.2532778594018636,0.0056875
11025,11227,1.2610834164965437,0.00575
14487,14718,1.2622773533838263,0.0058125
12822,13020,1.2643704505457367,0.005875
8298,8448,1.2660513072371664,0.0059375
1717,1849,1.268244701819409,0.006
8929,9122,1.2684396004190903,0.0060625
10841,11045,1.2750608609815568,0.006125
2441,2622,1.2837447571285328,0.0061875
4309,4517,1.2881632456187184,0.00625
1856,2014,1.2881934617214963,0.0063125
2378,2559,1.289190786157595,0.006375
4819,5023,1.2936449629862081,0.0064375
10344,10535,1.3019440763371888,0.0065
6971,7164,1.3040719882665117,0.0065625
10188,10369,1.3069103368729929,0.006625
531,675,1.3073277125081493,0.0066875
5305,5485,1.3104728425925725,0.00675
1,8,1.3181906343408425,0.0068125
4459,4665,1.3208357424592174,0.006875
12039,12182,1.3225120003275133,0.0069375
2746,2921,1.3236493727717022,0.007
8764,8930,1.3262763850814765,0.0070625
728,845,1.3269388440917806,0.007125
4072,4246,1.327226947437378,0.0071875
12618,12772,1.3332279066031507,0.00725
3906,4111,1.3402530911137294,0.0073125
1238,1416,1.34430884555247,0.007375
15817,15992,1.3453591911818188,0.0074375
9333,9504,1.347758832128755,0.0075
9703,9899,1.3514506088052292,0.0075625
1568,1738,1.3546973744464519,0.007625
1922,2077,1.355519368072372,0.0076875
3077,3249,1.359017903261106,0.00775
7514,7687,1.3634536263578827,0.0078125
10326,10508,1.3638215554513398,0.007875
6245,6412,1.3643984548574752,0.0079375
2534,2719,1.3662253800366138,0.008
1220,1394,1.3693062634737039,0.0080625
9856,10018,1.3718116905083078,0.008125
2579,2750,1.3720513294632681,0.0081875
68,154,1.372347018082999,0.00825
10173,10352,1.3794879798193556,0.0083125
681,801,1.381511743537826,0.008375
3195,3393,1.3881662123058462,0.0084375
6942,7121,1.4001948031309028,0.0085
7495,7667,1.404659641621474,0.0085625
14822,14988,1.4066343710758082,0.008625
8541,8700,1.4109190148961641,0.0086875
4592,4785,1.410955605854508,0.00875
6298,6449,1.4123125855302265,0.0088125
9271,9458,1.4158558562338266,0.008875
257,350,1.4160486017506124,0.0089375
13936,14100,1.420292211608376,0.009
5828,6016,1.421759946059063,0.0090625
6847,7017,1.4257827003916308,0.009125
9174,9362,1.4258171529562988,0.0091875
14573,14789,1.4275204582999215,0.00925
2592,2759,1.4290408475585037,0.0093125
10212,10381,1.4353776375727425,0.009375
5801,5982,1.4402332091576278,0.0094375
1919,2071,1.4404671800938558,0.0095
11399,11601,1.4409726976697208,0.0095625
13682,13839,1.4420307093736588,0.009625
2476,2651,1.443477043318277,0.0096875
10737,10941,1.4556333719099295,0.00975
4187,4383,1.4568973154596998,0.0098125
10447,10688,1.4589940279407179,0.009875
3463,3635,1.4639281952390713,0.0099375
14193,14372,1.4757620842597277,0.01
6719,6911,1.4775276448788766,0.0100625
4255,4452,1.4813970581078428,0.010125
2288,2469,1.4823811428604001,0.0101875
6784,6966,1.4856106239738125,0.01025
7191,7383,1.4867385695826894,0.0103125
8027,8186,1.489998547877904,0.010375
13287,13464,1.4955891761272713,0.0104375
5377,5558,1.4961770410091721,0.0105
1768,1927,1.4983670554714648,0.0105625
6559,6749,1.5024109527936154,0.010625
5402,5589,1.5045518538079474,0.0106875
12443,12600,1.5078831440081641,0.01075
9122,9299,1.5084413743366132,0.0108125
7,42,1.5088001389968935,0.010875
0,5,1.5126750724309517,0.0109375
13210,13389,1.5176222675454656,0.011
5406,5597,1.5236671080503557,0.0110625
10033,10226,1.5257491396327778,0.011125
5939,6139,1.527028188389878,0.0111875
5192,5378,1.529014159367168,0.01125
3629,3797,1.5295477086192109,0.0113125
13030,13172,1.5324705150425384,0.011375
11661,11850,1.5341886781544771,0.0114375
6313,6463,1.5435486995061387,0.0115
1377,1529,1.5436629164202307,0.0115625
2679,2861,1.54693473144995,0.011625
5209,5393,1.548718578408966,0.0116875
2387,2567,1.5511937322362193,0.01175
14263,14423,1.5527899897065476,0.0118125
8633,8813,1.5587682899052497,0.011875
12016,12149,1.5596351221851568,0.0119375
7976,8126,1.5623623085597544,0.012
