,Request Id,request_scheduling_delay,cdf
0,5,0.0,6.700616456714018e-05
1,8,0.0,0.00013401232913428035
4,3,0.0,0.00020101849370142053
7,13,0.0,0.0002680246582685607
17,7,0.0,0.0003350308228357009
19,11,0.0,0.00040203698740284106
21,15,0.0,0.00046904315196998124
55,2,0.0,0.0005360493165371214
57,14,0.0,0.0006030554811042616
73,6,0.0,0.0006700616456714018
87,12,0.0,0.0007370678102385419
88,4,0.0,0.0008040739748056821
89,1,0.0,0.0008710801393728223
197,10,0.0,0.0009380863039399625
241,186,0.0,0.0010050924685071027
257,0,0.0,0.0010720986330742428
267,350,0.0,0.001139104797641383
279,139,0.0,0.0012061109622085232
337,331,0.0,0.0012731171267756634
566,9,0.0,0.0013401232913428035
878,755,0.0,0.0014071294559099437
1590,1565,0.0,0.0014741356204770839
1752,1839,0.0,0.001541141785044224
1945,1835,0.0,0.0016081479496113642
1987,2131,0.0,0.0016751541141785044
2330,2099,0.0,0.0017421602787456446
2812,2941,0.0,0.0018091664433127848
2909,3092,0.0,0.001876172607879925
3090,3200,0.0,0.0019431787724470651
4026,4081,0.0,0.0020101849370142053
4264,4266,0.0,0.0020771911015813457
4882,5069,0.0,0.0021441972661484857
5682,5852,0.0,0.002211203430715626
5732,5888,0.0,0.002278209595282766
5882,6052,0.0,0.0023452157598499064
8831,8902,0.0,0.0024122219244170464
9888,9981,0.0,0.0024792280889841868
9928,10050,0.0,0.0025462342535513267
10262,10378,0.0,0.002613240418118467
10372,10517,0.0,0.002680246582685607
11770,11861,0.0,0.0027472527472527475
11864,11884,0.0,0.0028142589118198874
12058,12122,0.0,0.002881265076387028
12145,12145,0.0,0.0029482712409541678
12269,10563,0.0,0.003015277405521308
12395,12499,0.0,0.003082283570088448
13051,13186,0.0,0.0031492897346555885
14083,14178,0.0,0.0032162958992227285
14322,14415,0.0,0.003283302063789869
4493,4473,9.150874120678054e-07,0.003350308228357009
4479,4600,9.660950581746874e-07,0.0034173143929241492
1642,1710,4.827871606494227e-06,0.003484320557491289
2105,2130,4.988785974546772e-06,0.0035513267220584296
3190,3262,5.710804714453843e-06,0.0036183328866255695
13297,13402,5.8042132877744734e-06,0.00368533905119271
11664,11703,5.916526561122737e-06,0.00375234521575985
8654,8779,7.593821692353231e-06,0.0038193513803269903
1487,1582,7.663716473871318e-06,0.0038863575448941303
13030,13146,1.1506654800541583e-05,0.003953363709461271
13924,14062,1.2355382068562903e-05,0.004020369874028411
2793,2799,1.3155649980944872e-05,0.004087376038595551
3444,3544,1.4074381965656357e-05,0.004154382203162691
8742,8767,1.4541114296662272e-05,0.004221388367729831
6674,6697,1.633002614198631e-05,0.004288394532296971
14583,14484,1.8785824977385346e-05,0.004355400696864111
10902,10981,1.973417852241255e-05,0.004422406861431252
12360,12435,2.2134297296361183e-05,0.004489413025998392
321,354,2.281208332277629e-05,0.004556419190565532
13748,11741,2.3182784843811532e-05,0.004623425355132672
3363,3448,2.5103564041728532e-05,0.004690431519699813
5914,6039,2.595293722151837e-05,0.004757437684266953
7622,7651,2.643168761551351e-05,0.004824443848834093
10566,10645,2.6503995741222752e-05,0.004891450013401233
13896,14061,2.6550070288067218e-05,0.0049584561779683735
2517,2631,2.7326712142894394e-05,0.0050254623425355135
4829,4809,2.7925801759920432e-05,0.0050924685071026534
5162,5257,2.823621548486699e-05,0.005159474671669793
5455,5457,2.84898305835668e-05,0.005226480836236934
10490,10665,3.0302527420644765e-05,0.005293487000804074
4569,4639,3.0387433298528777e-05,0.005360493165371214
11256,11327,3.060465769522125e-05,0.005427499329938354
6436,6576,3.1494120889874466e-05,0.005494505494505495
8957,9091,3.274206710557337e-05,0.005561511659072635
4973,5044,3.457822072050476e-05,0.005628517823639775
320,310,3.599255840214255e-05,0.005695523988206915
1863,1938,3.6733329636717826e-05,0.005762530152774056
14675,14875,3.7903618249401916e-05,0.005829536317341196
11161,11256,3.9318340213867486e-05,0.0058965424819083356
759,654,4.007906885306056e-05,0.0059635486464754755
3965,4006,4.0306179585059e-05,0.006030554811042616
3012,2783,4.172283007619626e-05,0.006097560975609756
2024,2148,4.272864339327498e-05,0.006164567140176896
8734,8900,4.28146834110521e-05,0.006231573304744036
2636,2731,4.538885826832484e-05,0.006298579469311177
5971,6035,4.6280982019197836e-05,0.006365585633878317
7970,8134,5.1376915166656545e-05,0.006432591798445457
6525,6627,5.1426918503238994e-05,0.006499597963012597
4413,4585,5.22725908922439e-05,0.006566604127579738
10949,11214,5.2609089834732004e-05,0.006633610292146878
1278,1247,5.300353026882476e-05,0.006700616456714018
20,82,5.383118473645254e-05,0.006767622621281158
6793,6950,5.488330236858019e-05,0.0068346287858482985
13300,11765,5.4894010645512026e-05,0.006901634950415438
10645,10795,5.550230753215146e-05,0.006968641114982578
3345,3511,5.965255951423387e-05,0.007035647279549718
10592,10754,6.063289993107901e-05,0.007102653444116859
9823,9935,6.173754059091152e-05,0.007169659608683999
11614,11804,6.225606898624392e-05,0.007236665773251139
2970,3121,6.376528210694232e-05,0.007303671937818279
3362,3497,6.419565016813067e-05,0.00737067810238542
1941,2095,6.451736021517718e-05,0.00743768426695256
7799,7955,6.675224449281814e-05,0.0075046904315197
8876,8945,6.928256971150404e-05,0.00757169659608684
2354,2471,6.96692160886414e-05,0.007638702760653981
1262,1380,7.072997689760996e-05,0.0077057089252211206
13127,13181,7.182583249232266e-05,0.0077727150897882605
1263,1427,7.316052477790436e-05,0.0078397212543554
6697,6829,7.383209867839469e-05,0.007906727418922541
2993,2994,7.451934556002016e-05,0.00797373358348968
53,118,7.517301656889686e-05,0.008040739748056821
11690,11836,7.546143478975864e-05,0.008107745912623962
5521,5596,7.57308190486583e-05,0.008174752077191101
2165,2300,7.623781311849598e-05,0.008241758241758242
113,72,7.718150840307914e-05,0.008308764406325383
934,978,7.750201659462164e-05,0.008375770570892522
2951,3081,7.810451324985479e-05,0.008442776735459663
12127,12236,8.012055877770763e-05,0.008509782900026802
11079,11196,8.084084129222902e-05,0.008576789064593943
4386,4540,8.122187568915251e-05,0.008643795229161083
7018,6987,8.167673536263464e-05,0.008710801393728223
10559,10714,8.205597373489582e-05,0.008777807558295363
5749,5843,8.389901699956681e-05,0.008844813722862504
