,Request Id,decode_time_execution_plus_preemption_normalized,cdf
31,9,0.041489212237772743,0.03125
15,29,0.04329188379553429,0.0625
28,23,0.043738176028476246,0.09375
22,31,0.043774856785229035,0.125
10,28,0.04441940582699902,0.15625
30,10,0.04461390104159619,0.1875
29,0,0.045008500506638974,0.21875
18,21,0.045019052678533934,0.25
5,30,0.04543772944901516,0.28125
14,27,0.04608591586492575,0.3125
7,24,0.04633263351125426,0.34375
27,22,0.04633809730456934,0.375
13,26,0.04648821541457954,0.40625
19,16,0.04656633552710346,0.4375
26,1,0.047551034143037005,0.46875
16,12,0.04774684420629006,0.5
21,19,0.04791298239036693,0.53125
0,25,0.048023176144696846,0.5625
17,18,0.04834082831263549,0.59375
23,14,0.04866858300198833,0.625
9,17,0.04914168111697029,0.65625
25,6,0.049815423791348054,0.6875
20,4,0.050315450315500734,0.71875
24,2,0.051430654416264876,0.75
12,15,0.051838831096581446,0.78125
6,13,0.05297161252913138,0.8125
2,20,0.0537273723085278,0.84375
11,11,0.05527071389255013,0.875
8,7,0.05749119889758425,0.90625
3,5,0.07159805271784848,0.9375
1,8,0.07416565220255746,0.96875
4,3,0.07495286202354313,1.0
