,Request Id,request_e2e_time_normalized,cdf
31,9,0.04213767485557023,0.03125
30,10,0.045648488480147034,0.0625
29,0,0.04596577087133036,0.09375
28,23,0.04639289327087209,0.125
15,29,0.04681920175742911,0.15625
22,31,0.047598593091101295,0.1875
18,21,0.04843328863314142,0.21875
27,22,0.04891488563635143,0.25
26,1,0.04926421103054947,0.28125
10,28,0.050144167890922346,0.3125
19,16,0.05065784311177809,0.34375
25,6,0.051240670104313234,0.375
14,27,0.05126130859539815,0.40625
21,19,0.05161435143593428,0.4375
16,12,0.05172729389493086,0.46875
13,26,0.05176747776373225,0.5
23,14,0.0517948903942176,0.53125
17,18,0.05240036816262834,0.5625
20,4,0.05255817064538358,0.59375
7,24,0.05282127328325357,0.625
9,17,0.05312072852017199,0.65625
24,2,0.053450556352661376,0.6875
5,30,0.05356748885803482,0.71875
12,15,0.05671054919252289,0.75
11,11,0.05922261502171631,0.78125
6,13,0.0597447036641495,0.8125
8,7,0.060398830878004565,0.84375
0,25,0.07166943284087934,0.875
2,20,0.07451406815941788,0.90625
3,5,0.08080121174592016,0.9375
4,3,0.08453201228308754,0.96875
1,8,0.09032465745666793,1.0
