,Request Id,request_e2e_time,cdf
617,751,1.2043138129333215,0.0001734304543877905
475,642,2.052673994585575,0.000346860908775581
4472,4686,2.0917958008803907,0.0005202913631633715
244,319,2.10024076946803,0.000693721817551162
27,131,2.1041523830333304,0.0008671522719389525
882,955,2.8198589084502714,0.001040582726326743
1611,1779,3.0002662706908723,0.0012140131807145335
2488,2622,3.079460479112754,0.001387443635102324
1691,1823,3.2811400631538845,0.0015608740894901144
4829,5007,3.2844317998292354,0.001734304543877905
763,888,3.4698187372408142,0.0019077349982656955
745,845,3.569924360409516,0.002081165452653486
1987,2120,3.5944442764363203,0.0022545959070412766
3656,3795,3.7290642646396464,0.002428026361429067
3591,3718,3.834138371674044,0.0026014568158168575
863,946,3.849707164602137,0.002774887270204648
2909,3071,3.8788428272118836,0.0029483177245924383
1785,1927,4.10622381967471,0.003121748178980229
1243,1416,4.168779034028205,0.0032951786333680192
834,939,4.176753166501442,0.00346860908775581
2318,2487,4.250692876181006,0.0036420395421436005
3157,3335,4.284101629793213,0.003815469996531391
5701,5848,4.29922048555818,0.003988900450919181
4310,4469,4.402745442435389,0.004162330905306972
1759,1866,4.535526553369664,0.004335761359694762
1957,2087,4.536835748687167,0.004509191814082553
4905,5076,4.5788497995465605,0.004682622268470343
1894,2014,4.581056681559971,0.004856052722858134
4734,4854,4.649370734704462,0.005029483177245924
39,168,4.6583076279253675,0.005202913631633715
2858,2958,4.673688128547155,0.005376344086021506
1791,1926,4.720824149712598,0.005549774540409296
860,943,4.859175985708987,0.005723204994797087
5226,5389,4.90405008360608,0.005896635449184877
5649,5790,4.9120657187052075,0.0060700659035726676
4590,4781,4.953894420062852,0.006243496357960458
1864,2004,5.001672962334055,0.0064169268123482484
3378,3571,5.031893484154352,0.0065903572667360385
2591,2750,5.045315441476873,0.006763787721123829
4284,4452,5.0492907508992175,0.00693721817551162
4303,4461,5.111985039660567,0.00711064862989941
2406,2567,5.127290804425797,0.007284079084287201
1658,1801,5.149592793785473,0.007457509538674991
4291,4455,5.213877402492699,0.007630939993062782
2348,2490,5.219369960729296,0.007804370447450572
1716,1827,5.222555420012327,0.007977800901838363
5234,5393,5.250012567989188,0.008151231356226153
4298,4458,5.260447478295191,0.008324661810613945
3506,3646,5.275117971351619,0.008498092265001735
2861,2956,5.303260181281303,0.008671522719389525
4191,4383,5.344573037506052,0.008844953173777315
472,627,5.484851962217107,0.009018383628165106
1857,1998,5.49741048740691,0.009191814082552896
4326,4472,5.5189358531063135,0.009365244536940686
1679,1811,5.549739704225885,0.009538674991328478
4617,4785,5.615623139059608,0.009712105445716268
5718,5871,5.678786238216617,0.009885535900104058
2606,2759,5.718490086014526,0.010058966354491848
1790,1921,5.763200390891711,0.01023239680887964
847,937,5.852574931528579,0.01040582726326743
1347,1489,5.8811612647347715,0.01057925771765522
2932,3077,5.981211289969792,0.010752688172043012
2402,2559,6.017908253205519,0.010926118626430802
2811,2939,6.0312771355792165,0.011099549080818592
2126,2277,6.115184482929635,0.011272979535206382
704,809,6.2420533956363045,0.011446409989594173
2428,2583,6.257635812891749,0.011619840443981963
3558,3696,6.267434686741353,0.011793270898369753
3,25,6.299386165304003,0.011966701352757543
1707,1822,6.317621759510985,0.012140131807145335
3625,3732,6.400439582646186,0.012313562261533125
1370,1497,6.456285629101274,0.012486992715920915
807,919,6.49742547432453,0.012660423170308707
2201,2364,6.588514887745987,0.012833853624696497
2316,2474,6.5957253947065055,0.013007284079084287
5391,5558,6.641907412137698,0.013180714533472077
725,821,6.659678784710479,0.013354144987859869
2290,2469,6.668566262959416,0.013527575442247659
3500,3638,6.675146597948697,0.013701005896635449
5288,5435,6.676221568333631,0.01387443635102324
4880,5057,6.6785832080406635,0.01404786680541103
2933,3076,6.689077829631515,0.01422129725979882
255,314,6.700369659276433,0.01439472771418661
1950,2071,6.712068132011382,0.014568158168574402
4494,4683,6.7260686453755625,0.014741588622962192
2762,2921,6.7278303351668,0.014915019077349982
823,923,6.737757871949611,0.015088449531737774
544,675,6.748267881874597,0.015261879986125564
2080,2232,6.772877945666323,0.015435310440513354
2776,2933,6.789681399745632,0.015608740894901144
2023,2181,6.798087674220142,0.015782171349288936
286,350,6.805575485240112,0.015955601803676726
1355,1485,6.816131127547521,0.016129032258064516
1757,1849,6.827991164991204,0.016302462712452306
1573,1738,6.834317184165343,0.016475893166840096
2977,3099,6.838608971558756,0.01664932362122789
3572,3707,6.859452638399262,0.01682275407561568
5697,5835,6.881075253442532,0.01699618453000347
3492,3635,6.882573485913099,0.01716961498439126
3830,4073,6.895215361102146,0.01734304543877905
1231,1394,6.901495409955942,0.01751647589316684
1402,1529,6.92240091100723,0.01768990634755463
2069,2210,6.962187237860462,0.017863336801942423
5278,5431,6.973742181811076,0.018036767256330213
161,255,6.984525044783197,0.018210197710718003
1789,1916,6.999340000352959,0.018383628165105793
884,948,7.024593924188707,0.018557058619493583
249,312,7.066804489132295,0.018730489073881373
5020,5191,7.082402865573158,0.018903919528269163
3098,3249,7.11590000921683,0.019077349982656956
699,801,7.119597113287625,0.019250780437044746
500,640,7.124171674826869,0.019424210891432536
4471,4665,7.128277375959442,0.019597641345820326
235,302,7.201277020020186,0.019771071800208116
5693,5827,7.2651594722246955,0.019944502254595906
4355,4517,7.308132755206316,0.020117932708983696
2928,3074,7.339348238344428,0.02029136316337149
2525,2651,7.35316563282538,0.02046479361775928
3168,3333,7.361170623314138,0.02063822407214707
2801,2935,7.373479789922499,0.02081165452653486
4696,4820,7.394446233922963,0.02098508498092265
2826,2943,7.4101535544339185,0.02115851543531044
1741,1831,7.472770198325065,0.02133194588969823
1349,1482,7.47339180410529,0.021505376344086023
4247,4408,7.490545162689386,0.021678806798473813
1698,1815,7.528845579268136,0.021852237252861603
1726,1824,7.5391766665588875,0.022025667707249393
2563,2719,7.629383157491702,0.022199098161637183
419,560,7.733455774288643,0.022372528616024973
1242,1397,7.769650480657958,0.022545959070412763
271,326,7.789796115211146,0.022719389524800553
4362,4515,7.822116797495255,0.022892819979188347
388,526,7.822383053903934,0.023066250433576137
842,932,7.826893987500853,0.023239680887963927
1782,1905,7.841254225527223,0.023413111342351717
4239,4399,7.841335286119374,0.023586541796739507
2821,2937,7.852290829809476,0.023759972251127297
5691,5825,7.866252169834752,0.023933402705515087
178,261,7.869057521892401,0.02410683315990288
733,829,7.924420799306517,0.02428026361429067
5419,5589,7.930484832925913,0.02445369406867846
5122,5298,7.977371559612038,0.02462712452306625
1770,1867,8.022600494078233,0.02480055497745404
2860,2949,8.024292970287888,0.02497398543184183
2422,2572,8.038476400841319,0.02514741588622962
1400,1527,8.04632198325811,0.025320846340617414
2836,2941,8.065656918060995,0.025494276795005204
3848,4090,8.067510550588622,0.025667707249392994
253,309,8.09061020209235,0.025841137703780784
4042,4246,8.090640788283736,0.026014568158168574
43,154,8.158786136910415,0.026187998612556364
4846,5023,8.159375632593765,0.026361429066944154
238,300,8.179315708875905,0.026534859521331947
599,719,8.202761471466715,0.026708289975719737
3014,3138,8.229818259906665,0.026881720430107527
1681,1805,8.268380642703391,0.027055150884495317
866,936,8.281815211349965,0.027228581338883107
1960,2077,8.290200243532581,0.027402011793270897
5635,5778,8.30058903497661,0.027575442247658687
