,Request Id,request_e2e_time_normalized,cdf
1807,1831,0.035136628186427106,0.00021253985122210415
3314,3351,0.03855616057681033,0.0004250797024442083
3249,3286,0.04083698831704867,0.0006376195536663124
264,299,0.04103838177324093,0.0008501594048884166
3253,3282,0.04108330446467612,0.0010626992561105207
66,95,0.0412450618694271,0.0012752391073326248
1707,1742,0.04137772772948945,0.001487778958554729
1792,1822,0.04168106470899122,0.0017003188097768332
263,291,0.04194629245630838,0.0019128586609989374
1843,1880,0.04200124786248817,0.0021253985122210413
2680,2724,0.04221386192493729,0.0023379383634431457
1802,1827,0.04259228954743624,0.0025504782146652497
293,319,0.042645062424794274,0.002763018065887354
164,190,0.04300990091248286,0.002975557917109458
3663,3708,0.043839628792194926,0.003188097768331562
1734,1779,0.043990711562496156,0.0034006376195536664
1915,1940,0.044029181500993414,0.0036131774707757703
294,308,0.04404899824113939,0.0038257173219978747
184,213,0.04408674451400307,0.004038257173219979
233,254,0.044207372832644025,0.004250797024442083
102,126,0.04428762873760477,0.004463336875664187
2512,2567,0.04446695362568552,0.004675876726886291
1832,1860,0.04451614519608913,0.004888416578108395
2917,2956,0.04454596994841088,0.005100956429330499
2912,2947,0.044634517638264565,0.005313496280552604
1585,1630,0.044812576759161823,0.005526036131774708
284,312,0.04490192879746083,0.005738575982996812
2456,2490,0.044909453258551536,0.005951115834218916
79,97,0.04493456913063909,0.0061636556854410204
1911,1944,0.04493563838395501,0.006376195536663124
1541,1570,0.044970369401615015,0.006588735387885228
1791,1823,0.04508960054958777,0.006801275239107333
2909,2942,0.04514511201934641,0.007013815090329437
3565,3584,0.04515454309706861,0.007226354941551541
169,194,0.04528828859460442,0.007438894792773645
53,82,0.04545256334164912,0.0076514346439957494
744,774,0.04548408930155706,0.007863974495217854
167,182,0.0455709927690404,0.008076514346439958
1783,1816,0.04563092488276844,0.008289054197662061
2160,2196,0.045672382279276016,0.008501594048884165
1433,1464,0.04575356064743879,0.00871413390010627
2249,2287,0.04578214451156651,0.008926673751328374
4143,4177,0.0458236523947212,0.009139213602550478
1084,1117,0.04586100271754536,0.009351753453772583
178,198,0.04593796354319228,0.009564293304994687
196,214,0.045946596223945896,0.00977683315621679
1812,1820,0.04599036765536475,0.009989373007438894
101,131,0.04603068481031395,0.010201912858660999
909,941,0.04608820608868169,0.010414452709883103
3555,3580,0.04609059661111764,0.010626992561105207
1464,1497,0.04610157477709663,0.010839532412327312
4125,4127,0.04613397041622013,0.011052072263549416
739,778,0.046148329740314874,0.011264612114771519
1806,1803,0.046186145458118104,0.011477151965993623
1471,1492,0.04638003122145736,0.011689691817215728
229,250,0.04648522700023607,0.011902231668437832
1290,1338,0.04650142454063692,0.012114771519659936
2923,2959,0.046545857082361405,0.012327311370882041
1941,1966,0.046583398586886794,0.012539851222104145
1742,1775,0.0465943810260191,0.012752391073326248
188,186,0.0466400712456094,0.012964930924548352
1799,1818,0.0466726792338302,0.013177470775770457
1952,2004,0.04674636105239877,0.013390010626992561
296,315,0.046764986674562116,0.013602550478214665
292,304,0.04676968571591522,0.01381509032943677
4418,4469,0.046783716362115445,0.014027630180658874
583,642,0.046893765959095196,0.014240170031880977
310,316,0.04692243304967767,0.014452709883103081
910,946,0.04696403518835136,0.014665249734325186
3562,3583,0.04700017133868487,0.01487778958554729
2155,2184,0.04701180495067822,0.015090329436769395
632,675,0.04706927236662313,0.015302869287991499
2167,2205,0.0471873213990575,0.015515409139213603
1826,1843,0.047236781934452826,0.015727948990435708
290,314,0.047298142238275546,0.015940488841657812
1749,1778,0.0473162860361462,0.016153028692879916
1434,1460,0.047350437975461304,0.01636556854410202
3568,3595,0.04742385681775416,0.016578108395324122
1805,1826,0.04742411493200549,0.016790648246546226
1003,1042,0.047465856850944364,0.01700318809776833
1810,1830,0.047533282847522666,0.017215727948990435
758,796,0.04756995198591018,0.01742826780021254
4088,4122,0.04759034339870564,0.017640807651434644
189,209,0.047614534402877585,0.017853347502656748
300,303,0.04765382488219158,0.018065887353878853
309,321,0.04767813312813533,0.018278427205100957
2554,2594,0.047722985068117785,0.01849096705632306
4093,4115,0.0477399833432976,0.018703506907545166
2248,2291,0.047950817073513695,0.01891604675876727
199,222,0.04797514234157878,0.019128586609989374
3265,3278,0.04798661470774004,0.01934112646121148
84,108,0.047993252228334934,0.01955366631243358
2926,2957,0.048024319232367205,0.019766206163655684
4590,4602,0.04803421000968121,0.01997874601487779
10,30,0.04804972371959542,0.020191285866099893
1818,1832,0.04810456857402273,0.020403825717321997
303,326,0.048136060792246645,0.020616365568544102
318,338,0.04815367681819833,0.020828905419766206
2905,2943,0.04821785892318526,0.02104144527098831
3545,3572,0.04822422334736491,0.021253985122210415
1793,1807,0.04823301857427457,0.02146652497343252
757,801,0.04832742789843141,0.021679064824654624
308,317,0.04837384366793834,0.021891604675876728
1811,1829,0.04841177937633198,0.022104144527098833
316,322,0.04842762462871562,0.022316684378320937
109,122,0.048427972296378484,0.022529224229543038
304,279,0.04848267657841174,0.022741764080765142
2159,2192,0.048493125880752726,0.022954303931987247
3692,3712,0.04854191157118616,0.02316684378320935
