,Request Id,request_model_execution_time,cdf
10116,10509,0.31101241729502105,6.25e-05
233,751,0.3704761899242306,0.000125
5261,5848,0.5153093850993501,0.0001875
13017,13361,0.5275450379803746,0.00025
3643,4073,0.5817209202805509,0.0003125
4520,5076,0.5870586832970522,0.000375
0,131,0.6576430886666663,0.0004375
2,168,0.6771012797214285,0.0005
7908,8536,0.7251080072514423,0.0005625
193,642,0.7773508383777754,0.000625
11274,11864,0.8030194502844465,0.0006875
1583,2120,0.8062068672394258,0.00075
12320,12735,0.8328008879053433,0.0008125
9608,9973,0.8354420061755397,0.000875
1843,2277,0.8418326853371629,0.0009375
7145,7610,0.8435772771358795,0.001
10707,11214,0.8494298831331316,0.0010625
6344,6775,0.8768924567387414,0.001125
3470,4032,0.8825110293230161,0.0011875
12955,13450,0.8874484558625415,0.00125
412,888,0.891252151096319,0.0013125
3658,4090,0.8955723904155325,0.001375
11369,11789,0.9110506348246744,0.0014375
10676,11045,0.911543551229288,0.0015
10526,11148,0.9137062061991336,0.0015625
12076,12491,0.9268338646695794,0.001625
14924,15538,0.9416593742059087,0.0016875
6,154,0.9491159841185559,0.00175
5449,6032,0.950331599580084,0.0018125
5425,5835,0.959055462164584,0.001875
12529,13030,0.9648786575560742,0.0019375
6586,6949,0.9708285968095536,0.002
8232,8734,0.9742974500121939,0.0020625
59,398,0.9853387120718595,0.002125
5864,6350,1.0022034331011513,0.0021875
14919,15303,1.0163247910208926,0.00225
8011,8379,1.0196172703424227,0.0023125
11456,11853,1.024489815722108,0.002375
14855,15434,1.033419115118613,0.0024375
1479,1866,1.035120990404794,0.0025
10154,10535,1.0354728723841253,0.0025625
5024,5389,1.036474227651142,0.002625
5942,6379,1.0379918638534622,0.0026875
4565,5023,1.0435396827747065,0.00275
8572,9122,1.0485802898424958,0.0028125
11732,12182,1.0573952745114035,0.002875
750,1200,1.0587232356137062,0.0029375
12667,13240,1.0602995679677465,0.003
4203,4686,1.0642969191722937,0.0030625
12763,13254,1.0653595167613195,0.003125
15720,15865,1.066315121086794,0.0031875
13689,14238,1.067702600520592,0.00325
3779,4246,1.0709422759277036,0.0033125
2613,3071,1.0825411574406907,0.003375
2886,3335,1.0998642025095544,0.0034375
5856,6412,1.106407768517283,0.0035
12708,13041,1.1099808440226437,0.0035625
11901,12299,1.1197231404073895,0.003625
11283,11876,1.1225862902872439,0.0036875
5488,6072,1.1264974296389918,0.00375
988,1394,1.1270391566718583,0.0038125
7309,7687,1.141017351901944,0.003875
4269,4665,1.148075693605344,0.0039375
6776,7121,1.1573189550351968,0.004
4383,4781,1.158691594225103,0.0040625
2585,2921,1.164747644496533,0.004125
8926,9265,1.1690289263324982,0.0041875
10436,11020,1.181378118231834,0.00425
6127,6539,1.188854967599251,0.0043125
401,809,1.19053741919414,0.004375
4683,5057,1.1991474101072115,0.0044375
2631,3176,1.2056331814737957,0.0045
12450,13020,1.2083975579818178,0.0045625
13208,13772,1.215034677542421,0.004625
3942,4472,1.2232996979352793,0.0046875
161,569,1.2336689420698952,0.00475
13246,13683,1.2398062438577897,0.0048125
13727,14262,1.2440155123525265,0.004875
3126,3571,1.2460758707288517,0.0049375
400,801,1.247266256838309,0.005
11001,11580,1.2504665155692123,0.0050625
11632,12114,1.2510543617086718,0.005125
3324,3795,1.2564020136753886,0.0051875
139,560,1.2571498674109869,0.00525
14366,14902,1.259079426678604,0.0053125
1429,1849,1.2591403001505321,0.005375
54,472,1.260694982520561,0.0054375
3528,3959,1.263838166104976,0.0055
13712,14246,1.2681949073419863,0.0055625
14208,14718,1.2708298806272027,0.005625
6437,7024,1.274773980061324,0.0056875
6428,6749,1.2761275067110238,0.00575
5684,6154,1.2763825236917075,0.0058125
6558,6897,1.2788184538208134,0.005875
