,Request Id,request_scheduling_delay,cdf
4,3,0.0,8.034064433196755e-05
93,2,0.0,0.0001606812886639351
124,1,0.0,0.00024102193299590263
209,0,0.0,0.0003213625773278702
42,92,6.483928145328832e-05,0.00040170322165983773
31,116,0.000279492778492596,0.00048204386599180526
118,6,0.00031416968190667305,0.0005623845103237728
80,60,0.0003584215248162437,0.0006427251546557404
89,133,0.0006640022524067035,0.0007230657989877079
223,80,0.0008888525441204109,0.0008034064433196755
10,131,0.000901744442556307,0.0008837470876516429
88,98,0.0009196859643534339,0.0009640877319836105
69,73,0.0010345633694681666,0.0010444283763155781
96,134,0.0012905759616419488,0.0011247690206475456
82,86,0.0021290944661132016,0.001205109664979513
15,96,0.0029150050882940093,0.0012854503093114808
21,24,0.004301508786672681,0.0013657909536434483
59,71,0.004339170860881758,0.0014461315979754157
40,83,0.004861420539235439,0.0015264722423073832
90,109,0.004896762415244282,0.001606812886639351
130,56,0.005151293498157905,0.0016871535309713184
94,31,0.0053392310249433805,0.0017674941753032859
127,76,0.005435963197884419,0.0018478348196352536
1358,75,0.006130913852376629,0.001928175463967221
104,130,0.006868801089764176,0.0020085161082991887
65,54,0.0069713104959143735,0.0020888567526311562
67,18,0.007440848658772259,0.0021691973969631237
145,132,0.009409998147777543,0.002249538041295091
141,99,0.010054368209878817,0.0023298786856270587
116,128,0.010125622948079283,0.002410219329959026
9,30,0.011597863930528973,0.0024905599742909936
63,100,0.011872204921230534,0.0025709006186229615
38,110,0.012050120625776373,0.002651241262954929
87,41,0.014901404166264953,0.0027315819072868965
143,127,0.015644252939555514,0.002811922551618864
17,53,0.016604360009364605,0.0028922631959508315
120,40,0.017563544983872692,0.002972603840282799
113,55,0.021307103354704537,0.0030529444846147664
158,23,0.022846494742108536,0.0031332851289467343
114,93,0.023079971008046485,0.003213625773278702
98,125,0.024283927303084596,0.0032939664176106693
12,82,0.024328153913869777,0.003374307061942637
47,126,0.025470384438643023,0.0034546477062746043
37,59,0.025596508458082035,0.0035349883506065717
81,122,0.02612721249093397,0.0036153289949385392
180,115,0.029532459995579075,0.003695669639270507
68,72,0.030526331620494673,0.0037760102836024746
3,20,0.034657862557270214,0.003856350927934442
75,29,0.034824531141257165,0.00393669157226641
11,33,0.0356248508282091,0.0040170322165983775
14,61,0.035640228654596484,0.0040973728609303445
126,22,0.037054932871470436,0.0041777135052623125
64,114,0.03815067968831265,0.0042580541495942795
205,90,0.040305105876059955,0.004338394793926247
131,129,0.04057629248942973,0.0044187354382582145
71,4,0.042065326934149994,0.004499076082590182
146,119,0.042472661055596106,0.00457941672692215
41,94,0.044673393593322785,0.004659757371254117
2,5,0.047755230929438564,0.004740098015586085
33,89,0.04892162723205207,0.004820438659918052
135,104,0.04900024152815874,0.00490077930425002
1414,39,0.04998423974753896,0.004981119948581987
128,102,0.05042237919614401,0.005061460592913955
108,88,0.05059452851010171,0.005141801237245923
46,101,0.052238673397148716,0.00522214188157789
23,74,0.05421801240300894,0.005302482525909858
24,36,0.05536489674542633,0.005382823170241825
54,118,0.05606170024790025,0.005463163814573793
44,108,0.05666644903171658,0.00554350445890576
76,19,0.05674766291962463,0.005623845103237728
51,123,0.0574837446250136,0.005704185747569696
52,87,0.05749740915029289,0.005784526391901663
26,124,0.06046579113526107,0.005864867036233631
367,121,0.061496115640364835,0.005945207680565598
253,10,0.063138156481641,0.006025548324897566
49,91,0.06575541746244173,0.006105888969229533
7,58,0.07067421844815147,0.006186229613561501
29,11,0.072774668706862,0.006266570257893469
62,105,0.07469358349868216,0.006346910902225436
79,21,0.07667123631324779,0.006427251546557404
111,103,0.07696755702448144,0.006507592190889371
43,35,0.07704772822567696,0.006587932835221339
27,62,0.07753573177924977,0.006668273479553306
102,79,0.08105336717106315,0.006748614123885274
20,95,0.08163518604873943,0.0068289547682172415
91,68,0.08510583841414743,0.0069092954125492085
28,57,0.08538961004640644,0.0069896360568811764
474,9,0.08583487686954261,0.0070699767012131435
78,63,0.08600243004742669,0.007150317345545111
0,8,0.08692563338219761,0.0072306579898770785
35,28,0.08696151574468303,0.007310998634209046
197,136,0.09146912418383124,0.007391339278541014
83,113,0.09467383155078757,0.007471679922872981
247,81,0.09539169512045742,0.007552020567204949
74,135,0.09551572538068775,0.007632361211536916
61,27,0.09651874231567725,0.007712701855868884
86,64,0.09674931734471315,0.007793042500200851
39,15,0.10169715976420579,0.00787338314453282
45,26,0.10477140560715958,0.007953723788864787
56,78,0.1063754722682928,0.008034064433196755
233,112,0.11120130712400567,0.008114405077528721
1,25,0.11177611406179011,0.008194745721860689
92,120,0.11232699062579243,0.008275086366192657
32,17,0.11309532137565403,0.008355427010524625
151,107,0.11397614043561077,0.008435767654856591
567,85,0.11733268891715198,0.008516108299188559
84,67,0.1210720535619334,0.008596448943520527
55,66,0.12136014856140775,0.008676789587852495
8,32,0.12251651303076061,0.008757130232184463
97,77,0.13402181921380496,0.008837470876516429
30,38,0.1361058338824237,0.008917811520848397
85,84,0.1389384320996534,0.008998152165180365
25,7,0.13974832411376592,0.009078492809512333
100,14,0.1424645736032234,0.0091588334538443
5,65,0.1442472458299342,0.009239174098176267
34,117,0.14680550539722326,0.009319514742508235
18,34,0.15430523829178577,0.009399855386840203
57,97,0.15431102399768903,0.00948019603117217
315,37,0.16754086950635205,0.009560536675504137
109,106,0.16803011081152164,0.009640877319836105
53,45,0.17613590509917865,0.009721217964168073
77,16,0.17684210500241448,0.00980155860850004
137,111,0.17759406406696243,0.009881899252832008
6,42,0.18958045827680525,0.009962239897163975
72,12,0.19690976614362243,0.010042580541495942
73,44,0.20049019153029768,0.01012292118582791
70,43,0.20567991529365726,0.010203261830159878
19,51,0.21197769445245385,0.010283602474491846
13,13,0.21411901987238813,0.010363943118823812
103,137,0.21923408054402316,0.01044428376315578
728,50,0.22238307656555278,0.010524624407487748
16,52,0.226461494281752,0.010604965051819716
66,49,0.23418476335689586,0.010685305696151682
198,70,0.24082515135556282,0.01076564634048365
36,69,0.24157786558522165,0.010845986984815618
132,140,0.2727962428187549,0.010926327629147586
155,138,0.27857173216009556,0.011006668273479554
1543,48,0.27957136634890745,0.01108700891781152
101,47,0.33095014192459704,0.011167349562143488
298,139,0.33122157626726967,0.011247690206475456
22,46,0.33651315066703047,0.011328030850807424
115,141,0.3790232996785985,0.011408371495139392
50,142,0.4497694256713167,0.011488712139471358
142,143,0.4651642982448063,0.011569052783803326
168,145,0.6454727443089805,0.011649393428135294
122,144,0.666014492234904,0.011729734072467262
169,147,0.7234087137429643,0.011810074716799228
60,146,0.8512916025504662,0.011890415361131196
389,150,0.8937680622851456,0.011970756005463164
107,148,0.9969852134699728,0.012051096649795132
117,151,1.0228378710948718,0.0121314372941271
149,149,1.1907431458026068,0.012211777938459066
134,152,1.2132377803467502,0.012292118582791034
184,153,1.3376855956822133,0.012372459227123002
309,155,1.5084390102634586,0.01245279987145497
