,Request Id,decode_time_execution_plus_preemption_normalized,cdf
1,5,0.007854110752726821,0.00013173494928204451
6434,6444,0.008318674024621941,0.00026346989856408903
116,131,0.008801483674644775,0.0003952048478461336
5036,5057,0.008828392843625466,0.0005269397971281781
1809,1823,0.008971019353215582,0.0006586747464102226
3079,3094,0.009192804628589521,0.0007904096956922672
7222,7238,0.009197712410081865,0.0009221446449743117
6972,6985,0.009383384596299423,0.0010538795942563561
3803,3820,0.009415835087900797,0.0011856145435384007
6621,6634,0.00949100440133017,0.0013173494928204453
6630,6635,0.009632551669543127,0.0014490844421024898
6534,6543,0.009729380761274388,0.0015808193913845344
312,326,0.009888123569230738,0.0017125543406665787
1756,1779,0.009912081073383794,0.0018442892899486233
4175,4190,0.009918378931311518,0.001976024239230668
4753,4781,0.009947724008327441,0.0021077591885127122
6921,6949,0.009949963995090318,0.002239494137794757
2557,2583,0.009973804865481037,0.0023712290870768014
937,948,0.010044864083838088,0.002502964036358846
4979,5007,0.010051560008371041,0.0026346989856408905
4046,4073,0.010051828504505134,0.002766433934922935
2047,2071,0.010076748242722599,0.0028981688842049796
1806,1822,0.01008433302993254,0.003029903833487024
6429,6439,0.01011265774046341,0.0031616387827690688
1819,1831,0.010167781362890422,0.0032933737320511134
6133,6154,0.010240661459108326,0.0034251086813331575
6763,6780,0.010241818690326273,0.003556843630615202
5833,5853,0.010258416803129994,0.0036885785798972466
6629,6633,0.010349278014682368,0.003820313529179291
5379,5403,0.010407237816787743,0.003952048478461336
939,949,0.010440290726784549,0.00408378342774338
301,319,0.010573154548994598,0.0042155183770254245
5461,5485,0.010606652490918123,0.0043472533263074695
6005,6032,0.010704611485733848,0.004478988275589514
947,961,0.010709055791708173,0.004610723224871559
6478,6484,0.010740252190745016,0.004742458174153603
6310,6350,0.010773684641999353,0.004874193123435648
305,318,0.010792678560123345,0.005005928072717692
2066,2090,0.01082292222781964,0.005137663021999737
1481,1493,0.010825358749687703,0.005269397971281781
3278,3287,0.010847415908742733,0.005401132920563825
2476,2490,0.010946343618908791,0.00553286786984587
1821,1830,0.011005630517000403,0.005664602819127914
6484,6486,0.011006505071603102,0.005796337768409959
6465,6479,0.011016669770199716,0.005928072717692003
606,642,0.01107920940115486,0.006059807666974048
6514,6520,0.011092391048650212,0.0061915426162560926
183,197,0.011094781276779538,0.0063232775655381376
6966,6983,0.011133470055248063,0.006455012514820182
3031,3071,0.011158489307455546,0.006586747464102227
1995,2010,0.01118794724377546,0.006718482413384271
1825,1828,0.011195821482601565,0.006850217362666315
1833,1840,0.011204736566706976,0.00698195231194836
7272,7286,0.011217679365024146,0.007113687261230404
2998,3019,0.011250122422977214,0.007245422210512449
6432,6440,0.011301111463424449,0.007377157159794493
7446,7460,0.011319211330963697,0.007508892109076538
7447,7461,0.011323826644358633,0.007640627058358582
92,108,0.011376704206414854,0.007772362007640627
5917,5934,0.011388523972110912,0.007904096956922672
908,923,0.011400576299904572,0.008035831906204716
3579,3598,0.011402138299751601,0.00816756685548676
3072,3089,0.011411045405206901,0.008299301804768806
2194,2205,0.011425566517921664,0.008431036754050849
7440,7459,0.011502523535094528,0.008562771703332894
3231,3242,0.011526772164498048,0.008694506652614939
1826,1832,0.011527594153086733,0.008826241601896984
935,944,0.011543106334855224,0.008957976551179027
933,946,0.011552416382272007,0.009089711500461072
2050,2077,0.011553345403667547,0.009221446449743117
6482,6485,0.011558530780678948,0.009353181399025162
0,3,0.011579645637011282,0.009484916348307205
920,939,0.011584405808735454,0.00961665129758925
136,168,0.011627741506322151,0.009748386246871295
5284,5309,0.011652885616008746,0.009880121196153339
2936,2950,0.011657419932968819,0.010011856145435384
199,213,0.0116767507734865,0.010143591094717429
6428,6434,0.01169244534829357,0.010275326043999474
6532,6541,0.011699544717108898,0.010407060993281517
6631,6636,0.011726074106137139,0.010538795942563562
2035,2049,0.011741477583712481,0.010670530891845607
6425,6433,0.011772413489377588,0.01080226584112765
1488,1499,0.011774375114692577,0.010934000790409695
3334,3353,0.011775289532400686,0.01106573573969174
3570,3587,0.011791840658204364,0.011197470688973785
6483,6487,0.011800219398470717,0.011329205638255829
6543,6557,0.011816180075802785,0.011460940587537874
309,317,0.01183938190282186,0.011592675536819919
2037,2051,0.011844055589256186,0.011724410486101964
6628,6631,0.01187426891434309,0.011856145435384007
7470,7479,0.011877919072475556,0.011987880384666052
187,198,0.011910182905513347,0.012119615333948097
3089,3099,0.011914418992730588,0.01225135028323014
3740,3750,0.011925793920387359,0.012383085232512185
6477,6480,0.011935626724993266,0.01251482018179423
1816,1826,0.011937540736694756,0.012646555131076275
3320,3347,0.011939437895812316,0.012778290080358318
3722,3734,0.01197287770455091,0.012910025029640363
6431,6435,0.01201027391082514,0.013041759978922408
5492,5508,0.012028003830835132,0.013173494928204453
6424,6432,0.012033663210825406,0.013305229877486497
1105,1119,0.012051070566341283,0.013436964826768542
5406,5435,0.012067029460786216,0.013568699776050587
1534,1544,0.012089678930525073,0.01370043472533263
6626,6632,0.012090915805376627,0.013832169674614675
2008,2023,0.012095466903458727,0.01396390462389672
1500,1527,0.012106658100348715,0.014095639573178765
6348,6369,0.012118743243674769,0.014227374522460808
3254,3266,0.012123725708512384,0.014359109471742853
1814,1827,0.012127408187426643,0.014490844421024898
6476,6481,0.012127721633029019,0.014622579370306943
7524,7551,0.01213999353424661,0.014754314319588986
4442,4469,0.012154323115012067,0.014886049268871031
3873,3897,0.012172866714203636,0.015017784218153077
7061,7081,0.012193481396152492,0.01514951916743512
3632,3647,0.012206811805926652,0.015281254116717165
1823,1829,0.012213945104800216,0.01541298906599921
6480,6483,0.012215500670478616,0.015544724015281255
1538,1546,0.012236544597848413,0.015676458964563298
4992,5012,0.012238354595463099,0.015808193913845345
229,252,0.012242759258410082,0.015939928863127388
43,58,0.01224316793163573,0.01607166381240943
3093,3108,0.012259405432818067,0.016203398761691478
2941,2959,0.012271851837869956,0.01633513371097352
1706,1722,0.012277829115323519,0.016466868660255565
4754,4779,0.01227838643186305,0.01659860360953761
6430,6437,0.012283121591780691,0.016730338558819655
2932,2949,0.012291301772781557,0.016862073508101698
1915,1935,0.01230849009906316,0.016993808457383745
3634,3649,0.01236291917381112,0.017125543406665788
780,801,0.012370720826685519,0.017257278355947835
7448,7458,0.012376312812118132,0.017389013305229878
6433,6438,0.012394415553708106,0.01752074825451192
2485,2493,0.01241015562901745,0.017652483203793968
620,641,0.01241312513946358,0.01778421815307601
6958,6982,0.012429659202950916,0.017915953102358054
1535,1547,0.01243082673330551,0.0180476880516401
1811,1821,0.012430984146312845,0.018179423000922144
2946,2962,0.012436205393033533,0.018311157950204188
254,263,0.012447573008522856,0.018442892899486234
3625,3646,0.01245062743624814,0.018574627848768278
5783,5801,0.012452276377001352,0.018706362798050324
4122,4133,0.012464554925374072,0.018838097747332368
6971,6980,0.012474071163834114,0.01896983269661441
1895,1927,0.012483424267456182,0.019101567645896458
2480,2491,0.012495115733102413,0.0192333025951785
4184,4201,0.012502863045016731,0.019365037544460544
6533,6537,0.012505492150046394,0.01949677249374259
921,936,0.012536568707399328,0.019628507443024634
82,96,0.012548989703379714,0.019760242392306678
4382,4408,0.012552613219277949,0.019891977341588724
919,937,0.012553428085737655,0.020023712290870768
1822,1825,0.012555371932866927,0.020155447240152814
2470,2487,0.012570792563083468,0.020287182189434858
7457,7471,0.012578633957202458,0.0204189171387169
2935,2948,0.012578687408669229,0.020550652087998948
1832,1839,0.012580894145159153,0.02068238703728099
7471,7481,0.012586625190842131,0.020814121986563034
2195,2204,0.012599445735788452,0.02094585693584508
3583,3605,0.012599455989805644,0.021077591885127124
7216,7227,0.012602900182202375,0.021209326834409167
5040,5059,0.0126319406667457,0.021341061783691214
6459,6474,0.01264118552534242,0.021472796732973257
1831,1838,0.012649099463383237,0.0216045316822553
4113,4131,0.012659769550833307,0.021736266631537347
6427,6430,0.012665217012549116,0.02186800158081939
1926,1944,0.012668267215209047,0.021999736530101437
184,196,0.012675255691802566,0.02213147147938348
314,325,0.012681601450508501,0.022263206428665524
848,859,0.012694418368690978,0.02239494137794757
7266,7283,0.01273051123423678,0.022526676327229614
5926,5942,0.012732721699477714,0.022658411276511657
6479,6478,0.012753960244019374,0.022790146225793704
936,942,0.012756297809510852,0.022921881175075747
6426,6431,0.012759627137830177,0.02305361612435779
3764,3786,0.012771965548725572,0.023185351073639837
3083,3096,0.012772616568931193,0.02331708602292188
1724,1742,0.012786347759757833,0.023448820972203927
4171,4185,0.012801092581956622,0.02358055592148597
6485,6488,0.012806494081283185,0.023712290870768014
7469,7478,0.01281003607761022,0.02384402582005006
1578,1586,0.012817638380881098,0.023975760769332104
2483,2492,0.012829123345905446,0.024107495718614147
949,954,0.012832677959049106,0.024239230667896194
1994,2009,0.012833207729325056,0.024370965617178237
6122,6148,0.012834395761731949,0.02450270056646028
3230,3239,0.012834419802882073,0.024634435515742327
2032,2048,0.01284664649875953,0.02476617046502437
2730,2753,0.012848107206342396,0.024897905414306417
4114,4130,0.012854539739776972,0.02502964036358846
3806,3818,0.012878888701430962,0.025161375312870504
7204,7221,0.012901474098971693,0.02529311026215255
5584,5597,0.012918270175008949,0.025424845211434594
4777,4792,0.012926163548566377,0.025556580160716637
2948,2961,0.012930746876468219,0.025688315109998684
7219,7234,0.012943695325212992,0.025820050059280727
253,264,0.012946235916055926,0.02595178500856277
1761,1778,0.012949153923124405,0.026083519957844817
1830,1833,0.012951262587669772,0.02621525490712686
6552,6566,0.01295178597311414,0.026346989856408907
3101,3115,0.012963256877628112,0.02647872480569095
2188,2201,0.012968405525492204,0.026610459754972993
3565,3583,0.012972665120303279,0.02674219470425504
5809,5827,0.012972674417377757,0.026873929653537083
1507,1529,0.012973393779673032,0.027005664602819127
6528,6540,0.012973785055581694,0.027137399552101173
3282,3284,0.012978018467078788,0.027269134501383217
838,847,0.012986054221163694,0.02740086945066526
7270,7284,0.01298679823658467,0.027532604399947307
946,957,0.013002688340134544,0.02766433934922935
945,945,0.013004417951594342,0.027796074298511397
2012,2032,0.013011386518170317,0.02792780924779344
7444,7457,0.013013845037329299,0.028059544197075483
1597,1616,0.01301411915939525,0.02819127914635753
7520,7549,0.013016117296488581,0.028323014095639573
3563,3580,0.013017372732707599,0.028454749044921616
6581,6599,0.013028851246989496,0.028586483994203663
2478,2484,0.013032366579677592,0.028718218943485706
6354,6370,0.013036295266192065,0.02884995389276775
6436,6449,0.01303716114004113,0.028981688842049796
6967,6981,0.013055755911078626,0.02911342379133184
1828,1836,0.013057836371355772,0.029245158740613886
6481,6482,0.013058455835628695,0.02937689368989593
1766,1777,0.013065498016524938,0.029508628639177973
338,351,0.013070294282816235,0.02964036358846002
1820,1817,0.013073617257146784,0.029772098537742063
334,350,0.01308260258111551,0.029903833487024106
6766,6779,0.013097824374835067,0.030035568436306153
2930,2947,0.013099015540193444,0.030167303385588196
2949,2965,0.013099588404965345,0.03029903833487024
2933,2946,0.013101330035076514,0.030430773284152286
2931,2945,0.013122554893989991,0.03056250823343433
7445,7456,0.013125975045834458,0.030694243182716376
4110,4123,0.013130649519297082,0.03082597813199842
6445,6464,0.01313683640309204,0.030957713081280463
983,996,0.01315020278421005,0.03108944803056251
7472,7482,0.013152181866520753,0.031221182979844553
4116,4128,0.013154505879727217,0.031352917929126596
2473,2486,0.013167450064734522,0.03148465287840864
1567,1576,0.013169157228963287,0.03161638782769069
7214,7228,0.013180865195416338,0.03174812277697273
7383,7405,0.013189293096187223,0.031879857726254776
1824,1814,0.01319406765642887,0.03201159267553682
2923,2943,0.01319990333938969,0.03214332762481886
5689,5701,0.013201482305805935,0.032275062574100906
7583,7607,0.013204779749265491,0.032406797523382956
6435,6436,0.013205326754001049,0.032538532472665
3569,3582,0.013251878450715236,0.03267026742194704
1536,1545,0.013265543373715142,0.032802002371229086
2599,2625,0.013265872280963991,0.03293373732051113
1813,1824,0.013272577704107573,0.03306547226979318
1810,1818,0.013284039314385154,0.03319720721907522
4964,4990,0.013284094932741937,0.033328942168357266
6423,6428,0.0133033334524087,0.03346067711763931
4117,4129,0.013309372054657837,0.03359241206692135
1827,1834,0.013310249567365953,0.033724147016203396
657,692,0.013318079198646792,0.033855881965485446
7275,7285,0.01334438304543782,0.03398761691476749
3280,3285,0.013349003098139953,0.03411935186404953
952,947,0.013351046351232776,0.034251086813331576
2926,2942,0.01335199223468229,0.03438282176261362
