,Request Id,request_execution_plus_preemption_time_normalized,cdf
1,5,0.009639980149302793,0.0001178967224711153
8448,8458,0.011213979607903634,0.0002357934449422306
937,949,0.011420655219211106,0.0003536901674133459
8423,8439,0.011471037686624757,0.0004715868898844612
8014,8030,0.011608221787669784,0.0005894836123555765
2554,2583,0.01165328776947873,0.0007073803348266918
935,948,0.011771326410186665,0.0008252770572978071
1804,1823,0.011860675906214365,0.0009431737797689225
7664,7687,0.011872392464309461,0.0010610705022400376
1813,1831,0.012075068029821306,0.001178967224711153
7667,7688,0.012203781666698686,0.0012968639471822683
8436,8448,0.0124617257078356,0.0014147606696533837
302,318,0.012562753294017993,0.0015326573921244989
942,961,0.012584715981880351,0.0016505541145956143
296,319,0.01259616856598887,0.0017684508370667295
8444,8453,0.01261115013686663,0.001886347559537845
8446,8452,0.012632985963995614,0.00200424428200896
196,213,0.012700065140298906,0.0021221410044800753
8445,8451,0.012723778733082771,0.002240037726951191
1745,1779,0.01291287100056234,0.002357934449422306
5278,5309,0.012925117922720856,0.0024758311718934213
6957,6983,0.01294375243992345,0.0025937278943645365
1802,1822,0.012948266648618046,0.002711624616835652
6759,6780,0.013100194891729693,0.0028295213393067674
114,131,0.013359576190296292,0.0029474180617778825
7517,7551,0.013391649793148027,0.0030653147842489977
933,944,0.013424181673175807,0.0031832115067201134
4377,4408,0.013531436641717631,0.0033011082291912286
8449,8450,0.01353916619170834,0.0034190049516623438
8443,8446,0.013608089741088231,0.003536901674133459
5449,5485,0.013701377037040057,0.0036547983966045746
8447,8444,0.013723809341853759,0.00377269511907569
6476,6485,0.013774697775068396,0.003890591841546805
4746,4781,0.013801889051970863,0.00400848856401792
7441,7460,0.01384222556499638,0.004126385286489035
6531,6543,0.013843550652505372,0.004244282008960151
3563,3583,0.013951164439803961,0.004362178731431266
6426,6440,0.013955099822902956,0.004480075453902382
6127,6154,0.013999938822134378,0.004597972176373497
599,642,0.014002826372995136,0.004715868898844612
307,326,0.014144871424272171,0.0048337656213157274
8093,8115,0.014178752088712476,0.004951662343786843
3575,3598,0.014198203945837902,0.005069559066257958
934,942,0.01426917963700846,0.005187455788729073
2925,2949,0.014298689253114933,0.005305352511200188
6480,6487,0.014411460861275822,0.005423249233671304
943,945,0.01444444827968486,0.0055411459561424195
2058,2090,0.014559733729839352,0.005659042678613535
7782,7801,0.014565477481505593,0.00577693940108465
7672,7695,0.01458056531273184,0.005894836123555765
1816,1830,0.014588947974657132,0.00601273284602688
5026,5057,0.014608121240034369,0.0061306295684979955
174,197,0.014616440160237217,0.006248526290969111
7053,7081,0.01464423519260168,0.006366423013440227
7512,7549,0.014644306286082945,0.006484319735911342
8207,8224,0.01469212173294687,0.006602216458382457
1887,1927,0.014724066469663417,0.006720113180853572
6616,6634,0.01473531214695523,0.0068380099033246875
2593,2625,0.014736265597208573,0.006955906625795803
6961,6981,0.014745730213330121,0.007073803348266918
6458,6479,0.014746846444365322,0.007191700070738033
6530,6541,0.014755408656607832,0.007309596793209149
6427,6435,0.014766237641260048,0.007427493515680264
7439,7457,0.014776199629461301,0.00754539023815138
5402,5435,0.014797452231909768,0.007663286960622495
4374,4402,0.014822621144700579,0.00778118368309361
930,946,0.01486375529336083,0.007899080405564725
6952,6982,0.014866806011329873,0.00801697712803584
0,3,0.014868279999037847,0.008134873850506956
1482,1499,0.014873935188383997,0.00825277057297807
8218,8235,0.01489328838103177,0.008370667295449186
6478,6482,0.014896663969242099,0.008488564017920301
2926,2945,0.014938994620644849,0.008606460740391416
6473,6484,0.014943547259331377,0.008724357462862532
1817,1829,0.01499931548014704,0.008842254185333649
8209,8223,0.014999923481405032,0.008960150907804764
6623,6632,0.015024269555205421,0.009078047630275879
6471,6481,0.015092623633362022,0.009195944352746994
6475,6480,0.01510138782454801,0.00931384107521811
7772,7792,0.015142765787238784,0.009431737797689225
6428,6438,0.01514353202178736,0.00954963452016034
118,125,0.015162534273552103,0.009667531242631455
6424,6437,0.015168034495086392,0.00978542796510257
6429,6444,0.015184792276393737,0.009903324687573685
944,940,0.015186110453631281,0.0100212214100448
7769,7793,0.015189534861864798,0.010139118132515916
8020,8029,0.015202117950750027,0.010257014854987031
932,938,0.01522227282302646,0.010374911577458146
7442,7456,0.015236388790164168,0.010492808299929261
1830,1833,0.015241100510696728,0.010610705022400376
6423,6434,0.015261231666821164,0.010728601744871493
8210,8227,0.015265523744932015,0.010846498467342609
182,196,0.015267912737095171,0.010964395189813724
6479,6478,0.01527142649952632,0.011082291912284839
8439,8445,0.015346418221087624,0.011200188634755954
2574,2604,0.015354675194132828,0.01131808535722707
1833,1843,0.015360688282763721,0.011435982079698185
7435,7459,0.015370387675886348,0.0115538788021693
1828,1838,0.01537220845634609,0.011671775524640415
306,317,0.015378952319294781,0.01178967224711153
6383,6412,0.015455261977876798,0.011907568969582645
917,937,0.015474615589272664,0.01202546569205376
1819,1828,0.015478653315946162,0.012143362414524876
7779,7790,0.01549387343844141,0.012261259136995991
6521,6540,0.015498636479156764,0.012379155859467106
772,801,0.015515083808037023,0.012497052581938221
8012,8025,0.015517595305950031,0.012614949304409337
8434,8437,0.015534905261827174,0.012732846026880454
8220,8234,0.015546924605702844,0.012850742749351569
8442,8442,0.01556704839095211,0.012968639471822684
6532,6537,0.01558368902544316,0.013086536194293799
8441,8434,0.015598494762755774,0.013204432916764914
919,936,0.01563861469953775,0.01332232963923603
2186,2205,0.01564608020412412,0.013440226361707145
6425,6430,0.015675606719887433,0.01355812308417826
8440,8443,0.01567779039103234,0.013676019806649375
7868,7888,0.01570634712955363,0.01379391652912049
2924,2947,0.015707710080977502,0.013911813251591605
6419,6433,0.01573448083447016,0.01402970997406272
6624,6633,0.01576772113748382,0.014147606696533836
1829,1839,0.015782394978709507,0.014265503419004951
6722,6738,0.01578884203605728,0.014383400141476066
8426,8432,0.01579293994192348,0.014501296863947181
1815,1820,0.01581328058309354,0.014619193586418298
8366,8385,0.0158203162441731,0.014737090308889414
3106,3138,0.015825417160468393,0.014854987031360529
8010,8027,0.0158288201735671,0.014972883753831644
6625,6635,0.015840639871546214,0.01509078047630276
2916,2943,0.015859244024758138,0.015208677198773874
2470,2490,0.01586163909706046,0.01532657392124499
8427,8438,0.01586436286339093,0.015444470643716105
1809,1827,0.01587549287286958,0.01556236736618722
6347,6366,0.015905653258561293,0.015680264088658337
7461,7477,0.01591552686842434,0.01579816081112945
4115,4126,0.015926753475342875,0.015916057533600567
6421,6431,0.01593753548710549,0.01603395425607168
929,934,0.015943532347577557,0.016151850978542798
1559,1574,0.01596236397911563,0.01626974770101391
4138,4156,0.015963741684799363,0.016387644423485028
8422,8433,0.015978261932909372,0.01650554114595614
8172,8193,0.015982803042037662,0.01662343786842726
7994,8024,0.015991785646491563,0.016741334590898372
6628,6636,0.01600223681681915,0.01685923131336949
303,311,0.016004402316472398,0.016977128035840602
3756,3786,0.016014662690609582,0.01709502475831172
7783,7798,0.016018648491384437,0.017212921480782833
6966,6980,0.016040941705227886,0.01733081820325395
175,194,0.016062041246546074,0.017448714925725063
6418,6432,0.016069151927464706,0.01756661164819618
645,675,0.016069377720020414,0.017684508370667297
4106,4131,0.01607766527232137,0.01780240509313841
6348,6368,0.016088392148780502,0.017920301815609527
7531,7548,0.016097794690174933,0.01803819853808064
308,316,0.016104480607724927,0.018156095260551758
3573,3595,0.01611995392129655,0.01827399198302287
