,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
8049,7962,2.6104742128430997e-05,6.25e-05
8966,9086,2.6104742128430997e-05,0.000125
8732,8713,2.615623077168234e-05,0.0001875
11891,12001,2.617093048865038e-05,0.00025
14756,14912,2.6170930488678135e-05,0.0003125
9808,10021,2.6182051335129213e-05,0.000375
5709,2761,2.6196513020904293e-05,0.0004375
1573,234,2.61965130209069e-05,0.0005
13118,13367,2.62079229273576e-05,0.0005625
2644,2610,2.6207922927364624e-05,0.000625
4478,4369,2.6207922927371644e-05,0.0006875
5084,4856,2.6207922927371644e-05,0.00075
6813,6937,2.6222145616808207e-05,0.0008125
8195,8313,2.6222145616808207e-05,0.000875
13672,13440,2.6222145616808207e-05,0.0009375
8706,8829,2.6226224007255873e-05,0.001
2361,2540,2.622622400726292e-05,0.0010625
2918,3093,2.623384569979525e-05,0.001125
464,642,2.6233845699797007e-05,0.0011875
15797,15540,2.6233845699816333e-05,0.00125
15067,15262,2.6247828423512645e-05,0.0013125
15485,15484,2.6247828423512645e-05,0.001375
14277,14515,2.6259819804469617e-05,0.0014375
3348,3536,2.6273561588619802e-05,0.0015
7290,7501,2.6278363617608267e-05,0.0015625
9880,10009,2.6278363617608267e-05,0.001625
549,415,2.6278363617613566e-05,0.0016875
2500,2586,2.627836361761533e-05,0.00175
9404,9640,2.628584539394043e-05,0.0018125
4669,2074,2.628584539394747e-05,0.001875
8728,8702,2.629934526042982e-05,0.0019375
12617,12716,2.629934526042982e-05,0.002
13079,13361,2.629934526042982e-05,0.0020625
4675,4893,2.6299345260443767e-05,0.002125
14970,15023,2.6299345260457712e-05,0.0021875
14973,15123,2.6299345260457712e-05,0.00225
15566,15763,2.6299345260457712e-05,0.0023125
7819,8049,2.6304511243098427e-05,0.002375
12134,12191,2.6304511243098427e-05,0.0024375
14231,14419,2.6304511243098427e-05,0.0025
15120,15305,2.632517958782555e-05,0.0025625
5931,4684,2.633071095549195e-05,0.002625
12222,12346,2.633071095549195e-05,0.0026875
15977,15804,2.635696291058217e-05,0.00275
4281,4536,2.6395562383441984e-05,0.0028125
