,Request Id,prefill_time_execution_plus_preemption,cdf
1580,707,0.005892651455921438,6.25e-05
2980,651,0.005892651455921438,0.000125
3325,624,0.005892651455921438,0.0001875
5784,590,0.005892651455921438,0.00025
4129,3500,0.005892651455923215,0.0003125
4303,2997,0.005892651455923215,0.000375
4432,1986,0.005892651455923215,0.0004375
4677,1929,0.005892651455923215,0.0005
5009,2019,0.005892651455923215,0.0005625
5499,4634,0.005892651455923215,0.000625
6290,2820,0.005892651455923215,0.0006875
7871,5615,0.005892651455923215,0.00075
8145,2489,0.005892651455923215,0.0008125
8364,5372,0.005892651455923215,0.000875
9457,8032,0.005892651455923215,0.0009375
9502,8454,0.005892651455923215,0.001
9584,3716,0.005892651455923215,0.0010625
9655,6213,0.005892651455923215,0.001125
10590,4974,0.005892651455923215,0.0011875
11037,7281,0.005892651455923215,0.00125
11160,9194,0.005892651455923215,0.0013125
11594,6278,0.005892651455923215,0.001375
12015,8337,0.005892651455923215,0.0014375
12894,7000,0.005892651455923215,0.0015
12991,9539,0.005892651455923215,0.0015625
13255,9099,0.005892651455923215,0.001625
13687,8360,0.005892651455923215,0.0016875
15510,11422,0.005892651455923215,0.00175
15826,12436,0.005892651455923215,0.0018125
15898,12133,0.005892651455923215,0.001875
15908,11938,0.005892651455923215,0.0019375
15926,13827,0.005892651455923215,0.002
15930,12383,0.005892651455923215,0.0020625
15934,12863,0.005892651455923215,0.002125
15937,12945,0.005892651455923215,0.0021875
15989,14577,0.005892651455923215,0.00225
15990,15005,0.005892651455923215,0.0023125
15991,14774,0.005892651455923215,0.002375
5959,5662,0.006090537627343906,0.0024375
10246,5957,0.006090537627343906,0.0025
11654,9503,0.0061520157872223535,0.0025625
12291,9274,0.0061520157872223535,0.002625
15499,10164,0.0061520157872223535,0.0026875
15815,13673,0.0061520157872223535,0.00275
15892,13910,0.0061520157872223535,0.0028125
15904,15476,0.0061520157872223535,0.002875
15919,13258,0.0061520157872223535,0.0029375
15940,13728,0.0061520157872223535,0.003
15941,15771,0.0061520157872223535,0.0030625
5145,435,0.006152015787234788,0.003125
3639,1504,0.006152015787236564,0.0031875
6226,2106,0.006152015787236564,0.00325
6559,1441,0.006152015787236564,0.0033125
7378,6559,0.006152015787236564,0.003375
8445,2849,0.006152015787236564,0.0034375
8677,4883,0.006152015787236564,0.0035
9007,7805,0.006152015787236564,0.0035625
9290,5227,0.006152015787236564,0.003625
10345,4147,0.006152015787236564,0.0036875
10949,5877,0.006152015787236564,0.00375
9911,8857,0.006168871438859469,0.0038125
12695,8876,0.006168871438859469,0.003875
12926,10852,0.006168871438859469,0.0039375
14533,11787,0.006168871438859469,0.004
15256,10542,0.006168871438859469,0.0040625
2805,187,0.006168871438872348,0.004125
2624,1251,0.00616887143887368,0.0041875
6160,2523,0.00616887143887368,0.00425
6289,4479,0.00616887143887368,0.0043125
8330,4525,0.00616887143887368,0.004375
8691,3383,0.00616887143887368,0.0044375
