,Request Id,request_execution_time,cdf
509,751,0.11391980360537256,6.25e-05
10009,10509,0.1557997325477035,0.000125
31,131,0.19893142335331337,0.0001875
5422,5848,0.21553057708131895,0.00025
236,398,0.22228075909681408,0.0003125
3632,4073,0.23806455088875564,0.000375
1846,2120,0.24898108150214227,0.0004375
46,168,0.2507056018964149,0.0005
12886,13361,0.25385836152572616,0.0005625
41,154,0.26174879572054577,0.000625
8101,8536,0.2779362035904539,0.0006875
686,888,0.28973346228420493,0.00075
4654,5076,0.3058932206007647,0.0008125
10722,11214,0.3318916258068158,0.000875
2,25,0.3438537985937612,0.0009375
3863,4246,0.34935980113717463,0.001
1975,2277,0.3497203348196693,0.0010625
12287,12735,0.35356436987687906,0.001125
431,642,0.3549189735344299,0.0011875
1,8,0.3695257982572101,0.00125
203,350,0.37326205636052834,0.0013125
7163,7610,0.37333007810953434,0.001375
0,5,0.3753395023080029,0.0014375
1611,1866,0.37961346773830656,0.0015
5603,6032,0.38275023628602506,0.0015625
4,20,0.39268639055788557,0.001625
11828,11864,0.3979569480783217,0.0016875
12619,13030,0.4079608208575432,0.00175
11286,11789,0.4120740929879888,0.0018125
6346,6775,0.41372800324866255,0.001875
769,955,0.4138266171494287,0.0019375
9,65,0.414861036840316,0.002
374,560,0.4170928996522588,0.0020625
12986,13450,0.4225922923830837,0.002125
3619,4032,0.42586469035480123,0.0021875
10740,11148,0.4266864787644359,0.00225
3675,4090,0.4269460251846826,0.0023125
945,1200,0.43469064104616156,0.002375
617,809,0.43478577883494346,0.0024375
418,627,0.4354036189526926,0.0025
15090,15538,0.43786817072731793,0.0025625
9557,9973,0.4387601649205025,0.002625
1609,1849,0.4396932480898657,0.0026875
15394,15865,0.45074027416938695,0.00275
2743,3071,0.4545309590349213,0.0028125
6606,6949,0.45492980851308673,0.002875
5656,6072,0.45718008045288194,0.0029375
8684,9122,0.4626379185978473,0.003
11647,12114,0.4637280881742269,0.0030625
474,675,0.47028674289213096,0.003125
384,569,0.47085982090744893,0.0031875
11379,11876,0.4723557111878333,0.00325
5164,5558,0.47296321915613365,0.0033125
744,939,0.4729949952873803,0.003375
2604,2921,0.475737089530389,0.0034375
6058,6379,0.4759580411930298,0.0035
14996,15434,0.4769058869385732,0.0035625
303,472,0.47936678345672173,0.003625
12246,12491,0.4813037028286387,0.0036875
4270,4686,0.4825514260184266,0.00375
8314,8734,0.4878010273102897,0.0038125
1124,1394,0.49001198608902297,0.003875
351,526,0.4940610594240427,0.0039375
4961,5389,0.4943418398689302,0.004
10098,10535,0.49543927531250936,0.0040625
14405,14902,0.49889073289537134,0.004125
616,801,0.49963008179305224,0.0041875
10543,11045,0.500430293810057,0.00425
4613,5023,0.500989506842047,0.0043125
652,845,0.5042183665533575,0.004375
5989,6412,0.5064360791211467,0.0044375
3005,3335,0.5079147776586086,0.0045
5429,5835,0.5131068778672313,0.0045625
14877,15303,0.5148191117137978,0.004625
6700,7121,0.5150535157080262,0.0046875
7,42,0.5174209435616832,0.00475
12589,13041,0.5192699266922414,0.0048125
13136,13240,0.5193737282254636,0.004875
11354,11853,0.5214291294271941,0.0049375
8165,8379,0.5218049227496946,0.005
2942,3249,0.5241914595603513,0.0050625
5895,6350,0.5254576037928299,0.005125
25,96,0.530354573193917,0.0051875
1954,2232,0.5304705168539907,0.00525
4080,4472,0.5305742799135971,0.0053125
10196,10688,0.5310070375173283,0.005375
6531,6966,0.5321448514104569,0.0054375
13783,14238,0.5342012801295607,0.0055
239,357,0.5365056905522925,0.0055625
15372,15833,0.537653657921546,0.005625
6046,6444,0.5380599507353985,0.0056875
6288,6684,0.5398732612784558,0.00575
3060,3393,0.542189818512067,0.0058125
10621,11020,0.543901390065579,0.005875
1841,2087,0.5446620611044966,0.0059375
2783,3092,0.5451351668354767,0.006
23,82,0.5515943964721491,0.0060625
1273,1529,0.5529230474733271,0.006125
4313,4726,0.5553763818894005,0.0061875
1656,1888,0.5571806047991126,0.00625
13294,13772,0.5594561955559998,0.0063125
12562,13020,0.5638575938679992,0.006375
3,3,0.5652038692123876,0.0064375
6590,7024,0.5661989343275404,0.0065
1771,2014,0.5672905742532142,0.0065625
3431,3795,0.56936326548687,0.006625
12044,12299,0.5718279344670453,0.0066875
8834,9265,0.5732511757740038,0.00675
7259,7695,0.5746565395046733,0.0068125
132,255,0.5765612328077266,0.006875
12408,12839,0.5770957574882014,0.0069375
11906,12182,0.5770978848483962,0.007
4265,4665,0.580336263736441,0.0070625
9056,9504,0.5806148776959933,0.007125
9897,10352,0.5811380502031315,0.0071875
1484,1738,0.5811811432710398,0.00725
12,58,0.5822025019158616,0.0073125
8172,8607,0.5828928037898115,0.007375
1833,2077,0.5831279033585095,0.0074375
9756,10226,0.5858227975512491,0.0075
4366,4781,0.5858949308796091,0.0075625
9567,10018,0.5872721229254312,0.007625
6478,6911,0.5877156416317911,0.0076875
7178,7607,0.5894531741415038,0.00775
482,684,0.5910089160214015,0.0078125
306,461,0.5937257173849256,0.007875
5617,6016,0.594094438772072,0.0079375
4652,5057,0.5945140078649349,0.008
7851,8249,0.5947496006105009,0.0080625
12842,13254,0.597196615304785,0.008125
13217,13683,0.5980055658691524,0.0081875
206,334,0.5995706509331559,0.00825
265,407,0.601591435446865,0.0083125
836,1035,0.6037912903082704,0.008375
1137,1397,0.6040763752980366,0.0084375
5728,6154,0.6059616806269283,0.0085
2411,2719,0.607829751084293,0.0085625
5208,5597,0.6087297988165616,0.008625
1853,2095,0.6099737150470873,0.0086875
276,430,0.6100024078513486,0.00875
2762,3076,0.6165152987839725,0.0088125
338,510,0.6193934783793098,0.008875
7252,7687,0.6209397803863242,0.0089375
1949,2210,0.6209420083470323,0.009
9094,9533,0.6214458836527035,0.0090625
3362,3718,0.6225922915881461,0.009125
1654,1887,0.6234061248778784,0.0091875
1573,1823,0.6246115508086584,0.00925
4476,4854,0.6248230548656684,0.0093125
15035,15471,0.6267464769914545,0.009375
1243,1497,0.6298803524443568,0.0094375
9136,9597,0.6336546555598187,0.0095
3212,3571,0.636183132227152,0.0095625
1973,2255,0.6365699219639039,0.009625
9577,9989,0.637223684483518,0.0096875
1519,1779,0.6394148624816971,0.00975
5580,5982,0.6414856268258856,0.0098125
9503,9942,0.6418373619966699,0.009875
13803,14246,0.6423584006628917,0.0099375
6055,6449,0.6424132294066833,0.01
6475,6897,0.6456333638834061,0.0100625
2333,2651,0.6457399003132862,0.010125
1543,1801,0.6457989430036629,0.0101875
13821,14262,0.64584433552332,0.01025
8554,8951,0.6460547854414932,0.0103125
42,124,0.6476553875956045,0.010375
9021,9458,0.6492780371020099,0.0104375
5090,5485,0.6508760962047733,0.0105
8106,8504,0.651164986447863,0.0105625
2280,2583,0.6525918593784881,0.010625
2166,2469,0.6528926568489308,0.0106875
14093,14514,0.6538671102779009,0.01075
8549,8957,0.6545588656519498,0.0108125
14980,15401,0.6548314103598629,0.010875
11339,11826,0.6557816773764913,0.0109375
2254,2559,0.6580671487322469,0.011
14704,15139,0.6580946885324463,0.0110625
2545,2862,0.6597871814128105,0.011125
61,142,0.6613101361165056,0.0111875
464,640,0.6616617246617396,0.01125
2952,3254,0.6622300818631156,0.0113125
1840,2071,0.6646039474023769,0.011375
13936,14372,0.6646536748544798,0.0114375
7789,8186,0.6648073468187808,0.0115
164,302,0.6651265439699859,0.0115625
30,95,0.666362167703763,0.011625
15548,15999,0.6663974277121113,0.0116875
886,1078,0.6675730515637261,0.01175
11648,11937,0.6677468009496296,0.0118125
8517,8930,0.6677686030184048,0.011875
11743,12162,0.6680831645415928,0.0119375
16,61,0.6694527705144624,0.012
2074,2371,0.6701702389942517,0.0120625
15418,15805,0.6702286764210008,0.012125
14238,14718,0.6706959973164619,0.0121875
1670,1905,0.6711325584031976,0.01225
