,Request Id,request_model_execution_time,cdf
601,751,0.5252237169775656,0.00019837333862328903
4012,4073,0.767765718298061,0.00039674667724657806
4867,5076,0.7934134670014025,0.0005951200158698671
0,131,0.9425454944620442,0.0007934933544931561
506,642,0.9992531936514649,0.0009918666931164452
1921,2120,1.1199100067832326,0.0011902400317397343
755,888,1.1669063925960705,0.0013886133703630231
3828,4032,1.216145707674281,0.0015869867089863122
2205,2277,1.2196801308615448,0.0017853600476096013
1692,1866,1.3318693095506149,0.0019837333862328904
4962,5023,1.3334120483036183,0.0021821067248561795
4470,4686,1.4987297833684192,0.0023804800634794686
4034,4246,1.5392371812429015,0.002578853402102757
3263,3335,1.5466462349011294,0.0027772267407260463
56,168,1.6089280503136232,0.0029756000793493354
4597,4665,1.610063082571305,0.0031739734179726245
3888,4090,1.6320286521379,0.0033723467565959135
2996,3071,1.6741134161339852,0.0035707200952192026
3734,3795,1.6965724574271608,0.0037690934338424917
4993,5057,1.6984215101011906,0.003967466772465781
2971,3176,1.7206445867813926,0.00416584011108907
3319,3393,1.7287280274745493,0.004364213449712359
1255,1394,1.7462431118139952,0.004562586788335648
1052,1200,1.7721538880555858,0.004760960126958937
4407,4469,1.7753476523077396,0.004959333465582225
435,569,1.8076160279608533,0.005157706804205514
2858,2921,1.8136565858561704,0.0053560801428288035
3495,3571,1.8207821002824898,0.005554453481452093
3526,3718,1.8505074302884714,0.005752826820075382
4060,4111,1.8576574696001051,0.005951200158698671
508,627,1.9063287829588345,0.00614957349732196
3909,3959,1.9275859198611893,0.006347946835945249
2519,2583,1.9375292223436993,0.006546320174568538
3186,3249,1.9508155718410192,0.006744693513191827
2578,2651,1.9545951090984874,0.006943066851815116
4717,4781,1.9579879940244782,0.007141440190438405
681,809,1.9606948812692528,0.007339813529061694
4277,4472,1.9766392261602117,0.007538186867684983
545,675,2.002585618907663,0.0077365602063082725
1696,1779,2.0072476704243867,0.007934933544931562
2697,2765,2.038602716630987,0.00813330688355485
1751,1823,2.0533633357646863,0.00833168022217814
2657,2719,2.0601500203981615,0.008530053560801429
4948,5007,2.080413703093861,0.008728426899424718
4013,4222,2.082621888646301,0.008926800238048007
2654,2862,2.1023197843501857,0.009125173576671296
819,955,2.1076806602865763,0.009323546915294585
2032,2210,2.112725902470867,0.009521920253917874
721,845,2.1132128574644176,0.009720293592541162
4527,4726,2.121646299115439,0.00991866693116445
3740,3797,2.1223996731811505,0.01011704026978774
1776,1849,2.1617498674447306,0.010315413608411029
44,154,2.175570380207821,0.010513786947034318
3174,3374,2.184304598816608,0.010712160285657607
1271,1416,2.18684235805271,0.010910533624280896
4355,4411,2.257641744164592,0.011108906962904185
2691,2759,2.2632931906335605,0.011307280301527474
2020,2087,2.264745290900909,0.011505653640150763
1418,1529,2.2675326685476875,0.011704026978774052
1721,1888,2.2705687149625446,0.011902400317397342
1852,1927,2.28069051511859,0.01210077365602063
2191,2364,2.2838962055845005,0.01229914699464392
4654,4854,2.2998689198217477,0.012497520333267209
2433,2622,2.310662020367555,0.012695893671890498
3272,3333,2.3199482968389393,0.012894267010513787
810,939,2.3223072295543514,0.013092640349137076
2001,2071,2.354471319196792,0.013291013687760365
2590,2784,2.360623723437407,0.013489387026383654
559,684,2.380971925732105,0.013687760365006943
678,801,2.384104582608315,0.013886133703630232
4623,4683,2.396932166821816,0.014084507042253521
4332,4383,2.3989725399162345,0.01428288038087681
2465,2533,2.404213617177997,0.0144812537195001
4402,4455,2.4089659268139183,0.014679627058123389
2743,2807,2.412259046315971,0.014878000396746678
1791,1867,2.4241978990230333,0.015076373735369967
4726,4785,2.4453891475146023,0.015274747073993256
2795,2861,2.4466345894568007,0.015473120412616545
1115,1235,2.4807975504410926,0.015671493751239832
1288,1397,2.481857735126906,0.015869867089863123
1579,1738,2.4887422966433235,0.01606824042848641
3914,3963,2.496515585499516,0.0162666137671097
1562,1651,2.509155637075383,0.01646498710573299
942,1078,2.5242190313741673,0.01666336044435628
2009,2077,2.5741522944260535,0.016861733782979567
4465,4517,2.583557507370101,0.017060107121602858
3546,3623,2.59607709559568,0.017258480460226145
286,407,2.610008748490452,0.017456853798849436
2108,2288,2.6190794020360157,0.017655227137472723
3009,3077,2.651102140971096,0.017853600476096014
4457,4503,2.6560964451099345,0.0180519738147193
1419,1527,2.6588753018862916,0.018250347153342592
5029,5083,2.6633879168202803,0.01844872049196588
141,255,2.6766133421012697,0.01864709383058917
3031,3099,2.7136197450091046,0.018845467169212458
2597,2663,2.7286836580092566,0.01904384050783575
3578,3635,2.7402229976739463,0.019242213846459036
1041,1158,2.7513248244514337,0.019440587185082323
3247,3299,2.7515057418350484,0.019638960523705614
2566,2750,2.755060118022278,0.0198373338623289
2310,2371,2.761954722333064,0.020035707200952192
2411,2469,2.7708730142824347,0.02023408053957548
4494,4692,2.8053954836648645,0.02043245387819877
626,759,2.8138399168416237,0.020630827216822058
2500,2559,2.820846392213179,0.02082920055544535
906,1035,2.835258667998558,0.021027573894068636
447,560,2.844548789621104,0.021225947232691927
1405,1497,2.863062428744038,0.021424320571315214
2956,3152,2.8700446722625763,0.021622693909938505
3394,3455,2.871379552494247,0.021821067248561792
593,719,2.88638312550789,0.022019440587185083
4802,4863,2.8879209413619953,0.02221781392580837
4984,5184,2.887998029696734,0.02241618726443166
1856,1921,2.9108980169865277,0.02261456060305495
1753,1926,2.9148081617252926,0.02281293394167824
3053,3254,2.9171974500762565,0.023011307280301527
2999,3055,2.91862829996459,0.023209680618924818
3130,3187,2.919377688621087,0.023408053957548105
2214,2394,2.952513515270722,0.023606427296171396
2899,3092,2.957438927586836,0.023804800634794683
1356,1463,2.959328477876423,0.024003173973417974
4411,4461,2.973999208824686,0.02420154731204126
4308,4359,2.9827643298457325,0.024399920650664552
3712,3898,2.985147530814355,0.02459829398928784
2663,2852,2.9924435491787174,0.02479666732791113
4017,4212,2.9937205048441125,0.024995040666534418
280,398,3.0019061939275864,0.02519341400515771
2587,2776,3.0021413337980394,0.025391787343780996
1847,2014,3.0037538223690583,0.025590160682404287
4254,4452,3.0109969249547994,0.025788534021027574
2705,2896,3.011513978798784,0.02598690735965086
1829,1887,3.014512059414971,0.026185280698274152
4139,4334,3.018571481144876,0.02638365403689744
1137,1266,3.036538561856219,0.02658202737552073
1322,1427,3.048051199768366,0.026780400714144018
1825,1998,3.060412228972485,0.02697877405276731
1505,1595,3.091068317091168,0.027177147391390596
4521,4579,3.1003813595951133,0.027375520730013887
1565,1649,3.1144343860157173,0.027573894068637174
2733,2791,3.1161901080643606,0.027772267407260465
1275,1408,3.1491664226447003,0.027970640745883752
2542,2724,3.150405064347263,0.028169014084507043
2513,2567,3.165571286794084,0.02836738742313033
2878,2933,3.1718850937003764,0.02856576076175362
2857,3052,3.175834118018423,0.02876413410037691
257,357,3.1765945463342997,0.0289625074390002
1153,1279,3.183962057603538,0.029160880777623487
3478,3537,3.189817329925938,0.029359254116246777
1005,1127,3.212959888131326,0.029557627454870065
2071,2232,3.2543506417109582,0.029756000793493356
2158,2223,3.2586744862278536,0.029954374132116643
4467,4515,3.3026704333426475,0.030152747470739934
1918,2094,3.30282315642316,0.03035112080936322
2641,2697,3.3076887104504324,0.030549494147986512
2343,2514,3.334843352783353,0.0307478674866098
4213,4261,3.3408041652363076,0.03094624082523309
1845,1905,3.3691437278268244,0.031144614163856377
3560,3750,3.383954997902098,0.031342987502479665
359,472,3.3958086254495865,0.031541360841102956
4929,4975,3.3964224704012853,0.031739734179726246
1747,1916,3.4043368364347497,0.03193810751834954
3297,3351,3.4090570379047715,0.03213648085697282
4560,4607,3.4138673773618224,0.03233485419559611
2775,2831,3.427614367030454,0.0325332275342194
9,124,3.448122169262957,0.03273160087284269
3834,4026,3.4621958585627186,0.03292997421146598
5016,5218,3.47409200551979,0.03312834755008927
404,515,3.491047339561571,0.03332672088871256
2651,2838,3.504480056611032,0.03352509422733584
3255,3444,3.50736581663681,0.033723467565959134
3376,3437,3.5178724560738264,0.033921840904582425
355,461,3.5184215580821814,0.034120214243205715
2064,2224,3.523077337159455,0.034318587581829
4639,4820,3.52332485507967,0.03451696092045229
2978,3033,3.5332180255930856,0.03471533425907558
3453,3519,3.5373375040873407,0.03491370759769887
1913,2090,3.5449945033755776,0.035112080936322156
2443,2509,3.5538697629359803,0.035310454274945446
