,Request Id,request_e2e_time,cdf
600,751,0.2695476047975305,6.25e-05
8312,8536,0.4800822409772536,0.000125
15316,15538,0.7690139927863129,0.0001875
10254,10509,0.852697771484145,0.00025
5608,5848,0.8574115479959801,0.0003125
745,888,0.8977384015535392,0.000375
13132,13361,0.9019841223062031,0.0004375
5773,6032,0.9063950899477504,0.0005
15746,15999,0.9654157066242988,0.0005625
11909,12114,0.9852147776061884,0.000625
43,131,1.0108084732703517,0.0006875
6525,6775,1.021526489721282,0.00075
4,25,1.063659531941419,0.0008125
12276,12491,1.0758761503888081,0.000875
3774,4073,1.083566004931015,0.0009375
12766,13030,1.1274768178855084,0.001
9728,9973,1.1573285813506118,0.0010625
60,168,1.1922864429351687,0.001125
480,642,1.2079360483364,0.0011875
2862,3071,1.2302587664394196,0.00125
14037,14238,1.2366190730263042,0.0013125
13059,13254,1.2388953940935608,0.001375
810,939,1.2948459144354132,0.0014375
1845,2014,1.3056211489738416,0.0015
4217,4472,1.3322046380820325,0.0015625
234,319,1.3348157621080325,0.001625
4799,5057,1.3588704703756775,0.0016875
1652,1823,1.3661282363811154,0.00175
7795,8021,1.3751507757439185,0.0018125
13273,13494,1.386293943590772,0.001875
11532,11789,1.3874342713113492,0.0019375
1715,1866,1.3918698260916926,0.002
10937,11214,1.4079431334248511,0.0020625
8165,8379,1.447377320694045,0.002125
12528,12735,1.4538555114597784,0.0021875
11632,11876,1.4611183023790772,0.00225
2,20,1.466000429590443,0.0023125
4827,5076,1.4867160431959974,0.002375
3491,3718,1.487413092042857,0.0024375
9759,9989,1.4941756678090314,0.0025
432,569,1.5017032789670708,0.0025625
12982,13174,1.5078941245878923,0.002625
13054,13240,1.508617338314707,0.0026875
5808,6072,1.5133198323465535,0.00275
15095,15303,1.5388200393026636,0.0028125
14896,15109,1.5648690168354733,0.002875
853,955,1.5917004090436677,0.0029375
15581,15805,1.6140505028724874,0.003
1937,2120,1.6180396367254843,0.0030625
4417,4686,1.6190602749173308,0.003125
1911,2087,1.644130314364105,0.0031875
8271,8448,1.6579245952590327,0.00325
5134,5389,1.6741448377427446,0.0033125
6337,6539,1.691833823191132,0.003375
274,350,1.69585577451819,0.0034375
15760,15992,1.6976884992709529,0.0035
11595,11853,1.7235383462311802,0.0035625
522,675,1.728366972024041,0.003625
427,560,1.7481835354297957,0.0036875
4522,4781,1.7506024130194646,0.00375
10775,11020,1.7564913817469687,0.0038125
695,809,1.76316495801494,0.003875
14933,15139,1.7729156362129288,0.0039375
737,845,1.7742663027844685,0.004
3307,3571,1.775317621466911,0.0040625
3109,3335,1.7878653031750105,0.004125
13220,13450,1.7898261202781214,0.0041875
13530,13772,1.8016942559377185,0.00425
2409,2622,1.8081536914695278,0.0043125
2063,2277,1.8121047454993118,0.004375
15235,15434,1.8123048595696218,0.0044375
8535,8734,1.8205159152764736,0.0045
8509,8715,1.8544718872416297,0.0045625
6112,6379,1.8550604096006396,0.004625
472,627,1.8591838106165213,0.0046875
12399,12600,1.8623402515240741,0.00475
11990,12162,1.8802982034028446,0.0048125
1,8,1.889955972603733,0.004875
12577,12772,1.8917322087896764,0.0049375
14629,14902,1.9049109363129446,0.005
7818,8026,1.9071025123905656,0.0050625
7543,7784,1.9192018220318232,0.005125
7938,8126,1.9293523713503191,0.0051875
9645,9899,1.9300539649341317,0.00525
10142,10369,1.9797672761385456,0.0053125
689,801,1.9836036283727339,0.005375
1670,1827,1.9900117841207532,0.0054375
3582,3795,1.9919419705867085,0.0055
5611,5835,2.002582494542139,0.0055625
7434,7667,2.0063284548512,0.005625
12984,13172,2.007836029268674,0.0056875
5275,5485,2.0195369423334455,0.00575
1759,1927,2.0246669715422456,0.0058125
6058,6350,2.0254756480002243,0.005875
12108,12299,2.0499400431966706,0.0059375
0,5,2.050623963907262,0.006
14776,14988,2.0520307216308993,0.0060625
8280,8449,2.0819058753378386,0.006125
13883,14100,2.084847426353008,0.0061875
11622,11864,2.0857821278303845,0.00625
7370,7607,2.0866016403477943,0.0063125
14051,14246,2.090773531461309,0.006375
224,302,2.0947840098490005,0.0064375
10799,11045,2.10093344715483,0.0065
6259,6449,2.101484693556415,0.0065625
2721,2921,2.1085771087910246,0.006625
14166,14372,2.1103077070117706,0.0066875
8721,8930,2.1260157148117287,0.00675
13178,13389,2.1345690892587754,0.0068125
1760,1926,2.137493418990971,0.006875
3833,4111,2.137905771765702,0.0069375
6195,6412,2.1431201605693673,0.007
65,154,2.1475996153990717,0.0070625
10694,10941,2.148549418027187,0.007125
12794,13041,2.1515981171442036,0.0071875
6970,7216,2.1530225948540647,0.00725
4034,4246,2.1648939951228954,0.0073125
9704,9942,2.1683022724593,0.007375
285,357,2.1757210994275233,0.0074375
9054,9265,2.178196338467046,0.0075
4261,4517,2.1791429081164893,0.0075625
15164,15366,2.1837134665929625,0.007625
8495,8700,2.187938161153056,0.0076875
1203,1416,2.193091605850242,0.00775
2883,3076,2.1992065003121297,0.0078125
11330,11601,2.204681418832365,0.007875
2875,3074,2.2074101828023345,0.0079375
3591,3797,2.20999457127499,0.008
15814,15998,2.2118201325752125,0.0080625
415,547,2.216806476066594,0.008125
14,65,2.2442736666838687,0.0081875
15609,15833,2.2494116741042944,0.00825
10115,10352,2.2547582862765694,0.0083125
2533,2750,2.255076343739347,0.008375
15641,15865,2.261117073957621,0.0084375
792,919,2.261739381232772,0.0085
8,42,2.266451316476588,0.0085625
2740,2933,2.2667295964743346,0.008625
1184,1394,2.2671079312404743,0.0086875
6141,6391,2.273296418240534,0.00875
14245,14423,2.2825985905940342,0.0088125
9227,9458,2.284515680873483,0.008875
1902,2071,2.2845587180021028,0.0089375
1544,1738,2.2857265433044063,0.009
14057,14262,2.287441229902015,0.0090625
7461,7687,2.2915152195104156,0.009125
258,326,2.293605123248124,0.0091875
2890,3077,2.301928191217314,0.00925
12633,12839,2.306437513771698,0.0093125
6719,6966,2.30915675811616,0.009375
7993,8186,2.314139016280592,0.0094375
2799,2958,2.3206874718736117,0.0095
5132,5378,2.3271528754791007,0.0095625
11988,12152,2.337437067339124,0.009625
15201,15382,2.34231141948635,0.0096875
1909,2077,2.3485411885538667,0.00975
647,768,2.352229902143449,0.0098125
14174,14375,2.353711437836864,0.009875
4770,5023,2.3634676906639243,0.0099375
2444,2651,2.3667468638190883,0.01
4544,4785,2.3782951095585645,0.0100625
15761,15981,2.3805784016644793,0.010125
14332,14514,2.3807630731485006,0.0101875
15816,15995,2.38851440609551,0.01025
10292,10535,2.4037078664796354,0.0103125
10,58,2.4098233601508876,0.010375
3418,3635,2.4240002481379292,0.0104375
834,937,2.425532506600362,0.0105
12013,12182,2.4302294543895187,0.0105625
8599,8813,2.435717220826632,0.010625
9280,9504,2.4358256266467606,0.0106875
11712,11937,2.445105486050579,0.01075
15770,15983,2.4463634827015994,0.0108125
2907,3092,2.4517417168731868,0.010875
1710,1849,2.451849797069258,0.0109375
1660,1815,2.453749193712355,0.011
6276,6463,2.4610931954300668,0.0110625
7379,7610,2.4646820980186703,0.011125
2640,2861,2.4663365694157164,0.0111875
8889,9122,2.474315229217268,0.01125
7820,8024,2.4767327963329535,0.0113125
5333,5558,2.478331097506725,0.011375
1762,1921,2.4825405899086945,0.0114375
2801,2956,2.483349971999729,0.0115
31,96,2.4865332284034283,0.0115625
13917,14111,2.4882255416844146,0.011625
582,719,2.504979763672722,0.0116875
6522,6749,2.511176065033169,0.01175
1835,2004,2.5165103263752258,0.0118125
2343,2559,2.5177510196773767,0.011875
10974,11227,2.5178146577907228,0.0119375
1648,1811,2.519404134349486,0.012
14167,14369,2.523758271368024,0.0120625
2493,2719,2.523995380638638,0.012125
9981,10226,2.5286041966244284,0.0121875
8062,8235,2.529151913301348,0.01225
10168,10381,2.530493108477799,0.0123125
15424,15627,2.5315988504776215,0.012375
