,Request Id,request_execution_plus_preemption_time,cdf
481,751,0.2880244471197321,6.25e-05
8175,8536,0.4711941033263764,0.000125
15581,15999,0.8757269637057745,0.0001875
652,888,0.886596519018224,0.00025
15177,15538,0.9929455550085563,0.0003125
3597,4073,0.9940559386549539,0.000375
0,25,1.1620103782691706,0.0004375
10725,11214,1.2625801074935203,0.0005
11757,12114,1.282063389997175,0.0005625
7609,8021,1.4318875838857847,0.000625
1539,1823,1.5785987936772528,0.0006875
732,939,1.6187927779389042,0.00075
15599,15992,1.619802138096625,0.0008125
9584,9989,1.7135817869785714,0.000875
31,168,1.7166439284375081,0.0009375
12959,13361,1.7264680377218447,0.001
5908,6379,1.7788870027666204,0.0010625
9536,9973,1.7816609373373575,0.001125
10083,10509,1.823689363242817,0.0011875
10664,11148,1.8864568879052532,0.00125
2764,3071,1.901310373934218,0.0013125
7359,7784,1.9410939693047198,0.001375
12858,13240,2.0133041145041193,0.0014375
1,8,2.093153083509688,0.0015
11442,11876,2.1017591049870394,0.0015625
14764,15109,2.102279905670457,0.001625
599,809,2.105496320555327,0.0016875
11423,11864,2.1243549133010835,0.00175
4656,5076,2.1313180346862044,0.0018125
15658,15998,2.1377014512700536,0.001875
3428,3795,2.1627067714083323,0.0019375
3167,3571,2.1839920216513864,0.002
6,65,2.2395630977223298,0.0020625
23,131,2.2471142027503994,0.002125
5436,5848,2.3230081883094247,0.0021875
4084,4517,2.3254585102577594,0.00225
6211,6539,2.3366204117944447,0.0023125
15606,15981,2.362215542814715,0.002375
4343,4781,2.366582904749442,0.0024375
391,627,2.383549116186657,0.0025
15618,15983,2.388401370315618,0.0025625
6001,6412,2.408745797529894,0.002625
13904,14238,2.4175689952672363,0.0026875
15675,15995,2.4742779476594383,0.00275
12789,13174,2.4758304134808875,0.0028125
12569,13030,2.475939939870614,0.002875
15598,15977,2.485805396801788,0.0029375
13099,13494,2.488910912425735,0.003
3628,4090,2.4960723119978905,0.0030625
3364,3718,2.503583640461888,0.003125
402,642,2.5158234558210055,0.0031875
6107,6449,2.5346931186822,0.00325
3,20,2.5375848672891244,0.0033125
598,801,2.5420842555478833,0.003375
349,560,2.547701457123187,0.0034375
2596,2921,2.573593066390868,0.0035
14978,15303,2.578035151909407,0.0035625
8024,8379,2.580634021975305,0.003625
180,319,2.6058896330023558,0.0036875
6134,6463,2.611664943669693,0.00375
10218,10688,2.616689083761883,0.0038125
360,569,2.6169047990476,0.003875
1761,2014,2.6696368816494256,0.0039375
3675,4111,2.683175655751528,0.004
2789,3076,2.6832392054735434,0.0040625
6515,6949,2.689944222821152,0.004125
12874,13254,2.713032639468759,0.0041875
15451,15805,2.7145754162031763,0.00425
35,154,2.7400384751807683,0.0043125
12242,12600,2.759106719475656,0.004375
2508,2861,2.760656195232496,0.0044375
9529,9942,2.7981342839815557,0.0045
5595,6032,2.8019547582713704,0.0045625
1524,1801,2.813492081916557,0.004625
2632,2933,2.828566626118598,0.0046875
2791,3074,2.8513968190138774,0.00475
9952,10352,2.8549841596101992,0.0048125
13763,14100,2.859583394669027,0.004875
11396,11853,2.9024654494312205,0.0049375
4598,5023,2.9065002250540513,0.005
15,96,2.9071483007464054,0.0050625
1548,1811,2.963325457444706,0.005125
3657,4100,2.9682204195712276,0.0051875
4645,5057,2.9814811827373413,0.00525
13082,13464,3.001158931767833,0.0053125
727,919,3.0158793808692366,0.005375
12793,13172,3.0176998412762748,0.0054375
1589,1827,3.024255815679029,0.0055
15281,15627,3.0261399407476457,0.0055625
777,955,3.0748263508924607,0.005625
6393,6775,3.078815305913663,0.0056875
1566,1815,3.0812741916666466,0.00575
2,5,3.0857767915142205,0.0058125
13061,13450,3.100242577430751,0.005875
1863,2120,3.1014798266439705,0.0059375
9081,9458,3.1202331893738595,0.006
4239,4686,3.14535819331729,0.0060625
9981,10369,3.179035013213018,0.006125
7175,7607,3.1836898646836493,0.0061875
14465,14902,3.2126296414097784,0.00625
15612,15968,3.230769426506434,0.0063125
5111,5485,3.2531901256655535,0.006375
120,261,3.264796618393313,0.0064375
14825,15139,3.2745896077317256,0.0065
1497,1779,3.314650980837718,0.0065625
6711,7121,3.316412754801998,0.006625
113,255,3.323768528391371,0.0066875
14043,14372,3.3370660015876874,0.00675
445,675,3.345112918237095,0.0068125
6099,6439,3.359277106143719,0.006875
15625,15970,3.3640801760408303,0.0069375
562,768,3.3651503668213376,0.007
12760,13151,3.3660637046104074,0.0070625
1632,1866,3.3673594565475495,0.007125
2774,3055,3.3720687311958133,0.0071875
3002,3335,3.38130349613263,0.00725
15601,15965,3.386877328662756,0.0073125
14117,14423,3.389421309263569,0.007375
10467,10910,3.393442873017557,0.0074375
248,398,3.4037433747140424,0.0075
7662,8026,3.421562323446737,0.0075625
8107,8418,3.441811358727434,0.007625
