,Request Id,request_execution_plus_preemption_time,cdf
1,25,1.0917184127444088,0.03125
2,20,1.471169807495868,0.0625
0,8,1.9169007974085899,0.09375
5,30,2.0178964728454094,0.125
3,5,2.2663657362474936,0.15625
7,24,2.9007468124415814,0.1875
6,13,3.008352617120269,0.21875
4,3,3.0521434445530815,0.25
9,28,3.288743419686108,0.28125
12,26,3.827241035363522,0.3125
8,17,3.836737959758645,0.34375
10,7,4.367637647559422,0.375
11,11,4.376025327415744,0.40625
14,27,4.496264634194434,0.4375
13,15,4.574921554438548,0.46875
17,29,4.6410666870674575,0.5
15,18,5.081606901219287,0.53125
22,31,5.274601442411581,0.5625
20,21,5.374362496455726,0.59375
16,12,5.392015700679662,0.625
19,16,5.464546258069798,0.65625
21,19,5.659155745640829,0.6875
18,4,6.076660506014255,0.71875
23,14,6.352475242185625,0.75
27,22,6.670777819549131,0.78125
24,2,6.96660677831869,0.8125
25,6,7.30182500150247,0.84375
26,1,7.787304650918902,0.875
28,23,8.266425649489346,0.90625
29,0,11.07377668892213,0.9375
30,10,11.820626957010024,0.96875
31,9,20.488674377747387,1.0
