,Time (sec),request_completion
0,0.6702496207044657,1
1,0.6995350793930948,2
2,0.8887513515059496,3
3,1.296349953100547,4
4,1.341054387924017,5
5,1.569623749836106,6
6,1.5863181789113572,7
7,1.704388222236182,8
8,1.950396250737754,9
9,2.07453263426015,10
10,2.140375829162728,11
11,2.1410982796312856,12
12,2.2580428894761773,13
13,2.318693658019208,14
14,2.4041241871087564,15
15,2.405431899425208,16
16,2.4798474525402074,17
17,2.488125901498702,18
18,2.609998712345132,19
19,2.6131903500730926,20
20,2.627548864468616,21
21,2.634562525783013,22
22,2.679679604752942,23
23,2.692243437588064,24
24,2.799398062095608,25
25,2.9181682116863303,26
26,3.249581992443,27
27,3.361908364023611,28
28,3.587712244913821,29
29,3.7152619520086105,30
30,4.356660688524523,31
31,7.111472871575749,32
