,Request Id,request_e2e_time,cdf
93,751,0.4657762445317246,6.25e-05
2,131,1.1839364703825457,0.000125
4,154,1.2351346343037608,0.0001875
7,168,1.282012325794827,0.00025
16,255,1.768165416622638,0.0003125
233,888,1.7973830017405508,0.000375
0,25,2.178163573315883,0.0004375
1,42,2.301323440365682,0.0005
3,65,2.3085130633670796,0.0005625
9,82,2.439993979904095,0.000625
46,398,2.6970098119592922,0.0006875
10,58,2.8256963464969886,0.00075
128,642,2.880823958366575,0.0008125
68,472,3.078255865784314,0.000875
44,357,3.100120311639877,0.0009375
449,1158,3.1113546394216733,0.001
136,627,3.156799714245576,0.0010625
12,96,3.210589655622027,0.001125
5,3,3.2304149295550566,0.0011875
15,142,3.2358013287570673,0.00125
45,350,3.3048294224258132,0.0013125
6,8,3.3069251146395877,0.001375
506,1235,3.3170880753504655,0.0014375
92,526,3.3475708797515207,0.0015
13,95,3.364801023395967,0.0015625
8,5,3.370922388778104,0.001625
39,319,3.3895399340439267,0.0016875
19,146,3.391340833194378,0.00175
419,1078,3.4088174863955967,0.0018125
11,20,3.432215743682062,0.001875
74,461,3.4526986868843847,0.0019375
114,569,3.4827928333336153,0.002
497,1200,3.580190397171414,0.0020625
17,124,3.652813146445455,0.002125
66,407,3.735323126077838,0.0021875
98,515,3.7918580106695785,0.00225
34,261,3.8367326810990963,0.0023125
18,110,3.8673036371937983,0.002375
127,560,3.8864844086409436,0.0024375
649,1394,3.9267639539523067,0.0025
25,178,3.9327163475521814,0.0025625
119,547,3.942792627073919,0.002625
102,507,3.949273137490038,0.0026875
344,939,4.0406957284704195,0.00275
366,955,4.043270486423372,0.0028125
292,845,4.079388158053122,0.002875
106,491,4.091645900919907,0.0029375
108,510,4.0965979494959015,0.003
269,809,4.132413374837444,0.0030625
91,443,4.295765639813054,0.003125
496,1127,4.332470339947516,0.0031875
434,1035,4.337745943214937,0.00325
14,30,4.342549033513654,0.0033125
135,535,4.370906643254732,0.003375
118,513,4.383363412086802,0.0034375
511,1150,4.396526041132885,0.0035
100,455,4.440526230925526,0.0035625
281,801,4.522001037716844,0.003625
213,675,4.528032364416948,0.0036875
695,1397,4.655121195762547,0.00375
26,116,4.688012546904682,0.0038125
229,684,4.711681121913884,0.003875
27,126,4.740634422851016,0.0039375
474,1067,4.756678583144085,0.004
62,326,4.7682894743662425,0.0040625
20,51,4.834316861801327,0.004125
69,343,4.8744778820050625,0.0041875
28,123,4.881133081085946,0.00425
38,211,4.888089043619347,0.0043125
21,74,4.9736808834878765,0.004375
131,468,5.050771418797011,0.0044375
61,299,5.052213044190642,0.0045
443,992,5.055857272375485,0.0045625
49,240,5.071541550817171,0.004625
218,640,5.109828519216531,0.0046875
732,1416,5.11720087507803,0.00475
30,117,5.166619996266252,0.0048125
624,1266,5.2029641441573204,0.004875
216,622,5.21871090415053,0.0049375
613,1250,5.244776065841624,0.005
512,1081,5.254195729156761,0.0050625
519,1092,5.276056342277117,0.005125
67,302,5.29185069787879,0.0051875
572,1169,5.304823749546056,0.00525
78,325,5.355453846017145,0.0053125
