,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
1264,1305,0.0002581553136441309,0.0004885197850512946
584,613,0.0002581553136442505,0.0009770395701025891
2006,2035,0.00025842719917719474,0.0014655593551538837
1703,1706,0.0002590392808005397,0.0019540791402051783
1120,1139,0.00025903928080059916,0.002442598925256473
1138,1159,0.0002590868848620609,0.0029311187103077674
885,910,0.0002591748324912326,0.003419638495359062
396,433,0.0002593929517401783,0.0039081582804103565
1474,1498,0.0002595281226375926,0.004396678065461651
208,238,0.00025954622540281077,0.004885197850512946
1062,1093,0.00025957827034908725,0.00537371763556424
1711,1745,0.0002596352168935751,0.005862237420615535
786,829,0.00025963659020490003,0.006350757205666829
1951,1966,0.0002596394867127034,0.006839276990718124
258,266,0.00025973281506880844,0.0073277967757694185
1630,1653,0.0002597328150688187,0.007816316560820713
420,455,0.0002597668008465001,0.008304836345872008
1423,1451,0.0002597726627468804,0.008793356130923302
12,30,0.00025979888750190925,0.009281875915974597
499,532,0.0002598262105434519,0.009770395701025891
2023,2037,0.0002598262105434928,0.010258915486077186
542,561,0.00025985243329992494,0.01074743527112848
1567,1591,0.00025990847298658685,0.011235955056179775
1162,1202,0.00025991967320915596,0.01172447484123107
1505,1513,0.0002599253052487789,0.012212994626282364
895,928,0.00025992530524903334,0.012701514411333659
544,559,0.00025997011890549054,0.013190034196384953
866,903,0.0002599911311762444,0.013678553981436248
1930,1950,0.00026001320313834243,0.014167073766487542
380,417,0.000260021957887367,0.014655593551538837
250,259,0.00026008940846007834,0.015144113336590131
497,536,0.00026009234880764934,0.015632633121641426
753,791,0.0002601241886561594,0.01612115290669272
1629,1645,0.00026012939194200403,0.016609672691744015
1687,1710,0.00026012939194200403,0.01709819247679531
832,856,0.0002601373809219136,0.017586712261846604
1015,1037,0.0002601455550520963,0.0180752320468979
1697,1730,0.0002601455550520963,0.018563751831949193
1541,1573,0.0002601568940356373,0.019052271617000488
349,371,0.0002601843843167816,0.019540791402051783
449,457,0.0002601843843167816,0.020029311187103077
1809,1829,0.0002602675381936992,0.02051783097215437
1219,1213,0.0002602691854166472,0.021006350757205666
1302,1321,0.000260272447059582,0.02149487054225696
834,864,0.000260276484983736,0.021983390327308255
798,693,0.00026034211570365157,0.02247191011235955
11,32,0.0002603498918941248,0.022960429897410845
1845,1855,0.0002604058312533133,0.02344894968246214
988,999,0.0002604177443548257,0.023937469467513434
808,831,0.0002604206095555561,0.024425989252564728
843,879,0.00026048563219224877,0.024914509037616023
1668,1686,0.00026051312131750875,0.025403028822667317
1575,1616,0.00026052071026241597,0.025891548607718612
1606,1623,0.00026054356810572497,0.026380068392769906
51,54,0.0002605442713551332,0.0268685881778212
1605,1598,0.00026054926733298236,0.027357107962872496
625,664,0.000260549267333028,0.02784562774792379
829,842,0.00026060569883029356,0.028334147532975085
1821,1817,0.00026061344397392173,0.02882266731802638
259,271,0.000260654549843835,0.029311187103077674
666,708,0.0002606636123964119,0.02979970688812897
1477,1500,0.0002606636123964518,0.030288226673180263
1725,1760,0.0002606686493369545,0.030776746458231558
884,921,0.00026068950824144696,0.03126526624328285
1466,1499,0.00026071465307837767,0.03175378602833415
1191,1206,0.00026072237564398745,0.03224230581338544
1085,1053,0.0002607337869459394,0.032730825598436736
324,329,0.00026074481755652154,0.03321934538348803
343,348,0.0002607738096241974,0.033707865168539325
1431,1404,0.0002607738096241974,0.03419638495359062
442,458,0.0002608103015705924,0.034684904738641914
151,173,0.0002608159408223201,0.03517342452369321
1246,1232,0.00026083502042093513,0.0356619443087445
256,284,0.0002608467913229427,0.0361504640937958
1487,1503,0.00026085813319443995,0.03663898387884709
53,47,0.00026086330823372247,0.03712750366389839
1380,1414,0.0002608633082337453,0.03761602344894968
671,588,0.00026086697640148365,0.038104543234000976
355,364,0.0002608787709580699,0.03859306301905227
141,151,0.00026088382657723315,0.039081582804103565
3,20,0.00026088382657723505,0.03957010258915486
733,770,0.00026088504067208693,0.040058622374206154
934,958,0.0002609285767409064,0.04054714215925745
1287,1318,0.00026094246804575505,0.04103566194430874
1870,1876,0.0002609465160400519,0.04152418172936004
279,301,0.000260960209774036,0.04201270151441133
610,615,0.0002609896286275745,0.04250122129946263
1610,1594,0.00026099626256990944,0.04298974108451392
119,146,0.00026101667863199954,0.043478260869565216
513,552,0.0002610204722878734,0.04396678065461651
1864,1884,0.0002610204722879037,0.044455300439667805
774,821,0.0002610222001986534,0.0449438202247191
1676,1698,0.0002610280158844297,0.045432340009770394
55,74,0.0002610469137611862,0.04592085979482169
1873,1899,0.0002610820346814018,0.046409379579872984
1669,1680,0.00026108934254942794,0.04689789936492428
512,488,0.00026110418003279576,0.04738641914997557
1550,1572,0.00026110418003292917,0.04787493893502687
1348,1380,0.00026112367965959037,0.04836345872007816
263,280,0.00026114060980476125,0.048851978505129456
1936,1968,0.0002611417330702183,0.04934049829018075
1631,1673,0.00026114687659075563,0.049829018075232046
1355,1370,0.000261148726129937,0.05031753786028334
856,885,0.0002611597574918994,0.050806057645334635
1673,1689,0.0002611824889434877,0.05129457743038593
1957,1975,0.0002612038545679959,0.051783097215437224
177,174,0.00026120385456813755,0.05227161700048852
1242,1247,0.00026121196797455263,0.05276013678553981
1969,1993,0.00026121196797455263,0.05324865657059111
556,562,0.00026121196797465276,0.0537371763556424
525,569,0.00026122188002982566,0.0542256961406937
1488,1516,0.0002612252073887415,0.05471421592574499
629,675,0.00026122520738893016,0.055202735710796286
415,461,0.00026122800626055724,0.05569125549584758
1559,1557,0.0002612280062606143,0.056179775280898875
802,798,0.0002612403101780868,0.05666829506595017
1507,1512,0.0002612463284378833,0.057156814851001464
1231,1265,0.00026125061794660885,0.05764533463605276
1148,1196,0.0002612506179467863,0.05813385442110405
600,607,0.0002612631200296963,0.05862237420615535
787,820,0.0002612686577141958,0.05911089399120664
722,739,0.0002612724234389753,0.05959941377625794
933,959,0.00026127570182323684,0.06008793356130923
1200,1226,0.0002612880213937333,0.060576453346360526
1025,1055,0.00026128878253573894,0.06106497313141182
980,991,0.00026129919142542417,0.061553492916463115
683,713,0.00026130586698520984,0.06204201270151441
981,1012,0.00026130586698520984,0.0625305324865657
1037,1054,0.00026130789689171157,0.063019052271617
1145,1128,0.00026131546123413945,0.0635075720566683
287,309,0.00026131994415587087,0.06399609184171959
1984,2008,0.0002613202624177296,0.06448461162677088
1927,1951,0.0002613232335043647,0.06497313141182218
1016,977,0.00026132356234973974,0.06546165119687347
639,617,0.0002613242235057888,0.06595017098192477
1283,1300,0.0002613475811941357,0.06643869076697606
620,655,0.0002613525893042987,0.06692721055202736
463,484,0.0002613547145843444,0.06741573033707865
1058,1064,0.00026135978152680753,0.06790425012212994
1014,1028,0.00026136317454124655,0.06839276990718124
1422,1442,0.00026136317454124655,0.06888128969223253
532,550,0.0002613689812597832,0.06936980947728383
313,334,0.0002613745311019311,0.06985832926233512
82,97,0.000261377607999841,0.07034684904738642
711,745,0.00026139410866897705,0.07083536883243771
2022,2042,0.0002613988974333272,0.071323888617489
