,Request Id,request_model_execution_time_normalized,cdf
1804,1831,0.031583722937827435,0.0004885197850512946
289,312,0.032536668719155996,0.0009770395701025891
186,213,0.03277548403433917,0.0014655593551538837
912,948,0.03296077282627943,0.0019540791402051783
308,317,0.03411866053067004,0.002442598925256473
334,346,0.034413790314864696,0.0029311187103077674
35,46,0.03445064374091439,0.003419638495359062
402,439,0.034636922554350705,0.0039081582804103565
1726,1779,0.03465121864258412,0.004396678065461651
333,344,0.03477575699666257,0.004885197850512946
753,791,0.034857317826302484,0.00537371763556424
85,101,0.03508171057338469,0.005862237420615535
929,961,0.035166539875084814,0.006350757205666829
12,30,0.03526657926802367,0.006839276990718124
294,319,0.0357691464797381,0.0073277967757694185
1773,1812,0.03599745232273779,0.007816316560820713
72,95,0.03602176932900563,0.008304836345872008
1793,1809,0.0364218828089076,0.008793356130923302
105,126,0.036450531902622846,0.009281875915974597
805,838,0.03686525205696127,0.009770395701025891
797,837,0.03694921877459545,0.010258915486077186
907,941,0.03700807839138132,0.01074743527112848
76,94,0.03702774732017761,0.011235955056179775
2020,2046,0.03720546276310296,0.01172447484123107
1962,2003,0.03728005134178024,0.012212994626282364
813,844,0.03729434599229691,0.012701514411333659
312,313,0.03740196953184588,0.013190034196384953
919,949,0.03757887942574074,0.013678553981436248
1,5,0.037794913873524065,0.014167073766487542
1784,1823,0.03786894907771508,0.014655593551538837
330,351,0.03790732016701612,0.015144113336590131
1762,1811,0.03794526692918526,0.015632633121641426
756,801,0.0380071515507512,0.01612115290669272
744,774,0.038103518162525905,0.016609672691744015
815,843,0.03819535423157236,0.01709819247679531
32,52,0.03832583368922018,0.017586712261846604
1919,1940,0.03842647347163048,0.0180752320468979
170,197,0.0384906152342903,0.018563751831949193
1858,1916,0.039006814346559775,0.019052271617000488
2017,2049,0.0390649467149485,0.019540791402051783
1795,1813,0.039129683459726346,0.020029311187103077
1797,1827,0.03942761073063645,0.02051783097215437
966,984,0.039532167668742235,0.021006350757205666
336,349,0.039775808857956944,0.02149487054225696
316,343,0.039978564622083296,0.021983390327308255
1699,1742,0.04000767953554908,0.02247191011235955
1823,1840,0.04006906907827809,0.022960429897410845
1844,1880,0.04007387962970268,0.02344894968246214
1789,1819,0.04015097105592605,0.023937469467513434
748,775,0.04021186925779945,0.024425989252564728
1989,2017,0.04021263804910139,0.024914509037616023
242,262,0.04023503176691851,0.025403028822667317
229,258,0.0402442330052712,0.025891548607718612
311,328,0.040296634717813466,0.026380068392769906
74,89,0.040307206042716516,0.0268685881778212
746,771,0.04039080070073154,0.027357107962872496
33,51,0.04040019396550657,0.02784562774792379
1922,1938,0.04042541236012363,0.028334147532975085
631,669,0.040558226548841496,0.02882266731802638
174,196,0.04056936579368644,0.029311187103077674
1460,1491,0.040619870065320675,0.02979970688812897
1772,1815,0.04083046751908717,0.030288226673180263
361,398,0.04084721833883183,0.030776746458231558
783,825,0.040875926945099145,0.03126526624328285
629,675,0.04095981597677899,0.03175378602833415
739,776,0.0410647903243804,0.03224230581338544
75,91,0.041078896289363606,0.032730825598436736
1826,1843,0.04108071838491491,0.03321934538348803
244,264,0.04110970638704674,0.033707865168539325
1819,1838,0.04118068033431707,0.03419638495359062
685,734,0.04145909708311109,0.034684904738641914
1481,1527,0.041604399214335265,0.03517342452369321
313,334,0.0416707898730308,0.0356619443087445
1796,1818,0.041697260939203534,0.0361504640937958
758,789,0.04175151195934697,0.03663898387884709
89,93,0.041772766008165534,0.03712750366389839
630,670,0.04195943212051518,0.03761602344894968
1566,1595,0.042013145439809,0.038104543234000976
1955,2004,0.04209423991561158,0.03859306301905227
575,642,0.042127765446774226,0.039081582804103565
408,438,0.04214136480262939,0.03957010258915486
315,327,0.042173327998165616,0.040058622374206154
111,122,0.04230271173021561,0.04054714215925745
318,345,0.04233244510315461,0.04103566194430874
968,987,0.0423638237361293,0.04152418172936004
749,773,0.04244005280272807,0.04201270151441133
743,781,0.04252372114901725,0.04250122129946263
270,299,0.04254143635150016,0.04298974108451392
320,323,0.042623219861193315,0.043478260869565216
2002,2026,0.04267565253335438,0.04396678065461651
693,744,0.04279164429490121,0.044455300439667805
2034,2067,0.04280984808348113,0.0449438202247191
327,320,0.04286178000346462,0.045432340009770394
1817,1837,0.04303947355055702,0.04592085979482169
82,97,0.04319832924519786,0.046409379579872984
319,322,0.043215932720091776,0.04689789936492428
86,108,0.04324661998568882,0.04738641914997557
1936,1968,0.043318855291743286,0.04787493893502687
178,208,0.04350952436089526,0.04836345872007816
238,257,0.04353193390336426,0.048851978505129456
51,54,0.0435735319085914,0.04934049829018075
298,305,0.043810774946869684,0.049829018075232046
1565,1584,0.04401148163823758,0.05031753786028334
87,88,0.044133238712033666,0.050806057645334635
1811,1828,0.04421032827972005,0.05129457743038593
116,125,0.044270626702858834,0.051783097215437224
246,260,0.0442743896030373,0.05227161700048852
1810,1820,0.044304437531391364,0.05276013678553981
965,993,0.04431852094008996,0.05324865657059111
279,301,0.04435715948909593,0.0537371763556424
303,307,0.04441574369756052,0.0542256961406937
1816,1832,0.04451339408619932,0.05471421592574499
1458,1493,0.04454592382690593,0.055202735710796286
908,946,0.04454803896715176,0.05569125549584758
310,321,0.04459885567524182,0.056179775280898875
2005,2020,0.04464569820960518,0.05666829506595017
16,28,0.044663815399769054,0.057156814851001464
77,92,0.0446885063801717,0.05764533463605276
1897,1935,0.04486749297322377,0.05813385442110405
2021,2051,0.044871332990741,0.05862237420615535
755,780,0.044928857951857595,0.05911089399120664
