,Request Id,prefill_e2e_time,cdf
2056,782,0.04470753547877848,0.0003756574004507889
1757,790,0.07383929904585784,0.0007513148009015778
1798,925,0.07479866788571599,0.0011269722013523666
2450,1487,0.07943637288917671,0.0015026296018031556
2173,960,0.08074910733512297,0.0018782870022539444
2507,1861,0.09108018960569098,0.002253944402704733
2098,924,0.0937818993388646,0.002629601803155522
323,398,0.09720124208763536,0.003005259203606311
1151,39,0.11107315879296209,0.0033809166040570998
1375,1435,0.12745150772673242,0.003756574004507889
2636,1577,0.13329110005270195,0.004132231404958678
1507,1396,0.13904007438941335,0.004507888805409466
2303,1027,0.1491913377703895,0.004883546205860256
1062,1090,0.15803104926919787,0.005259203606311044
948,295,0.16863718286717244,0.005634861006761833
584,618,0.17453850199518683,0.006010518407212622
865,645,0.19764210435425866,0.006386175807663411
655,677,0.20744478686549428,0.0067618332081141996
892,948,0.2093387459351561,0.007137490608564989
904,938,0.2114120792579115,0.007513148009015778
589,619,0.2184657017716063,0.007888805409466567
899,961,0.2231613690926224,0.008264462809917356
1982,590,0.23754801794262903,0.008640120210368144
2615,2034,0.2482467932277359,0.009015777610818933
2040,2091,0.2567286825114934,0.009391435011269721
247,299,0.261813741282964,0.009767092411720512
1067,1200,0.27206907053698615,0.0101427498121713
2627,2610,0.27529154734725125,0.010518407212622089
310,307,0.2819370391110283,0.010894064613072877
1709,1746,0.28405555836820895,0.011269722013523666
1847,1854,0.284869869187105,0.011645379413974455
1398,1422,0.28977261496856954,0.012021036814425245
2403,2419,0.30796727477809327,0.012396694214876033
1011,950,0.3138543448725386,0.012772351615326822
1418,1468,0.31818343184284004,0.01314800901577761
884,926,0.31902310028317515,0.013523666416228399
2016,2095,0.32115738326228893,0.01389932381667919
2630,2659,0.3223730788438388,0.014274981217129978
2598,2645,0.3245708290251059,0.014650638617580767
1290,1381,0.3294187214401063,0.015026296018031555
2621,2724,0.33229747018935996,0.015401953418482344
2273,1229,0.3341736331570928,0.015777610818933134
2509,2570,0.33982117772984566,0.016153268219383923
2556,2607,0.34232958485335985,0.01652892561983471
2291,2382,0.34406910897519083,0.0169045830202855
1109,1131,0.3441074132324502,0.01728024042073629
389,320,0.3457919502242248,0.017655897821187077
797,850,0.34616184564856667,0.018031555221637866
856,907,0.3485041149195922,0.018407212622088654
26,38,0.34934689146592746,0.018782870022539443
1606,487,0.3518006775994422,0.01915852742299023
1917,1938,0.3541736288352695,0.019534184823441023
316,327,0.3586799303682824,0.019909842223891812
1617,1660,0.3600490946239461,0.0202854996243426
2074,2129,0.36666789128844357,0.02066115702479339
1739,1823,0.36737454330477703,0.021036814425244178
1910,1844,0.36954788682896833,0.021412471825694966
964,1042,0.372234153970453,0.021788129226145755
467,520,0.3742859905257774,0.022163786626596543
1551,576,0.37480153704615304,0.022539444027047332
2559,2630,0.37624081688750266,0.02291510142749812
