,Request Id,prefill_time_execution_plus_preemption,cdf
2071,337,0.12952677218268605,0.0003419972640218878
866,948,0.1807981384250752,0.0006839945280437756
637,677,0.195047492422475,0.0010259917920656635
1295,1326,0.20396657711808075,0.0013679890560875513
2890,1109,0.20521073178667848,0.001709986320109439
2030,2098,0.20943885482438418,0.002051983584131327
2714,1229,0.21180673975732134,0.0023939808481532147
1725,1831,0.22902524931168955,0.0027359781121751026
2505,2594,0.23761691121535478,0.0030779753761969904
1744,1888,0.24962827752801786,0.003419972640218878
1594,1664,0.25088864417659806,0.003761969904240766
2356,2435,0.2535956648919182,0.004103967168262654
1058,1114,0.2576622756979532,0.004445964432284542
1823,1864,0.2599089808550161,0.0047879616963064295
2662,2610,0.2658916615871476,0.005129958960328317
1827,1854,0.26812007118587644,0.005471956224350205
2431,2540,0.27138039037913586,0.005813953488372093
1762,1843,0.2864417609962402,0.006155950752393981
2587,2699,0.2864417609962402,0.006497948016415869
914,989,0.29507378016916164,0.006839945280437756
1311,1390,0.3003034242923377,0.007181942544459644
1839,1955,0.3064969697434208,0.007523939808481532
2203,2226,0.3137690056100837,0.00786593707250342
377,426,0.31548092679955175,0.008207934336525308
2594,2724,0.31939883538689173,0.008549931600547196
2608,2667,0.31939883538689173,0.008891928864569083
2043,2157,0.32030979308524365,0.009233926128590971
1904,1978,0.3205993512870009,0.009575923392612859
1224,1285,0.3221670669706782,0.009917920656634747
1408,1359,0.32375998812869966,0.010259917920656635
2093,2205,0.32506196997815096,0.010601915184678522
319,327,0.32506196997829306,0.01094391244870041
2637,2749,0.32912045171156024,0.011285909712722298
841,907,0.3295286354077689,0.011627906976744186
1522,1537,0.3316513059079398,0.011969904240766074
2271,2382,0.33201850978434777,0.012311901504787962
2410,2262,0.33294241514659006,0.01265389876880985
896,1000,0.3377963547665104,0.012995896032831737
2494,2570,0.33779635476685144,0.013337893296853625
1918,1844,0.33835037078847563,0.013679890560875513
1553,1561,0.3384734893699033,0.0140218878248974
1724,1846,0.338473489370017,0.014363885088919288
