,Request Id,request_scheduling_delay,cdf
18,3,0.0,6.65513110608279e-05
212,2,0.0,0.0001331026221216558
318,1,0.0,0.0001996539331824837
587,0,0.0,0.0002662052442433116
127,202,0.0006067318792588594,0.0003327565553041395
0,42,0.002084668181891125,0.0003993078663649674
328,335,0.0026479027383459197,0.0004658591774257953
341,210,0.003528752099999366,0.0005324104884866232
68,243,0.00353856459832258,0.0005989617995474511
151,109,0.0038758824127889113,0.000665513110608279
451,322,0.004357315107242243,0.0007320644216691069
30,123,0.004484557691935009,0.0007986157327299348
314,266,0.0046523803064424385,0.0008651670437907627
288,359,0.005191744593830094,0.0009317183548515906
126,217,0.005364786878960359,0.0009982696659124185
96,86,0.00550057922645486,0.0010648209769732464
135,215,0.005569234249609423,0.0011313722880340743
65,66,0.0061329018343974084,0.0011979235990949022
360,331,0.006304386068094914,0.00126447491015573
266,6,0.006576530225815169,0.001331026221216558
419,355,0.007252686098887295,0.001397577532277386
1,82,0.008327646494355356,0.0014641288433382138
22,78,0.008492354216828701,0.0015306801543990417
230,115,0.009207513272938783,0.0015972314654598696
167,207,0.010056876971944462,0.0016637827765206975
257,338,0.010396864856126342,0.0017303340875815254
252,227,0.011031557396254499,0.0017968853986423533
34,255,0.011687645806414793,0.0018634367097031812
40,211,0.011875743393094496,0.001929988020764009
54,101,0.012270652431510598,0.001996539331824837
93,258,0.01307099916195753,0.002063090642885665
277,327,0.013119959318260044,0.002129641953946493
162,350,0.01460106279640172,0.0021961932650073207
163,214,0.015547018556532066,0.0022627445760681486
73,105,0.01613143259709915,0.0023292958871289765
148,221,0.01621027857710189,0.0023958471981898044
53,135,0.01623495195258151,0.0024623985092506323
171,119,0.01638587824130866,0.00252894982031146
324,346,0.016498692127768777,0.002595501131372288
109,239,0.016673298476909792,0.002662052442433116
95,134,0.017359977466314902,0.002728603753493944
9,110,0.017388207917157672,0.002795155064554772
311,354,0.017861966494052695,0.0028617063756155997
153,203,0.018121255035062234,0.0029282576866764276
187,99,0.018323719400676453,0.0029948089977372555
123,130,0.019210048748959707,0.0030613603087980834
97,238,0.019246904617070015,0.0031279116198589113
208,267,0.019572191910448566,0.003194462930919739
116,133,0.01979133408918443,0.003261014241980567
8,74,0.02017399110824769,0.003327565553041395
84,222,0.021401837920308253,0.003394116864102223
352,274,0.02162895449755098,0.003460668175163051
357,323,0.02209182299023027,0.0035272194862238787
193,270,0.022284428761878416,0.0035937707972847066
164,262,0.022341275477231193,0.0036603221083455345
244,230,0.022840045240034357,0.0037268734194063624
249,374,0.023124720665983034,0.0037934247304671903
239,241,0.023405382123012686,0.003859976041528018
616,330,0.024274057131052018,0.003926527352588846
36,33,0.024493193666872415,0.003993078663649674
92,98,0.024590887442696996,0.004059629974710502
215,41,0.027813881472883217,0.00412618128577133
3240,218,0.03035998660076089,0.004192732596832158
714,37,0.030706844127336375,0.004259283907892986
766,235,0.030997120860078553,0.0043258352189538135
158,198,0.03475073451934563,0.004392386530014641
436,139,0.03532585436968283,0.004458937841075469
279,363,0.03571749145620373,0.004525489152136297
32,261,0.040147084240548025,0.004592040463197125
283,358,0.040766913265620985,0.004658591774257953
2086,234,0.04269316889397601,0.004725143085318781
408,370,0.04587788526283987,0.004791694396379609
45,7,0.04784588933706846,0.004858245707440437
199,251,0.05463348462013684,0.004924797018501265
234,246,0.05677421133351501,0.0049913483295620925
253,129,0.05778569782943954,0.00505789964062292
21,38,0.05904031400174636,0.005124450951683748
233,226,0.05930705355207877,0.005191002262744576
241,245,0.06401778942272784,0.005257553573805404
7,65,0.07560016489424637,0.005324104884866232
196,254,0.07765651552626096,0.00539065619592706
82,43,0.07960068355327587,0.005457207506987888
94,237,0.0821571117529416,0.005523758818048716
13,142,0.08989725661858117,0.005590310129109544
295,242,0.09038164769087587,0.0056568614401703715
15,62,0.09298437268704518,0.005723412751231199
358,362,0.09585185859187106,0.005789964062292027
202,102,0.09946723195170293,0.005856515373352855
60,97,0.10241577736106144,0.005923066684413683
87,63,0.10600053603714965,0.005989617995474511
49,11,0.10859795270030315,0.006056169306535339
177,334,0.10947173312981562,0.006122720617596167
260,138,0.11219414000669126,0.006189271928656995
144,143,0.1126788327010555,0.006255823239717823
100,103,0.11271050732720234,0.0063223745507786505
361,229,0.11838429618625312,0.006388925861839478
138,326,0.11896539436873255,0.006455477172900306
218,247,0.12063580517324013,0.006522028483961134
742,150,0.12435236133279126,0.006588579795021962
1056,9,0.12540749678424667,0.00665513110608279
130,106,0.12657262958811977,0.006721682417143618
42,117,0.12737633539595805,0.006788233728204446
227,21,0.1309614394748011,0.006854785039265274
106,79,0.13166449679017855,0.006921336350326102
386,186,0.1328775259552657,0.0069878876613869295
72,122,0.14522580450304723,0.007054438972447757
48,89,0.1502883097365313,0.007120990283508585
23,114,0.1546263881686496,0.007187541594569413
131,206,0.1547640820691356,0.007254092905630241
256,311,0.1565407936995591,0.007320644216691069
141,111,0.15858017678614722,0.007387195527751897
286,145,0.15961574547560708,0.007453746838812725
29,8,0.16532632738981223,0.007520298149873553
238,371,0.16552031367965725,0.007586849460934381
1186,85,0.16857944113641032,0.0076534007719952085
2809,231,0.16909374769852548,0.007719952083056036
25,158,0.1734010740947216,0.007786503394116864
2462,223,0.1797776542032956,0.007853054705177692
24,5,0.18051905787982725,0.00791960601623852
137,233,0.18278808322100915,0.007986157327299348
223,93,0.19643376686704528,0.008052708638360176
422,70,0.197225243841876,0.008119259949421004
39,53,0.20418235927557138,0.008185811260481832
535,451,0.20427140725370663,0.00825236257154266
14,146,0.20506453725768914,0.008318913882603488
71,201,0.2064953001048906,0.008385465193664315
140,137,0.2067568224642411,0.008452016504725143
265,4,0.20880778741176942,0.008518567815785971
201,225,0.21072062378153333,0.008585119126846799
3051,39,0.2131657829775122,0.008651670437907627
133,113,0.2148280186989222,0.008718221748968455
17,118,0.21755380873724484,0.008784773060029283
438,90,0.22058220827383312,0.00885132437109011
129,259,0.22201816527623208,0.008917875682150939
5,25,0.2240808084558159,0.008984426993211767
183,127,0.22417907907993317,0.009050978304272594
41,87,0.22604284751780135,0.009117529615333422
3,154,0.2277688145131549,0.00918408092639425
190,107,0.22876142734269145,0.009250632237455078
31,83,0.22884226607506353,0.009317183548515906
10,34,0.22919933141424487,0.009383734859576734
2367,342,0.23130299467245408,0.009450286170637562
235,443,0.23264176948427462,0.00951683748169839
214,351,0.2333217273186463,0.009583388792759218
184,77,0.2401697405986276,0.009649940103820046
99,67,0.24062304365393583,0.009716491414880873
63,15,0.24610988888602314,0.009783042725941701
152,194,0.24673100499695266,0.00984959403700253
59,57,0.25131202014966014,0.009916145348063357
267,367,0.2543188024000429,0.009982696659124185
191,219,0.265764697165217,0.010049247970185013
284,378,0.2672834841394547,0.01011579928124584
90,263,0.26770807679282527,0.010182350592306669
566,10,0.2710444937221371,0.010248901903367497
493,447,0.2862951078544569,0.010315453214428325
2,58,0.28647430193202084,0.010382004525489152
86,54,0.2892062915104443,0.01044855583654998
414,391,0.29129156987698224,0.010515107147610808
56,71,0.293706380467909,0.010581658458671636
12,126,0.29445529199206355,0.010648209769732464
146,249,0.2946718212511712,0.010714761080793292
219,339,0.29941659524494924,0.01078131239185412
108,257,0.30610095531472226,0.010847863702914948
4,131,0.30652617363352164,0.010914415013975776
274,375,0.30706186859162443,0.010980966325036604
168,141,0.3086012176162036,0.011047517636097431
28,61,0.3087499106119935,0.01111406894715826
296,153,0.3147011691019941,0.011180620258219087
455,379,0.314945352380434,0.011247171569279915
128,47,0.321118941795941,0.011313722880340743
147,315,0.3257521675100499,0.011380274191401571
248,286,0.32636197938139944,0.011446825502462399
250,455,0.3286619291089963,0.011513376813523227
119,271,0.33519536646410586,0.011579928124584055
737,121,0.3416093090004644,0.011646479435644883
203,147,0.3510001912931955,0.01171303074670571
291,174,0.3514200443552653,0.011779582057766538
104,209,0.3534357725104442,0.011846133368827366
213,250,0.3577466424733977,0.011912684679888194
304,278,0.36017043720589825,0.011979235990949022
125,73,0.37315107247037727,0.01204578730200985
20,94,0.3832684698634292,0.012112338613070678
200,29,0.3846644788447118,0.012178889924131506
412,366,0.38626176059735684,0.012245441235192334
166,55,0.3934015632376271,0.012311992546253162
366,382,0.39613334143155754,0.01237854385731399
497,81,0.3963272095776347,0.012445095168374817
350,307,0.39703319250466507,0.012511646479435645
44,59,0.39714739775821606,0.012578197790496473
66,151,0.40276125138499097,0.012644749101557301
50,13,0.4052987742550247,0.012711300412618129
113,45,0.40577301627902296,0.012777851723678957
102,17,0.40660560697005943,0.012844403034739785
143,302,0.4072963038728119,0.012910954345800613
161,125,0.407465184726453,0.01297750565686144
245,149,0.40791640638652993,0.013044056967922268
206,14,0.4129873819078532,0.013110608278983096
2923,75,0.41551442571200603,0.013177159590043924
387,310,0.4160165606084867,0.013243710901104752
1573,50,0.42039955873671797,0.01331026221216558
37,91,0.4239413944628234,0.013376813523226408
236,181,0.4270862888773941,0.013443364834287236
178,199,0.4295268637250693,0.013509916145348064
98,319,0.43116561194341685,0.013576467456408892
174,182,0.43401742191065296,0.01364301876746972
114,19,0.4420125831796151,0.013709570078530547
232,253,0.4472390707774636,0.013776121389591375
27,51,0.4527287517953482,0.013842672700652203
671,347,0.4556293455181901,0.013909224011713031
180,205,0.46005153709516833,0.013975775322773859
384,399,0.4706548049234911,0.014042326633834687
69,69,0.47530994153501105,0.014108877944895515
11,46,0.47849562353329445,0.014175429255956343
16,178,0.4833222810506044,0.01424198056701717
19,95,0.4890518611095036,0.014308531878077999
224,318,0.4905370260535413,0.014375083189138826
77,170,0.4930804104671047,0.014441634500199654
61,213,0.4949493557889042,0.014508185811260482
222,162,0.49684158168174086,0.01457473712232131
282,23,0.5019698309859859,0.014641288433382138
83,190,0.5051797232777027,0.014707839744442966
170,314,0.5092378340451482,0.014774391055503794
58,35,0.5136779232686006,0.014840942366564622
91,173,0.5195743896100762,0.01490749367762545
6,30,0.5227333414583408,0.014974044988686278
211,185,0.5244379531870109,0.015040596299747105
134,31,0.5278134667800733,0.015107147610807933
299,390,0.5403484019734535,0.015173698921868761
240,12,0.5444414863880626,0.01524025023292959
67,166,0.5453635734401896,0.015306801543990417
79,265,0.5461992917881062,0.015373352855051245
345,282,0.5480771394126265,0.015439904166112073
377,195,0.5512662056083926,0.0155064554771729
351,459,0.5515966882290044,0.015573006788233729
142,18,0.5642974814656554,0.015639558099294557
76,26,0.5782854176195704,0.015706109410355384
165,49,0.5808976973947422,0.015772660721416212
264,411,0.5835012103407493,0.01583921203247704
367,402,0.5835102565281218,0.015905763343537868
176,343,0.5884466263369887,0.015972314654598696
302,403,0.5977683793463058,0.016038865965659524
85,157,0.6016978915962561,0.016105417276720352
307,383,0.615646959241765,0.01617196858778118
423,155,0.6203526747001167,0.016238519898842008
121,159,0.6219974009550082,0.016305071209902836
55,177,0.6257661090657614,0.016371622520963663
398,395,0.6363211727065732,0.01643817383202449
78,36,0.6404302614639592,0.01650472514308532
75,27,0.6451284393061838,0.016571276454146147
326,40,0.6637125559707933,0.016637827765206975
155,163,0.665686323562042,0.016704379076267803
308,394,0.6691236355148575,0.01677093038732863
344,303,0.6927935175267024,0.01683748169838946
342,189,0.6972985999369072,0.016904033009450287
80,24,0.7082143689721536,0.016970584320511115
228,386,0.7093996199174555,0.017037135631571942
269,491,0.7129594688140912,0.01710368694263277
51,32,0.7146088636461241,0.017170238253693598
272,406,0.7152220308842985,0.017236789564754426
262,290,0.7203075271086803,0.017303340875815254
404,306,0.7206688795919867,0.017369892186876082
278,22,0.7225970466689697,0.01743644349793691
336,294,0.7235092164161507,0.017502994808997738
509,279,0.7319258909509365,0.017569546120058566
242,387,0.7404300013983516,0.017636097431119394
182,398,0.7505968106999887,0.01770264874218022
294,76,0.7716810911579604,0.01776920005324105
2945,169,0.7777468938628864,0.017835751364301877
188,298,0.7833783869486908,0.017902302675362705
582,415,0.7872950648886103,0.017968853986423533
33,20,0.8000060720104587,0.01803540529748436
124,28,0.81101462311298,0.01810195660854519
378,419,0.8160206585338656,0.018168507919606017
427,479,0.8349590239203977,0.018235059230666845
259,16,0.836224796931587,0.018301610541727673
154,193,0.8363480173495148,0.0183681618527885
297,439,0.8404019073037361,0.01843471316384933
120,197,0.842314794345544,0.018501264474910156
600,167,0.8536786173382858,0.018567815785970984
117,275,0.8610532930443568,0.018634367097031812
312,423,0.8691032291538932,0.01870091840809264
