,Request Id,prefill_e2e_time,cdf
883,320,0.16522768899316986,6.25e-05
351,346,0.19314596543879858,0.000125
204,260,0.19779173835316932,0.0001875
63,7,0.2047818104583578,0.00025
5257,39,0.20629154156425233,0.0003125
90,299,0.20661798737273784,0.000375
203,254,0.21383725971047873,0.0004375
118,237,0.2159264973626911,0.0005
544,303,0.21818614344714504,0.0005625
50,97,0.2246641674598049,0.000625
483,174,0.22645562048007406,0.0006875
24,30,0.22810986283610535,0.00075
563,307,0.23016566502205293,0.0008125
4942,397,0.23772519277790494,0.000875
209,239,0.23800391607075078,0.0009375
107,262,0.24075608607695642,0.001
272,196,0.24224031111009303,0.0010625
482,6,0.24278800384223087,0.001125
214,86,0.2470679185369189,0.0011875
532,323,0.24710330724935403,0.00125
287,198,0.2500591231944771,0.0013125
388,199,0.25217577933759294,0.001375
104,35,0.25529115878745334,0.0014375
170,489,0.25777965287127813,0.0015
288,182,0.26493092398318474,0.0015625
1496,235,0.26554688906330526,0.001625
36,398,0.27662868641914784,0.0016875
97,312,0.28148336786010475,0.00175
111,173,0.2824191010421284,0.0018125
193,72,0.2825587895324686,0.001875
142,301,0.28697175406333386,0.0019375
374,327,0.2872672062764181,0.002
60,87,0.28883499033588667,0.0020625
168,233,0.29028754794558864,0.002125
831,0,0.29097639419197224,0.0021875
233,296,0.29136803521030075,0.00225
221,130,0.2933217417681311,0.0023125
14,95,0.29567635052343366,0.002375
5283,377,0.2965168195339132,0.0024375
58,526,0.299569324223274,0.0025
21,33,0.30036712862857073,0.0025625
86,264,0.3017826429911352,0.002625
278,93,0.30216857134526265,0.0026875
306,321,0.30239497178113695,0.00275
399,99,0.30363132826305517,0.0028125
514,310,0.305266867097707,0.002875
254,194,0.30820840805334093,0.0029375
379,266,0.30973801709601645,0.003
137,66,0.31316957218197095,0.0030625
55,105,0.3156231015634603,0.003125
418,294,0.3185654867136236,0.0031875
7,5,0.32119773651982164,0.00325
657,379,0.32130610401075543,0.0033125
113,336,0.32183248200523096,0.003375
15,61,0.3235366687786998,0.0034375
5221,487,0.3240231777180469,0.0035
128,170,0.3258164282229874,0.0035625
425,329,0.32665113186087424,0.003625
545,395,0.32706188292969074,0.0036875
383,297,0.32922739148590807,0.00375
156,172,0.32924024750415093,0.0038125
176,202,0.330007793358547,0.003875
163,411,0.3307415183429008,0.0039375
609,421,0.3308488859008918,0.004
554,391,0.33130175840017984,0.0040625
66,24,0.33451489997827166,0.004125
343,528,0.3354343468074781,0.0041875
95,78,0.33630923903456367,0.00425
302,492,0.33784794314791,0.0043125
335,88,0.33789709839957816,0.004375
144,351,0.33929360384673757,0.0044375
550,316,0.3394806838760793,0.0045
56,62,0.34014494290280783,0.0045625
968,448,0.34038733208839744,0.004625
392,444,0.3430710704886124,0.0046875
819,415,0.34312744174888365,0.00475
352,55,0.3433834794485824,0.0048125
89,300,0.34479778854596077,0.004875
298,68,0.3462175883733476,0.0049375
231,318,0.34634587854034393,0.005
5309,337,0.34660054755672576,0.0050625
334,4,0.3469179249335304,0.005125
647,186,0.346981293670936,0.0051875
1143,37,0.34733329977778293,0.00525
40,240,0.3475521143905169,0.0053125
797,372,0.347798385108419,0.005375
182,393,0.34822181254178375,0.0054375
457,1,0.34824065822342465,0.0055
125,28,0.34829245864033376,0.0055625
559,348,0.34981170862546307,0.005625
729,451,0.35023325265079563,0.0056875
260,441,0.35054792578999283,0.00575
161,151,0.351574048854042,0.0058125
419,132,0.352794723911666,0.005875
237,84,0.35332082913652396,0.0059375
638,355,0.35452950828298313,0.006
342,244,0.3557844035934874,0.0060625
403,353,0.35593730118333866,0.006125
453,293,0.3568596462596503,0.0061875
533,287,0.3569884312622058,0.00625
327,226,0.3577986778501767,0.0063125
162,413,0.3585515163659281,0.006375
365,203,0.35878433411162014,0.0064375
444,490,0.35903443404058777,0.0065
420,256,0.3610803491855634,0.0065625
112,314,0.3611344171852977,0.006625
3919,342,0.36128644850258596,0.0066875
553,171,0.36271104765250683,0.00675
115,440,0.3635680547230322,0.0068125
70,135,0.3640723394530925,0.006875
308,230,0.364165775889699,0.0069375
267,383,0.36442825989408334,0.007
3867,295,0.3647140069634034,0.0070625
121,133,0.3655066179746802,0.007125
471,305,0.3655205465300817,0.0071875
923,155,0.36556656661190523,0.00725
395,76,0.36600830164005416,0.0073125
636,488,0.36666794578482964,0.007375
415,153,0.36677635414056553,0.0074375
577,322,0.36766532403007446,0.0075
108,334,0.3678162614520559,0.0075625
490,115,0.36813296488650504,0.007625
87,38,0.3699032559297324,0.0076875
150,298,0.3704362870288058,0.00775
217,103,0.3707745459854248,0.0078125
53,91,0.3708666990460374,0.007875
62,325,0.3711981196534673,0.0079375
149,480,0.37157155144024756,0.008
223,439,0.37178492730340906,0.0080625
320,340,0.3722557076001678,0.008125
199,141,0.37270248235323145,0.0081875
500,22,0.3734476006385774,0.00825
410,434,0.37355719118496467,0.0083125
122,453,0.3748018275765439,0.008375
243,390,0.375125911993333,0.0084375
505,381,0.3751406092678877,0.0085
215,77,0.37745410391001943,0.0085625
236,338,0.37817651526368223,0.008625
416,419,0.37825896798704406,0.0086875
246,375,0.37966989208281987,0.00875
167,190,0.37971914989001476,0.0088125
445,399,0.3801385049209465,0.008875
291,64,0.38023296281919317,0.0089375
127,122,0.38031909585259616,0.009
34,89,0.3825153342815284,0.0090625
511,373,0.38292146227577817,0.009125
300,31,0.382999996445448,0.0091875
299,215,0.38420317250636415,0.00925
37,357,0.3854177154570806,0.0093125
1,8,0.3860256846650377,0.009375
4819,231,0.38612080818795036,0.0094375
88,201,0.3869118485426366,0.0095
158,374,0.3874742698785276,0.0095625
48,177,0.388382073308831,0.009625
81,179,0.3893732416658615,0.0096875
368,242,0.3897612333171949,0.00975
549,229,0.3900527250874326,0.0098125
529,396,0.3906992265874685,0.009875
27,74,0.39184207936875914,0.0099375
5048,169,0.39193637737833775,0.01
357,183,0.39287168959530483,0.0100625
45,350,0.3942320401124597,0.010125
73,11,0.3944148922079311,0.0101875
380,292,0.3945508859882736,0.01025
248,165,0.39580223847494267,0.0103125
777,195,0.395894494024045,0.010375
59,258,0.39600667512849697,0.0104375
1770,9,0.396875282171549,0.0105
219,200,0.3969043753105659,0.0105625
411,2,0.3979952610518318,0.010625
423,138,0.3980541791637293,0.0106875
106,309,0.39892899416393135,0.01075
