,Request Id,request_preemption_time,cdf
740,751,0.0016002661934635398,0.0005417118093174431
1487,1493,0.030576026662402,0.0010834236186348862
820,829,0.03378223737172448,0.0016251354279523294
316,326,0.03697802142181672,0.0021668472372697724
1,5,0.03871533501469404,0.0027085590465872156
1380,1394,0.0471081306961878,0.0032502708559046588
1492,1499,0.04924244355970586,0.003791982665222102
930,939,0.05918817335384574,0.004333694474539545
150,168,0.06308983737375229,0.004875406283856988
869,888,0.07742127737105875,0.005417118093174431
246,258,0.08795029071097815,0.005958829902491874
118,131,0.09685330404037984,0.0065005417118093175
1110,1119,0.1008236000004672,0.007042253521126761
790,801,0.10263759736801603,0.007583965330444204
621,642,0.10272381070092251,0.008125677139761646
340,350,0.1053622640375238,0.00866738894907909
1668,1682,0.10847834399964995,0.009209100758396533
1813,1823,0.11985138406407714,0.009750812567713976
1397,1416,0.12074983738466472,0.010292524377031419
1710,1722,0.12271077070136016,0.010834236186348862
71,82,0.12697498403939278,0.011375947995666305
950,961,0.1390307635638237,0.011917659804983749
1713,1723,0.1425262373768419,0.012459371614301192
982,992,0.14374503736564748,0.013001083423618635
554,569,0.14704511736954373,0.013542795232936078
657,675,0.14733165959069083,0.014084507042253521
1728,1742,0.14857493071735917,0.014626218851570965
1520,1529,0.1516578107098212,0.015167930660888408
1766,1779,0.15746799736484718,0.01570964247020585
1817,1827,0.16387733069473143,0.016251354279523293
1811,1822,0.16991789069720653,0.016793066088840736
1050,1067,0.18202290406588872,0.01733477789815818
45,58,0.1854982907066045,0.017876489707475622
85,96,0.20039346403900993,0.018418201516793065
848,857,0.21179486831488248,0.01895991332611051
818,825,0.21358982137928706,0.01950162513542795
1557,1568,0.21986175738538805,0.020043336944745395
912,923,0.2334511158095438,0.020585048754062838
1541,1547,0.24476117283938947,0.02112676056338028
0,3,0.24619347792948343,0.021668472372697724
796,809,0.2468325668289708,0.022210184182015168
1798,1811,0.24871013071856396,0.02275189599133261
1510,1527,0.24968682401504338,0.023293607800650054
1180,1196,0.25671412350834544,0.023835319609967497
79,95,0.2629340261932924,0.02437703141928494
427,440,0.3046917573736323,0.024918743228602384
318,325,0.3074925559158146,0.025460455037919827
1542,1546,0.3080042126448461,0.02600216684723727
754,768,0.3083066640266452,0.026543878656554713
137,154,0.3101702781601148,0.027085590465872156
946,955,0.3166638102112529,0.0276273022751896
620,640,0.3223846807738937,0.028169014084507043
1822,1831,0.32333773286723044,0.028710725893824486
251,261,0.3256264093483594,0.02925243770314193
95,108,0.32621067595722764,0.029794149512459372
1368,1377,0.341239049444539,0.030335861321776816
112,124,0.35383715781324554,0.03087757313109426
1333,1348,0.35694294422751227,0.0314192849404117
307,319,0.3664113573734653,0.031960996749729145
1824,1829,0.3680932911047421,0.032502708559046585
1279,1294,0.37011010964261004,0.03304442036836403
1788,1805,0.37148254068733877,0.03358613217768147
811,821,0.379339667248928,0.03412784398699892
1720,1728,0.38292256008389813,0.03466955579631636
1269,1286,0.38427219269783564,0.035211267605633804
308,318,0.386445628537615,0.035752979414951244
113,126,0.3896267195282803,0.03629469122426869
671,692,0.3905461854172927,0.03683640303358613
434,443,0.3968919295629121,0.03737811484290358
6,20,0.4002889362599067,0.03791982665222102
1370,1378,0.40371655096964787,0.038461538461538464
1258,1279,0.40654002133828726,0.0390032502708559
1282,1298,0.4141354993269033,0.03954496208017335
1816,1824,0.45274505678162313,0.04008667388949079
695,719,0.46064519280457716,0.040628385698808236
1235,1252,0.46236247950241705,0.041170097508125676
1491,1497,0.4703921512359557,0.04171180931744312
345,352,0.4761988128637995,0.04225352112676056
600,622,0.48679846673644533,0.04279523293607801
1635,1649,0.49442691298804675,0.04333694474539545
941,949,0.49787899291538906,0.043878656554712896
511,522,0.49858112127611776,0.044420368364030335
