,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
1496,1532,0.0001628993943014595,0.000270929287455974
2306,2371,0.00016313549002684299,0.000541858574911948
1916,1938,0.00016339924991370935,0.000812787862367922
357,375,0.0001635314499541156,0.001083717149823896
1935,1901,0.0001636638640836101,0.00135464643727987
991,1042,0.0001639293366937325,0.001625575724735844
907,955,0.00016401244700051362,0.001896505012191818
998,1045,0.00016454668949888662,0.002167434299647792
2367,2379,0.00016465333296082464,0.002438363587103766
351,387,0.0001647448578817911,0.00270929287455974
3238,3259,0.00016483648461039174,0.002980222162015714
967,983,0.0001648452648083798,0.003251151449471688
893,937,0.0001649496609833737,0.003522080736927662
1217,1213,0.00016520401300417186,0.003793010024383636
3573,3604,0.00016520401300417186,0.00406393931183961
2905,2624,0.00016529782180368845,0.004334868599295584
894,928,0.0001654828221639765,0.004605797886751558
3173,3216,0.00016556863431675193,0.004876727174207532
2923,2957,0.00016566149389853361,0.005147656461663506
669,686,0.00016566823709077087,0.00541858574911948
3558,3047,0.00016570395995895581,0.005689515036575454
2377,2368,0.00016584752589617375,0.005960444324031428
903,941,0.00016603397617820606,0.006231373611487402
2775,2802,0.0001660908174530234,0.006502302898943376
3406,3423,0.0001660908174530234,0.00677323218639935
680,223,0.000166090817453134,0.007044161473855324
375,394,0.00016634972753494469,0.007315090761311298
2030,2077,0.00016643257119901479,0.007586020048767272
1450,1445,0.000166544647004536,0.007856949336223246
2663,2676,0.0001666094460789501,0.00812787862367922
3271,3329,0.00016678394813802704,0.008398807911135195
3090,3132,0.00016685005647299326,0.008669737198591168
1257,1305,0.00016685005647311288,0.008940666486047142
1094,1082,0.00016687881955335015,0.009211595773503115
546,585,0.00016688449871368985,0.00948252506095909
1311,1164,0.00016688449871368985,0.009753454348415064
1382,1359,0.00016694390476077798,0.010024383635871038
2981,3014,0.0001669737989611779,0.010295312923327011
1813,1846,0.00016698125353334375,0.010566242210782985
1045,1056,0.00016699620185874588,0.01083717149823896
2001,2035,0.0001670257805978871,0.011108100785694934
1555,1584,0.00016710805463962915,0.011379030073150907
2078,1589,0.00016710805463962915,0.01164995936060688
1540,1574,0.00016719397388324068,0.011920888648062856
2836,2884,0.0001671967506604609,0.01219181793551883
209,155,0.0001671967506605169,0.012462747222974803
3332,3295,0.00016720747033208304,0.012733676510430777
1719,1741,0.00016722005735721602,0.013004605797886752
1557,1561,0.00016725499329323448,0.013275535085342726
2160,2205,0.00016730594945124993,0.0135464643727987
1073,576,0.00016745502842375535,0.013817393660254673
2164,2207,0.0001675325383369491,0.014088322947710648
2341,2365,0.00016759009612231664,0.014359252235166622
1946,1987,0.00016759295149140988,0.014630181522622595
478,520,0.00016766528995184284,0.014901110810078569
1560,1281,0.00016766728990776176,0.015172040097534544
3180,3210,0.0001677283977510495,0.015442969384990518
2395,2415,0.0001677452511741282,0.01571389867244649
45,49,0.0001677982521167531,0.015984827959902467
1210,827,0.00016780923795336648,0.01625575724735844
2152,2196,0.00016786290328252588,0.016526686534814414
3164,3200,0.00016787821663140945,0.01679761582227039
2036,2076,0.00016792445571519728,0.01706854510972636
3243,3137,0.00016793142533298947,0.017339474397182336
1106,1135,0.0001679687625015512,0.017610403684638308
1500,1513,0.00016799672405103038,0.017881332972094283
623,664,0.00016799762471380022,0.01815226225955026
1607,1598,0.00016799762471386863,0.01842319154700623
2309,2347,0.00016800573184860433,0.018694120834462206
2530,2566,0.00016802445227569635,0.01896505012191818
1168,1220,0.0001680648101026415,0.019235979409374153
888,916,0.0001680719814556462,0.019506908696830128
1347,1386,0.0001680719814557202,0.0197778379842861
1503,1540,0.0001680719814557202,0.020048767271742075
3227,3286,0.00016809828696400355,0.02031969655919805
1100,1158,0.0001681421299786993,0.020590625846654022
1575,1597,0.0001681421299786993,0.020861555134109998
532,543,0.00016815008271562788,0.02113248442156597
3177,3233,0.0001682001128110163,0.021403413709021945
54,47,0.00016820011281111052,0.02167434299647792
1378,1414,0.00016820011281115335,0.021945272283933892
