,Request Id,request_execution_time,cdf
611,751,0.13305751036554547,6.25e-05
10304,10509,0.14875971885714273,0.000125
5663,5848,0.23441993752380977,0.0001875
13172,13361,0.24515188342661168,0.00025
54,131,0.25500351582753367,0.0003125
3846,4073,0.2657582214159415,0.000375
82,168,0.271386506091005,0.0004375
4881,5076,0.2811374410908417,0.0005
8347,8536,0.30059211788898577,0.0005625
763,888,0.32457162415238117,0.000625
10981,11214,0.34676019001442915,0.0006875
313,398,0.34879231861933624,0.00075
79,154,0.3527015812433578,0.0008125
1977,2120,0.353201205565948,0.000875
500,642,0.36027508753991927,0.0009375
11664,11864,0.3653238837737244,0.001
12572,12735,0.3689000555884002,0.0010625
7433,7610,0.3698624756748369,0.001125
11594,11789,0.3770728306793642,0.0011875
9777,9973,0.38398445582932605,0.00125
1736,1866,0.3858143033794889,0.0013125
12813,13030,0.3924049961650802,0.001375
10928,11148,0.39571591059393885,0.0014375
13278,13450,0.39904666810522793,0.0015
3867,4090,0.4022668323744637,0.0015625
2095,2277,0.40597309653739844,0.001625
15376,15538,0.4150341059262149,0.0016875
5833,6032,0.41858525704973604,0.00175
12321,12491,0.4239892316412596,0.0018125
8571,8734,0.4256495000193015,0.001875
6567,6775,0.42594245586264795,0.0019375
3813,4032,0.43213501986691877,0.002
2,25,0.4321657312761907,0.0020625
10343,10535,0.43634612246041415,0.002125
13092,13240,0.4476078230595489,0.0021875
6755,6949,0.45090385356246143,0.00225
8194,8379,0.45879358148242333,0.0023125
4462,4686,0.4603457158349201,0.002375
10828,11045,0.4604280818913047,0.0024375
12046,12182,0.4622835460772881,0.0025
15133,15303,0.46316848208156725,0.0025625
14072,14238,0.46682081369110273,0.002625
5664,5835,0.46703366554798514,0.0026875
15276,15434,0.46794540869033246,0.00275
13090,13254,0.4691746315851865,0.0028125
6196,6379,0.4693878777620007,0.002875
5192,5389,0.470712915724276,0.0029375
4831,5023,0.4707229585019922,0.003
11678,11876,0.4722459376230874,0.0030625
11640,11853,0.47338854397681585,0.003125
8924,9122,0.47689038982247584,0.0031875
6125,6350,0.47785607783221384,0.00325
2878,3071,0.47937091506386437,0.0033125
290,350,0.4835374639514194,0.003375
4071,4246,0.4861089232417364,0.0034375
744,845,0.4872458159243211,0.0035
370,472,0.48764261736105974,0.0035625
1,8,0.48817728577200614,0.003625
13578,13772,0.4926175969687201,0.0036875
0,5,0.4951841701483491,0.00375
10806,11020,0.4963110253183254,0.0038125
9103,9265,0.5034887010781991,0.003875
12152,12299,0.5039584021229333,0.0039375
3,20,0.5076680217078255,0.004
6950,7121,0.5082212441451515,0.0040625
704,809,0.5089337759909427,0.004125
3619,3795,0.5137763769904775,0.0041875
1025,1200,0.5153376015306839,0.00425
296,357,0.5155633541644059,0.0043125
11959,12114,0.5166637906493515,0.004375
15667,15865,0.5167310274689971,0.0044375
3151,3335,0.5167742126498315,0.0045
5865,6072,0.518533265805387,0.0045625
1218,1394,0.5196476014537689,0.004625
12834,13041,0.5206909235356268,0.0046875
15,65,0.5253920467786444,0.00475
13509,13683,0.5300043614961039,0.0048125
4264,4472,0.5300460959999996,0.004875
7517,7687,0.5340541799123668,0.0049375
442,569,0.5342579859521143,0.005
6235,6412,0.5343564986920655,0.0050625
3012,3176,0.5407353444734839,0.005125
7425,7607,0.5437300485541142,0.0051875
4855,5057,0.5458118116226897,0.00525
12836,13020,0.5464194638476194,0.0053125
2755,2921,0.5487488494297902,0.005375
872,955,0.5538625394031753,0.0054375
1731,1849,0.5645444761716729,0.0055
493,627,0.5686253640942767,0.0055625
5797,5982,0.5701414499786441,0.005625
9805,9989,0.5711380624592596,0.0056875
4463,4665,0.5722870181337236,0.00575
6376,6539,0.5726837078104782,0.0058125
14095,14262,0.5737592504888914,0.005875
433,560,0.57430693954791,0.0059375
14086,14246,0.5753154496569437,0.006
4575,4781,0.5770425553839245,0.0060625
698,801,0.5780758632296298,0.006125
13031,13174,0.5843707492317465,0.0061875
15310,15471,0.5850853422306882,0.00625
8042,8186,0.5860229613369752,0.0063125
176,255,0.5881063855746032,0.006375
8798,8951,0.5897603232816583,0.0064375
3209,3393,0.5907976115524773,0.0065
11774,11937,0.5933478969904786,0.0065625
1942,2087,0.5933671780540642,0.006625
3361,3571,0.5934112294817697,0.0066875
9128,9299,0.5948190187428576,0.00675
6512,6684,0.5971865738158739,0.0068125
9754,9942,0.5981358141350456,0.006875
5955,6154,0.5989884041812318,0.0069375
6557,6749,0.5995599108480856,0.007
14678,14902,0.5995739790008681,0.0070625
13289,13464,0.6033639952671329,0.007125
3086,3249,0.6037665862879268,0.0071875
10170,10352,0.6045042730643602,0.00725
5381,5558,0.6068690690349887,0.0073125
3708,3898,0.6079452886182366,0.007375
2548,2719,0.608655737138241,0.0074375
5674,5841,0.6089393274215682,0.0075
547,675,0.6101674972785571,0.0075625
7845,8021,0.6104361133097956,0.007625
11369,11580,0.6107271246069723,0.0076875
7738,7900,0.6112072786594392,0.00775
15636,15833,0.6112263831715763,0.0078125
15784,15999,0.612557323791727,0.007875
8115,8249,0.6130313995590203,0.0079375
14483,14718,0.6152216401685844,0.008
9330,9504,0.6154224182603182,0.0080625
6861,7024,0.6156384964527027,0.008125
5835,6016,0.6164851354302819,0.0081875
15614,15805,0.6190909209650778,0.00825
6788,6966,0.6191513684063511,0.0083125
12681,12839,0.6218771990857157,0.008375
2474,2651,0.6238108445858395,0.0084375
1865,2014,0.6242078226962969,0.0085
6712,6897,0.6248014219946149,0.0085625
10460,10688,0.6265977702072156,0.008625
2198,2364,0.6274832806713413,0.0086875
6300,6449,0.6292867256717722,0.00875
5403,5589,0.630606864533332,0.0088125
