,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
548,613,0.0002581553136442505,0.0003746721618583739
1055,1139,0.00025903928080059916,0.0007493443237167478
1101,1159,0.0002590868848620609,0.0011240164855751218
881,910,0.0002591748324912029,0.0014986886474334957
1715,1804,0.00025924068535060184,0.0018733608092918695
786,900,0.0002592406853507613,0.0022480329711502436
2147,2212,0.0002593105261207497,0.0026227051330086175
2378,2368,0.00025938624441031584,0.0029973772948669914
364,433,0.0002593929517401783,0.0033720494567253652
157,238,0.00025954622540279033,0.003746721618583739
2331,2423,0.00025957035506816555,0.004121393780442113
1009,1093,0.00025957827034908725,0.004496065942300487
1903,1966,0.0002596394867127034,0.004870738104158861
863,941,0.00025967785345425154,0.005245410266017235
267,266,0.000259732815068788,0.005620082427875608
472,532,0.0002598262105434519,0.005994754589733983
2005,2097,0.0002598323488658624,0.006369426751592357
546,561,0.00025985243329992494,0.0067440989134507304
920,1018,0.00025985472449671854,0.007118771075309105
2209,2320,0.00025990847298658685,0.007493443237167478
1087,1202,0.00025991967320915596,0.007868115399025852
849,928,0.00025992530524903334,0.008242787560884226
165,258,0.00026000037838728394,0.008617459722742601
1849,1950,0.00026001320313834243,0.008992131884600974
2469,2551,0.00026001320313834243,0.009366804046459348
314,417,0.0002600219578873449,0.009741476208317721
235,259,0.00026008940846007465,0.010116148370176097
474,536,0.00026009234880764934,0.01049082053203447
341,329,0.00026010680040368075,0.010865492693892843
129,201,0.0002601225178805453,0.011240164855751217
2263,2347,0.0002601241886559694,0.011614837017609592
1657,1710,0.00026012939194200403,0.011989509179467965
771,856,0.0002601373809218841,0.012364181341326339
980,1037,0.0002601455550520963,0.012738853503184714
1132,1208,0.0002601568940357258,0.013113525665043087
2470,2516,0.00026018438431672124,0.013488197826901461
302,371,0.0002601843843167916,0.013862869988759834
435,457,0.0002601843843167916,0.01423754215061821
622,688,0.00026022441464149685,0.014612214312476583
1755,1829,0.0002602675381936992,0.014986886474334956
755,864,0.0002602764849837964,0.015361558636193332
2459,2511,0.0002602820747823564,0.015736230798051705
2349,2449,0.000260291970304607,0.01611090295991008
2278,2376,0.00026029236405607605,0.016485575121768452
2119,2196,0.00026034032646102327,0.016860247283626825
1180,693,0.0002603421157036813,0.017234919445485202
926,999,0.0002604177443548257,0.017609591607343576
1877,1904,0.0002604177443548257,0.01798426376920195
1016,1049,0.0002604206095555561,0.018358935931060322
1523,1621,0.0002604447549915386,0.018733608092918696
2574,2719,0.00026045128401347645,0.01910828025477707
2508,2643,0.0002604648140179987,0.019482952416635443
796,879,0.000260485632192308,0.01985762457849382
1627,1686,0.0002605131213173876,0.020232296740352193
511,509,0.00026051312131744814,0.020606968902210566
2015,2144,0.000260514072097142,0.02098164106406894
2178,2220,0.00026052071026241597,0.021356313225927313
