,Request Id,request_scheduling_delay,cdf
4,3,0.0,0.00037979491074819596
124,2,0.0,0.0007595898214963919
160,1,0.0,0.001139384732244588
280,0,0.0,0.0015191796429927839
147,6,0.0029219210603952384,0.0018989745537409798
70,133,0.003552654431445035,0.002278769464489176
69,72,0.01174324058513676,0.002658564375237372
57,35,0.01302242444573487,0.0030383592859855677
84,86,0.013812334591577269,0.003418154196733764
20,53,0.01796051537107246,0.0037979491074819596
156,56,0.02293862636654609,0.004177744018230156
91,84,0.02501366949133299,0.004557538928978352
146,127,0.028493355191571368,0.004937333839726547
22,74,0.02910476869764622,0.005317128750474744
9,96,0.03010164621333189,0.00569692366122294
82,43,0.03778929083711269,0.0060767185719711354
139,76,0.03946742990126495,0.006456513482719331
194,115,0.04017425391405283,0.006836308393467528
269,112,0.04532715824359457,0.0072161033042157235
101,144,0.05094619856849647,0.007595898214963919
96,141,0.057626699042465646,0.007975693125712115
170,147,0.05843667097919081,0.008355488036460312
33,62,0.06052295575844013,0.008735282947208508
34,36,0.06264710400828832,0.009115077857956703
78,134,0.06516366524513728,0.0094948727687049
55,114,0.06948825144831261,0.009874667679453095
14,30,0.07190127525297285,0.010254462590201291
120,31,0.08088647977898233,0.010634257500949488
135,55,0.08089570599035767,0.011014052411697683
741,85,0.08630684036380032,0.01139384732244588
85,98,0.10205957846821434,0.011773642233194076
132,102,0.10589335549057921,0.012153437143942271
67,73,0.10649356997734571,0.012533232054690467
66,122,0.11083900821409998,0.012913026965438662
1967,75,0.11273645766998897,0.013292821876186859
32,24,0.12400210982800441,0.013672616786935056
2,5,0.12539945705844224,0.01405241169768325
273,80,0.12896165984872354,0.014432206608431447
23,116,0.14190717622241777,0.014812001519179644
462,150,0.14436644681608612,0.015191796429927839
93,60,0.14685916766739382,0.015571591340676035
43,83,0.15721665771335225,0.01595138625142423
90,63,0.15776887860779,0.01633118116217243
116,128,0.15905225321101568,0.016710976072920623
6,42,0.16101738942724353,0.017090770983668818
133,143,0.17059677644314064,0.017470565894417017
