,Request Id,request_e2e_time,cdf
65,1427,19.78403154731905,6.25e-05
15,1200,20.278166036935808,0.000125
33,1266,20.381773970747613,0.0001875
31,1250,20.534398668983137,0.00025
52,1279,21.07260389321363,0.0003125
46,1235,21.310446023667687,0.000375
38,1158,21.813271480215104,0.0004375
41,1169,22.037814415608725,0.0005
28,1078,22.29965878394419,0.0005625
77,1241,22.780633111343395,0.000625
96,1286,22.985893065673253,0.0006875
43,1092,22.996472203211546,0.00075
105,1319,23.097141789117117,0.0008125
98,1276,23.324069013665124,0.000875
5,888,23.524916549258304,0.0009375
95,1233,23.541904662752895,0.001
104,1239,23.93265862060596,0.0010625
115,1289,23.941320027309736,0.001125
76,1127,23.985041942033575,0.0011875
97,1186,24.175655463775122,0.00125
111,1252,24.29171769868641,0.0013125
0,751,24.339688155938095,0.001375
3,809,24.411541984578868,0.0014375
136,1315,24.58677083974381,0.0015
125,1270,24.66569011224779,0.0015625
61,1010,24.667572098864568,0.001625
144,1330,24.677643452274115,0.0016875
86,1100,24.768858985162026,0.00175
131,1271,24.772632903158776,0.0018125
12,845,24.83009652157314,0.001875
159,1357,24.934862773717768,0.0019375
36,919,24.977762828170526,0.002
80,1066,24.998448632038667,0.0020625
49,939,25.112984396202954,0.002125
9,801,25.22679985344848,0.0021875
110,1150,25.32259819925809,0.00225
57,955,25.37313071335638,0.0023125
84,1035,25.54612094563557,0.002375
158,1310,25.575443111511998,0.0024375
164,1317,25.778478036645897,0.0025
106,1081,25.951173085367394,0.0025625
133,1196,25.991325232655335,0.002625
75,961,26.156586914426054,0.0026875
129,1136,26.218023711679635,0.00275
87,973,26.427631802965898,0.0028125
132,1132,26.60745877796254,0.002875
204,1371,26.623066273655812,0.0029375
183,1312,26.649730452678455,0.003
178,1294,26.6891196797736,0.0030625
1,642,26.73024138217184,0.003125
103,992,26.797087807899565,0.0031875
8,684,26.913787094656175,0.00325
53,825,26.935444948624962,0.0033125
63,857,27.050831104493476,0.003375
22,719,27.167406784163255,0.0034375
56,829,27.240021927559148,0.0035
35,759,27.291831756905065,0.0035625
134,1074,27.424100773103426,0.003625
20,692,27.42773002518585,0.0036875
62,821,27.531347518017814,0.00375
135,1067,27.556196922532827,0.0038125
2,569,27.62342426898651,0.003875
130,1013,27.776244953487094,0.0039375
203,1238,28.362091299882454,0.004
235,1351,28.396501013284034,0.0040625
176,1126,28.549197061777377,0.004125
192,1202,28.569985178278007,0.0041875
227,1305,28.57703169064513,0.00425
181,1135,28.583148426725963,0.0043125
258,1394,28.661027761255635,0.004375
59,734,28.68559004154639,0.0044375
124,943,28.734571505695435,0.0045
30,636,28.740144345124016,0.0045625
45,675,28.843658523865848,0.004625
239,1323,28.85206000633172,0.0046875
14,560,28.853303669654327,0.00475
55,708,28.96636088728171,0.0048125
153,996,29.06902170824184,0.004875
37,627,29.080998440239078,0.0049375
271,1397,29.218157199837176,0.005
215,1203,29.308758575775844,0.0050625
138,937,29.44247926212739,0.005125
230,1236,29.54381716667837,0.0051875
193,1119,29.549642244041003,0.00525
82,744,29.62302331535217,0.0053125
66,705,29.66471153618258,0.005375
93,768,29.672639978085265,0.0054375
200,1108,29.79113109600744,0.0055
26,526,29.889400903872048,0.0055625
279,1367,29.92785501835226,0.005625
60,640,29.982104611653618,0.0056875
149,923,30.118926499892858,0.00575
160,946,30.17677424975047,0.0058125
240,1220,30.178139358558965,0.005875
174,979,30.271674792474577,0.0059375
21,461,30.308620820210876,0.006
81,680,30.469762946330004,0.0060625
296,1381,30.512995482779377,0.006125
190,1012,30.52973878711139,0.0061875
214,1098,30.540444715394738,0.00625
27,472,30.54873269907674,0.0063125
152,900,30.549723214898485,0.006375
231,1137,30.79513958101272,0.0064375
72,622,30.87533595824334,0.0065
16,398,30.89373141227914,0.0065625
220,1077,30.901233818531075,0.006625
233,1130,30.923762667682837,0.0066875
50,513,31.03182433079118,0.00675
219,1055,31.136481862537167,0.0068125
74,601,31.217365199293262,0.006875
120,749,31.278233863175625,0.0069375
54,510,31.286845689704883,0.007
142,815,31.31594320659286,0.0070625
276,1257,31.31645693728314,0.007125
323,1416,31.340519208402135,0.0071875
40,468,31.342322376600837,0.00725
17,357,31.38588483414615,0.0073125
242,1117,31.417942003769674,0.007375
140,791,31.590407549328837,0.0074375
198,957,31.61622004561942,0.0075
32,407,31.61730078233092,0.0075625
262,1175,31.62398762387358,0.007625
268,1190,31.651272583501893,0.0076875
237,1087,31.658988477964137,0.00775
182,912,31.747865011415136,0.0078125
69,548,31.7643595566806,0.007875
23,350,31.845849967062687,0.0079375
102,632,31.96412311676112,0.008
310,1301,32.07638403264908,0.0080625
185,890,32.127246198871035,0.008125
318,1325,32.2517686270249,0.0081875
236,1039,32.26832841416597,0.00825
