,Request Id,request_preemption_time,cdf
14851,15999,0.32254636935624603,6.25e-05
15076,15992,0.5053292789519901,0.000125
14625,15998,0.6707320479148393,0.0001875
14821,15977,0.6966858738497876,0.00025
14922,15983,0.9801623829720256,0.0003125
15217,15981,1.1230255824987125,0.000375
15184,15995,1.130257488691086,0.0004375
14552,15980,1.1484512923234433,0.0005
65,1427,1.1892789240530277,0.0005625
15012,15985,1.2228853561691722,0.000625
14671,15970,1.2380980451280266,0.0006875
7242,8536,1.4484487452696726,0.00075
14932,15969,1.4745651255685743,0.0008125
15058,15993,1.4827796747122193,0.000875
14501,15964,1.5288591359700376,0.0009375
14578,15972,1.5358966765236346,0.001
14430,15956,1.5880046415226161,0.0010625
14763,15996,1.664037657983954,0.001125
15057,15968,1.6799778375828964,0.0011875
14920,15961,1.6955726674995049,0.00125
15232,15965,1.7257685905649396,0.0013125
9819,11214,1.7357600463366225,0.001375
15237,15957,1.890513903959004,0.0014375
14739,15974,1.9372394876991166,0.0015
14865,15953,1.9509754979352465,0.0015625
14828,15990,1.9707952622655966,0.001625
15346,15984,2.012566692389896,0.0016875
15043,15952,2.0651180568983136,0.00175
4610,5848,2.0668199638308806,0.0018125
14761,15954,2.076626511768268,0.001875
15034,15994,2.1528177261128576,0.0019375
11317,12735,2.179099294727962,0.002
14698,15966,2.1997999141065065,0.0020625
14670,15938,2.257038080200573,0.002125
14674,15958,2.2604530250897596,0.0021875
9040,10509,2.309370069046622,0.00225
11906,13240,2.347319409933334,0.0023125
14583,15948,2.3505754613092904,0.002375
15221,15947,2.414909425047199,0.0024375
15104,15959,2.4627103002228523,0.0025
14864,15945,2.499100672454233,0.0025625
15129,15986,2.548037296778489,0.002625
10403,11853,2.5798184783443503,0.0026875
14549,15940,2.6641353595753117,0.00275
4913,6379,2.6682159403625008,0.0028125
15115,15936,2.7330458940890594,0.002875
15373,15976,2.7670567199713787,0.0029375
10342,11789,2.8414917254604575,0.003
15293,15933,2.9166152184536713,0.0030625
15447,15989,2.9548308978878595,0.003125
2857,4073,2.9562554653698783,0.0031875
33,1266,2.9621621308559796,0.00325
14593,15942,2.9672949970104128,0.0033125
14681,15922,2.990252291599859,0.003375
3323,4686,3.0272577680527775,0.0034375
11625,13030,3.060750266355626,0.0035
2843,4032,3.1748234245116578,0.0035625
8525,9973,3.1839871550569114,0.003625
10535,11864,3.212590887132592,0.0036875
14786,15950,3.2285497010906283,0.00375
15336,15975,3.2558312556468536,0.0038125
15125,15962,3.258876892904482,0.003875
14653,15932,3.292194108257604,0.0039375
15090,15920,3.3007585503250993,0.004
15436,15973,3.3117740475562414,0.0040625
15290,15939,3.312329924103551,0.004125
902,2120,3.3167109709076357,0.0041875
14557,15916,3.3181509683827244,0.00425
12077,13450,3.3978129071767853,0.0043125
31,1250,3.4555865148802027,0.004375
4832,6032,3.5006802290424446,0.0044375
15374,15955,3.52362820002611,0.0045
52,1279,3.5367698261692553,0.0045625
15060,15946,3.5472325674719514,0.004625
12844,14238,3.5493343440305125,0.0046875
1040,2277,3.5518048035148126,0.00475
5547,6949,3.5790835540153125,0.0048125
9164,10535,3.59389031946597,0.004875
12047,13361,3.6451801475593584,0.0049375
11735,13041,3.678808984203556,0.005
14971,15927,3.6817456187906146,0.0050625
14820,15913,3.685851941064243,0.005125
9661,11020,3.694424835773134,0.0051875
6309,7610,3.712196002488895,0.00525
15347,15967,3.743217705567531,0.0053125
15421,15963,3.765769520654203,0.005375
15017,15929,3.7987091906932164,0.0054375
9787,11148,3.812098027218667,0.0055
2771,4090,3.8318225945473614,0.0055625
15,1200,3.8628638428878332,0.005625
12391,13772,3.9467356832105907,0.0056875
15357,15917,3.9664919484296206,0.00575
14618,15908,3.973859853149179,0.0058125
15286,15915,4.013473987509769,0.005875
15324,15923,4.029681087299878,0.0059375
3829,5076,4.041662240589773,0.006
15153,15937,4.0518269673809755,0.0060625
15404,15941,4.065070972657054,0.006125
15052,15921,4.066072595742071,0.0061875
15381,15925,4.1401046190600255,0.00625
15175,15899,4.1412774636515906,0.0063125
14751,15906,4.161912975990731,0.006375
14144,15538,4.178560327277637,0.0064375
14806,15926,4.184060563113235,0.0065
15382,15931,4.209623500573571,0.0065625
14523,15886,4.223105439141477,0.006625
10872,12182,4.224218601829705,0.0066875
14942,15805,4.238227825721765,0.00675
10452,11876,4.253377928231032,0.0068125
10791,12114,4.255520430173874,0.006875
15233,15891,4.298234047762435,0.0069375
14757,15918,4.301149721067304,0.007
15137,15919,4.324634690445237,0.0070625
15245,15988,4.336427161734605,0.007125
15335,15909,4.347902962162266,0.0071875
15306,15943,4.382504538329158,0.00725
14936,15914,4.3887079638633395,0.0073125
8575,9989,4.393350835918852,0.007375
15502,15997,4.398148679906171,0.0074375
14912,15905,4.4457363879675995,0.0075
15400,15944,4.4458453705567536,0.0075625
15488,15987,4.454079748287427,0.007625
77,1241,4.468330826583319,0.0076875
15270,15982,4.4785327724547415,0.00775
14813,15910,4.488838532966042,0.0078125
14652,15865,4.510635173250307,0.007875
7989,9299,4.54677163382047,0.0079375
15234,15893,4.588994775792912,0.008
14917,15897,4.610889863312423,0.0080625
14432,15627,4.627141643869663,0.008125
98,1276,4.635917629816866,0.0081875
14587,15890,4.664974143670065,0.00825
15319,15901,4.677507388835579,0.0083125
7398,8734,4.760977244474304,0.008375
15463,15949,4.786871038544632,0.0084375
