,Request Id,prefill_time_execution_plus_preemption,cdf
7261,2951,0.017350292706453274,6.25e-05
5906,2106,0.018243910647612438,0.000125
4024,3500,0.018840470020791145,0.0001875
4473,1929,0.019123396706504536,0.00025
12518,9099,0.020151100514226528,0.0003125
15984,14510,0.020453426353014947,0.000375
8512,3716,0.020529019741388765,0.0004375
12416,9539,0.02063660703890946,0.0005
6511,2093,0.021146063301586082,0.0005625
6711,2728,0.021230410459452287,0.000625
10950,7430,0.021261662491383504,0.0006875
5984,5662,0.021320917010370977,0.00075
11322,6525,0.021342855816783413,0.0008125
4880,2391,0.021372347193647556,0.000875
6252,2686,0.02152681982215654,0.0009375
15996,14577,0.021628709634114784,0.001
13000,8360,0.021628709634455845,0.0010625
6894,2467,0.02166121945396071,0.001125
7106,2498,0.02166121945396071,0.0011875
9073,7805,0.02169217970106274,0.00125
1677,645,0.021748885206349655,0.0013125
15869,11040,0.021787998661238817,0.001375
11891,9274,0.0218591491055804,0.0014375
7568,6559,0.021865427700959117,0.0015
11892,8724,0.0218747699755113,0.0015625
15930,15476,0.022025081807669267,0.001625
15591,11295,0.022032483454268004,0.0016875
15952,13954,0.022079672570271214,0.00175
13519,9466,0.022145717086687,0.0018125
15841,12436,0.02214745503897575,0.001875
9970,6344,0.02222284666129326,0.0019375
8134,5615,0.022249381634424026,0.002
5916,2581,0.02226998382221268,0.0020625
9098,6834,0.022296829346942104,0.002125
13997,9020,0.022299175816783645,0.0021875
14249,11787,0.0223105329084774,0.00225
3463,3478,0.022324840822534497,0.0023125
7129,4005,0.022338853256314906,0.002375
8448,5372,0.022340565634294762,0.0024375
11372,6278,0.022340565634294762,0.0025
11809,6846,0.02237954090878702,0.0025625
7332,3290,0.022393067051609705,0.002625
8783,4539,0.022452309702487128,0.0026875
14118,9518,0.022491784388080305,0.00275
15960,14465,0.02249902445760199,0.0028125
7750,5005,0.022582355245219787,0.002875
5727,1189,0.022584167853963777,0.0029375
15875,13673,0.022589987700257552,0.003
