,Request Id,request_execution_plus_preemption_time,cdf
496,751,0.12160114980390081,6.25e-05
8210,8536,0.29208001969365793,0.000125
10145,10509,0.3858568998674782,0.0001875
3684,4073,0.45080939100502065,0.00025
5509,5848,0.490571302595585,0.0003125
665,888,0.5089423226078171,0.000375
15218,15538,0.5917336819190532,0.0004375
10830,11214,0.6070786107055779,0.0005
15640,15999,0.6940822515906298,0.0005625
6427,6775,0.6963770454584604,0.000625
4726,5076,0.7115494949507899,0.0006875
13042,13361,0.7275659068779164,0.00075
9635,9973,0.7302190055269655,0.0008125
4325,4686,0.7420248987686242,0.000875
409,642,0.765188915640556,0.0009375
5693,6032,0.7763037788308056,0.001
11810,12114,0.7823838283707033,0.0010625
11523,11876,0.7870009795678934,0.001125
2,25,0.8002527830983766,0.0011875
0,5,0.8076620757581281,0.00125
6021,6379,0.8231836360952094,0.0013125
1,8,0.8238508693241693,0.001375
12678,13030,0.8285756274517087,0.0014375
11503,11864,0.8327547299402751,0.0015
12943,13254,0.8356017049779247,0.0015625
12409,12735,0.8442524099652562,0.001625
15545,15865,0.8469233093679757,0.0016875
11494,11853,0.865440436950669,0.00175
10658,11020,0.879661259024034,0.0018125
12162,12491,0.8831825477149975,0.001875
3723,4090,0.8862090003688576,0.0019375
2778,3071,0.8879100286660264,0.002
1870,2120,0.8893277331348806,0.0020625
13943,14238,0.8903271778916998,0.002125
8068,8379,0.8968034556732779,0.0021875
6245,6539,0.9013291981904936,0.00225
33,168,0.90240383472623,0.0023125
5730,6072,0.9046003589033736,0.002375
13133,13450,0.9104515487192888,0.0024375
9669,9989,0.9107449132349847,0.0025
15010,15303,0.9179736229144994,0.0025625
1843,2087,0.9203539140410695,0.002625
10182,10535,0.9265546623162333,0.0026875
3224,3571,0.9278735493641213,0.00275
5980,6350,0.9323307908291831,0.0028125
8781,9122,0.9340538174645695,0.002875
11437,11789,0.9351732590766852,0.0029375
3467,3795,0.9361088127673698,0.003
7273,7610,0.9406768887379375,0.0030625
7265,7607,0.9409772982599541,0.003125
346,560,0.9678795718644202,0.0031875
15128,15434,0.9678843516684117,0.00325
10689,11045,0.9784601320073145,0.0033125
4125,4472,0.9889114639389931,0.003375
14805,15109,0.9898232851594446,0.0034375
12941,13240,1.0007026278137114,0.0035
1566,1823,1.007132918372596,0.0035625
6593,6949,1.008257648163383,0.003625
2891,3176,1.016635525589415,0.0036875
405,627,1.0209679208391802,0.00375
607,809,1.0263557484998742,0.0038125
4712,5057,1.02726688666971,0.003875
25,131,1.041399186687081,0.0039375
7449,7784,1.0480653487005782,0.004
7715,8021,1.0545335381005634,0.0040625
364,569,1.064276250108188,0.004125
9117,9458,1.0687491929999342,0.0041875
13439,13772,1.0716922029173084,0.00425
8,65,1.089087270590239,0.0043125
15654,15992,1.089925450814881,0.004375
455,675,1.104351273056261,0.0044375
6089,6412,1.1124767966134603,0.0045
2645,2921,1.112801296555549,0.0045625
9614,9942,1.1128236951062918,0.004625
4438,4781,1.113221849556842,0.0046875
12010,12299,1.1276840931357168,0.00475
5656,5982,1.1295764958678705,0.0048125
8366,8686,1.1319918654875774,0.004875
603,801,1.1327902584319292,0.0049375
745,939,1.1335239247697793,0.005
6806,7121,1.140385699209004,0.0050625
4170,4517,1.1437275957177322,0.005125
3032,3335,1.1439006972634203,0.0051875
15520,15833,1.1478623487167288,0.00525
1991,2277,1.1518385281798318,0.0053125
3764,4111,1.1642439324131306,0.005375
1769,2014,1.1650652444610772,0.0054375
12700,13041,1.1672235827711215,0.0055
3936,4246,1.1741446474777897,0.0055625
10776,11148,1.1760896298242294,0.005625
4,20,1.178446250302791,0.0056875
12882,13174,1.1899303616568027,0.00575
7736,8026,1.1934398423273833,0.0058125
