,Request Id,prefill_time_execution_plus_preemption,cdf
5656,39,0.010927471034942848,6.25e-05
10496,4974,0.01336538280824584,0.000125
5948,218,0.013660212206469513,0.0001875
7464,3787,0.014771841861460189,0.00025
6356,2834,0.014837659851941964,0.0003125
8596,4543,0.014906022518616169,0.000375
8847,2849,0.015147153525958856,0.0004375
13990,9466,0.015150965051560661,0.0005
11993,6187,0.015162827013853075,0.0005625
15939,13435,0.015189076454760198,0.000625
7014,3141,0.015284420759925865,0.0006875
6472,1911,0.015349898384904748,0.00075
15904,13258,0.015403772192598808,0.0008125
12538,8780,0.0155310738363994,0.000875
15902,14698,0.01557213671833324,0.0009375
15930,14132,0.015611271157183637,0.001
7796,2786,0.015613744920095485,0.0010625
11075,9432,0.01565777508378119,0.001125
13184,9539,0.01566096844317144,0.0011875
15868,11040,0.015711960360079047,0.00125
6915,1900,0.01575650785194682,0.0013125
7892,2467,0.015771717584456724,0.001375
15994,14577,0.015785816405525566,0.0014375
15897,11295,0.01579531225104347,0.0015
5098,643,0.015808549584452436,0.0015625
11098,5877,0.015813297525966163,0.001625
12919,7709,0.015819605841613793,0.0016875
8295,2563,0.01583398744578801,0.00175
10068,4324,0.01587727434726105,0.0018125
15250,12650,0.015943159194762302,0.001875
15993,14187,0.0159531149176928,0.0019375
4527,1504,0.015982028180093977,0.002
10453,10976,0.016010202569987086,0.0020625
8118,4097,0.016048576238588907,0.002125
14563,10292,0.016059632495682763,0.0021875
13492,11506,0.016098653116500827,0.00225
15965,14526,0.01621352184895386,0.0023125
5448,4634,0.016221144405491827,0.002375
15971,15414,0.016224618324031326,0.0024375
7409,6902,0.016266175121415927,0.0025
15569,10164,0.016266513526034032,0.0025625
15562,12788,0.016271162361647384,0.002625
10201,8857,0.016297527401093248,0.0026875
7630,5161,0.01631633756228723,0.00275
12388,6525,0.016322620540705657,0.0028125
14918,9068,0.016329541039027617,0.002875
12117,9274,0.016331809488349336,0.0029375
7967,3340,0.01633184075309657,0.003
15927,13986,0.016338549841577787,0.0030625
14047,9259,0.016364591543066354,0.003125
10121,4972,0.016378579384920045,0.0031875
15991,14615,0.016378579384934255,0.00325
15176,11765,0.016386907457388133,0.0033125
10670,6616,0.01641022492012212,0.003375
4891,4531,0.01642979510673115,0.0034375
15411,9816,0.016467424190238944,0.0035
9045,3385,0.016484794976207695,0.0035625
9408,7805,0.0164894414883463,0.003625
8620,2499,0.016502533584457524,0.0036875
15934,13290,0.016524282976320137,0.00375
5365,5049,0.016526266976214288,0.0038125
15978,14193,0.01654884815263813,0.003875
7864,6711,0.01655326948738889,0.0039375
11389,7677,0.016554790567084865,0.004
15957,12945,0.016590552405546077,0.0040625
15526,14638,0.016601528878652516,0.004125
9900,4674,0.01660253748046614,0.0041875
15992,14911,0.016615403026662534,0.00425
15610,10888,0.016629483013673507,0.0043125
15972,13827,0.016637816405591366,0.004375
14354,11739,0.016647461018749254,0.0044375
15546,10435,0.01665030599565398,0.0045
8611,4883,0.01667116948836167,0.0045625
14688,9518,0.016680666976270686,0.004625
14558,8523,0.016689626347272224,0.0046875
11215,7484,0.016693277116559102,0.00475
9697,6213,0.016722205751420915,0.0048125
9513,5895,0.016727687157185755,0.004875
13587,8360,0.01675159773887458,0.0049375
10585,6927,0.016755884662273957,0.005
10727,8662,0.016759175157176287,0.0050625
8478,4970,0.016761861803985312,0.005125
8807,5372,0.01676376840551086,0.0051875
6944,782,0.016766251013848432,0.00525
79,312,0.016770783768142117,0.0053125
7262,1441,0.01678704683422083,0.005375
13017,9350,0.01682289541744808,0.0054375
13602,7894,0.016824939398674132,0.0055
14847,11787,0.016832823401273345,0.0055625
4553,1861,0.016845363384945244,0.005625
8190,2951,0.01684696554684706,0.0056875
5569,2391,0.016847066347281725,0.00575
9855,5423,0.01686035288246046,0.0058125
15961,12863,0.016887576405565596,0.005875
10877,6744,0.01688891852938923,0.0059375
10314,5705,0.016932311401291145,0.006
14483,10979,0.0169485062348258,0.0060625
11893,10579,0.01694956087879973,0.006125
10311,6344,0.016955145737881594,0.0061875
4518,5076,0.016972883380788062,0.00625
10164,4147,0.01697424148832738,0.0063125
4082,1205,0.01698725897623632,0.006375
15400,10542,0.016990871401219465,0.0064375
10190,9954,0.01699964152993516,0.0065
9879,4296,0.017013132363246086,0.0065625
15979,15449,0.01702437945721158,0.006625
7423,3695,0.017028925028782282,0.0066875
9414,5422,0.017028939814323962,0.00675
15989,15971,0.017043175157255064,0.0068125
9479,5482,0.017052037803964026,0.006875
3409,3449,0.01708968695353974,0.0069375
15254,12852,0.017106720190099622,0.007
11825,12334,0.01711921753729939,0.0070625
15898,15476,0.01713216148829133,0.007125
15014,12518,0.01715732381427415,0.0071875
15920,12881,0.01715819154316023,0.00725
15429,15211,0.017158391732209566,0.0073125
1462,1496,0.017159781603393043,0.007375
9782,6034,0.017176890347315066,0.0074375
15960,14510,0.017176890347343488,0.0075
15460,10782,0.017182547384948066,0.0075625
9231,6834,0.01718414954686409,0.007625
8578,5615,0.01720991240551939,0.0076875
5090,1986,0.017210488405524416,0.00775
14639,9020,0.017221223157207532,0.0078125
6888,1189,0.017237190542786607,0.007875
3467,1251,0.017245148747129235,0.0079375
10915,9194,0.017246829738837732,0.008
10774,9319,0.017286746569965317,0.0080625
11190,7871,0.01732005371624723,0.008125
4903,3288,0.017320927840586364,0.0081875
14609,10514,0.017322602324071568,0.00825
5902,4834,0.017325466976217285,0.0083125
13377,13898,0.017325652921329038,0.008375
9619,4648,0.01732718872230521,0.0084375
9745,8032,0.017334296405579153,0.0085
12903,7000,0.017334296405579153,0.0085625
14454,9225,0.017336833147652442,0.008625
12036,7432,0.017360618324033794,0.0086875
15903,13812,0.017360888693247034,0.00875
12953,9715,0.017367334991206462,0.0088125
5663,337,0.017372514780355175,0.008875
6831,2820,0.01737278173884249,0.0089375
12441,9503,0.017402305488360525,0.009
11404,7281,0.017404632405515486,0.0090625
13081,10852,0.017406519401333753,0.009125
12926,7872,0.017434703730856427,0.0091875
8160,3290,0.01745543453232301,0.00925
3689,4014,0.017469078953538997,0.0093125
4597,1852,0.017475659814330413,0.009375
6625,4327,0.01747565981433752,0.0094375
15872,13910,0.017483254821684113,0.0095
12748,8876,0.017487468734600498,0.0095625
15747,12509,0.01748960687058343,0.009625
11264,11601,0.017508314684448578,0.0096875
