,Request Id,prefill_e2e_time,cdf
865,707,0.039932092820833986,0.00028074115665356543
2919,2106,0.04089199906979957,0.0005614823133071309
3443,2498,0.04570216816841821,0.0008422234699606962
2414,1441,0.04915073416930227,0.0011229646266142617
2352,1861,0.049732112405308726,0.001403705783267827
1887,1504,0.05229031388068961,0.0016844469399213925
2642,2019,0.053882222639344945,0.0019651880965749578
2446,1986,0.05541577494670946,0.0022459292532285235
3376,2686,0.05748400724905878,0.0025266704098820887
1578,590,0.061670896673376774,0.002807411566535654
1408,982,0.06237723211251023,0.0030881527231892197
1459,790,0.06500237031360712,0.003368893879842785
1698,782,0.06651989335392727,0.0036496350364963502
3437,3467,0.06661782483888601,0.0039303761931499155
1557,1251,0.06746124056292047,0.004211117349803481
1565,925,0.06840161363157904,0.004491858506457047
708,187,0.06931609320866983,0.004772599663110612
3403,2467,0.07022264737111072,0.0050533408197641775
2922,2391,0.07460631147637287,0.005334081976417743
2523,1929,0.07767822353241627,0.005614823133071308
3268,2581,0.08202067465208529,0.005895564289724873
1958,1990,0.08258925524808092,0.006176305446378439
1816,960,0.08874753524702328,0.006457046603032005
349,398,0.08912262335925902,0.00673778775968557
1423,545,0.09115126311507993,0.007018528916339135
2140,1487,0.09153734149469983,0.0072992700729927005
1290,487,0.09199375051932179,0.007580011229646266
2102,1345,0.09200932895601,0.007860752386299831
2346,1577,0.10393434876652918,0.008141493542953397
1477,1496,0.10627155041879632,0.008422234699606962
1789,924,0.10917943469263491,0.008702975856260528
1389,1435,0.11336633511530181,0.008983717012914094
3542,2728,0.11471977750602491,0.009264458169567658
3062,2093,0.11586039839630757,0.009545199326221224
755,39,0.11633981999538179,0.009825940482874789
1594,1617,0.1173752675634887,0.010106681639528355
2106,1189,0.11796732767140838,0.010387422796181921
3175,2548,0.1180695403622849,0.010668163952835485
805,645,0.12165472046399373,0.010948905109489052
1110,337,0.12207556525513041,0.011229646266142616
595,618,0.12216874561426039,0.011510387422796182
3277,3351,0.12340470508638646,0.011791128579449747
3051,2851,0.12589448721610097,0.012071869736103313
1263,1330,0.12959138184430685,0.012352610892756879
1811,988,0.1295968379909027,0.012633352049410443
1416,435,0.13372481308829265,0.01291409320606401
2815,1882,0.1393171095771777,0.013194834362717574
3489,2681,0.14151485175989365,0.01347557551937114
972,626,0.14688186318613816,0.013756316676024706
1961,1027,0.15469289888733329,0.01403705783267827
3408,3449,0.15570213888372564,0.014317798989331837
1062,1090,0.15596929406592608,0.014598540145985401
1476,1396,0.15606294006215649,0.014879281302638967
3272,2773,0.16939548340474175,0.015160022459292532
2509,1992,0.170642504420357,0.015440763615946098
748,75,0.17079876142720707,0.015721504772599662
2150,2184,0.1771658169334387,0.016002245929253228
2867,2295,0.18106667757820105,0.016282987085906794
632,679,0.18250385442058814,0.01656372824256036
3041,3073,0.18514909938835444,0.016844469399213923
1019,1063,0.1871378842525928,0.01712521055586749
3220,2529,0.1900961208893932,0.017405951712521055
911,938,0.19075557444182323,0.01768669286917462
2689,2733,0.19116812762808877,0.017967434025828188
745,295,0.1919800993887293,0.01824817518248175
1118,397,0.1921243789787752,0.018528916339135316
2727,2500,0.19214119615185155,0.018809657495788883
2768,1911,0.19245404659727683,0.01909039865244245
905,948,0.19468025686893498,0.019371139809096015
704,768,0.1972772337920219,0.019651880965749578
2060,2098,0.1999023031944489,0.019932622122403144
3558,2489,0.20006253255951378,0.02021336327905671
2549,2602,0.2016327404319327,0.020494104435710276
1972,1133,0.2056503159848262,0.020774845592363842
646,677,0.20576211537888867,0.021055586749017405
2636,2659,0.2063534523447288,0.02133632790567097
915,218,0.20675109113594203,0.021617069062324537
2997,3008,0.21151009846357738,0.021897810218978103
535,549,0.2133067229751191,0.022178551375631666
3040,2716,0.2140872974634931,0.022459292532285232
2407,2419,0.2144022195504931,0.022740033688938798
594,619,0.21449805087854656,0.023020774845592364
917,961,0.21585580643153435,0.02330151600224593
2985,2608,0.21658011206409356,0.023582257158899493
2913,2946,0.21907571540373283,0.02386299831555306
2466,2533,0.22104176711809487,0.024143739472206625
1171,377,0.2212091949137971,0.02442448062886019
1982,1229,0.22121432129824825,0.024705221785513758
3244,3278,0.22235753507970912,0.02498596294216732
1156,1167,0.22365646488208313,0.025266704098820886
3534,3598,0.22403191439047987,0.025547445255474453
255,299,0.23199919437271888,0.02582818641212802
3077,3113,0.2322290573195005,0.026108927568781585
2044,2085,0.23291943830895434,0.026389668725435148
3260,2997,0.23352147936566325,0.026670409882088714
2475,2542,0.23606374060250346,0.02695115103874228
2157,2204,0.23698179761913707,0.027231892195395846
2757,2822,0.2381250607493257,0.027512633352049412
2063,2091,0.23943097045071227,0.027793374508702975
3287,3337,0.24029271315043843,0.02807411566535654
302,307,0.2409903083492111,0.028354856822010107
1793,1831,0.24237257576010052,0.028635597978663673
3546,3584,0.24316756102280124,0.028916339135317236
2431,2034,0.2439921294967462,0.029197080291970802
720,737,0.24569866354249825,0.029477821448624368
1366,1424,0.24705100518326617,0.029758562605277934
3156,3173,0.2542045975947076,0.0300393037619315
2855,2050,0.2542267725078773,0.030320044918585063
2903,2053,0.25469793371621563,0.03060078607523863
1089,471,0.255689606833414,0.030881527231892195
2988,3020,0.25590499184590954,0.03116226838854576
3095,3155,0.25653496994846137,0.031443009545199324
1726,1746,0.25671460217574804,0.03172375070185289
1832,1888,0.2576182124821571,0.032004491858506456
1325,1365,0.25840589078961784,0.03228523301516002
735,780,0.260366253782081,0.03256597417181359
1860,1864,0.2622137537606477,0.032846715328467155
2823,2074,0.26319929917622176,0.03312745648512072
197,203,0.2643617376666896,0.03340819764177429
1658,828,0.2646719947510974,0.033688938798427846
300,303,0.2646820433940036,0.03396967995508141
2388,2435,0.2649252912472093,0.03425042111173498
1105,1200,0.26713303757730955,0.034531162268388545
3121,3191,0.26884497889273007,0.03481190342504211
1941,1973,0.2693747352839182,0.03509264458169568
560,642,0.27183273289318777,0.03537338573834924
208,226,0.2720752630429928,0.03565412689500281
327,235,0.2728926978460322,0.035934868051656375
3327,2834,0.2766836503403738,0.03621560920830994
1402,1422,0.27705917810544634,0.0364963503649635
2608,2610,0.2791009625677816,0.03677709152161707
2036,1109,0.27927379253719664,0.03705783267827063
959,989,0.2814262044865927,0.0373385738349242
1963,1895,0.2823481972807258,0.037619314991577765
119,130,0.2837984358516721,0.03790005614823133
1842,1854,0.2838455645446629,0.0381807973048849
2557,2586,0.2858413580013348,0.038461538461538464
1309,1342,0.28679559046520353,0.03874227961819203
861,901,0.28755633080555754,0.03902302077484559
1121,699,0.2903258369689752,0.039303761931499155
3461,3536,0.2914952005298801,0.03958450308815272
1920,1955,0.29282719260834256,0.03986524424480629
2773,2792,0.29437054599793555,0.040145985401459854
870,896,0.29464149776430304,0.04042672655811342
2725,1994,0.29519235506131736,0.040707467714766986
3039,3093,0.2988088446927577,0.04098820887142055
2498,2583,0.2996371321448805,0.04126895002807412
2254,2322,0.30042882865654974,0.041549691184727684
1350,1390,0.3008824947513631,0.04183043234138124
1834,1905,0.30228597363907284,0.04211117349803481
2040,2024,0.3024244423456821,0.042391914654688376
895,926,0.3029532938145394,0.04267265581134194
659,234,0.3071713031838499,0.04295339696799551
2350,2283,0.30732140658619755,0.043234138124649074
974,950,0.3089052281411,0.04351487928130264
