,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
1211,1305,0.0002444283602471842,0.00024606299212598425
1677,1706,0.0002444623502404124,0.0004921259842519685
1067,1139,0.0002444623502404421,0.0007381889763779527
887,910,0.0002445902740239274,0.000984251968503937
1998,2035,0.0002446857887466546,0.0012303149606299212
1934,1963,0.00024497484992645096,0.0014763779527559055
3298,3424,0.0002449988485996851,0.0017224409448818897
2341,2478,0.00024510331078115807,0.001968503937007874
2746,2763,0.00024510331078115807,0.0022145669291338582
2832,2966,0.00024512827218584445,0.0024606299212598425
934,1018,0.00024523190643217487,0.0027066929133858267
1150,1243,0.00024523190643217487,0.002952755905511811
3743,3749,0.00024531066948589326,0.0031988188976377952
2079,2069,0.0002453606370916895,0.0034448818897637795
815,903,0.0002453606370917193,0.0036909448818897637
2626,2704,0.0002453875300094149,0.003937007874015748
1104,693,0.0002453961660189843,0.004183070866141733
2258,2296,0.00024540616043173185,0.0044291338582677165
1272,1321,0.00024543803743468464,0.004675196850393701
264,247,0.0002454794809150813,0.004921259842519685
3844,3867,0.0002455655377139305,0.00516732283464567
2219,2336,0.00024560970875640804,0.0054133858267716535
2544,2692,0.00024561236001993187,0.005659448818897638
1404,1451,0.00024564733681725967,0.005905511811023622
4012,3945,0.00024569317052979017,0.006151574803149607
1645,1710,0.00024574007484385837,0.0063976377952755905
362,323,0.00024574307442113655,0.006643700787401575
3633,3776,0.000245798434309391,0.006889763779527559
1333,1436,0.0002458005309457257,0.007135826771653544
3372,3343,0.0002459038203045464,0.0073818897637795275
2358,2401,0.00024592203392691486,0.007627952755905512
1690,1804,0.00024593636833531454,0.007874015748031496
1917,2076,0.00024593636833531454,0.00812007874015748
804,900,0.0002459363683353464,0.008366141732283465
2334,2392,0.00024596692923405084,0.00861220472440945
3881,3801,0.00024601150369876306,0.008858267716535433
1073,1082,0.00024602462077297395,0.009104330708661417
1213,1319,0.00024602652218328467,0.009350393700787402
780,831,0.00024607220583071734,0.009596456692913386
1008,1049,0.00024607220583071734,0.00984251968503937
2242,2211,0.00024607220583071734,0.010088582677165354
3234,3265,0.00024607220583071734,0.01033464566929134
2327,2368,0.0002460744572563338,0.010580708661417323
524,575,0.00024613293089697884,0.010826771653543307
1607,1565,0.000246136053751257,0.01107283464566929
505,509,0.00024615962046866784,0.011318897637795276
1615,1686,0.00024615962046866784,0.01156496062992126
2603,2776,0.00024615962046866784,0.011811023622047244
2901,3014,0.00024616464616887746,0.012057086614173228
2124,2230,0.0002461736200536107,0.012303149606299213
3553,3627,0.0002461957175053597,0.012549212598425197
287,186,0.0002462111863633831,0.012795275590551181
2974,3152,0.00024621270133350797,0.013041338582677165
848,842,0.0002462470972350035,0.01328740157480315
2485,2646,0.0002462470972350035,0.013533464566929134
732,644,0.0002462544780233477,0.013779527559055118
1777,1884,0.0002462673263132577,0.014025590551181102
3218,3237,0.0002462673263133183,0.014271653543307087
980,1037,0.0002462729155879947,0.014517716535433071
4048,4246,0.0002462749714974092,0.014763779527559055
2789,2814,0.00024628726467025813,0.015009842519685039
3030,3025,0.00024628726467025813,0.015255905511811024
3238,3277,0.00024628726467025813,0.015501968503937008
2997,3053,0.00024632813804107415,0.015748031496062992
3549,3479,0.00024635240833803784,0.015994094488188976
159,238,0.00024635240833806847,0.01624015748031496
205,174,0.00024639774067559137,0.016486220472440943
1940,1975,0.00024639774067562324,0.01673228346456693
2236,2376,0.0002464118957886331,0.016978346456692914
420,458,0.00024641589298870955,0.0172244094488189
3252,3330,0.00024644092878659625,0.017470472440944882
403,444,0.0002464409287866269,0.017716535433070866
1887,1966,0.00024644092878663707,0.01796259842519685
3225,2624,0.0002464488281252825,0.018208661417322834
1450,1404,0.00024645380961909984,0.018454724409448817
1595,1599,0.00024645380961909984,0.018700787401574805
382,348,0.00024645380961914044,0.01894685039370079
2201,2364,0.0002464725865369216,0.019192913385826772
1682,1739,0.0002465037104843986,0.019438976377952756
116,151,0.00024650990096737813,0.01968503937007874
2765,2725,0.00024650990096737813,0.019931102362204724
3215,3255,0.00024650990096737813,0.020177165354330708
3775,3715,0.0002465155988533933,0.02042322834645669
2027,2148,0.00024652063231685796,0.02066929133858268
2525,2547,0.00024652063231685796,0.020915354330708662
256,266,0.0002465295128731785,0.021161417322834646
1616,1653,0.00024652951287318874,0.02140748031496063
2598,2746,0.00024653135512087284,0.021653543307086614
3618,3766,0.00024653135512087284,0.021899606299212598
1291,1380,0.0002465393896910655,0.02214566929133858
3439,3505,0.0002465418602834868,0.022391732283464565
3097,3252,0.0002465510329404053,0.022637795275590553
490,573,0.00024657848301136074,0.022883858267716536
2205,2238,0.00024657848301136074,0.02312992125984252
1793,1876,0.0002465852192764493,0.023375984251968504
3536,3623,0.0002465852192764493,0.023622047244094488
1611,1594,0.00024659159059508824,0.02386811023622047
2143,2220,0.0002466016177516236,0.024114173228346455
1351,1215,0.00024661684572887773,0.02436023622047244
3578,3531,0.0002466181606663421,0.024606299212598427
486,532,0.0002466181606663728,0.02485236220472441
2055,2037,0.00024661816066638296,0.025098425196850394
537,559,0.0002466283671207582,0.025344488188976378
245,301,0.000246629973886202,0.025590551181102362
1495,1512,0.0002466394138200563,0.025836614173228346
2296,2396,0.0002466394138200563,0.02608267716535433
3771,3870,0.00024663941382017045,0.026328740157480313
2864,3010,0.00024664546477969084,0.0265748031496063
3641,3730,0.00024664577560604026,0.026820866141732284
1226,1323,0.0002466457756060804,0.027066929133858268
2372,2423,0.000246649631927391,0.027312992125984252
1632,1680,0.0002466795333877398,0.027559055118110236
596,658,0.0002466854153148095,0.02780511811023622
2381,2379,0.0002466862015743724,0.028051181102362203
3107,3268,0.0002466903273092982,0.028297244094488187
653,656,0.0002466903273093303,0.028543307086614175
2927,2967,0.0002467068722349271,0.02878937007874016
1082,1202,0.000246706872234968,0.029035433070866142
2355,2468,0.000246706872234968,0.029281496062992126
310,354,0.00024671815049467043,0.02952755905511811
854,928,0.0002467246522193714,0.029773622047244094
1488,1513,0.0002467246522193714,0.030019685039370077
1514,1591,0.00024673296039774044,0.03026574803149606
2196,2320,0.00024673296039774044,0.03051181102362205
3195,3034,0.0002467358681455984,0.030757874015748032
1650,1760,0.000246741652741829,0.031003937007874016
1170,1226,0.0002467434769648077,0.03125
454,408,0.00024675094950578303,0.031496062992125984
3441,3495,0.000246750949505814,0.03174212598425197
39,97,0.0002467633532240074,0.03198818897637795
3658,3669,0.0002467633532241002,0.032234251968503935
3937,4044,0.00024676678372206705,0.03248031496062992
1673,1689,0.0002467675389294408,0.0327263779527559
3597,3643,0.00024679445957359223,0.03297244094488189
2536,2551,0.00024679564764775006,0.03321850393700788
1832,1950,0.00024679564764779093,0.03346456692913386
1598,1673,0.0002468063901764948,0.033710629921259845
829,847,0.0002468104450236336,0.03395669291338583
1247,1262,0.0002468104450236336,0.03420275590551181
762,654,0.00024681044502364313,0.0344488188976378
4009,3887,0.00024682395686215724,0.03469488188976378
2527,2521,0.00024682553332560183,0.034940944881889764
1087,1053,0.0002468297791619642,0.03518700787401575
372,455,0.0002468362991564119,0.03543307086614173
2432,2452,0.0002468556072873742,0.035679133858267716
899,959,0.00024685560728739445,0.0359251968503937
595,607,0.000246880428654712,0.03617125984251968
323,329,0.00024688448697378785,0.03641732283464567
1987,2066,0.0002468846251733625,0.03666338582677165
3065,3115,0.00024689004385379634,0.036909448818897635
3143,3151,0.00024689004385379634,0.037155511811023625
4021,4065,0.00024689004385379634,0.03740157480314961
254,280,0.0002468930179393371,0.03764763779527559
1703,1775,0.0002468946478177835,0.03789370078740158
2756,2694,0.000246894692999456,0.03813976377952756
832,798,0.00024689469299949665,0.038385826771653545
3991,4019,0.000246898584369407,0.03863188976377953
2063,2097,0.0002468985843694357,0.03887795275590551
484,536,0.00024690751502129735,0.039124015748031496
2994,3077,0.0002469076442814653,0.03937007874015748
2275,2333,0.0002469097543225493,0.039616141732283464
309,304,0.0002469097543225778,0.03986220472440945
966,874,0.0002469097543225778,0.04010826771653543
985,1054,0.000246936148946166,0.040354330708661415
547,550,0.00024694373852884963,0.0406003937007874
870,963,0.00024695608004482575,0.04084645669291338
3256,3259,0.0002469606022435319,0.04109251968503937
907,993,0.00024696651062116237,0.04133858267716536
341,349,0.00024696651062117175,0.04158464566929134
1617,1334,0.0002469665106211812,0.041830708661417325
367,461,0.00024697564612472986,0.04207677165354331
1585,1557,0.0002469756461247394,0.04232283464566929
2287,2275,0.0002469756461247394,0.042568897637795276
3421,3508,0.00024697564612477746,0.04281496062992126
139,201,0.00024697606479083653,0.043061023622047244
251,334,0.00024698967835672,0.04330708661417323
2211,2284,0.0002469900081116704,0.04355314960629921
5,96,0.00024699047650066357,0.043799212598425195
771,820,0.00024699190219697593,0.04404527559055118
3472,3462,0.00024699190219697593,0.04429133858267716
3613,3631,0.00024699190219697593,0.04453740157480315
3091,3226,0.0002469921994387208,0.04478346456692913
2428,2516,0.0002469948849841097,0.04502952755905512
445,457,0.00024699488498414993,0.045275590551181105
3390,3506,0.00024699975677463116,0.04552165354330709
3334,3369,0.00024700582126101526,0.04576771653543307
4014,4084,0.00024700582126101526,0.04601377952755906
862,922,0.0002470058212610338,0.04625984251968504
3408,3564,0.0002470134271840581,0.046505905511811024
670,745,0.00024701761913717435,0.04675196850393701
2328,2190,0.00024701761913719305,0.04699803149606299
1746,1811,0.0002470195950686327,0.047244094488188976
2844,2950,0.00024701959506869453,0.04749015748031496
358,403,0.0002470282515563021,0.04773622047244094
974,1051,0.0002470334566043025,0.04798228346456693
1627,1641,0.00024703407323113446,0.04822834645669291
2039,2027,0.000247048450405727,0.048474409448818895
562,511,0.0002470576708818236,0.04872047244094488
1097,1128,0.00024705832963530785,0.04896653543307087
3251,3221,0.00024705832963536493,0.04921259842519685
3946,3977,0.00024705881067409006,0.04945866141732284
