,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
6356,6369,1.9793912609581006e-05,6.25e-05
10253,10528,1.9793912609594775e-05,0.000125
8906,9178,1.980350733212564e-05,0.0001875
9547,9820,1.9813111360899707e-05,0.00025
14759,14697,1.981311136091349e-05,0.0003125
3524,3608,1.9818242770792675e-05,0.000375
7923,7865,1.982272470944939e-05,0.0004375
9150,9542,1.982272470944939e-05,0.0005
13645,13649,1.982272470946318e-05,0.0005625
6382,6323,1.9829108676897786e-05,0.000625
395,459,1.982910867689865e-05,0.0006875
14905,14837,1.9829108676911616e-05,0.00075
5775,5681,1.983234739134718e-05,0.0008125
14648,14840,1.983234739136098e-05,0.000875
15044,15422,1.983234739136098e-05,0.0009375
12060,11927,1.983876257597535e-05,0.001
13315,13327,1.983876257597535e-05,0.0010625
3957,4270,1.9841979420191937e-05,0.001125
7158,7007,1.9841979420191937e-05,0.0011875
10608,10848,1.984197942020574e-05,0.00125
9525,9581,1.9848425879700412e-05,0.0013125
2080,2260,1.9851620809605485e-05,0.001375
11046,11260,1.9851620809622747e-05,0.0014375
11773,12062,1.9851620809622747e-05,0.0015
14073,14051,1.9851620809622747e-05,0.0015625
9266,9043,1.985809860186401e-05,0.001625
3862,4110,1.9861271573249974e-05,0.0016875
6182,6348,1.9861271573249974e-05,0.00175
12316,12195,1.986127157326379e-05,0.0018125
15112,15089,1.986127157326379e-05,0.001875
6441,6624,1.9863070054925924e-05,0.0019375
2557,2655,1.9867780756228645e-05,0.002
11477,11545,1.9867780756242503e-05,0.0020625
15642,15455,1.9867780756242503e-05,0.002125
6050,6106,1.987293968707744e-05,0.0021875
4757,4936,1.9877472356597538e-05,0.00225
12307,12636,1.9877472356611402e-05,0.0023125
15158,15073,1.9877472356611402e-05,0.002375
2803,3022,1.9885826011778464e-05,0.0024375
3605,3663,1.9885826011778464e-05,0.0025
334,433,1.988582601177939e-05,0.0025625
3696,3878,1.988648090764141e-05,0.002625
7027,7328,1.9887173416800855e-05,0.0026875
12547,12814,1.9887173416814726e-05,0.00275
1676,1687,1.988721820385878e-05,0.0028125
2204,2135,1.988721820385878e-05,0.002875
6103,5579,1.9887218203869193e-05,0.0029375
8292,8207,1.9887218203869193e-05,0.003
13397,13580,1.9896188609998033e-05,0.0030625
12488,12453,1.9896938251853283e-05,0.003125
7106,7380,1.9896938251867175e-05,0.0031875
4517,4567,1.9904714504300802e-05,0.00325
15484,15411,1.9906562013861433e-05,0.0033125
6964,7276,1.990656201387625e-05,0.003375
13001,13011,1.9906667806010667e-05,0.0034375
4382,4349,1.9906667806017616e-05,0.0035
6049,6097,1.9906667806024565e-05,0.0035625
14713,15134,1.9912141481640055e-05,0.003625
8122,8476,1.9912141481653987e-05,0.0036875
10415,10345,1.9916406880279754e-05,0.00375
13980,13965,1.9916406880279754e-05,0.0038125
14000,14398,1.9916406880279754e-05,0.003875
10864,10998,1.991781893341497e-05,0.0039375
1714,1706,1.9917818933418687e-05,0.004
11975,11857,1.9921907122386322e-05,0.0040625
809,617,1.9927096414790313e-05,0.004125
9824,10080,1.9927341306151474e-05,0.0041875
15359,15586,1.9927341306151474e-05,0.00425
2445,2567,1.992734130616631e-05,0.0043125
9416,9654,1.992734130616631e-05,0.004375
8337,7921,1.9928241653960148e-05,0.0044375
9748,9735,1.9935913645098835e-05,0.0045
13901,13803,1.9935913645098835e-05,0.0045625
6651,6103,1.9935913645112753e-05,0.004625
8663,9122,1.9935913645112753e-05,0.0046875
9493,9866,1.9935913645112753e-05,0.00475
14897,14829,1.993774722850456e-05,0.0048125
3550,3637,1.99377472285194e-05,0.004875
3571,3118,1.99377472285194e-05,0.0049375
11453,11712,1.993867528831907e-05,0.005
14435,14724,1.993867528831907e-05,0.0050625
14802,14777,1.993867528831907e-05,0.005125
1153,1319,1.99414671686615e-05,0.0051875
14340,14301,1.99418911194749e-05,0.00525
15229,15203,1.99418911194749e-05,0.0053125
4560,4529,1.9941891119488998e-05,0.005375
15876,15995,1.994415342814635e-05,0.0054375
10148,10400,1.9945681363690258e-05,0.0055
10765,10882,1.9945681363690258e-05,0.0055625
11602,11595,1.9945681363690258e-05,0.005625
5827,5769,1.9945681363704183e-05,0.0056875
10470,10656,1.994816402433972e-05,0.00575
3601,3599,1.994816402435457e-05,0.0058125
5895,5791,1.994911985370238e-05,0.005875
5194,5460,1.9951787839647554e-05,0.0059375
9551,9621,1.9951787839647554e-05,0.006
9608,9403,1.9951787839647554e-05,0.0060625
919,1006,1.9952124318491416e-05,0.006125
9878,9977,1.9952633423857726e-05,0.0061875
4279,3965,1.9952633423865254e-05,0.00625
744,856,1.9954503274233735e-05,0.0063125
3800,3749,1.995450327423558e-05,0.006375
11156,10881,1.995450327424295e-05,0.0064375
15035,15027,1.995450327424295e-05,0.0065
4608,4639,1.9954662529007078e-05,0.0065625
507,680,1.9957883006109646e-05,0.006625
1477,693,1.9958591710724737e-05,0.0066875
1943,1963,1.9959575367241366e-05,0.00675
4770,4549,1.9961065662191607e-05,0.0068125
8291,8734,1.9961216625171456e-05,0.006875
9641,9693,1.9961694387716683e-05,0.0069375
15600,15696,1.9961694387716683e-05,0.007
7705,7649,1.9963207156461786e-05,0.0070625
12473,12610,1.9963207156461786e-05,0.007125
13168,13150,1.9963207156461786e-05,0.0071875
14182,14113,1.9963207156461786e-05,0.00725
15077,14999,1.9963207156461786e-05,0.0073125
1282,1321,1.9964863867834062e-05,0.007375
1949,2030,1.996486386783591e-05,0.0074375
746,753,1.996514836578372e-05,0.0075
611,615,1.9968966583251012e-05,0.0075625
2724,2763,1.997004184619267e-05,0.007625
9702,9607,1.997004184619267e-05,0.0076875
11614,11902,1.997004184619267e-05,0.00775
13202,13618,1.997004184619267e-05,0.0078125
2304,2478,1.9970041846196396e-05,0.007875
13327,13678,1.9970390200490724e-05,0.0079375
1197,1325,1.99708793621256e-05,0.008
2371,2556,1.9971610778378343e-05,0.0080625
8305,8660,1.9971610778385404e-05,0.008125
5834,6108,1.9972250408804563e-05,0.0081875
10510,10794,1.9973650505869453e-05,0.00825
7904,8106,1.9973650505899306e-05,0.0083125
257,247,1.9973792101937928e-05,0.008375
15820,15743,1.9975590334513448e-05,0.0084375
11749,11812,1.99783638258144e-05,0.0085
14530,14310,1.997879866922514e-05,0.0085625
11339,11510,1.997940237087546e-05,0.008625
879,1018,1.9980519307815596e-05,0.0086875
6709,6733,1.998051930782678e-05,0.00875
4661,4783,1.9980702716458396e-05,0.0088125
6383,6367,1.998070271646539e-05,0.008875
11640,11844,1.998153702627306e-05,0.0089375
12270,12239,1.998153702627306e-05,0.009
15129,15380,1.998153702627306e-05,0.0090625
9048,8895,1.9981537026287186e-05,0.009125
6589,7024,1.9982112544002962e-05,0.0091875
5125,5065,1.9984388278113204e-05,0.00925
4115,3945,1.998561736458002e-05,0.0093125
14133,14522,1.9985617364587406e-05,0.009375
12921,13306,1.9988013283832814e-05,0.0094375
6616,6944,1.99886404419546e-05,0.0095
15009,14873,1.9988640441968598e-05,0.0095625
2044,2069,1.99910077693945e-05,0.009625
6139,5913,1.9991007769405693e-05,0.0096875
14564,14844,1.9991473146127e-05,0.00975
2221,2238,1.9991473146134067e-05,0.0098125
479,573,1.9991473146134948e-05,0.009875
3270,3488,1.999147314614113e-05,0.0099375
5275,5259,1.999147314614113e-05,0.01
5893,5925,1.9992717455064117e-05,0.0100625
7618,7561,1.9994653292971757e-05,0.010125
1543,1645,1.9994995702896814e-05,0.0101875
1642,1710,1.9994995702896814e-05,0.01025
13257,13650,1.999601030133446e-05,0.0103125
13788,13529,1.999601030133446e-05,0.010375
3838,4070,1.9996562082881222e-05,0.0104375
6604,6960,1.999849191580475e-05,0.0105
7191,7434,1.999849191580475e-05,0.0105625
2996,3144,1.9999038101322786e-05,0.010625
9680,9671,1.9999129163661465e-05,0.0106875
15492,15281,2.000141915266736e-05,0.01075
5330,5574,2.000331872481217e-05,0.0108125
12309,12337,2.000517125890344e-05,0.010875
14162,14324,2.000517125890344e-05,0.0109375
2939,3132,2.000517125893334e-05,0.011
13964,14374,2.0005480393566238e-05,0.0110625
8473,8393,2.000548039358039e-05,0.011125
9480,9742,2.000548039358039e-05,0.0111875
7087,7132,2.00056143941813e-05,0.01125
3901,3873,2.0005614394188848e-05,0.0113125
5841,5797,2.0006133233073298e-05,0.011375
3911,3893,2.0008325363326385e-05,0.0114375
14161,13971,2.0008325363326385e-05,0.0115
11715,11900,2.0008353105126358e-05,0.0115625
1131,1305,2.0010737259558613e-05,0.011625
12486,12407,2.0011375060657738e-05,0.0116875
4133,3887,2.0011375060671887e-05,0.01175
7150,7129,2.0011375060671887e-05,0.0118125
7734,8030,2.0011375060671887e-05,0.011875
8579,8583,2.0011375060671887e-05,0.0119375
10230,10586,2.001463329775967e-05,0.012
6499,6501,2.0015448246292688e-05,0.0120625
10878,10905,2.0015700296408127e-05,0.012125
4995,4929,2.0015700296438044e-05,0.0121875
11130,10385,2.0016244369948667e-05,0.01225
11419,11447,2.0016244369948667e-05,0.0123125
11247,11408,2.0016828635849125e-05,0.012375
11948,12282,2.002206097380597e-05,0.0124375
6655,7030,2.0022627269434463e-05,0.0125
9362,9528,2.0022627269434463e-05,0.0125625
2399,2566,2.0022627269441957e-05,0.012625
9689,9709,2.0022627269449452e-05,0.0126875
250,174,2.0025426037042253e-05,0.01275
1952,1975,2.002542603704358e-05,0.0128125
2464,2395,2.002542603704358e-05,0.012875
12240,12606,2.0026264290824663e-05,0.0129375
66,54,2.0026885648195075e-05,0.013
495,575,2.002810468764366e-05,0.0130625
5009,5057,2.0028104687644538e-05,0.013125
11459,11425,2.002810468765857e-05,0.0131875
13520,13483,2.002810468765857e-05,0.01325
11836,11763,2.0029704265007847e-05,0.0133125
7818,7869,2.003129025942631e-05,0.013375
9840,9893,2.003129025942631e-05,0.0134375
10306,10556,2.003129025942631e-05,0.0135
13056,12891,2.003129025942631e-05,0.0135625
7305,7085,2.003282297124909e-05,0.013625
13976,13981,2.0032862096702335e-05,0.0136875
13092,12903,2.0033193299670798e-05,0.01375
10834,10769,2.003541378068878e-05,0.0138125
2482,2547,2.0035413780702956e-05,0.013875
