,Request Id,decode_time_execution_plus_preemption_normalized,cdf
699,751,0.007865721670469839,6.25e-05
7647,7687,0.008112413145797095,0.000125
316,350,0.008161901933563014,0.0001875
4772,4806,0.008196627759475768,0.00025
5806,5848,0.00820732023811388,0.0003125
15966,15993,0.008274075594388251,0.000375
7658,7695,0.008311945452858807,0.0004375
5011,5057,0.00832023730070297,0.0005
15996,15978,0.008383356981035869,0.0005625
95,124,0.008395119922355952,0.000625
8420,8449,0.008411468195258355,0.0006875
4048,4090,0.008418110385214561,0.00075
307,334,0.008424470539025687,0.0008125
5803,5841,0.00845068280590482,0.000875
15997,15971,0.008460071690408012,0.0009375
15027,15060,0.00847536146271263,0.001
358,398,0.008479373300721793,0.0010625
11159,11204,0.008486197879525518,0.001125
8203,8234,0.008500089142675193,0.0011875
11196,11234,0.008517185949750953,0.00125
8215,8242,0.008523942080915666,0.0013125
2532,2583,0.008525834172246505,0.001375
7890,7930,0.00852730691732424,0.0014375
15957,15985,0.008533152842446375,0.0015
8623,8654,0.008533930653225543,0.0015625
1783,1823,0.008538561205887873,0.001625
1804,1831,0.008538986107985251,0.0016875
8611,8642,0.008540141853390151,0.00175
9203,9255,0.008544254317963388,0.0018125
3044,3092,0.00856285599335089,0.001875
6950,6985,0.008589318778648457,0.0019375
9599,9648,0.008594406412752657,0.002
14948,14988,0.008612038581361503,0.0020625
8690,8734,0.008619269913456264,0.002125
15999,15991,0.008621650206664921,0.0021875
12840,12865,0.00862234388958796,0.00225
12144,12182,0.008624433368497973,0.0023125
11811,11858,0.008630513149404714,0.002375
4805,4854,0.008635944044971752,0.0024375
298,326,0.008642867295058736,0.0025
8197,8227,0.00865921097755364,0.0025625
11988,12024,0.008662273852006247,0.002625
9798,9848,0.008664075181640227,0.0026875
12092,12121,0.008667236243325403,0.00275
1699,1738,0.008677536802938285,0.0028125
7568,7610,0.008683797225059051,0.002875
12567,12600,0.008688728806843994,0.0029375
4099,4131,0.008711105431332591,0.003
8413,8439,0.008713874937084476,0.0030625
14569,14623,0.008716170860101817,0.003125
11816,11864,0.008719231891758581,0.0031875
8205,8235,0.008723291914726082,0.00325
12086,12118,0.008725425049662176,0.0033125
9922,9973,0.008731412425380437,0.003375
10319,10369,0.008737962805923871,0.0034375
6713,6753,0.008740296804787525,0.0035
8480,8536,0.008749135296852728,0.0035625
2517,2567,0.008749631069452127,0.003625
8141,8186,0.008751857260072679,0.0036875
14909,14946,0.008754025867595905,0.00375
698,744,0.008754113063634716,0.0038125
15369,15396,0.008757969977146209,0.003875
4725,4781,0.00875803330072955,0.0039375
3,20,0.008758475353220605,0.004
10453,10509,0.008758872743896973,0.0040625
6599,6634,0.008760149614735318,0.004125
10971,11020,0.008760878703692075,0.0041875
8151,8193,0.008760897437789883,0.00425
15493,15538,0.00876090078519951,0.0043125
11540,11580,0.008762138606324433,0.004375
6400,6439,0.008765710093983534,0.0044375
6978,7015,0.008773882964509138,0.0045
12044,12081,0.008776344985949435,0.0045625
13157,13180,0.00878586923493959,0.004625
7241,7273,0.008803895590768584,0.0046875
628,675,0.008812155061765664,0.00475
15598,15622,0.00881335565999106,0.0048125
6440,6479,0.00881391893446281,0.004875
7356,7391,0.00881722253247408,0.0049375
8616,8647,0.008823407322218675,0.005
6977,7017,0.00882608628864838,0.0050625
1810,1834,0.008828581224838332,0.005125
15372,15401,0.0088343623306985,0.0051875
15392,15434,0.008834421763602787,0.00525
6854,6897,0.008837671589390084,0.0053125
9944,9989,0.008838376522221395,0.005375
7640,7669,0.008841107955461409,0.0054375
1908,1944,0.008844437516226359,0.0055
7424,7459,0.008846105060628719,0.0055625
12599,12623,0.008849482096072853,0.005625
518,560,0.008849958993435379,0.0056875
35,58,0.008854179861050268,0.00575
15975,15994,0.008854253495468306,0.0058125
10337,10381,0.008856712189998898,0.005875
11718,11747,0.008857019077074394,0.0059375
2904,2943,0.008859555973360626,0.006
6961,6993,0.008861303873965198,0.0060625
6422,6463,0.008862705102429076,0.006125
15998,15877,0.008866041208435586,0.0061875
6709,6749,0.008873412096351906,0.00625
1824,1866,0.00887517775348897,0.0063125
7465,7499,0.008880030093789872,0.006375
15682,15717,0.008884946711648786,0.0064375
14361,14392,0.008886943295088722,0.0065
15019,15049,0.008888031727811892,0.0065625
9973,10018,0.008892277165145832,0.006625
8665,8694,0.008893728137318086,0.0066875
6884,6922,0.00889671797222655,0.00675
14418,14462,0.0088967608099847,0.0068125
1632,1670,0.008904389958763626,0.006875
6476,6508,0.008910458605256865,0.0069375
15343,15374,0.008910664933620268,0.007
281,312,0.008912843469481903,0.0070625
12372,12393,0.008913219208710643,0.007125
4763,4799,0.008917571063625118,0.0071875
12340,12372,0.008919608810035697,0.00725
5816,5853,0.008922503417264608,0.0073125
5,25,0.008924179155182163,0.007375
14663,14718,0.008924573145811467,0.0074375
12843,12873,0.00892663725277032,0.0075
13155,13186,0.008935873291846549,0.0075625
6403,6444,0.008936133489297811,0.007625
12829,12857,0.008937783403328839,0.0076875
13412,13460,0.008938834847905044,0.00775
5981,6032,0.00893983989173345,0.0078125
585,642,0.008940023334433082,0.007875
908,946,0.008940369747171639,0.0079375
11546,11578,0.008943086903927328,0.008
1802,1826,0.008945461433572124,0.0080625
12592,12624,0.008946016460793979,0.008125
2475,2513,0.008948262987497688,0.0081875
7233,7275,0.00895085935320465,0.00825
8677,8710,0.008952666612386414,0.0083125
12082,12112,0.008952880208506583,0.008375
2593,2630,0.00895316384934972,0.0084375
4765,4798,0.008957377131601591,0.0085
2919,2959,0.008964115311222542,0.0085625
7032,7073,0.008964653064263656,0.008625
15983,15997,0.008965412848298953,0.0086875
290,304,0.008966011267888882,0.00875
11693,11731,0.008966639289403238,0.0088125
8651,8678,0.008969798066667612,0.008875
15260,15272,0.008970814229393451,0.0089375
7982,8026,0.008973179061766902,0.009
6410,6449,0.008976796903944088,0.0090625
15162,15193,0.008980780714288157,0.009125
2734,2766,0.008981031835757717,0.0091875
15351,15382,0.008981315226084814,0.00925
8010,8034,0.00898247544285419,0.0093125
7251,7283,0.00898394512861326,0.009375
9596,9640,0.008986764405449321,0.0094375
5812,5833,0.00899548893249972,0.0095
3977,4026,0.008998167291298266,0.0095625
8353,8385,0.009000377152921867,0.009625
11892,11937,0.009000768798018569,0.0096875
12455,12491,0.009001323921018451,0.00975
4065,4108,0.009002007954641502,0.0098125
15279,15301,0.009006105769318028,0.009875
3610,3646,0.009007569063645082,0.0099375
4057,4100,0.009008687635653077,0.01
1,5,0.009012007548357615,0.0100625
9188,9231,0.009013010147828567,0.010125
7042,7081,0.009015383530010013,0.0101875
8186,8220,0.009016172328664314,0.01025
13016,13059,0.009022407863412964,0.0103125
12320,12348,0.009023050089896073,0.010375
11923,11954,0.00902387921959206,0.0104375
5804,5840,0.009027463170129663,0.0105
12139,12166,0.009028505413346816,0.0105625
11776,11826,0.009028644997339966,0.010625
2069,2120,0.009033614113969671,0.0106875
10401,10427,0.009034426025748709,0.01075
6956,6981,0.009036007794808664,0.0108125
2032,2077,0.009037513831001522,0.010875
5739,5778,0.009038153958515396,0.0109375
8090,8130,0.009038956252975577,0.011
15962,15995,0.009039603742430994,0.0110625
