,Request Id,request_e2e_time,cdf
13,168,0.48365840482548705,6.25e-05
9,131,0.6571671350332393,0.000125
5,65,0.7306654517141508,0.0001875
2,25,0.7863300584248114,0.00025
56,255,0.8083750302744357,0.0003125
20,154,0.8787836189610145,0.000375
167,398,0.8960509451449186,0.0004375
1,8,0.962538867078441,0.0005
0,5,0.9811832625550995,0.0005625
135,350,1.0125178604560228,0.000625
3,20,1.0518757550528015,0.0006875
70,261,1.1354881406984734,0.00075
6,42,1.1653776772611995,0.0008125
4,3,1.246588184997423,0.000875
67,240,1.3167809055664907,0.0009375
129,326,1.3248945124161509,0.001
8,58,1.335474112009467,0.0010625
286,526,1.3456279227732004,0.001125
10,82,1.3578347868848089,0.0011875
114,302,1.462644618729386,0.00125
255,461,1.5150851526423992,0.0013125
15,96,1.5202110985580957,0.001375
179,357,1.5521863335632213,0.0014375
92,264,1.5796175673050672,0.0015
117,300,1.5890895007270949,0.0015625
30,142,1.6215734217359656,0.001625
7,30,1.6219732638919135,0.0016875
17,95,1.6228811271151777,0.00175
32,146,1.6230590733293693,0.0018125
43,178,1.6267006153535974,0.001875
119,299,1.6301981825087348,0.0019375
25,124,1.6476727605208457,0.002
61,208,1.6711630109688875,0.0020625
379,622,1.7069063812513434,0.002125
102,268,1.707949516611924,0.0021875
295,510,1.7142401448569018,0.00225
149,319,1.7571545114072578,0.0023125
95,258,1.7678851812160605,0.002375
174,334,1.8310275282093782,0.0024375
29,110,1.853804092442251,0.0025
94,252,1.867779210991987,0.0025625
153,314,1.888178394406073,0.002625
111,265,1.9211103406023406,0.0026875
74,211,1.9512461593041914,0.00275
91,238,1.9583373840746647,0.0028125
223,387,1.9612107318862888,0.002875
157,315,1.973040612225975,0.0029375
345,560,1.981298502154643,0.003
170,325,1.9825349122702036,0.0030625
31,117,1.9850569018958042,0.003125
392,627,1.9857301796633973,0.0031875
285,468,2.016821847949754,0.00325
290,472,2.0237776266907,0.0033125
245,407,2.0257433911968725,0.003375
81,222,2.0285503833172642,0.0034375
35,126,2.0328240701904248,0.0035
33,116,2.034998403205349,0.0035625
19,61,2.048161007422148,0.003625
193,345,2.050516627941195,0.0036875
282,455,2.061424741762375,0.00375
191,339,2.0834136745889715,0.0038125
321,515,2.1512444491521006,0.003875
11,32,2.1615166612177372,0.0039375
23,74,2.161929177954723,0.004
105,243,2.162556139969868,0.0040625
80,213,2.1658823116670005,0.004125
12,33,2.1771937977283913,0.0041875
487,734,2.181084537266095,0.00425
374,574,2.1884768079269943,0.0043125
366,569,2.1886556289585446,0.004375
18,51,2.1978773998209165,0.0044375
237,386,2.1987138955050565,0.0045
125,262,2.1987840629089384,0.0045625
166,309,2.199131326314875,0.004625
16,46,2.205217605982448,0.0046875
264,428,2.2110245436751113,0.00475
268,430,2.2150482938309857,0.0048125
314,491,2.2356205093528576,0.004875
69,177,2.2709714731724255,0.0049375
21,53,2.2756999700948124,0.005
158,298,2.2757615115124867,0.0050625
297,453,2.27895130349968,0.005125
420,640,2.2919062735941935,0.0051875
132,263,2.2950537894893626,0.00525
41,118,2.309342861920176,0.0053125
325,507,2.3171625108095766,0.005375
146,275,2.3260834519711096,0.0054375
235,371,2.3319611223904975,0.0055
204,336,2.342269966200873,0.0055625
288,443,2.3456509597662167,0.005625
155,284,2.358044653993394,0.0056875
40,108,2.375872007042945,0.00575
47,123,2.390339750713628,0.0058125
233,361,2.404350657975396,0.005875
212,343,2.417510092852363,0.0059375
231,356,2.4207202061229403,0.006
65,158,2.4309038661297313,0.0060625
73,179,2.450590479056628,0.006125
267,405,2.4617582472314794,0.0061875
339,513,2.4873597156599283,0.00625
14,13,2.4959899046099507,0.0063125
253,380,2.5007757260905628,0.006375
626,888,2.5031963565515767,0.0064375
26,62,2.5037523832317428,0.0065
36,94,2.5058248505210274,0.0065625
93,201,2.5337578400518828,0.006625
171,291,2.54317505207311,0.0066875
22,34,2.5435427092517506,0.00675
156,270,2.552053935761745,0.0068125
24,52,2.552654256490558,0.006875
190,312,2.568776567926287,0.0069375
39,89,2.608377214046836,0.007
281,417,2.611274166911593,0.0070625
118,224,2.621135705294404,0.007125
256,374,2.6250035052643605,0.0071875
75,166,2.6271528260089387,0.00725
332,481,2.644117098696836,0.0073125
377,547,2.656209527227235,0.007375
64,135,2.6627155314493347,0.0074375
228,338,2.679062228161876,0.0075
437,632,2.6793103090006323,0.0075625
444,642,2.688489417039701,0.007625
322,462,2.7104221206906844,0.0076875
469,675,2.710604809075374,0.00775
154,257,2.71130106664652,0.0078125
280,406,2.7147489536181855,0.007875
344,501,2.715552610001226,0.0079375
187,301,2.721161717606013,0.008
384,548,2.7417126848372284,0.0080625
27,38,2.762092593060622,0.008125
266,378,2.768272194417646,0.0081875
247,351,2.768451535083374,0.00825
251,352,2.785229490461192,0.0083125
77,160,2.798565414994635,0.008375
375,535,2.7992655678134915,0.0084375
176,271,2.799590730907104,0.0085
85,176,2.810263365658176,0.0085625
346,489,2.810334205902306,0.008625
53,101,2.8179623742294315,0.0086875
284,400,2.832596758433291,0.00875
143,237,2.8462570937849287,0.0088125
60,114,2.8533626312364677,0.008875
586,814,2.8922441602174214,0.0089375
539,751,2.8927015549896193,0.009
48,87,2.90008302870102,0.0090625
354,496,2.903020151046226,0.009125
90,170,2.918817705562773,0.0091875
46,83,2.9240488570383425,0.00925
424,585,2.92452012120531,0.0093125
152,239,2.9259105026351966,0.009375
313,440,2.931348632637696,0.0094375
368,514,2.984943745328372,0.0095
127,209,2.992333274839762,0.0095625
425,581,2.9956623578089374,0.009625
84,157,3.0063464363315804,0.0096875
82,151,3.0152368010531254,0.00975
37,57,3.020987094596891,0.0098125
302,411,3.0252348038294175,0.009875
306,413,3.0325330684353737,0.0099375
54,91,3.0341934159153787,0.01
123,202,3.0454693317080688,0.0100625
364,504,3.047945496039728,0.010125
98,173,3.0523792295954335,0.0101875
540,742,3.0622115243770462,0.01025
542,744,3.064310200450329,0.0103125
350,480,3.0692590105324262,0.010375
244,328,3.0763169979114124,0.0104375
55,92,3.07906865409309,0.0105
51,78,3.079775313527267,0.0105625
58,97,3.080508860002561,0.010625
63,105,3.083573401708043,0.0106875
289,384,3.0912180046330127,0.01075
443,601,3.0919901695756167,0.0108125
363,495,3.09749732342479,0.010875
272,360,3.1025060889592364,0.0109375
113,190,3.108332966389253,0.011
181,259,3.1203049581034383,0.0110625
201,285,3.1208942076064217,0.011125
450,614,3.1221826664907777,0.0111875
402,552,3.1226774869497804,0.01125
144,217,3.124056626332092,0.0113125
271,358,3.125220529421875,0.011375
199,283,3.1258857758613168,0.0114375
163,233,3.1535931772095553,0.0115
488,667,3.155092611070387,0.0115625
465,637,3.16283703116674,0.011625
486,662,3.1683974819925282,0.0116875
28,7,3.1762591444373522,0.01175
301,393,3.190446787789747,0.0118125
378,506,3.208263512348447,0.011875
273,354,3.2106993402440764,0.0119375
50,69,3.212066781504764,0.012
501,680,3.225540895245876,0.0120625
303,394,3.226835021396961,0.012125
348,460,3.2271621077200425,0.0121875
327,433,3.2331189935410967,0.01225
510,694,3.2343404488551553,0.0123125
168,236,3.249860427480093,0.012375
134,200,3.2596713636696943,0.0124375
505,684,3.260321747114043,0.0125
304,390,3.264631377324349,0.0125625
214,290,3.2679718086491056,0.012625
382,503,3.2688631157666164,0.0126875
475,641,3.271183350653372,0.01275
45,59,3.276971058320248,0.0128125
750,992,3.282859822677894,0.012875
101,161,3.28372746227364,0.0129375
496,670,3.28945841201036,0.013
182,249,3.2985299197132925,0.0130625
186,254,3.3060796762356697,0.013125
242,318,3.307800136487062,0.0131875
