,Request Id,request_model_execution_time_normalized,cdf
2583,2607,0.01685048710021445,0.0002690341673392521
3315,3351,0.017072460539981297,0.0005380683346785041
934,948,0.017078089523411062,0.0008071025020177562
2062,2085,0.017426694819435283,0.0010761366693570083
884,896,0.01767248556235321,0.0013451708366962604
3564,3584,0.017698438692124348,0.0016142050040355124
1811,1831,0.01772006980724335,0.0018832391713747645
2602,2610,0.01783591797276197,0.0021522733387140166
3172,3196,0.01784814977196361,0.002421307506053269
3573,3598,0.01786594579481286,0.0026903416733925207
2598,2617,0.0179075997756898,0.002959375840731773
875,901,0.017929773139779174,0.003228410008071025
1579,1609,0.017934601311513136,0.003497444175410277
874,898,0.017942565437316395,0.003766478342749529
333,346,0.017970044319838587,0.004035512510088781
942,961,0.01799215658744402,0.004304546677428033
2039,2067,0.01800709715080427,0.0045735808447672855
943,945,0.018041513085206528,0.004842615012106538
3565,3579,0.01810521508972325,0.005111649179445789
1812,1820,0.0181411331949154,0.0053806833467850415
322,320,0.018228271597077107,0.005649717514124294
310,321,0.01827726250767392,0.005918751681463546
2476,2481,0.018288513469593478,0.006187785848802798
3067,3082,0.018291441260560752,0.00645682001614205
1920,1934,0.018341175307844706,0.006725854183481302
2925,2950,0.018350541342496175,0.006994888350820554
2587,2609,0.018357693220307645,0.007263922518159807
1928,1938,0.018405585321925863,0.007532956685499058
2024,2046,0.018432999782511433,0.00780199085283831
193,213,0.018438354112430767,0.008071025020177562
936,949,0.01847039993199285,0.008340059187516815
2714,2749,0.018479888438272484,0.008609093354856066
1832,1843,0.01849175530836096,0.00887812752219532
2185,2204,0.01850624560176009,0.009147161689534571
177,196,0.01853081136805332,0.009416195856873822
972,983,0.018540353500584545,0.009685230024213076
1102,1113,0.01857111090532335,0.009954264191552327
1444,1466,0.018582492942430782,0.010223298358891578
2668,2699,0.01858802266952701,0.010492332526230832
217,226,0.018623163373466166,0.010761366693570083
1552,1561,0.01863821178558358,0.011030400860909336
2919,2947,0.0186590992562431,0.011299435028248588
331,344,0.018662150917294354,0.011568469195587839
1825,1837,0.01866801058731264,0.011837503362927092
1916,1933,0.018679026497253337,0.012106537530266344
1850,1880,0.018694067549291978,0.012375571697605597
3631,3651,0.018703090777452278,0.012644605864944848
2922,2945,0.018745435714819837,0.0129136400322841
1571,1584,0.0187528320279662,0.013182674199623353
624,657,0.018762103512173806,0.013451708366962604
1995,2017,0.018811851936121497,0.013720742534301856
717,727,0.01882117637453916,0.013989776701641109
315,327,0.018821414910353065,0.01425881086898036
830,848,0.018834780049435965,0.014527845036319613
311,313,0.01883998655980965,0.014796879203658865
911,937,0.018840993178147764,0.015065913370998116
273,299,0.018842989328076307,0.01533494753833737
1758,1773,0.01886105049931951,0.01560398170567662
306,317,0.018876034593393005,0.015873015873015872
2183,2205,0.018883981884043968,0.016142050040355124
2593,2612,0.01894128248792908,0.01641108420769438
304,307,0.018974139477809005,0.01668011837503363
2597,2611,0.018988316149645395,0.01694915254237288
443,480,0.018994616747887386,0.017218186709712133
828,850,0.019002792653134794,0.017487220877051384
1830,1840,0.01900757841544406,0.01775625504439064
2894,2926,0.019009572033061344,0.01802528921172989
1843,1835,0.01901324117693129,0.018294323379069142
28,29,0.01905480793728486,0.018563357546408393
2595,2613,0.019067339566315237,0.018832391713747645
2603,2630,0.019078738302028574,0.0191014258810869
959,950,0.019082832787925212,0.01937046004842615
181,198,0.019093325787160362,0.019639494215765402
766,796,0.019100231786439974,0.019908528383104654
2941,2966,0.019100365332742182,0.020177562550443905
1809,1821,0.01911125689357017,0.020446596717783157
3131,3155,0.01914269990555728,0.02071563088512241
1104,1120,0.019143384831730566,0.020984665052461663
88,108,0.01916446828448925,0.021253699219800914
916,936,0.019181367040236534,0.021522733387140166
982,997,0.019190867402156028,0.021791767554479417
3094,3113,0.019196402164352835,0.022060801721818672
3279,3289,0.01923810205754464,0.022329835889157924
3658,3704,0.019239501830251905,0.022598870056497175
1817,1828,0.01924848958979484,0.022867904223836426
873,899,0.019250029415872384,0.023136938391175678
319,323,0.019258979546286366,0.023405972558514933
1448,1468,0.01925957280084051,0.023675006725854184
956,947,0.019273603700496557,0.023944040893193436
252,263,0.019286881910793904,0.024213075060532687
300,318,0.019312876137589863,0.02448210922787194
3233,3244,0.01931503623021473,0.024751143395211193
2433,2453,0.019357441628116718,0.025020177562550445
3560,3578,0.019361210991379264,0.025289211729889696
1930,1939,0.019375279353445105,0.025558245897228948
714,740,0.019375806379489595,0.0258272800645682
2933,2957,0.01939103861501854,0.026096314231907454
519,547,0.0194044241089853,0.026365348399246705
3268,3285,0.019411379052295813,0.026634382566585957
2172,2196,0.01943151166446934,0.026903416733925208
173,194,0.019455192990346874,0.02717245090126446
15,28,0.01948095015113838,0.02744148506860371
2268,2287,0.019497348877077852,0.027710519235942966
3558,3580,0.019511357055684346,0.027979553403282217
3702,3724,0.01951499812970112,0.02824858757062147
2936,2961,0.019521443788405146,0.02851762173796072
291,235,0.019524098402216274,0.02878665590529997
231,250,0.01952827540033995,0.029055690072639227
629,662,0.019531252651219327,0.029324724239978478
1848,1854,0.01953920363881353,0.02959375840731773
3237,3241,0.019543517130649078,0.02986279257465698
1746,1779,0.019559351127195198,0.030131826741996232
3592,3601,0.01956024043351996,0.030400860909335487
2073,2088,0.019563609146208243,0.03066989507667474
415,441,0.019582284700517646,0.03093892924401399
774,795,0.01958671083011641,0.03120796341135324
1826,1814,0.019587248077279826,0.031476997578692496
2923,2946,0.019597909428650646,0.031746031746031744
2179,2200,0.019600905131753096,0.032015065913371
2435,2456,0.019602545164774225,0.03228410008071025
2030,2024,0.019610103891139187,0.0325531342480495
1948,1969,0.01961754507660308,0.03282216841538876
3113,3132,0.019622888381231524,0.033091202582728005
303,311,0.019630078200818284,0.03336023675006726
286,297,0.019632378663467072,0.03362927091740651
2553,2576,0.0196374282864534,0.03389830508474576
2467,2486,0.019638445873498177,0.03416733925208502
3638,3656,0.01964959634955143,0.034436373419424265
891,905,0.01966192090961017,0.03470540758676352
715,743,0.01967094664877263,0.03497444175410277
3637,3659,0.019673137525855696,0.03524347592144202
3224,3239,0.01967887109071719,0.03551251008878128
284,294,0.01969834845655985,0.035781544256120526
2280,2299,0.019724398112170128,0.03605057842345978
1567,1565,0.019730751247801232,0.03631961259079903
664,689,0.019738852615960884,0.036588646758138284
2943,2970,0.019739928597925897,0.03685768092547754
24,27,0.01974049514728837,0.03712671509281679
172,197,0.019751016219762205,0.03739574926015604
948,958,0.019767593246137565,0.03766478342749529
1896,1924,0.019776604324321767,0.037933817594834544
944,940,0.01978703747626163,0.0382028517621738
2055,2083,0.019793206968225906,0.03847188592951305
3712,3726,0.019800356077621033,0.0387409200968523
3270,3284,0.019807838567333282,0.03900995426419155
1467,1491,0.019818306466680216,0.039278988431530805
202,207,0.01982243401360608,0.03954802259887006
1985,2009,0.019822437841249808,0.03981705676620931
930,938,0.01983722913048348,0.04008609093354856
3231,3236,0.019847803626341566,0.04035512510088781
2907,2920,0.019851545203116414,0.040624159268227066
342,348,0.019853010366561907,0.040893193435566313
2019,2030,0.019853203722649704,0.04116222760290557
218,233,0.019855372006029222,0.04143126177024482
922,941,0.019861692096750434,0.04170029593758407
2289,2322,0.019870939604466318,0.041969330104923326
113,81,0.019878453252627663,0.042238364272262574
2940,2965,0.019878759860397083,0.04250739843960183
3458,3489,0.019881723437358566,0.042776432606941084
2281,2300,0.01988210124996157,0.04304546677428033
3163,3166,0.019896901641190443,0.04331450094161959
316,322,0.01990365320068415,0.043583535108958835
247,260,0.019908168130107765,0.04385256927629809
11,30,0.019908303741294306,0.044121603443637344
1823,1832,0.019908545918829762,0.04439063761097659
947,959,0.019927548241409288,0.04465967177831585
89,93,0.019943177756070893,0.044928705945655095
298,305,0.019946090859453428,0.04519774011299435
36,46,0.019957101094582323,0.045466774280333605
2728,2752,0.019962882014514176,0.04573580844767285
35,22,0.019972775954871153,0.04600484261501211
2942,2967,0.019976091298943194,0.046273876782351356
785,817,0.019986701314945204,0.04654291094969061
2478,2492,0.019988646522099203,0.046811945117029866
31,35,0.019997612518584656,0.047080979284369114
1791,1812,0.02000781470694471,0.04735001345170837
42,0,0.020016325410416383,0.047619047619047616
2955,2964,0.02001681866123296,0.04788808178638687
2930,2959,0.02001860206555471,0.048157115953726126
335,324,0.02003024786002576,0.048426150121065374
3118,3134,0.020030523043863338,0.04869518428840463
1796,1807,0.020032793150294426,0.04896421845574388
3277,3292,0.020040963962384053,0.04923325262308313
893,910,0.02004300888262179,0.04950228679042239
878,903,0.020059493134328178,0.049771320957761635
1819,1817,0.020067338065012697,0.05004035512510089
2008,2026,0.020067972777609862,0.05030938929244014
312,289,0.020068328443574028,0.05057842345977939
2862,2887,0.020070040676623765,0.05084745762711865
68,72,0.020075857531487676,0.051116491794457895
3602,3585,0.020079536587207836,0.05138552596179715
2837,2881,0.020080173679881838,0.0516545601291364
2425,2454,0.02008781223751463,0.05192359429647565
192,199,0.020091352447497494,0.05219262846381491
292,312,0.02009339219524305,0.052461662631154156
2466,2490,0.020095554131175194,0.05273069679849341
811,823,0.020101085414885006,0.05299973096583266
2190,2202,0.020101281476039862,0.053268765133171914
115,122,0.020105602977583032,0.05353779930051116
295,319,0.020106690646641362,0.053806833467850416
647,661,0.02010832405368108,0.05407586763518967
3144,3161,0.02010878818038584,0.05434490180252892
1829,1833,0.02011512225987403,0.054613935969868174
3199,3212,0.020122785720288333,0.05488297013720742
1029,1067,0.020126612054059054,0.05515200430454668
822,843,0.02013007011178721,0.05542103847188593
1481,1498,0.020157617030876786,0.05569007263922518
3716,3736,0.020158089738956133,0.055959106806564435
248,262,0.020169110793081882,0.05622814097390368
2065,2095,0.020173821077554475,0.05649717514124294
110,9,0.020174308290028815,0.05676620930858219
3304,3344,0.020184103938056017,0.05703524347592144
607,639,0.020186292506709193,0.057304277643260695
199,191,0.020187775629876444,0.05757331181059994
43,49,0.02018813851623496,0.0578423459779392
2858,2891,0.020193173587900185,0.05811138014527845
76,94,0.02019679821698461,0.0583804143126177
87,37,0.02020115147766681,0.058649448479956956
1601,1617,0.02020601520307926,0.058918482647296204
1760,1777,0.02020681889743361,0.05918751681463546
2916,2944,0.020207874006498847,0.059456550981974714
56,10,0.02022210234380211,0.05972558514931396
833,854,0.02024051890851372,0.05999461931665322
533,543,0.020241785671550206,0.060263653483992465
1560,1562,0.020247204760016083,0.06053268765133172
1798,1809,0.020255221623732413,0.060801721818670974
560,553,0.02026117699318467,0.06107075598601022
249,264,0.02026219922614007,0.06133979015334948
759,780,0.020277394580659955,0.061608824320688725
2779,2822,0.02027822664832933,0.06187785848802798
1926,1942,0.020280241152844984,0.062146892655367235
1724,1743,0.020283428725516695,0.06241592682270648
423,234,0.02028447550583131,0.06268496099004574
541,549,0.02029067954825211,0.06295399515738499
82,97,0.020291493206062924,0.06322302932472423
3244,3266,0.020299264389396356,0.06349206349206349
39,53,0.020304207305714847,0.06376109765940274
885,915,0.020310662951476776,0.064030131826742
361,398,0.02031169369926615,0.06429916599408125
2168,2197,0.020312591422630893,0.0645682001614205
2007,2020,0.020325714196183925,0.06483723432875975
1834,1842,0.02032770424847598,0.065106268496099
3104,3131,0.02033613880546997,0.06537530266343826
2883,2922,0.020354072997787243,0.06564433683077751
2274,2289,0.020357965137686496,0.06591337099811675
931,944,0.02037421768631215,0.06618240516545601
3635,3645,0.020378192762602013,0.06645143933279526
240,229,0.020380875737338395,0.06672047350013452
537,550,0.02038096698269798,0.06698950766747377
1343,1360,0.020385445405531503,0.06725854183481302
837,859,0.02038595207933616,0.06752757600215227
10,4,0.02039198016074201,0.06779661016949153
1923,1790,0.020401532179182235,0.06806564433683078
253,228,0.020404645996076,0.06833467850417003
975,985,0.02040544390191704,0.06860371267150928
927,934,0.020408614162336233,0.06887274683884853
548,561,0.020416981386190778,0.06914178100618779
22,1,0.020420155983889618,0.06941081517352704
408,39,0.020422270510345515,0.0696798493408663
1089,1117,0.020424596400359794,0.06994888350820554
2613,2626,0.020426502158080374,0.07021791767554479
236,254,0.020427485183111632,0.07048695184288405
534,555,0.020430101862757448,0.0707559860102233
2944,2968,0.02043629757432423,0.07102502017756256
899,904,0.02043793435210565,0.0712940543449018
283,301,0.020437943820186263,0.07156308851224105
206,50,0.0204417576731921,0.07183212267958031
3248,3260,0.020444195492392764,0.07210115684691956
3060,3083,0.020450391967998232,0.07237019101425882
8,17,0.02045659629114555,0.07263922518159806
254,256,0.02046428969991287,0.07290825934893731
198,212,0.0204735565898709,0.07317729351627657
2696,2702,0.020486698860123657,0.07344632768361582
939,951,0.020487466259410385,0.07371536185095508
111,99,0.020493385484146,0.07398439601829432
2541,2583,0.02049560171337928,0.07425343018563357
2544,2570,0.02049797000020378,0.07452246435297283
305,310,0.020498004430973625,0.07479149852031208
1971,2001,0.020508102674006577,0.07506053268765134
424,75,0.020508684637808625,0.07532956685499058
37,31,0.020511034203774935,0.07559860102232983
1488,1496,0.020528214172701127,0.07586763518966909
983,827,0.020530540957547933,0.07613666935700834
3577,3597,0.020531135451153888,0.0764057035243476
1482,1486,0.020540344489031925,0.07667473769168684
2557,2578,0.02054466177898728,0.0769437718590261
1942,1941,0.020545478206926156,0.07721280602636535
1519,1530,0.020548088259467502,0.0774818401937046
332,351,0.02054963498063027,0.07775087436104386
336,349,0.020557829115626865,0.0780199085283831
123,130,0.02055836159482434,0.07828894269572235
2269,2294,0.020565643618348284,0.07855797686306161
1391,1413,0.020578908207561086,0.07882701103040086
277,296,0.020580851288468562,0.07909604519774012
2505,2488,0.02058472456280635,0.07936507936507936
101,118,0.020588670928984268,0.07963411353241862
2080,2098,0.020592372369000307,0.07990314769975787
1452,1469,0.02059353500061204,0.08017218186709713
30,6,0.02059448988232841,0.08044121603443638
3680,3714,0.02059470903225738,0.08071025020177562
207,167,0.02060624500138206,0.08097928436911488
103,80,0.020609285024853437,0.08124831853645413
920,920,0.020610491961368643,0.08151735270379339
3140,3167,0.020614083008996482,0.08178638687113263
1984,2000,0.020615586391258815,0.08205542103847188
32,38,0.02061626655630162,0.08232445520581114
1723,1741,0.0206170490443691,0.08259348937315039
106,126,0.02061874519185976,0.08286252354048965
2304,2310,0.020622881346400383,0.08313155770782889
2473,2484,0.02062737297221948,0.08340059187516814
758,791,0.02063495490219345,0.0836696260425074
1501,1494,0.02063757780195497,0.08393866020984665
3264,3287,0.020645915473772175,0.08420769437718591
2051,2066,0.02065786138273967,0.08447672854452515
1986,2010,0.020666509885316018,0.0847457627118644
3272,3248,0.02066923593454907,0.08501479687920366
445,481,0.020670104588213622,0.08528383104654291
3257,3286,0.020677602119138355,0.08555286521388217
1111,1118,0.020677687805909784,0.08582189938122141
14,2,0.020684709809920494,0.08609093354856066
