,Request Id,request_execution_time_normalized,cdf
0,5,0.027009293169049688,0.00015328019619865113
1552,1823,0.027085340262443258,0.00030656039239730225
822,961,0.027999940688363374,0.0004598405885959534
159,299,0.030564986482998963,0.0006131207847946045
1926,2181,0.030715332022484693,0.0007664009809932557
1541,1811,0.030757383206675346,0.0009196811771919068
64,177,0.030947914216248373,0.001072961373390558
345,642,0.03106735774936542,0.001226241569589209
830,948,0.03115647937746611,0.0013795217657878603
835,949,0.03128495014705949,0.0015328019619865114
1693,1916,0.03159803503390987,0.0016860821581851624
1710,1919,0.03182248643387065,0.0018393623543838135
2747,2947,0.03201145920432985,0.001992642550582465
235,318,0.03205191723663417,0.002145922746781116
1807,1987,0.03206032366169102,0.002299202942979767
176,312,0.03209694807053697,0.002452483139178418
92,213,0.032170790337479126,0.002605763335377069
1768,1976,0.03235083831672714,0.0027590435315757206
1653,1831,0.03236959882837641,0.0029123237277743717
801,901,0.03240473241184181,0.0030656039239730227
3212,3545,0.03252731172243453,0.003218884120171674
1575,1815,0.03259388771453555,0.003372164316370325
1804,1924,0.03265036412935764,0.003525444512568976
1618,1812,0.03271018959971018,0.003678724708767627
178,298,0.032713046892728824,0.0038320049049662785
2850,2961,0.03271347996954322,0.00398528510116493
574,768,0.03272516521676781,0.00413856529736358
1750,1937,0.03274834016971548,0.004291845493562232
1799,1988,0.03284273142893053,0.004445125689760883
765,937,0.03284464935146402,0.004598405885959534
766,891,0.03286887606497794,0.004751686082158185
151,319,0.0329292529086486,0.004904966278356836
113,190,0.03297737570501015,0.0050582464745554875
828,898,0.03306281410933575,0.005211526670754138
4,3,0.03308011877587002,0.00536480686695279
177,254,0.03308969321018867,0.005518087063151441
1717,1880,0.03311823064923058,0.005671367259350092
1912,2026,0.03315064790878878,0.005824647455548743
3323,3638,0.03315934040133125,0.005977927651747394
1948,2085,0.033180477065500764,0.0061312078479460455
1996,2197,0.03319049632988431,0.006284488044144696
2661,2884,0.03320772605330029,0.006437768240343348
168,198,0.03323433432510424,0.006591048436541999
3355,3637,0.033252657924177156,0.00674432863274065
1956,1990,0.03333632924114843,0.006897608828939301
1488,1779,0.03335617989715712,0.007050889025137952
3293,3635,0.033374931936993764,0.007204169221336603
494,665,0.033397466255459564,0.007357449417535254
1951,2157,0.03341864743117866,0.0075107296137339056
1963,2232,0.033460823214098816,0.007664009809932557
1761,1998,0.03349738420731665,0.007817290006131208
925,938,0.03352611936444601,0.00797057020232986
223,291,0.03356032822428704,0.00812385039852851
2708,2958,0.03356818691292475,0.00827713059472716
1286,950,0.0335926447573659,0.008430410790925812
2896,3093,0.03359647082030757,0.008583690987124463
1987,2020,0.03360033273621761,0.008736971183323115
48,17,0.03363253017779887,0.008890251379521767
2025,2204,0.03364724368543035,0.009043531575720416
1581,1791,0.033675429223479235,0.009196811771919068
868,944,0.03368578621729239,0.00935009196811772
2830,3099,0.03370153772476552,0.00950337216431637
2403,2570,0.03371527827862248,0.009656652360515022
487,662,0.03372132993764469,0.009809932556713672
1988,2205,0.03374228931124006,0.009963212752912324
1625,1804,0.03376307106789856,0.010116492949110975
