,Request Id,request_execution_plus_preemption_time_normalized,cdf
292,319,0.05007291447653698,0.00031017369727047146
297,318,0.0504985434316688,0.0006203473945409429
97,131,0.055722006216109086,0.0009305210918114144
624,675,0.05590877560129734,0.0012406947890818859
1702,1742,0.05690574266161897,0.0015508684863523574
904,946,0.057050676103115365,0.0018610421836228288
1783,1822,0.05747651265721913,0.0021712158808933004
1805,1831,0.057604250138837146,0.0024813895781637717
1939,1984,0.05781911702477896,0.002791563275434243
62,95,0.05806601869108052,0.003101736972704715
2911,2947,0.05864467266558361,0.003411910669975186
294,308,0.060256622654213346,0.0037220843672456576
1813,1828,0.06097939216981067,0.004032258064516129
2919,2945,0.06158678915465537,0.004342431761786601
1809,1820,0.06218976093798113,0.004652605459057072
304,310,0.062278735815450875,0.004962779156327543
3,20,0.06253936343305226,0.005272952853598015
328,344,0.06294417977076637,0.005583126550868486
224,258,0.06309204270700902,0.005893300248138958
2502,2567,0.063139533436578,0.00620347394540943
2448,2490,0.06349555988095001,0.006513647642679901
308,321,0.0636430196916027,0.006823821339950372
1796,1827,0.06376134824273917,0.007133995037220843
321,340,0.06403190891707058,0.007444168734491315
2929,2961,0.06403560933938665,0.007754342431761787
2923,2959,0.0642317006239101,0.008064516129032258
1463,1497,0.0644353330496306,0.008374689826302729
1950,2004,0.06461942357681634,0.008684863523573201
302,326,0.0646925643405073,0.008995037220843672
309,316,0.0647470804380221,0.009305210918114143
1807,1830,0.06488337582162586,0.009615384615384616
306,317,0.06496135689383124,0.009925558312655087
1816,1838,0.06531783371569272,0.010235732009925558
707,749,0.06542682813638238,0.01054590570719603
264,291,0.06543494046383502,0.010856079404466501
295,315,0.06545346272590313,0.011166253101736972
1814,1832,0.06550267734289271,0.011476426799007445
2904,2943,0.06560654999155717,0.011786600496277916
1808,1829,0.06575807741100882,0.012096774193548387
266,299,0.06582768424649853,0.01240694789081886
293,304,0.06592649335603243,0.01271712158808933
289,314,0.0660399072276219,0.013027295285359801
3049,3096,0.06611922610994073,0.013337468982630272
1795,1818,0.06627079799483188,0.013647642679900745
754,796,0.06641193234994948,0.013957816377171216
1827,1814,0.06649223297209139,0.014267990074441687
283,312,0.06649399513486712,0.01457816377171216
1820,1840,0.06652647959785743,0.01488833746898263
2576,2625,0.066571250015272,0.015198511166253101
1803,1826,0.0666226124808726,0.015508684863523574
2924,2957,0.06666788553284207,0.015818858560794045
1811,1834,0.06672256536520975,0.016129032258064516
907,941,0.06675581462265319,0.016439205955334987
1735,1778,0.0667655049853928,0.016749379652605458
31,58,0.0667943327446381,0.017059553349875932
2905,2941,0.06685082882070166,0.017369727047146403
327,320,0.0671181841439354,0.017679900744416874
2930,2966,0.0671264577887736,0.017990074441687345
1804,1821,0.06712676638962287,0.018300248138957816
2673,2724,0.06779359744188175,0.018610421836228287
1812,1836,0.06786971426063455,0.01892059553349876
748,780,0.06787403577955421,0.019230769230769232
298,306,0.06801120685933178,0.019540942928039703
2914,2949,0.0680250541497536,0.019851116625310174
625,669,0.06811346874761376,0.020161290322580645
916,938,0.0682207923450794,0.020471464019851116
1780,1810,0.06831019830803914,0.020781637717121586
914,934,0.06835162691091669,0.02109181141439206
1778,1816,0.06839034442587964,0.021401985111662532
301,303,0.06842493647118757,0.021712158808933003
2909,2942,0.06848340628465578,0.022022332506203474
303,325,0.06850193244948245,0.022332506203473945
300,311,0.06859841807151142,0.022642679900744415
900,936,0.06860839956586044,0.02295285359801489
163,190,0.06874683225786249,0.02326302729528536
912,944,0.06879569986892071,0.02357320099255583
813,844,0.06884341011813015,0.023883374689826303
2926,2955,0.06887405526408596,0.024193548387096774
911,948,0.06889607809129962,0.024503722084367244
305,307,0.06892836699690305,0.02481389578163772
742,774,0.06938031383204499,0.02512406947890819
2921,2950,0.06941355811258865,0.02543424317617866
1991,2018,0.06945922732455667,0.02574441687344913
