,Request Id,prefill_e2e_time,cdf
2548,960,0.07679711712552262,0.0002380952380952381
1619,39,0.11167048135287061,0.0004761904761904762
2535,1027,0.17454529051462941,0.0007142857142857143
1785,397,0.18455999192369177,0.0009523809523809524
1574,75,0.18926310591438522,0.0011904761904761906
2483,988,0.20133152053767844,0.0014285714285714286
863,961,0.2113655303875248,0.0016666666666666668
317,307,0.2506829556722039,0.0019047619047619048
1864,337,0.2679381382484678,0.002142857142857143
309,303,0.28134678558426174,0.002380952380952381
1058,950,0.2942759361785079,0.002619047619047619
916,989,0.30729385097441764,0.002857142857142857
448,320,0.31103164770651404,0.0030952380952380953
535,235,0.3111636705526877,0.0033333333333333335
311,327,0.3254963151509571,0.0035714285714285713
30,38,0.3297647263748136,0.0038095238095238095
823,937,0.336076939690372,0.004047619047619047
834,907,0.34314197198335705,0.004285714285714286
590,679,0.3443728105663695,0.004523809523809524
193,233,0.34969910013415983,0.004761904761904762
920,927,0.3669019497577324,0.005
230,319,0.368010331316043,0.005238095238095238
124,130,0.3746303649354701,0.0054761904761904765
206,239,0.37699497495852086,0.005714285714285714
1641,982,0.3786770574257048,0.005952380952380952
605,448,0.3787968756820135,0.006190476190476191
1912,218,0.3794199939639782,0.0064285714285714285
328,346,0.3804246139472127,0.006666666666666667
10,7,0.3887649964329718,0.006904761904761905
867,877,0.40638056679182455,0.007142857142857143
304,398,0.4147116493078329,0.007380952380952381
97,55,0.41681529372817394,0.007619047619047619
868,949,0.4271471902820281,0.007857142857142858
1414,223,0.433187034092569,0.008095238095238095
84,105,0.43688718541465477,0.008333333333333333
75,72,0.4396333262257883,0.008571428571428572
1883,377,0.4409949332340375,0.008809523809523809
199,254,0.44145860657998526,0.009047619047619047
207,226,0.4416315894561649,0.009285714285714286
345,413,0.4429903458430431,0.009523809523809525
217,203,0.4465738812984199,0.009761904761904762
1375,187,0.44893713812871283,0.01
623,677,0.4508004400915411,0.010238095238095239
847,955,0.45145659968534346,0.010476190476190476
854,941,0.46169788030397285,0.010714285714285714
194,115,0.469935875612002,0.010952380952380953
7,30,0.47199088071121587,0.01119047619047619
713,829,0.47510002906068394,0.011428571428571429
243,312,0.4784677273839293,0.011666666666666667
213,260,0.47983111120144883,0.011904761904761904
270,334,0.48319746600841995,0.012142857142857143
1987,1032,0.4840240939802811,0.012380952380952381
130,102,0.4869497856878837,0.012619047619047618
814,885,0.48819200021193865,0.012857142857142857
210,230,0.4899090312598702,0.013095238095238096
95,122,0.49160308587686075,0.013333333333333334
413,445,0.4946609491169909,0.013571428571428571
1193,234,0.4961713536599319,0.01380952380952381
1963,925,0.5037356885568443,0.014047619047619048
806,903,0.5063220822215726,0.014285714285714285
67,97,0.509005802519809,0.014523809523809524
961,1022,0.5126541548663681,0.014761904761904763
946,991,0.5129570494991071,0.015
354,323,0.5140028748605658,0.015238095238095238
173,138,0.5142417092860327,0.015476190476190477
293,321,0.5153609926368432,0.015714285714285715
184,237,0.5198661658289723,0.015952380952380954
195,264,0.5216444275212098,0.01619047619047619
922,1000,0.5255652609953927,0.016428571428571428
152,182,0.5284030123980443,0.016666666666666666
167,198,0.5325485040677478,0.016904761904761905
197,174,0.5357897377422915,0.017142857142857144
20,61,0.5372020216024076,0.017380952380952382
554,347,0.5386744695866525,0.017619047619047618
431,355,0.5415573376006364,0.017857142857142856
869,957,0.5482011103788977,0.018095238095238095
34,62,0.5485921556066984,0.018333333333333333
866,861,0.5593223878069011,0.018571428571428572
835,755,0.5648920098661847,0.01880952380952381
281,229,0.5686290752018976,0.01904761904761905
460,421,0.5690832844508407,0.019285714285714285
917,987,0.5715743988205304,0.019523809523809523
935,990,0.5742788752621095,0.019761904761904762
933,962,0.57693146804138,0.02
316,310,0.5790451448672513,0.02023809523809524
