,Request Id,prefill_time_execution_plus_preemption,cdf
26,22,0.3049162911995307,0.03125
5,30,0.3186073643926197,0.0625
6,13,0.32246256990250344,0.09375
7,24,0.37154249471330214,0.125
25,6,0.37370511884271984,0.15625
9,11,0.37440881318239105,0.1875
16,29,0.4067839162883793,0.21875
31,9,0.42047434641651127,0.25
18,19,0.4231105522672933,0.28125
29,0,0.4231105522672935,0.3125
10,28,0.4323310115020038,0.34375
11,17,0.4376957671853403,0.375
20,16,0.46754569515321354,0.40625
14,27,0.4848500129520916,0.4375
21,4,0.48496486268110106,0.46875
30,10,0.4952426563340986,0.5
12,15,0.4999033930350947,0.53125
13,26,0.5044394357261934,0.5625
15,18,0.508485494709594,0.59375
27,1,0.5084854947095941,0.625
2,20,0.510180938870489,0.65625
22,31,0.5149958015229386,0.6875
0,25,0.5168299719090212,0.71875
1,8,0.5198443973806517,0.75
3,5,0.5316247825356701,0.78125
8,7,0.5316247825356701,0.8125
17,12,0.55105198588725,0.84375
28,23,0.5994792598372647,0.875
19,21,0.6526333244199733,0.90625
23,14,0.6559842877530502,0.9375
24,2,0.7083586048968651,0.96875
4,3,0.7851302688937686,1.0
