,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
29,0,0.0001445543396881768,0.03125
18,19,0.00014460374308519937,0.0625
31,9,0.00014514130010925483,0.09375
25,6,0.00014626423438071227,0.125
22,31,0.0001467642637568933,0.15625
7,24,0.00014679671857499097,0.1875
27,1,0.000146833813083914,0.21875
15,18,0.00014691866359710894,0.25
17,12,0.00014710410728437,0.28125
12,15,0.0001472903338347362,0.3125
14,27,0.00014813627037949637,0.34375
9,11,0.0001509712956380609,0.375
1,8,0.00015151396018089528,0.40625
6,13,0.00015399358639088035,0.4375
0,25,0.0001566151430027337,0.46875
10,28,0.00016369973930405293,0.5
5,30,0.00016620102472228467,0.53125
28,23,0.0001664757733510871,0.5625
20,16,0.0001684242417698896,0.59375
13,26,0.00017370503985061756,0.625
23,14,0.00018041372050413922,0.65625
2,20,0.00018149446420152578,0.6875
19,21,0.00018441178988979186,0.71875
16,29,0.00018608596353539766,0.75
21,4,0.0001894393994848051,0.78125
26,22,0.0001924976585855623,0.8125
30,10,0.0002026361114296639,0.84375
24,2,0.00020437351555016304,0.875
4,3,0.00020628751153278207,0.90625
3,5,0.00031719855759884853,0.9375
8,7,0.00034952319693337946,0.96875
11,17,0.00037187405878108776,1.0
