,Request Id,request_execution_plus_preemption_time_normalized,cdf
15987,15978,0.02024781286169941,6.25e-05
15988,15971,0.020343225084844756,0.000125
15998,15991,0.020434496973053523,0.0001875
15923,15994,0.02058156228118482,0.00025
15948,15997,0.02085426935905563,0.0003125
10315,10509,0.02094276399735265,0.000375
15999,15877,0.021158853156374544,0.0004375
15950,15987,0.021292460574117707,0.0005
15956,15988,0.021322119611892957,0.0005625
15991,15872,0.021329439670987934,0.000625
15920,15996,0.021452625199964017,0.0006875
15908,15984,0.021661428283583573,0.00075
15934,15986,0.02168520235350283,0.0008125
38,131,0.021702794054106817,0.000875
4878,5076,0.021757810408909926,0.0009375
15865,15995,0.021812537355592163,0.001
15951,15979,0.021899623432727736,0.0010625
15899,15993,0.02195368812163862,0.001125
15952,15982,0.022017106185298497,0.0011875
15817,15992,0.0222611647337508,0.00125
15990,15804,0.022276547507154854,0.0013125
234,319,0.022420099434597475,0.001375
15914,15976,0.02255594852306967,0.0014375
15947,15960,0.022595215218768942,0.0015
9322,9495,0.022780147343914158,0.0015625
15995,15656,0.022829792783570505,0.001625
15929,15989,0.022870929564806092,0.0016875
5670,5848,0.02288729127957346,0.00175
13035,13174,0.022937303000234263,0.0018125
831,932,0.023043175127109513,0.001875
15961,15912,0.023200241041644146,0.0019375
1955,2090,0.023232421090611445,0.002
15916,15963,0.02325944759919738,0.0020625
15921,15962,0.023284369242866747,0.002125
15997,15647,0.02328799102903608,0.0021875
15992,15661,0.023463487820099035,0.00225
15977,15773,0.02373450359062066,0.0023125
15910,15990,0.023746559696365903,0.002375
6335,6466,0.023903107013278666,0.0024375
236,312,0.023903633715129227,0.0025
1684,1823,0.023927713783801853,0.0025625
15984,15584,0.02397295852219998,0.002625
8312,8449,0.024057578137008803,0.0026875
8316,8441,0.02415155723471194,0.00275
15985,15655,0.02425397176033197,0.0028125
15883,15985,0.02426668658004857,0.002875
15936,15975,0.024283510475710646,0.0029375
15989,15550,0.024556548735061575,0.003
5679,5841,0.024581405937235845,0.0030625
15996,15288,0.024699638420852623,0.003125
15994,15364,0.024724980681745407,0.0031875
9783,9973,0.024879797902451647,0.00325
15932,15967,0.024888086133711712,0.0033125
15955,15934,0.024930673921815794,0.003375
8103,8234,0.024943643146912,0.0034375
15940,15928,0.024978931766726345,0.0035
15993,15414,0.0249815816992385,0.0035625
