,Request Id,request_model_execution_time,cdf
10085,10509,0.27917921662428913,6.25e-05
258,751,0.3444855617617501,0.000125
3611,4073,0.43887913741741064,0.0001875
12936,13361,0.4419904992544551,0.00025
5307,5848,0.4447442484281218,0.0003125
3,131,0.5060197576893412,0.000375
4524,5076,0.512077950545153,0.0004375
7934,8536,0.5258844526774635,0.0005
11,168,0.5296490316363853,0.0005625
10636,11214,0.6036551878092586,0.000625
1614,2120,0.6441585406246045,0.0006875
11360,11864,0.6464681195531148,0.00075
7121,7610,0.6663096554125534,0.0008125
421,888,0.6682713356070851,0.000875
183,642,0.6777421517214324,0.0009375
1808,2277,0.6808454594449823,0.001
11342,11789,0.6821935228333752,0.0010625
12167,12735,0.688366082386817,0.001125
9584,9973,0.694463149505715,0.0011875
10603,11148,0.7057169216575722,0.00125
12828,13450,0.7107015476271592,0.0013125
3536,4032,0.7113139307787336,0.001375
3623,4090,0.7146796172447706,0.0014375
12446,13030,0.7155667875458207,0.0015
6351,6775,0.7311883477516338,0.0015625
5521,6032,0.7344838809733266,0.001625
14877,15538,0.7362063546722376,0.0016875
9,154,0.7441889055863304,0.00175
12344,12491,0.75683640494929,0.0018125
6613,6949,0.7894596613665581,0.001875
10626,11045,0.799615928642862,0.0019375
6021,6379,0.8078571975119624,0.002
10098,10535,0.8096524117017538,0.0020625
8091,8734,0.8146174702284494,0.002125
4616,5023,0.8171140475237044,0.0021875
11400,11853,0.8268238156307214,0.00225
4148,4686,0.8273078854993409,0.0023125
5742,6350,0.831238225498196,0.002375
8154,8379,0.8322954684271877,0.0024375
5405,5835,0.8370669816943004,0.0025
96,398,0.8391988721905312,0.0025625
14717,15303,0.8402112781453971,0.002625
4980,5389,0.8485788658760546,0.0026875
12769,13240,0.8497952908117458,0.00275
11289,11876,0.8504242622370489,0.0028125
13676,14238,0.8550154304978127,0.002875
1429,1866,0.8625523352845972,0.0029375
8550,9122,0.873312412791162,0.003
2633,3071,0.8769133571369855,0.0030625
12674,13041,0.878866672212722,0.003125
13219,13772,0.8834605643688324,0.0031875
2942,3335,0.8838955793602418,0.00325
3757,4246,0.8909978995299973,0.0033125
11668,12182,0.8929540044238198,0.003375
14800,15434,0.8962924303827381,0.0034375
15554,15865,0.9006727981639919,0.0035
10470,11020,0.9092951647619073,0.0035625
0,25,0.9135620118825283,0.003625
708,1200,0.9166369837983843,0.0036875
12706,13254,0.917920532838373,0.00375
5576,6072,0.9189626046180096,0.0038125
12137,12299,0.9207085777774036,0.003875
6734,7121,0.9382694848328187,0.0039375
11487,12114,0.9446351660493141,0.004
12423,13020,0.9446372507172484,0.0040625
3347,3795,0.9536759557818179,0.004125
3995,4472,0.9561779692673208,0.0041875
13564,13683,0.9593890165130646,0.00425
8819,9265,0.9598465874251195,0.0043125
968,1394,0.9727460362887779,0.004375
4343,4781,0.9731124469106236,0.0044375
5867,6412,0.9779491406453291,0.0045
4246,4665,0.9925199417432872,0.0045625
7198,7607,0.9958178571404048,0.004625
2565,2921,1.0007154628963877,0.0046875
1,65,1.0019737465158505,0.00475
7280,7687,1.003344788461932,0.0048125
3133,3571,1.0046431424965279,0.004875
2728,3176,1.0174597569060848,0.0049375
105,569,1.0233098338042397,0.005
11030,11580,1.0240101710985887,0.0050625
9642,9989,1.0409809634164504,0.005125
6228,6539,1.0428819332309498,0.0051875
14870,15471,1.042955028860044,0.00525
5377,5982,1.0442617266659187,0.0053125
2989,3393,1.0457846431578723,0.005375
8533,8951,1.0481808311396759,0.0054375
14299,14902,1.0489414786071916,0.0055
109,560,1.054214594655297,0.0055625
1407,1849,1.0628223272204793,0.005625
10142,10688,1.067753009183927,0.0056875
6105,6684,1.0679654297461894,0.00575
15481,15999,1.068120711814465,0.0058125
5662,6154,1.0701974482304304,0.005875
6523,6897,1.073699864797467,0.0059375
13732,14262,1.0741411522985924,0.006
6382,6749,1.0741777951829523,0.0060625
6490,7024,1.0749048669528292,0.006125
13720,14246,1.0766476934979095,0.0061875
5547,6016,1.0777889467615438,0.00625
14137,14718,1.078241881446436,0.0063125
155,627,1.0796100286072638,0.006375
3519,3959,1.083882402887852,0.0064375
15531,15833,1.0845592074846713,0.0065
9290,9942,1.0850024620239693,0.0065625
369,809,1.085928166849916,0.006625
9137,9299,1.095258602835425,0.0066875
2864,3249,1.095280059859673,0.00675
1702,2087,1.0961476068499179,0.0068125
13032,13464,1.0974326896453797,0.006875
