,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
11686,12029,7.156453366956471e-05,6.25e-05
13229,13574,7.156453366956471e-05,0.000125
13307,13534,7.156453366956471e-05,0.0001875
13129,13452,7.162083936088617e-05,0.00025
14856,15113,7.162083936088617e-05,0.0003125
14992,15271,7.162083936088617e-05,0.000375
13192,13506,7.165761903938931e-05,0.0004375
8441,8778,7.167723372258766e-05,0.0005
10704,10566,7.167723372258766e-05,0.0005625
1941,2207,7.171435507977804e-05,0.000625
5535,5699,7.171435507977804e-05,0.0006875
12176,12510,7.171435507980054e-05,0.00075
957,155,7.173371696427572e-05,0.0008125
2631,2884,7.173371696428061e-05,0.000875
3144,2892,7.173371696428061e-05,0.0009375
8351,8569,7.173371696429182e-05,0.001
12948,13351,7.173371696429182e-05,0.0010625
3840,4160,7.177118103467486e-05,0.001125
271,520,7.177118103467625e-05,0.0011875
14907,15276,7.177118103469737e-05,0.00125
3707,4118,7.18280971179696e-05,0.0013125
350,49,7.182809711797083e-05,0.001375
12489,12361,7.184695092950775e-05,0.0014375
4090,3137,7.18851035442537e-05,0.0015
3996,4215,7.190370207555915e-05,0.0015625
4083,4409,7.190370207555915e-05,0.001625
1703,1987,7.190370207557039e-05,0.0016875
12627,13174,7.190370207558161e-05,0.00175
983,1220,7.194220052880036e-05,0.0018125
1536,1860,7.196054294677637e-05,0.001875
9401,9605,7.198812738920607e-05,0.0019375
7875,8145,7.19965024753133e-05,0.002
9349,9848,7.19965024753133e-05,0.0020625
11883,11840,7.19965024753133e-05,0.002125
3949,4078,7.19993882875673e-05,0.0021875
7390,7547,7.199938828758989e-05,0.00225
13298,13879,7.199938828758989e-05,0.0023125
14260,12584,7.204585644084135e-05,0.002375
1000,983,7.205279372038792e-05,0.0024375
11745,11815,7.205279372040737e-05,0.0025
1586,1897,7.205666703719942e-05,0.0025625
2833,3258,7.205666703719942e-05,0.002625
4037,4115,7.205666703719942e-05,0.0026875
5345,5680,7.205666703719942e-05,0.00275
13490,13496,7.208705709676703e-05,0.0028125
9073,9495,7.20870570968123e-05,0.002875
13712,14210,7.21091730581723e-05,0.0029375
11274,11586,7.210917305821677e-05,0.003
5878,6188,7.214449698292255e-05,0.0030625
15675,15312,7.216159275636331e-05,0.003125
14862,14962,7.216564069564932e-05,0.0031875
7020,6973,7.216564069569384e-05,0.00325
10517,10647,7.216564069569384e-05,0.0033125
2322,2344,7.220202847973048e-05,0.003375
1282,1532,7.221960046761651e-05,0.0034375
7764,7975,7.221960046762794e-05,0.0035
8385,8304,7.222219684043969e-05,0.0035625
2447,2812,7.225965180652995e-05,0.003625
6746,7006,7.225965180654129e-05,0.0036875
7915,8112,7.225965180654129e-05,0.00375
3370,3177,7.22788417006844e-05,0.0038125
5855,6009,7.22788417006844e-05,0.003875
13714,14262,7.231736718333817e-05,0.0039375
8117,8458,7.231736718338357e-05,0.004
9637,8176,7.231736718338357e-05,0.0040625
6246,6403,7.233557548537881e-05,0.004125
7358,7780,7.233557548540112e-05,0.0041875
8192,8604,7.233557548540112e-05,0.00425
5215,5440,7.233589612053199e-05,0.0043125
6648,6771,7.233589612055488e-05,0.004375
7596,7452,7.233589612055488e-05,0.0044375
7964,8223,7.237517483101217e-05,0.0045
14171,14365,7.2392398404041e-05,0.0045625
13682,13901,7.239418451383749e-05,0.004625
14447,14974,7.239418451383749e-05,0.0046875
14723,14880,7.239418451383749e-05,0.00475
15122,11808,7.239418451388328e-05,0.0048125
9101,9005,7.241110309937796e-05,0.004875
13621,9499,7.241110309937796e-05,0.0049375
5924,6111,7.243307497085425e-05,0.005
1325,1574,7.243307497086562e-05,0.0050625
9932,10406,7.243307497087699e-05,0.005125
11825,11403,7.24910678251371e-05,0.0051875
14421,14379,7.252808387987522e-05,0.00525
6358,6966,7.258671612225439e-05,0.0053125
7929,7603,7.258671612225439e-05,0.005375
1923,1938,7.258671612227736e-05,0.0054375
11090,11230,7.264544323885815e-05,0.0055
2151,1901,7.27042654601272e-05,0.0055625
5088,5345,7.278316675587945e-05,0.005625
509,955,7.278316675588522e-05,0.0056875
8061,8474,7.278316675590253e-05,0.00575
9916,10101,7.278316675590253e-05,0.0058125
8105,8538,7.282219614211571e-05,0.005875
14860,14949,7.287787234907686e-05,0.0059375
4094,4517,7.287787234909273e-05,0.006
12206,11981,7.287787234910859e-05,0.0060625
4772,4620,7.290151336849063e-05,0.006125
1995,2230,7.29185635117667e-05,0.0061875
6298,6451,7.29185635117667e-05,0.00625
8019,8209,7.291856351178257e-05,0.0063125
14117,14021,7.295930013941102e-05,0.006375
14753,14749,7.295930013941102e-05,0.0064375
9543,9557,7.295930013944279e-05,0.0065
10509,10691,7.295930013944279e-05,0.0065625
9862,10223,7.296083111738968e-05,0.006625
3004,3216,7.296526021253047e-05,0.0066875
4165,4272,7.296526021253047e-05,0.00675
11312,11123,7.29652602125464e-05,0.0068125
15501,15549,7.300008230829835e-05,0.006875
5171,2624,7.300008230831423e-05,0.0069375
2796,2957,7.30061829608269e-05,0.007
3462,3776,7.30061829608269e-05,0.0070625
4777,5053,7.30061829608269e-05,0.007125
5944,5987,7.30061829608269e-05,0.0071875
6223,6544,7.30061829608269e-05,0.00725
11694,12118,7.300618296084283e-05,0.0073125
15491,15565,7.300618296084283e-05,0.007375
11913,12141,7.302024547497713e-05,0.0074375
13140,13636,7.304091009482424e-05,0.0075
14342,14780,7.304091009482424e-05,0.0075625
3978,4211,7.304091009484014e-05,0.007625
1803,2076,7.304715163813375e-05,0.0076875
5598,5781,7.304715163813375e-05,0.00775
618,900,7.304715163813576e-05,0.0078125
1592,1804,7.304715163813775e-05,0.007875
14330,14677,7.30471516381497e-05,0.0079375
14357,14380,7.30471516381497e-05,0.008
14728,15366,7.306260230417268e-05,0.0080625
2055,2300,7.306260230420751e-05,0.008125
6848,7038,7.306260230421913e-05,0.0081875
656,850,7.307975667746584e-05,0.00825
14792,15100,7.308178357557121e-05,0.0083125
1526,1513,7.30817835755871e-05,0.008375
4209,4726,7.30817835755871e-05,0.0084375
784,928,7.30817835755891e-05,0.0085
9581,9419,7.308178357560302e-05,0.0085625
9739,10104,7.308178357560302e-05,0.008625
15660,15817,7.312234278030038e-05,0.0086875
5513,5682,7.312270282730916e-05,0.00875
8510,8539,7.312270282732507e-05,0.0088125
