,Request Id,request_execution_plus_preemption_time,cdf
597,642,1.2805717356441597,0.0005443658138268917
113,131,1.281985248944953,0.0010887316276537834
131,168,1.6142931466076564,0.001633097441480675
713,751,1.9766989014513778,0.002177463255307567
1,5,2.0349965440163964,0.0027218290691344584
1804,1823,2.1619487061802363,0.00326619488296135
1745,1779,2.3210696316680792,0.003810560696788242
1360,1394,2.5698999532059266,0.004354926510615134
774,801,2.5719685539419443,0.004899292324442025
645,675,2.7063128292350607,0.005443658138268917
1375,1416,2.883395407519966,0.005988023952095809
1834,1849,3.0351091777632546,0.0065323897659227
543,569,3.114465130280994,0.007076755579749592
326,350,3.1365952668006165,0.007621121393576484
916,939,3.2085144838148203,0.008165487207403375
533,560,3.2166502445753116,0.008709853021230268
296,319,3.261391089843889,0.009254218835057159
849,888,3.3386455318700823,0.00979858464888405
944,961,3.6465771816783716,0.010342950462710943
1482,1499,3.6553849755266548,0.010887316276537834
74,96,3.657062196479118,0.011431682090364725
578,627,3.7441671563594867,0.011976047904191617
307,326,3.750744984862408,0.012520413718018509
654,692,3.8832004226267998,0.0130647795318454
0,3,3.958488776868509,0.013609145345672292
938,955,4.08386347356311,0.014153511159499184
7,25,4.098337160921092,0.014697876973326075
1494,1527,4.111975578540601,0.015242242787152967
1802,1822,4.14588465673771,0.015786608600979857
1481,1497,4.161952020862656,0.01633097441480675
1809,1827,4.245928591438436,0.016875340228633642
3,20,4.373552102080032,0.017419706042460535
367,398,4.422384624732482,0.017964071856287425
1716,1738,4.447586643618731,0.018508437670114317
1216,1250,4.458193734443666,0.01905280348394121
819,845,4.502901363044588,0.0195971692977681
679,719,4.510829236453592,0.020141535111594992
793,825,4.587670486489565,0.020685900925421885
1501,1529,4.627244821974082,0.021230266739248774
1814,1831,4.7644195754674055,0.021774632553075667
603,640,4.863102775864595,0.02231899836690256
1461,1489,4.910247291701728,0.02286336418072945
231,255,4.945838007080109,0.023407729994556342
62,82,4.960116261766881,0.023952095808383235
1783,1811,4.982234124621884,0.024496461622210124
1720,1742,4.984947132967191,0.025040827436037017
787,821,5.051200866973245,0.02558519324986391
